dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003182,1.002468,0.000062,0.006244,0.312180,15.608995,6.283025
0.020000,0.003174,1.002468,0.000070,0.000403,-0.292036,-30.210817,6.283048
0.020000,0.003156,1.002468,0.000089,0.000906,0.025159,15.859790,6.283099
0.020000,0.003166,1.002468,0.000099,0.000521,-0.019255,-2.220695,0.000004
0.020000,0.004616,1.002468,0.001549,0.072512,3.599570,180.941240,0.000139
0.020000,0.006550,1.002468,0.003483,0.096689,1.208842,-119.536389,0.000320
0.020000,0.008968,1.002469,0.005900,0.120871,1.209108,0.013281,0.000545
0.020000,0.011869,1.002471,0.008802,0.145060,1.209430,0.016100,0.000814
0.020000,0.015254,1.002475,0.012187,0.169257,1.209828,0.019882,0.001127
0.020000,0.019123,1.002480,0.016056,0.193462,1.210282,0.022716,0.001483
0.020000,0.023477,1.002487,0.020410,0.217678,1.210810,0.026422,0.001882
0.020000,0.028315,1.002497,0.025248,0.241906,1.211394,0.029173,0.002323
0.020000,0.033638,1.002511,0.030571,0.266147,1.212053,0.032934,0.002805
0.020000,0.039446,1.002529,0.036379,0.290403,1.212773,0.036038,0.003327
0.020000,0.045739,1.002551,0.042672,0.314674,1.213557,0.039174,0.003889
0.020000,0.052518,1.002580,0.049451,0.338962,1.214414,0.042880,0.004490
0.020000,0.059784,1.002615,0.056717,0.363269,1.215329,0.045735,0.005128
0.020000,0.067536,1.002657,0.064469,0.387595,1.216317,0.049387,0.005803
0.020000,0.075774,1.002708,0.072708,0.411942,1.217363,0.052309,0.006513
0.020000,0.084500,1.002768,0.081434,0.436312,1.218484,0.056060,0.007257
0.020000,0.093714,1.002838,0.090648,0.460705,1.219665,0.059015,0.008033
0.020000,0.103416,1.002920,0.100350,0.485124,1.220916,0.062592,0.008841
0.020000,0.113607,1.003015,0.110542,0.509568,1.222229,0.065617,0.009679
0.020000,0.124287,1.003123,0.121223,0.534041,1.223613,0.069203,0.010545
0.020000,0.135458,1.003245,0.132393,0.558542,1.225061,0.072415,0.011437
0.020000,0.147118,1.003384,0.144055,0.583073,1.226574,0.075668,0.012355
0.020000,0.159270,1.003540,0.156208,0.607636,1.228158,0.079172,0.013295
0.020000,0.171913,1.003714,0.168852,0.632232,1.229804,0.082319,0.014257
0.020000,0.185049,1.003908,0.181990,0.656863,1.231520,0.085795,0.015238
0.020000,0.198678,1.004122,0.195620,0.681529,1.233298,0.088892,0.016237
0.020000,0.212801,1.004359,0.209745,0.706232,1.235148,0.092490,0.017251
0.020000,0.227418,1.004619,0.224364,0.730973,1.237060,0.095627,0.018278
0.020000,0.242530,1.004903,0.239479,0.755754,1.239041,0.099015,0.019316
0.020000,0.258139,1.005213,0.255091,0.780576,1.241086,0.102286,0.020362
0.020000,0.274244,1.005549,0.271200,0.805440,1.243200,0.105658,0.021415
0.020000,0.290847,1.005913,0.287807,0.830347,1.245378,0.108943,0.022471
0.020000,0.307948,1.006307,0.304913,0.855300,1.247623,0.112245,0.023529
0.020000,0.325549,1.006730,0.322518,0.880298,1.249935,0.115569,0.024585
0.020000,0.343650,1.007185,0.340625,0.905345,1.252312,0.118864,0.025637
0.020000,0.362253,1.007672,0.359234,0.930440,1.254755,0.122150,0.026682
0.020000,0.381358,1.008192,0.378346,0.955585,1.257264,0.125447,0.027718
0.020000,0.400965,1.008745,0.397962,0.980782,1.259839,0.128745,0.028741
0.020000,0.421077,1.009334,0.418082,1.006031,1.262479,0.132018,0.029749
0.020000,0.441695,1.009958,0.438709,1.031335,1.265185,0.135308,0.030738
0.020000,0.462818,1.010618,0.459843,1.056694,1.267957,0.138581,0.031706
0.020000,0.484449,1.011314,0.481485,1.082110,1.270794,0.141856,0.032649
0.020000,0.506589,1.012047,0.503637,1.107584,1.273697,0.145127,0.033564
0.020000,0.529238,1.012818,0.526299,1.133117,1.276664,0.148390,0.034447
0.020000,0.552398,1.013626,0.549473,1.158711,1.279698,0.151667,0.035295
0.020000,0.576070,1.014471,0.573161,1.184367,1.282796,0.154911,0.036105
0.020000,0.600256,1.015354,0.597362,1.210086,1.285960,0.158201,0.036874
0.020000,0.624956,1.016275,0.622080,1.235870,1.289189,0.161468,0.037596
0.020000,0.650172,1.017232,0.647314,1.261720,1.292484,0.164716,0.038270
0.020000,0.675906,1.018225,0.673067,1.287637,1.295844,0.167991,0.038890
0.020000,0.702158,1.019254,0.699339,1.313622,1.299269,0.171290,0.039454
0.020000,0.728931,1.020318,0.726133,1.339677,1.302760,0.174536,0.039957
0.020000,0.756225,1.021415,0.753449,1.365804,1.306317,0.177851,0.040395
0.020000,0.784042,1.022545,0.781289,1.392002,1.309940,0.181130,0.040764
0.020000,0.812384,1.023705,0.809654,1.418275,1.313628,0.184421,0.041060
0.020000,0.841252,1.024895,0.838547,1.444623,1.317383,0.187753,0.041279
