dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003125,0.646868,0.000062,0.006244,0.312180,15.608995,6.283025
0.020000,0.003125,0.646868,0.000312,0.018731,0.624360,15.608995,6.283048
0.020000,0.003125,0.646868,0.000874,0.037462,0.936540,15.608995,6.283099
0.020000,0.003168,0.646868,0.001873,0.062436,1.248720,15.608995,0.000004
0.020000,0.004666,0.646868,0.003372,0.087410,1.248720,0.000000,0.000139
0.020000,0.006664,0.646868,0.005369,0.112385,1.248720,-0.000000,0.000320
0.020000,0.009161,0.646869,0.007867,0.137359,1.248720,-0.000000,0.000545
0.020000,0.012158,0.646871,0.010864,0.162334,1.248720,0.000000,0.000814
0.020000,0.015655,0.646875,0.014360,0.187308,1.248720,-0.000000,0.001127
0.020000,0.019651,0.646880,0.018356,0.212282,1.248720,0.000000,0.001483
0.020000,0.024146,0.646888,0.022852,0.237257,1.248720,-0.000000,0.001882
0.020000,0.029141,0.646898,0.027846,0.262231,1.248720,0.000000,0.002323
0.020000,0.034635,0.646912,0.033341,0.287206,1.248720,-0.000000,0.002805
0.020000,0.040629,0.646931,0.039335,0.312180,1.248720,0.000000,0.003327
0.020000,0.047122,0.646954,0.045828,0.337154,1.248720,0.000000,0.003889
0.020000,0.054115,0.646983,0.052821,0.362129,1.248720,0.000000,0.004490
0.020000,0.061607,0.647019,0.060313,0.387103,1.248720,0.000000,0.005128
0.020000,0.069599,0.647063,0.068305,0.412077,1.248720,0.000000,0.005803
0.020000,0.078090,0.647115,0.076796,0.437052,1.248720,0.000000,0.006513
0.020000,0.087081,0.647177,0.085787,0.462026,1.248720,-0.000000,0.007257
0.020000,0.096571,0.647250,0.095277,0.487001,1.248720,0.000000,0.008033
0.020000,0.106560,0.647334,0.105267,0.511975,1.248720,0.000000,0.008841
0.020000,0.117049,0.647431,0.115756,0.536949,1.248720,-0.000000,0.009679
0.020000,0.128037,0.647542,0.126745,0.561924,1.248720,0.000000,0.010545
0.020000,0.139525,0.647669,0.138233,0.586898,1.248720,-0.000000,0.011437
0.020000,0.151511,0.647811,0.150221,0.611873,1.248720,0.000000,0.012355
0.020000,0.163998,0.647971,0.162708,0.636847,1.248720,-0.000000,0.013295
0.020000,0.176983,0.648150,0.175695,0.661821,1.248720,0.000000,0.014257
0.020000,0.190468,0.648349,0.189181,0.686796,1.248720,-0.000000,0.015238
0.020000,0.204452,0.648569,0.203167,0.711770,1.248720,0.000000,0.016237
0.020000,0.218935,0.648812,0.217652,0.736745,1.248720,0.000000,0.017251
0.020000,0.233917,0.649078,0.232636,0.761719,1.248720,0.000000,0.018278
0.020000,0.249398,0.649369,0.248121,0.786693,1.248720,0.000000,0.019316
0.020000,0.265379,0.649686,0.264104,0.811668,1.248720,0.000000,0.020362
0.020000,0.281858,0.650031,0.280587,0.836642,1.248720,0.000000,0.021415
0.020000,0.298837,0.650403,0.297570,0.861617,1.248720,-0.000000,0.022471
0.020000,0.316314,0.650805,0.315052,0.886591,1.248720,-0.000000,0.023529
0.020000,0.334291,0.651238,0.333034,0.911565,1.248720,0.000000,0.024585
0.020000,0.352766,0.651702,0.351515,0.936540,1.248720,-0.000000,0.025637
0.020000,0.371740,0.652198,0.370495,0.961514,1.248720,0.000000,0.026682
0.020000,0.391213,0.652728,0.389975,0.986488,1.248720,0.000000,0.027718
0.020000,0.411184,0.653292,0.409955,1.011463,1.248720,0.000000,0.028741
0.020000,0.431655,0.653891,0.430434,1.036437,1.248720,-0.000000,0.029749
0.020000,0.452624,0.654526,0.451412,1.061412,1.248720,0.000000,0.030738
0.020000,0.474091,0.655196,0.472890,1.086386,1.248720,-0.000000,0.031706
0.020000,0.496057,0.655903,0.494868,1.111360,1.248720,0.000000,0.032649
0.020000,0.518522,0.656647,0.517345,1.136335,1.248720,0.000000,0.033564
0.020000,0.541485,0.657429,0.540321,1.161309,1.248720,-0.000000,0.034447
0.020000,0.564947,0.658247,0.563797,1.186284,1.248720,0.000000,0.035295
0.020000,0.588907,0.659103,0.587772,1.211258,1.248720,0.000000,0.036105
0.020000,0.613365,0.659996,0.612247,1.236232,1.248720,0.000000,0.036874
0.020000,0.638322,0.660926,0.637222,1.261207,1.248720,0.000000,0.037596
0.020000,0.663778,0.661892,0.662695,1.286181,1.248720,0.000000,0.038270
0.020000,0.689732,0.662894,0.688669,1.311156,1.248720,0.000000,0.038890
0.020000,0.716184,0.663931,0.715142,1.336130,1.248720,0.000000,0.039454
0.020000,0.743136,0.665002,0.742114,1.361104,1.248720,0.000000,0.039957
0.020000,0.770585,0.666105,0.769586,1.386079,1.248720,0.000000,0.040395
0.020000,0.798534,0.667240,0.797557,1.411053,1.248720,0.000000,0.040764
0.020000,0.826980,0.668405,0.826028,1.436028,1.248720,0.000000,0.041060
0.020000,0.855926,0.669598,0.854998,1.461002,1.248720,0.000000,0.041279
0.020000,0.885371,0.670816,0.884468,1.485976,1.248720,0.000000,0.041416
0.020000,0.915314,0.672058,0.914437,1.510951,1.248720,0.000000,0.041468
0.020000,0.945757,0.673321,0.944906,1.535925,1.248720,0.000000,0.041429
0.020000,0.976699,0.674601,0.975874,1.560899,1.248720,0.000000,0.041295
0.020000,1.008140,0.675897,1.007342,1.585874,1.248720,0.000000,0.041062
0.020000,1.040080,0.677204,1.039309,1.610848,1.248720,0.000000,0.040724
0.020000,1.072520,0.678519,1.071776,1.635823,1.248720,0.000000,0.040278
0.020000,1.105460,0.679838,1.104742,1.660797,1.248720,0.000000,0.039718
0.020000,1.138900,0.681155,1.138208,1.685771,1.248720,0.000000,0.039039
0.020000,1.172840,0.682468,1.172173,1.710746,1.248720,-0.000000,0.038237
0.020000,1.207280,0.683770,1.206638,1.735720,1.248720,0.000000,0.037306
0.020000,1.242220,0.685055,1.241602,1.760695,1.248720,-0.000000,0.036242
0.020000,1.277661,0.686319,1.277066,1.785669,1.248720,0.000000,0.035038
0.020000,1.313603,0.687555,1.313029,1.810643,1.248720,0.000000,0.033690
0.020000,1.350046,0.688757,1.349491,1.835618,1.248720,-0.000000,0.032192
0.020000,1.386990,0.689916,1.386453,1.860592,1.248720,0.000000,0.030540
0.020000,1.424435,0.691027,1.423915,1.885567,1.248720,0.000000,0.028727
0.020000,1.462381,0.692080,1.461876,1.910541,1.248720,0.000000,0.026747
0.020000,1.500829,0.693068,1.500337,1.935515,1.248720,0.000000,0.024597
0.020000,1.539779,0.693981,1.539297,1.960490,1.248720,0.000000,0.022268
0.020000,1.579229,0.694811,1.578756,1.985464,1.248720,0.000000,0.019757
0.020000,1.619182,0.695547,1.618715,2.010439,1.248720,0.000000,0.017057
0.020000,1.659635,0.696179,1.659174,2.035413,1.248720,0.000000,0.014162
0.020000,1.700590,0.696696,1.700132,2.060387,1.248720,0.000000,0.011067
0.020000,1.742046,0.697087,1.741589,2.085362,1.248720,0.000000,0.007765
0.020000,1.784002,0.697339,1.783546,2.110336,1.248720,0.000000,0.004251
0.020000,1.826458,0.697441,1.826003,2.135311,1.248720,0.000000,0.000518
0.020000,1.866970,0.697693,1.868959,2.160285,1.248720,-0.000000,0.014366
0.020000,1.910413,0.698704,1.912414,2.185259,1.248720,0.000000,0.032147
0.020000,1.954330,0.700508,1.956369,2.210234,1.248720,0.000000,0.049906
0.020000,1.998707,0.703119,2.000823,2.235208,1.248720,0.000000,0.067601
0.020000,2.043529,0.706551,2.045777,2.260182,1.248720,0.000000,0.085191
0.020000,2.088782,0.710815,2.091231,2.285157,1.248720,0.000000,0.102633
0.020000,2.134450,0.715919,2.137184,2.310131,1.248720,0.000000,0.119883
0.020000,2.180519,0.721868,2.183636,2.335106,1.248720,0.000000,0.136899
0.020000,2.226976,0.728666,2.230588,2.360080,1.248720,0.000000,0.153639
0.020000,2.273806,0.736315,2.278039,2.385054,1.248720,0.000000,0.170060
0.020000,2.320997,0.744811,2.325990,2.410029,1.248720,0.000000,0.186121
0.020000,2.368538,0.754152,2.374440,2.435003,1.248720,0.000000,0.201784
0.020000,2.416418,0.764329,2.423390,2.459978,1.248720,0.000000,0.217009
0.020000,2.464627,0.775335,2.472839,2.484952,1.248720,-0.000000,0.231760
0.020000,2.513156,0.787156,2.522788,2.509926,1.248720,0.000000,0.246002
0.020000,2.561999,0.799779,2.573236,2.534901,1.248720,0.000000,0.259702
0.020000,2.611150,0.813188,2.624184,2.559875,1.248720,-0.000000,0.272828
0.020000,2.660606,0.827363,2.675631,2.584850,1.248720,0.000000,0.285351
0.020000,2.710363,0.842285,2.727578,2.609824,1.248720,0.000000,0.297243
0.020000,2.760421,0.857931,2.780024,2.634798,1.248720,0.000000,0.308476
0.020000,2.810780,0.874274,2.832970,2.659773,1.248720,0.000000,0.319027
0.020000,2.861444,0.891290,2.886415,2.684747,1.248720,0.000000,0.328871
0.020000,2.912417,0.908949,2.940360,2.709722,1.248720,0.000000,0.337987
0.020000,2.963703,0.927220,2.994804,2.734696,1.248720,0.000000,0.346351
0.020000,3.015311,0.946071,3.049748,2.759670,1.248720,0.000000,0.353945
0.020000,3.067251,0.965468,3.105191,2.784645,1.248720,0.000000,0.360746
0.020000,3.119532,0.985375,3.161134,2.809619,1.248720,0.000000,0.366736
0.020000,3.172167,1.005753,3.217576,2.834593,1.248720,-0.000000,0.371893
0.020000,3.225169,1.026563,3.274517,2.859568,1.248720,0.000000,0.376199
0.020000,3.278556,1.047762,3.331959,2.884542,1.248720,0.000000,0.379632
0.020000,3.332342,1.069306,3.389899,2.909517,1.248720,0.000000,0.382171
0.020000,3.386547,1.091148,3.448339,2.934491,1.248720,-0.000000,0.383795
0.020000,3.441189,1.113241,3.507279,2.959465,1.248720,0.000000,0.384481
0.020000,3.496290,1.135532,3.566718,2.984440,1.248720,0.000000,0.384205
0.020000,3.551871,1.157968,3.626656,3.009414,1.248720,0.000000,0.382943
0.020000,3.607955,1.180491,3.687094,3.034389,1.248720,0.000000,0.380668
0.020000,3.664566,1.203043,3.748032,3.059363,1.248720,0.000000,0.377354
0.020000,3.721728,1.225560,3.809469,3.084337,1.248720,0.000000,0.372972
0.020000,3.779408,1.247953,3.871343,3.103068,0.936540,-15.608995,0.367498
0.020000,3.837513,1.270110,3.933529,3.115555,0.624360,-15.608995,0.360921
0.020000,3.895950,1.291917,3.995903,3.121780,0.311231,-15.656448,0.353235
0.020000,3.954563,1.313242,4.058276,3.115517,-0.313129,-31.217990,0.344455
0.020000,4.013197,1.333958,4.120461,3.103011,-0.625309,-15.608995,0.334607
0.020000,4.071745,1.353964,4.182334,3.084261,-0.937489,-15.608995,0.323722
0.020000,4.128128,1.372892,4.243769,3.059287,-1.248720,-15.561542,0.326444
0.020000,4.185795,1.392582,4.304705,3.034313,-1.248720,0.000000,0.331465
0.020000,4.242900,1.412371,4.365142,3.009338,-1.248720,0.000000,0.335537
0.020000,4.299462,1.432200,4.425079,2.984364,-1.248720,0.000000,0.338685
0.020000,4.355499,1.452015,4.484516,2.959390,-1.248720,0.000000,0.340934
0.020000,4.411030,1.471764,4.543454,2.934415,-1.248720,0.000000,0.342307
0.020000,4.466072,1.491398,4.601893,2.909441,-1.248720,0.000000,0.342825
0.020000,4.520641,1.510869,4.659832,2.884466,-1.248720,0.000000,0.342512
0.020000,4.574753,1.530134,4.717271,2.859492,-1.248720,0.000000,0.341389
0.020000,4.628425,1.549149,4.774211,2.834518,-1.248720,0.000000,0.339475
0.020000,4.681668,1.567875,4.830652,2.809543,-1.248720,-0.000000,0.336790
0.020000,4.734497,1.586274,4.886593,2.784569,-1.248720,0.000000,0.333355
0.020000,4.786923,1.604310,4.942035,2.759594,-1.248720,-0.000000,0.329187
0.020000,4.838957,1.621947,4.996977,2.734620,-1.248720,0.000000,0.324306
0.020000,4.890609,1.639155,5.051420,2.709646,-1.248720,0.000000,0.318729
0.020000,4.941887,1.655901,5.105363,2.684671,-1.248720,0.000000,0.312476
0.020000,4.992798,1.672158,5.158806,2.659697,-1.248720,0.000000,0.305565
0.020000,5.043348,1.687897,5.211751,2.634722,-1.248720,0.000000,0.298015
0.020000,5.093542,1.703094,5.264195,2.609748,-1.248720,0.000000,0.289844
0.020000,5.143385,1.717725,5.316141,2.584774,-1.248720,0.000000,0.281073
