dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003068,0.291268,0.000062,0.006244,0.312180,15.608995,6.283025
0.020000,0.003076,0.291268,0.000070,0.000403,-0.292036,-30.210817,6.283048
0.020000,0.003094,0.291268,0.000089,0.000906,0.025159,15.859790,6.283099
0.020000,0.003169,0.291268,0.000163,0.003740,0.141686,5.826308,0.000004
0.020000,0.004716,0.291268,0.001710,0.077334,3.679713,176.901379,0.000139
0.020000,0.006778,0.291268,0.003772,0.103106,1.288593,-119.556008,0.000320
0.020000,0.009355,0.291269,0.006350,0.128873,1.288336,-0.012868,0.000545
0.020000,0.012448,0.291272,0.009442,0.154633,1.288003,-0.016625,0.000814
0.020000,0.016055,0.291275,0.013050,0.180385,1.287616,-0.019360,0.001127
0.020000,0.020178,0.291280,0.017173,0.206128,1.287154,-0.023109,0.001483
0.020000,0.024815,0.291288,0.021810,0.231861,1.286635,-0.025935,0.001882
0.020000,0.029967,0.291299,0.026961,0.257582,1.286039,-0.029783,0.002323
0.020000,0.035633,0.291314,0.032627,0.283289,1.285388,-0.032562,0.002805
0.020000,0.041812,0.291333,0.038807,0.308983,1.284667,-0.036047,0.003327
0.020000,0.048505,0.291357,0.045500,0.334660,1.283877,-0.039503,0.003889
0.020000,0.055712,0.291387,0.052706,0.360321,1.283030,-0.042361,0.004490
0.020000,0.063431,0.291424,0.060426,0.385963,1.282107,-0.046131,0.005128
0.020000,0.071663,0.291469,0.068657,0.411585,1.281126,-0.049059,0.005803
0.020000,0.080406,0.291523,0.077401,0.437187,1.280071,-0.052770,0.006513
0.020000,0.089661,0.291587,0.086657,0.462766,1.278959,-0.055608,0.007257
0.020000,0.099427,0.291661,0.096423,0.488321,1.277773,-0.059296,0.008033
0.020000,0.109704,0.291748,0.106700,0.513852,1.276526,-0.062331,0.008841
0.020000,0.120491,0.291848,0.117487,0.539356,1.275207,-0.065956,0.009679
0.020000,0.131787,0.291962,0.128784,0.564833,1.273827,-0.068991,0.010545
0.020000,0.143592,0.292092,0.140589,0.590280,1.272378,-0.072426,0.011437
0.020000,0.155905,0.292238,0.152903,0.615697,1.270862,-0.075820,0.012355
