dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.585310,1.022600,0.000062,0.006239,0.311962,15.598125,0.000053
0.020000,0.585315,1.022600,0.000067,0.000251,-0.299422,-30.569217,0.000039
0.020000,0.585327,1.022600,0.000079,0.000564,0.015641,15.753156,0.000008
0.020000,0.586212,1.022600,0.000964,0.044243,2.183955,108.415684,6.283137
0.020000,0.587739,1.022600,0.002491,0.076365,1.606104,-28.892535,6.283053
0.020000,0.589775,1.022599,0.004527,0.101809,1.272218,-16.694314,6.282941
0.020000,0.592320,1.022599,0.007072,0.127244,1.271764,-0.022675,6.282803
0.020000,0.595373,1.022597,0.010125,0.152668,1.271198,-0.028345,6.282638
0.020000,0.598935,1.022595,0.013687,0.178079,1.270517,-0.034014,6.282448
0.020000,0.603004,1.022592,0.017756,0.203473,1.269724,-0.039683,6.282233
0.020000,0.607581,1.022587,0.022333,0.228850,1.268817,-0.045353,6.281995
0.020000,0.612665,1.022580,0.027417,0.254205,1.267796,-0.051022,6.281734
0.020000,0.618256,1.022571,0.033008,0.279539,1.266662,-0.056691,6.281453
0.020000,0.624353,1.022560,0.039105,0.304847,1.265415,-0.062363,6.281151
0.020000,0.630956,1.022545,0.045708,0.330128,1.264054,-0.068033,6.280831
0.020000,0.638063,1.022527,0.052815,0.355380,1.262580,-0.073697,6.280495
0.020000,0.645675,1.022505,0.060427,0.380600,1.260993,-0.079371,6.280143
0.020000,0.653791,1.022479,0.068543,0.405785,1.259292,-0.085042,6.279779
0.020000,0.662410,1.022448,0.077162,0.430935,1.257478,-0.090705,6.279404
0.020000,0.671530,1.022412,0.086283,0.456046,1.255551,-0.096375,6.279021
0.020000,0.681153,1.022370,0.095905,0.481116,1.253510,-0.102045,6.278631
0.020000,0.691275,1.022322,0.106028,0.506143,1.251356,-0.107705,6.278237
0.020000,0.701898,1.022267,0.116650,0.531125,1.249088,-0.113374,6.277842
0.020000,0.713019,1.022205,0.127771,0.556059,1.246707,-0.119044,6.277448
0.020000,0.724637,1.022137,0.139390,0.580943,1.244213,-0.124700,6.277058
0.020000,0.736753,1.022060,0.151506,0.605776,1.241606,-0.130367,6.276675
0.020000,0.749363,1.021975,0.164117,0.630553,1.238885,-0.136034,6.276302
0.020000,0.762469,1.021883,0.177222,0.655274,1.236051,-0.141686,6.275943
0.020000,0.776067,1.021782,0.190821,0.679936,1.233104,-0.147356,6.275600
0.020000,0.790157,1.021673,0.204912,0.704537,1.230044,-0.153017,6.275277
0.020000,0.804738,1.021555,0.219493,0.729075,1.226871,-0.158673,6.274977
0.020000,0.819809,1.021429,0.234564,0.753546,1.223584,-0.164346,6.274705
0.020000,0.835367,1.021296,0.250123,0.777950,1.220184,-0.169998,6.274465
0.020000,0.851412,1.021154,0.266169,0.802283,1.216670,-0.175666,6.274259
0.020000,0.867942,1.021005,0.282700,0.826544,1.213044,-0.181336,6.274092
0.020000,0.884956,1.020849,0.299714,0.850730,1.209304,-0.186999,6.273969
0.020000,0.902452,1.020687,0.317211,0.874839,1.205450,-0.192675,6.273893
0.020000,0.920429,1.020520,0.335189,0.898869,1.201483,-0.198348,6.273870
0.020000,0.938885,1.020348,0.353645,0.922817,1.197403,-0.204026,6.273903
0.020000,0.957817,1.020173,0.372579,0.946681,1.193209,-0.209707,6.273998
0.020000,0.977226,1.019996,0.391988,0.970459,1.188901,-0.215395,6.274159
0.020000,0.997108,1.019819,0.411871,0.994149,1.184479,-0.221080,6.274391
0.020000,1.017462,1.019643,0.432226,1.017748,1.179943,-0.226778,6.274700
0.020000,1.038286,1.019470,0.453051,1.041254,1.175294,-0.232471,6.275090
0.020000,1.059579,1.019303,0.474344,1.064664,1.170531,-0.238160,6.275568
0.020000,1.081338,1.019143,0.496104,1.087977,1.165654,-0.243868,6.276137
0.020000,1.103561,1.018994,0.518327,1.111191,1.160663,-0.249544,6.276805
0.020000,1.126247,1.018858,0.541013,1.134302,1.155558,-0.255241,6.277577
0.020000,1.149393,1.018738,0.564160,1.157309,1.150340,-0.260903,6.278458
0.020000,1.172997,1.018638,0.587764,1.180209,1.145008,-0.266566,6.279455
0.020000,1.197057,1.018561,0.611824,1.203000,1.139565,-0.272191,6.280574
0.020000,1.221570,1.018512,0.636337,1.225680,1.134009,-0.277791,6.281821
0.020000,1.246535,1.018495,0.661302,1.248247,1.128342,-0.283344,0.000017
0.020000,1.271949,1.018515,0.686716,1.270698,1.122565,-0.288841,0.001539
0.020000,1.297810,1.018576,0.712577,1.293032,1.116680,-0.294266,0.003209
0.020000,1.324114,1.018684,0.738882,1.315246,1.110688,-0.299603,0.005033
0.020000,1.350861,1.018845,0.765629,1.337337,1.104591,-0.304822,0.007018
0.020000,1.378046,1.019065,0.792815,1.359305,1.098393,-0.309921,0.009172
0.020000,1.405667,1.019350,0.820438,1.381147,1.092096,-0.314830,0.011500
0.020000,1.433722,1.019707,0.848495,1.402861,1.085705,-0.319582,0.014011
0.020000,1.462208,1.020145,0.876984,1.424446,1.079224,-0.324043,0.016712
0.020000,1.491121,1.020669,0.905902,1.445899,1.072658,-0.328300,0.019609
0.020000,1.520459,1.021290,0.935246,1.467219,1.066015,-0.332140,0.022712
0.020000,1.550218,1.022015,0.965014,1.488405,1.059301,-0.335702,0.026026
0.020000,1.580396,1.022853,0.995203,1.509456,1.052527,-0.338710,0.029560
0.020000,1.606048,1.023694,1.020870,1.283320,-11.306786,-617.965638,0.036117
0.020000,1.635709,1.024881,1.050555,1.484248,10.046392,1067.658881,0.043876
0.020000,1.665831,1.026322,1.080711,1.507806,1.177920,-443.423568,0.051713
0.020000,1.696412,1.028026,1.111340,1.531431,1.181212,0.164605,0.059626
0.020000,1.727453,1.030004,1.142443,1.555159,1.186422,0.260474,0.067607
0.020000,1.758951,1.032264,1.174022,1.578970,1.190530,0.205418,0.075654
0.020000,1.790907,1.034817,1.206080,1.602881,1.195544,0.250690,0.083758
0.020000,1.823319,1.037671,1.238618,1.626893,1.200635,0.254550,0.091916
0.020000,1.856187,1.040837,1.271638,1.651010,1.205827,0.259608,0.100122
0.020000,1.889510,1.044324,1.305143,1.675238,1.211391,0.278220,0.108368
0.020000,1.923287,1.048140,1.339134,1.699580,1.217142,0.287531,0.116649
0.020000,1.957516,1.052296,1.373615,1.724038,1.222881,0.286946,0.124957
0.020000,1.992197,1.056799,1.408587,1.748616,1.228904,0.301155,0.133288
0.020000,2.027329,1.061659,1.444054,1.773321,1.235229,0.316227,0.141632
0.020000,2.062911,1.066885,1.480017,1.798153,1.241623,0.319731,0.149983
0.020000,2.098940,1.072484,1.516479,1.823115,1.248103,0.324000,0.158334
0.020000,2.135418,1.078465,1.553443,1.848209,1.254684,0.329025,0.166678
0.020000,2.172341,1.084835,1.590912,1.873446,1.261869,0.359272,0.175005
0.020000,2.209709,1.091603,1.628888,1.898815,1.268418,0.327442,0.183310
0.020000,2.247522,1.098776,1.667375,1.924326,1.275591,0.358649,0.191583
0.020000,2.285777,1.106360,1.706375,1.949982,1.282778,0.359342,0.199817
0.020000,2.324474,1.114362,1.745890,1.975782,1.289986,0.360427,0.208004
0.020000,2.363611,1.122789,1.785925,2.001726,1.297224,0.361903,0.216135
0.020000,2.403188,1.131647,1.826481,2.027816,1.304497,0.363638,0.224202
0.020000,2.443204,1.140941,1.867562,2.054056,1.311966,0.373430,0.232197
0.020000,2.483658,1.150677,1.909171,2.080441,1.319254,0.364397,0.240112
0.020000,2.524549,1.160859,1.951311,2.106976,1.326788,0.376737,0.247938
0.020000,2.565876,1.171492,1.993984,2.133659,1.334109,0.366015,0.255667
0.020000,2.607639,1.182579,2.037193,2.160489,1.341515,0.370311,0.263291
0.020000,2.649838,1.194124,2.080943,2.187467,1.348906,0.369531,0.270801
0.020000,2.692471,1.206131,2.125235,2.214592,1.356274,0.368419,0.278189
0.020000,2.735539,1.218601,2.170072,2.241863,1.363538,0.363212,0.285447
0.020000,2.779043,1.231537,2.215458,2.269280,1.370845,0.365322,0.292567
0.020000,2.822981,1.244940,2.261394,2.296841,1.378032,0.359349,0.299540
0.020000,2.867354,1.258810,2.307885,2.324545,1.385198,0.358332,0.306359
0.020000,2.912164,1.273150,2.354933,2.352391,1.392292,0.354662,0.313015
0.020000,2.957410,1.287957,2.402541,2.380377,1.399319,0.351364,0.319501
0.020000,3.003094,1.303232,2.450711,2.408503,1.406286,0.348373,0.325808
0.020000,3.049217,1.318973,2.499446,2.436767,1.413199,0.345636,0.331930
0.020000,3.095781,1.335179,2.548749,2.465167,1.419997,0.339888,0.337858
0.020000,3.142787,1.351846,2.598623,2.493703,1.426814,0.340879,0.343585
0.020000,3.190239,1.368972,2.649071,2.522373,1.433513,0.334929,0.349103
0.020000,3.238138,1.386553,2.700094,2.551176,1.440157,0.332205,0.354404
0.020000,3.286487,1.404585,2.751697,2.580112,1.446795,0.331878,0.359482
0.020000,3.335290,1.423062,2.803880,2.609179,1.453353,0.327923,0.364329
0.020000,3.384550,1.441979,2.856648,2.638377,1.459893,0.326980,0.368937
0.020000,3.434272,1.461330,2.910002,2.667706,1.466444,0.327583,0.373300
0.020000,3.484459,1.481107,2.963945,2.697164,1.472908,0.323205,0.377409
0.020000,3.535116,1.501302,3.018480,2.726753,1.479457,0.327446,0.381257
0.020000,3.586250,1.521908,3.073610,2.756472,1.485931,0.323664,0.384838
0.020000,3.637865,1.542915,3.129336,2.786322,1.492483,0.327640,0.388144
0.020000,3.689912,1.564290,3.185601,2.813239,1.345853,-7.331502,0.391164
0.020000,3.742283,1.585973,3.242283,2.834129,1.044535,-15.065904,0.393886
0.020000,3.794868,1.607904,3.299258,2.848716,0.729353,-15.759113,0.396301
0.020000,3.847498,1.629993,3.356335,2.853869,0.257625,-23.586393,0.398401
0.020000,3.900008,1.652152,3.413330,2.849743,-0.206285,-23.195487,0.400180
0.020000,3.952292,1.674315,3.470117,2.839363,-0.519014,-15.636462,0.401639
0.020000,4.004244,1.696417,3.526575,2.822913,-0.822479,-15.173271,0.402782
0.020000,4.055817,1.718418,3.582645,2.803457,-0.972790,-7.515520,0.403616
0.020000,4.107014,1.740299,3.638322,2.783857,-0.980047,-0.362842,0.404148
0.020000,4.157839,1.762046,3.693604,2.764114,-0.987148,-0.355066,0.404387
0.020000,4.208297,1.783640,3.748489,2.744231,-0.994114,-0.348307,0.404341
0.020000,4.258391,1.805068,3.802973,2.724212,-1.000948,-0.341702,0.404017
