dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003125,0.691653,0.000075,0.007480,0.374019,18.700965,0.000144
0.020000,0.003125,0.691653,0.000374,0.022441,0.748039,18.700965,0.000115
0.020000,0.003125,0.691653,0.001047,0.044882,1.122058,18.700965,0.000051
0.020000,0.003780,0.691653,0.002244,0.074804,1.496077,18.700965,6.283123
0.020000,0.005575,0.691652,0.004039,0.104725,1.496077,-0.000000,6.282953
0.020000,0.007969,0.691652,0.006433,0.134647,1.496077,0.000000,6.282727
0.020000,0.010961,0.691650,0.009425,0.164568,1.496077,0.000000,6.282446
0.020000,0.014551,0.691647,0.013016,0.194490,1.496077,-0.000000,6.282110
0.020000,0.018740,0.691641,0.017205,0.224412,1.496077,0.000000,6.281721
0.020000,0.023528,0.691633,0.021992,0.254333,1.496077,0.000000,6.281279
0.020000,0.028914,0.691622,0.027378,0.284255,1.496077,-0.000000,6.280785
0.020000,0.034898,0.691606,0.033363,0.314176,1.496077,0.000000,6.280242
0.020000,0.041481,0.691584,0.039945,0.344098,1.496077,-0.000000,6.279650
0.020000,0.048662,0.691557,0.047126,0.374019,1.496077,0.000000,6.279012
0.020000,0.056441,0.691521,0.054906,0.403941,1.496077,0.000000,6.278328
0.020000,0.064819,0.691478,0.063284,0.433862,1.496077,-0.000000,6.277602
0.020000,0.073795,0.691424,0.072261,0.463784,1.496077,0.000000,6.276835
0.020000,0.083370,0.691359,0.081835,0.493705,1.496077,-0.000000,6.276029
0.020000,0.093543,0.691282,0.092009,0.523627,1.496077,0.000000,6.275188
0.020000,0.104315,0.691191,0.102781,0.553549,1.496077,0.000000,6.274313
0.020000,0.115684,0.691085,0.114151,0.583470,1.496077,0.000000,6.273407
0.020000,0.127652,0.690963,0.126119,0.613392,1.496077,-0.000000,6.272474
0.020000,0.140218,0.690822,0.138686,0.643313,1.496077,0.000000,6.271516
0.020000,0.153383,0.690662,0.151852,0.673235,1.496077,0.000000,6.270537
0.020000,0.167146,0.690481,0.165616,0.703156,1.496077,-0.000000,6.269540
0.020000,0.181507,0.690278,0.179978,0.733078,1.496077,0.000000,6.268528
0.020000,0.196466,0.690051,0.194939,0.762999,1.496077,-0.000000,6.267505
0.020000,0.212023,0.689799,0.210498,0.792921,1.496077,0.000000,6.266476
0.020000,0.228178,0.689520,0.226656,0.822842,1.496077,0.000000,6.265443
0.020000,0.244931,0.689214,0.243412,0.852764,1.496077,0.000000,6.264412
0.020000,0.262283,0.688880,0.260766,0.882686,1.496077,0.000000,6.263386
0.020000,0.280232,0.688515,0.278719,0.912607,1.496077,-0.000000,6.262371
0.020000,0.298779,0.688120,0.297271,0.942529,1.496077,0.000000,6.261369
0.020000,0.317924,0.687692,0.316420,0.972450,1.496077,0.000000,6.260387
0.020000,0.337667,0.687233,0.336169,1.002372,1.496077,-0.000000,6.259430
0.020000,0.358008,0.686740,0.356515,1.032293,1.496077,0.000000,6.258502
0.020000,0.378946,0.686213,0.377460,1.062215,1.496077,-0.000000,6.257608
0.020000,0.400482,0.685653,0.399004,1.092136,1.496077,0.000000,6.256754
0.020000,0.422616,0.685059,0.421146,1.122058,1.496077,-0.000000,6.255946
0.020000,0.445348,0.684431,0.443886,1.151979,1.496077,0.000000,6.255189
0.020000,0.468677,0.683769,0.467225,1.181901,1.496077,0.000000,6.254488
0.020000,0.492604,0.683075,0.491162,1.211823,1.496077,-0.000000,6.253851
0.020000,0.517129,0.682348,0.515698,1.241744,1.496077,0.000000,6.253283
0.020000,0.542252,0.681590,0.540832,1.271666,1.496077,-0.000000,6.252790
0.020000,0.567972,0.680802,0.566564,1.301587,1.496077,0.000000,6.252379
0.020000,0.594291,0.679987,0.592895,1.331509,1.496077,0.000000,6.252057
0.020000,0.621207,0.679145,0.619825,1.361430,1.496077,-0.000000,6.251829
0.020000,0.648721,0.678281,0.647353,1.391352,1.496077,0.000000,6.251704
0.020000,0.676834,0.677395,0.675479,1.421273,1.496077,-0.000000,6.251688
0.020000,0.705544,0.676491,0.704204,1.451195,1.496077,0.000000,6.251788
0.020000,0.734853,0.675574,0.733527,1.481116,1.496077,0.000000,6.252012
0.020000,0.764760,0.674646,0.763448,1.511038,1.496077,-0.000000,6.252367
0.020000,0.795266,0.673713,0.793968,1.540959,1.496077,0.000000,6.252862
0.020000,0.826370,0.672779,0.825087,1.570881,1.496077,-0.000000,6.253503
0.020000,0.858073,0.671850,0.856803,1.600803,1.496077,0.000000,6.254299
0.020000,0.890376,0.670932,0.889119,1.630724,1.496077,0.000000,6.255257
0.020000,0.923277,0.670031,0.922032,1.660646,1.496077,-0.000000,6.256387
0.020000,0.956778,0.669154,0.955544,1.690567,1.496077,0.000000,6.257697
