dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.585348,0.311400,0.000062,0.006239,0.311962,15.598125,0.000053
0.020000,0.585343,0.311400,0.000067,0.000251,-0.299422,-30.569217,0.000039
0.020000,0.585332,0.311400,0.000079,0.000564,0.015641,15.753156,0.000008
0.020000,0.586177,0.311400,0.000924,0.042243,2.083989,103.417373,6.283137
0.020000,0.587644,0.311400,0.002391,0.073377,1.556688,-26.365036,6.283053
0.020000,0.589601,0.311399,0.004348,0.097847,1.223482,-16.660301,6.282941
0.020000,0.592048,0.311399,0.006795,0.122326,1.223935,0.022675,6.282803
0.020000,0.594984,0.311397,0.009731,0.146816,1.224502,0.028344,6.282638
0.020000,0.598411,0.311395,0.013157,0.171319,1.225183,0.034014,6.282448
0.020000,0.602327,0.311392,0.017074,0.195839,1.225976,0.039683,6.282233
0.020000,0.606735,0.311387,0.021482,0.220376,1.226883,0.045352,6.281995
0.020000,0.611634,0.311381,0.026380,0.244934,1.227904,0.051023,6.281734
0.020000,0.617024,0.311372,0.031771,0.269515,1.229038,0.056693,6.281453
0.020000,0.622906,0.311361,0.037653,0.294121,1.230285,0.062360,6.281151
0.020000,0.629281,0.311347,0.044028,0.318754,1.231645,0.068030,6.280831
0.020000,0.636150,0.311330,0.050896,0.343416,1.233120,0.073705,6.280495
0.020000,0.643512,0.311309,0.058259,0.368110,1.234707,0.079369,6.280143
0.020000,0.651369,0.311283,0.066115,0.392839,1.236408,0.085036,6.279779
0.020000,0.659721,0.311253,0.074467,0.417603,1.238222,0.090709,6.279404
0.020000,0.668569,0.311218,0.083316,0.442406,1.240149,0.096375,6.279021
0.020000,0.677914,0.311177,0.092661,0.467250,1.242190,0.102040,6.278631
0.020000,0.687756,0.311130,0.102503,0.492137,1.244344,0.107713,6.278237
0.020000,0.698097,0.311077,0.112845,0.517069,1.246612,0.113375,6.277842
0.020000,0.708938,0.311017,0.123686,0.542049,1.248993,0.119035,6.277448
0.020000,0.720280,0.310950,0.135027,0.567078,1.251487,0.124708,6.277058
0.020000,0.732123,0.310875,0.146870,0.592160,1.254094,0.130367,6.276675
0.020000,0.744468,0.310792,0.159216,0.617297,1.256815,0.136026,6.276302
0.020000,0.757318,0.310702,0.172066,0.642490,1.259649,0.141698,6.275943
0.020000,0.770672,0.310602,0.185421,0.667742,1.262596,0.147352,6.275600
0.020000,0.784533,0.310495,0.199282,0.693055,1.265656,0.153014,6.275277
0.020000,0.798901,0.310379,0.213651,0.718431,1.268830,0.158681,6.274977
0.020000,0.813778,0.310255,0.228528,0.743874,1.272116,0.164333,6.274705
0.020000,0.829165,0.310123,0.243916,0.769384,1.275516,0.170007,6.274465
0.020000,0.845064,0.309982,0.259815,0.794964,1.279030,0.175668,6.274259
0.020000,0.861475,0.309834,0.276227,0.820618,1.282656,0.181331,6.274092
0.020000,0.878402,0.309679,0.293154,0.846346,1.286396,0.187005,6.273969
0.020000,0.895844,0.309518,0.310597,0.872151,1.290250,0.192672,6.273893
0.020000,0.913804,0.309351,0.328558,0.898035,1.294217,0.198348,6.273870
0.020000,0.932283,0.309179,0.347038,0.924001,1.298297,0.204025,6.273903
0.020000,0.951283,0.309003,0.366039,0.950051,1.302491,0.209707,6.273998
0.020000,0.970806,0.308825,0.385563,0.976187,1.306799,0.215390,6.274159
