dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452430,1.053043,0.000062,0.006248,0.312381,15.619073,0.000061
0.020000,0.452434,1.053043,0.000066,0.000177,-0.303539,-30.796042,0.000051
0.020000,0.452441,1.053043,0.000074,0.000398,0.011046,15.729292,0.000028
0.020000,0.452740,1.053043,0.000372,0.014907,0.725484,35.721864,6.283174
0.020000,0.454260,1.053043,0.001893,0.076031,3.056159,116.533784,6.283114
0.020000,0.456288,1.053043,0.003920,0.101372,1.267084,-89.453777,6.283035
0.020000,0.458822,1.053042,0.006454,0.126712,1.267002,-0.004077,6.282936
0.020000,0.461863,1.053041,0.009495,0.152050,1.266903,-0.004954,6.282818
0.020000,0.465411,1.053040,0.013043,0.177386,1.266782,-0.006085,6.282680
0.020000,0.469465,1.053037,0.017098,0.202719,1.266642,-0.006976,6.282523
0.020000,0.474026,1.053034,0.021659,0.228048,1.266480,-0.008104,6.282346
0.020000,0.479094,1.053029,0.026726,0.253374,1.266300,-0.009018,6.282151
0.020000,0.484667,1.053023,0.032300,0.278696,1.266098,-0.010083,6.281937
0.020000,0.490748,1.053014,0.038380,0.304014,1.265878,-0.010990,6.281705
0.020000,0.497334,1.053004,0.044967,0.329327,1.265635,-0.012134,6.281455
0.020000,0.504427,1.052991,0.052059,0.354634,1.265375,-0.013040,6.281187
0.020000,0.512026,1.052974,0.059658,0.379936,1.265092,-0.014109,6.280901
0.020000,0.520130,1.052955,0.067763,0.405232,1.264791,-0.015060,6.280598
0.020000,0.528741,1.052931,0.076373,0.430521,1.264470,-0.016087,6.280279
0.020000,0.537857,1.052903,0.085489,0.455804,1.264126,-0.017166,6.279943
0.020000,0.547478,1.052870,0.095111,0.481079,1.263765,-0.018055,6.279591
0.020000,0.557605,1.052832,0.105238,0.506347,1.263382,-0.019136,6.279223
0.020000,0.568237,1.052788,0.115870,0.531606,1.262979,-0.020160,6.278840
0.020000,0.579374,1.052737,0.127007,0.556857,1.262557,-0.021119,6.278443
0.020000,0.591016,1.052679,0.138649,0.582100,1.262113,-0.022180,6.278031
0.020000,0.603162,1.052614,0.150796,0.607333,1.261651,-0.023116,6.277606
0.020000,0.615813,1.052541,0.163447,0.632556,1.261166,-0.024226,6.277168
0.020000,0.628968,1.052459,0.176602,0.657769,1.260663,-0.025166,6.276717
0.020000,0.642628,1.052367,0.190262,0.682972,1.260139,-0.026213,6.276254
0.020000,0.656791,1.052266,0.204425,0.708164,1.259595,-0.027176,6.275780
0.020000,0.671457,1.052153,0.219092,0.733345,1.259030,-0.028252,6.275295
0.020000,0.686627,1.052030,0.234262,0.758514,1.258446,-0.029205,6.274800
0.020000,0.702300,1.051895,0.249936,0.783670,1.257841,-0.030279,6.274296
0.020000,0.718475,1.051747,0.266112,0.808815,1.257216,-0.031230,6.273783
0.020000,0.735153,1.051585,0.282791,0.833946,1.256570,-0.032275,6.273263
0.020000,0.752334,1.051410,0.299972,0.859064,1.255905,-0.033289,6.272735
0.020000,0.770016,1.051221,0.317655,0.884169,1.255219,-0.034283,6.272200
0.020000,0.788200,1.051016,0.335841,0.909259,1.254513,-0.035304,6.271660
0.020000,0.806885,1.050796,0.354527,0.934335,1.253786,-0.036322,6.271116
0.020000,0.826072,1.050559,0.373715,0.959395,1.253040,-0.037320,6.270567
0.020000,0.845759,1.050305,0.393404,0.984441,1.252273,-0.038335,6.270015
0.020000,0.865947,1.050033,0.413593,1.009471,1.251486,-0.039361,6.269461
0.020000,0.886634,1.049744,0.434283,1.034484,1.250679,-0.040343,6.268906
0.020000,0.907822,1.049435,0.455473,1.059481,1.249852,-0.041380,6.268350
0.020000,0.929508,1.049108,0.477162,1.084461,1.249004,-0.042373,6.267795
