dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452452,0.697443,0.000062,0.006248,0.312381,15.619073,0.000061
0.020000,0.452452,0.697443,0.000312,0.018743,0.624763,15.619073,0.000051
0.020000,0.452452,0.697443,0.000875,0.037486,0.937144,15.619073,0.000028
0.020000,0.452736,0.697443,0.001874,0.062476,1.249526,15.619073,6.283174
0.020000,0.454235,0.697443,0.003374,0.087467,1.249526,0.000000,6.283114
0.020000,0.456234,0.697443,0.005373,0.112457,1.249526,0.000000,6.283035
0.020000,0.458733,0.697442,0.007872,0.137448,1.249526,-0.000000,6.282936
0.020000,0.461732,0.697441,0.010871,0.162438,1.249526,0.000000,6.282818
0.020000,0.465231,0.697440,0.014370,0.187429,1.249526,-0.000000,6.282680
0.020000,0.469229,0.697437,0.018368,0.212419,1.249526,0.000000,6.282523
0.020000,0.473728,0.697434,0.022866,0.237410,1.249526,0.000000,6.282346
0.020000,0.478726,0.697429,0.027864,0.262400,1.249526,-0.000000,6.282151
0.020000,0.484224,0.697423,0.033362,0.287391,1.249526,0.000000,6.281937
0.020000,0.490221,0.697415,0.039360,0.312381,1.249526,-0.000000,6.281705
0.020000,0.496719,0.697404,0.045858,0.337372,1.249526,-0.000000,6.281455
0.020000,0.503716,0.697391,0.052855,0.362362,1.249526,0.000000,6.281187
0.020000,0.511213,0.697375,0.060352,0.387353,1.249526,0.000000,6.280901
0.020000,0.519210,0.697356,0.068349,0.412344,1.249526,-0.000000,6.280598
0.020000,0.527707,0.697332,0.076846,0.437334,1.249526,0.000000,6.280279
0.020000,0.536704,0.697305,0.085842,0.462325,1.249526,-0.000000,6.279943
0.020000,0.546200,0.697272,0.095339,0.487315,1.249526,0.000000,6.279591
0.020000,0.556196,0.697234,0.105335,0.512306,1.249526,0.000000,6.279223
0.020000,0.566692,0.697191,0.115831,0.537296,1.249526,-0.000000,6.278840
0.020000,0.577688,0.697141,0.126827,0.562287,1.249526,0.000000,6.278443
0.020000,0.589183,0.697084,0.138323,0.587277,1.249526,0.000000,6.278031
0.020000,0.601178,0.697020,0.150318,0.612268,1.249526,0.000000,6.277606
0.020000,0.613674,0.696947,0.162813,0.637258,1.249526,0.000000,6.277168
0.020000,0.626668,0.696866,0.175808,0.662249,1.249526,0.000000,6.276717
0.020000,0.640163,0.696776,0.189303,0.687239,1.249526,-0.000000,6.276254
0.020000,0.654157,0.696675,0.203298,0.712230,1.249526,0.000000,6.275780
0.020000,0.668651,0.696564,0.217792,0.737220,1.249526,0.000000,6.275295
0.020000,0.683645,0.696442,0.232787,0.762211,1.249526,-0.000000,6.274800
0.020000,0.699139,0.696309,0.248281,0.787201,1.249526,0.000000,6.274296
0.020000,0.715132,0.696162,0.264275,0.812192,1.249526,-0.000000,6.273783
0.020000,0.731625,0.696003,0.280768,0.837182,1.249526,0.000000,6.273263
0.020000,0.748618,0.695830,0.297762,0.862173,1.249526,-0.000000,6.272735
0.020000,0.766110,0.695642,0.315255,0.887163,1.249526,0.000000,6.272200
0.020000,0.784102,0.695440,0.333249,0.912154,1.249526,0.000000,6.271660
0.020000,0.802594,0.695222,0.351742,0.937144,1.249526,-0.000000,6.271116
0.020000,0.821585,0.694987,0.370734,0.962135,1.249526,0.000000,6.270567
0.020000,0.841076,0.694736,0.390227,0.987125,1.249526,0.000000,6.270015
0.020000,0.861067,0.694467,0.410219,1.012116,1.249526,-0.000000,6.269461
0.020000,0.881557,0.694180,0.430712,1.037106,1.249526,0.000000,6.268906
0.020000,0.902547,0.693874,0.451704,1.062097,1.249526,-0.000000,6.268350
0.020000,0.924036,0.693550,0.473195,1.087087,1.249526,0.000000,6.267795
0.020000,0.946025,0.693205,0.495187,1.112078,1.249526,0.000000,6.267242
0.020000,0.968513,0.692840,0.517679,1.137068,1.249526,0.000000,6.266691
0.020000,0.991502,0.692455,0.540670,1.162059,1.249526,-0.000000,6.266143
0.020000,1.014989,0.692048,0.564161,1.187050,1.249526,0.000000,6.265601
0.020000,1.038976,0.691620,0.588152,1.212040,1.249526,0.000000,6.265064
0.020000,1.063463,0.691169,0.612643,1.237031,1.249526,-0.000000,6.264533
0.020000,1.088449,0.690697,0.637633,1.262021,1.249526,0.000000,6.264011
0.020000,1.113934,0.690201,0.663123,1.287012,1.249526,0.000000,6.263498
0.020000,1.139919,0.689683,0.689113,1.312002,1.249526,-0.000000,6.262995
0.020000,1.166404,0.689142,0.715603,1.336993,1.249526,0.000000,6.262503
0.020000,1.193388,0.688577,0.742593,1.361983,1.249526,0.000000,6.262024
0.020000,1.220871,0.687989,0.770083,1.386974,1.249526,-0.000000,6.261558
0.020000,1.248853,0.687377,0.798072,1.411964,1.249526,0.000000,6.261108
0.020000,1.277336,0.686742,0.826561,1.436955,1.249526,0.000000,6.260674
0.020000,1.306317,0.686084,0.855550,1.461945,1.249526,-0.000000,6.260257
0.020000,1.335798,0.685402,0.885039,1.486936,1.249526,0.000000,6.259860
0.020000,1.365778,0.684696,0.915028,1.511926,1.249526,0.000000,6.259483
0.020000,1.396258,0.683968,0.945516,1.536917,1.249526,0.000000,6.259127
0.020000,1.427237,0.683218,0.976504,1.561907,1.249526,0.000000,6.258794
0.020000,1.458716,0.682445,1.007992,1.586898,1.249526,-0.000000,6.258486
0.020000,1.490694,0.681650,1.039980,1.611888,1.249526,0.000000,6.258204
0.020000,1.523171,0.680835,1.072468,1.636879,1.249526,0.000000,6.257949
0.020000,1.556148,0.679998,1.105455,1.661869,1.249526,-0.000000,6.257722
0.020000,1.589624,0.679142,1.138943,1.686860,1.249526,0.000000,6.257526
0.020000,1.623600,0.678267,1.172930,1.711850,1.249526,0.000000,6.257362
0.020000,1.658076,0.677375,1.207417,1.736841,1.249526,-0.000000,6.257231
0.020000,1.693051,0.676465,1.242404,1.761831,1.249526,0.000000,6.257135
0.020000,1.728525,0.675539,1.277890,1.786822,1.249526,0.000000,6.257076
0.020000,1.764499,0.674599,1.313876,1.811812,1.249526,-0.000000,6.257054
0.020000,1.800973,0.673646,1.350363,1.836803,1.249526,0.000000,6.257072
0.020000,1.837946,0.672682,1.387348,1.861793,1.249526,0.000000,6.257132
0.020000,1.875419,0.671707,1.424834,1.886784,1.249526,-0.000000,6.257235
0.020000,1.913392,0.670724,1.462820,1.911774,1.249526,0.000000,6.257382
0.020000,1.951865,0.669735,1.501305,1.936765,1.249526,0.000000,6.257576
0.020000,1.990837,0.668741,1.540290,1.961756,1.249526,-0.000000,6.257818
0.020000,2.030310,0.667745,1.579775,1.986746,1.249526,0.000000,6.258110
0.020000,2.066976,0.666908,1.619760,2.011737,1.249526,-0.000000,6.264631
0.020000,2.107457,0.666364,1.660245,2.036727,1.249526,0.000000,6.274776
0.020000,2.148441,0.666223,1.701229,2.061718,1.249526,0.000000,0.001439
0.020000,2.189924,0.666482,1.742714,2.086708,1.249526,0.000000,0.010973
0.020000,2.231903,0.667137,1.784698,2.111699,1.249526,0.000000,0.020178
0.020000,2.274374,0.668184,1.827182,2.136689,1.249526,-0.000000,0.029038
0.020000,2.317334,0.669616,1.870165,2.161680,1.249526,0.000000,0.037535
0.020000,2.360779,0.671426,1.913649,2.186670,1.249526,0.000000,0.045657
0.020000,2.404709,0.673605,1.957632,2.211661,1.249526,-0.000000,0.053387
0.020000,2.449119,0.676143,2.002115,2.236651,1.249526,0.000000,0.060711
0.020000,2.494009,0.679029,2.047098,2.261642,1.249526,0.000000,0.067614
0.020000,2.539378,0.682251,2.092581,2.286632,1.249526,0.000000,0.074083
0.020000,2.585223,0.685794,2.138563,2.311623,1.249526,0.000000,0.080104
0.020000,2.631546,0.689645,2.185046,2.336613,1.249526,0.000000,0.085663
0.020000,2.678345,0.693785,2.232028,2.361604,1.249526,-0.000000,0.090745
0.020000,2.725622,0.698199,2.279510,2.386594,1.249526,0.000000,0.095337
0.020000,2.773376,0.702866,2.327492,2.411585,1.249526,0.000000,0.099424
0.020000,2.821547,0.707761,2.375911,2.430328,0.937144,-15.619073,0.102989
0.020000,2.870012,0.712846,2.424642,2.442823,0.624763,-15.619073,0.106011
0.020000,2.918650,0.718085,2.473561,2.449071,0.312381,-15.619073,0.108476
0.020000,2.967282,0.723430,2.522486,2.443372,-0.284947,-29.866433,0.110375
0.020000,3.015729,0.728834,2.571234,2.431425,-0.597329,-15.619073,0.111703
0.020000,3.063871,0.734255,2.619680,2.413231,-0.909710,-15.619073,0.112469
0.020000,3.111587,0.739651,2.667700,2.388789,-1.222092,-15.619073,0.112682
0.020000,3.158812,0.744990,2.715226,2.363799,-1.249526,-1.371712,0.112358
0.020000,3.205544,0.750245,2.762252,2.338808,-1.249526,-0.000000,0.111513
0.020000,3.251785,0.755393,2.808779,2.313817,-1.249526,0.000000,0.110165
0.020000,3.297536,0.760413,2.854805,2.288827,-1.249526,0.000000,0.108327
