dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452473,0.341843,0.000062,0.006248,0.312381,15.619073,0.000061
0.020000,0.452470,0.341843,0.000066,0.000177,-0.303539,-30.796042,0.000051
0.020000,0.452462,0.341843,0.000074,0.000398,0.011046,15.729292,0.000028
0.020000,0.452732,0.341843,0.000344,0.013494,0.654811,32.188223,6.283174
0.020000,0.454210,0.341843,0.001822,0.073912,3.020924,118.305630,6.283114
0.020000,0.456181,0.341843,0.003793,0.098552,1.231969,-89.447750,6.283035
0.020000,0.458645,0.341842,0.006257,0.123193,1.232048,0.003963,6.282936
0.020000,0.461601,0.341841,0.009214,0.147836,1.232150,0.005093,6.282818
0.020000,0.465051,0.341840,0.012663,0.172481,1.232269,0.005976,6.282680
0.020000,0.468994,0.341837,0.016606,0.197129,1.232411,0.007093,6.282523
0.020000,0.473429,0.341834,0.021042,0.221781,1.232571,0.007980,6.282346
0.020000,0.478358,0.341829,0.025970,0.246436,1.232752,0.009075,6.282151
0.020000,0.483780,0.341823,0.031392,0.271095,1.232953,0.010024,6.281937
0.020000,0.489695,0.341815,0.037307,0.295758,1.233175,0.011128,6.281705
0.020000,0.496104,0.341805,0.043716,0.320427,1.233415,0.012001,6.281455
0.020000,0.503006,0.341792,0.050618,0.345100,1.233677,0.013106,6.281187
0.020000,0.510401,0.341776,0.058013,0.369779,1.233958,0.014054,6.280901
0.020000,0.518290,0.341757,0.065903,0.394465,1.234261,0.015118,6.280598
0.020000,0.526674,0.341734,0.074286,0.419156,1.234583,0.016108,6.280279
0.020000,0.535551,0.341707,0.083163,0.443855,1.234924,0.017047,6.279943
0.020000,0.544922,0.341675,0.092534,0.468561,1.235287,0.018173,6.279591
0.020000,0.554787,0.341637,0.102400,0.493274,1.235670,0.019112,6.279223
0.020000,0.565147,0.341594,0.112760,0.517995,1.236072,0.020108,6.278840
0.020000,0.576001,0.341545,0.123614,0.542725,1.236495,0.021168,6.278443
0.020000,0.587350,0.341489,0.134963,0.567464,1.236938,0.022129,6.278031
0.020000,0.599195,0.341425,0.146808,0.592212,1.237402,0.023212,6.277606
0.020000,0.611534,0.341354,0.159147,0.616970,1.237884,0.024126,6.277168
0.020000,0.624368,0.341273,0.171982,0.641737,1.238389,0.025207,6.276717
0.020000,0.637698,0.341184,0.185312,0.666516,1.238912,0.026183,6.276254
0.020000,0.651524,0.341085,0.199138,0.691305,1.239457,0.027242,6.275780
0.020000,0.665846,0.340976,0.213460,0.716105,1.240021,0.028191,6.275295
0.020000,0.680664,0.340855,0.228279,0.740917,1.240606,0.029260,6.274800
0.020000,0.695978,0.340723,0.243593,0.765742,1.241210,0.030211,6.274296
0.020000,0.711789,0.340578,0.259405,0.790578,1.241836,0.031282,6.273783
0.020000,0.728096,0.340420,0.275714,0.815428,1.242481,0.032262,6.273263
0.020000,0.744901,0.340249,0.292519,0.840291,1.243147,0.033272,6.272735
0.020000,0.762204,0.340064,0.309823,0.865168,1.243833,0.034301,6.272200
0.020000,0.780004,0.339863,0.327624,0.890058,1.244539,0.035303,6.271660
0.020000,0.798302,0.339648,0.345923,0.914964,1.245265,0.036309,6.271116
0.020000,0.817098,0.339415,0.364721,0.939884,1.246012,0.037333,6.270567
0.020000,0.836393,0.339167,0.384017,0.964819,1.246778,0.038340,6.270015
0.020000,0.856186,0.338900,0.403813,0.989771,1.247565,0.039336,6.269461
0.020000,0.876479,0.338616,0.424107,1.014738,1.248373,0.040375,6.268906
0.020000,0.897272,0.338314,0.444902,1.039722,1.249200,0.041359,6.268350
0.020000,0.918564,0.337992,0.466196,1.064723,1.250047,0.042385,6.267795
0.020000,0.940356,0.337650,0.487991,1.089741,1.250915,0.043382,6.267242
0.020000,0.962648,0.337289,0.510287,1.114777,1.251803,0.044400,6.266691
0.020000,0.985442,0.336906,0.533083,1.139832,1.252711,0.045405,6.266143
0.020000,1.008736,0.336503,0.556381,1.164904,1.253640,0.046418,6.265601
0.020000,1.032532,0.336078,0.580181,1.189996,1.254588,0.047419,6.265064
0.020000,1.056830,0.335631,0.604483,1.215107,1.255557,0.048431,6.264533
0.020000,1.081631,0.335162,0.629288,1.240238,1.256545,0.049436,6.264011
0.020000,1.106934,0.334670,0.654596,1.265389,1.257554,0.050443,6.263498
0.020000,1.132740,0.334156,0.680407,1.290561,1.258583,0.051448,6.262995
0.020000,1.159050,0.333618,0.706722,1.315754,1.259632,0.052457,6.262503
0.020000,1.185863,0.333057,0.733542,1.340968,1.260701,0.053459,6.262024
0.020000,1.213181,0.332472,0.760866,1.366204,1.261791,0.054465,6.261558
0.020000,1.241003,0.331864,0.788695,1.391462,1.262900,0.055475,6.261108
0.020000,1.269331,0.331232,0.817030,1.416742,1.264030,0.056473,6.260674
0.020000,1.298165,0.330577,0.845871,1.442046,1.265179,0.057484,6.260257
0.020000,1.327504,0.329898,0.875218,1.467373,1.266349,0.058483,6.259860
0.020000,1.357350,0.329196,0.905073,1.492723,1.267539,0.059495,6.259483
0.020000,1.387704,0.328471,0.935435,1.518098,1.268749,0.060496,6.259127
0.020000,1.418565,0.327723,0.966305,1.543498,1.269979,0.061503,6.258794
0.020000,1.449934,0.326953,0.997683,1.568923,1.271229,0.062507,6.258486
0.020000,1.481811,0.326161,1.029570,1.594373,1.272499,0.063514,6.258204
0.020000,1.514198,0.325348,1.061967,1.619848,1.273790,0.064520,6.257949
0.020000,1.547094,0.324514,1.094874,1.645350,1.275100,0.065532,6.257722
0.020000,1.580501,0.323659,1.128292,1.670879,1.276431,0.066533,6.257526
0.020000,1.614419,0.322786,1.162221,1.696435,1.277782,0.067546,6.257362
0.020000,1.648847,0.321894,1.196661,1.722018,1.279153,0.068554,6.257231
0.020000,1.683788,0.320986,1.231614,1.747629,1.280544,0.069564,6.257135
0.020000,1.719241,0.320061,1.267079,1.773268,1.281956,0.070575,6.257076
0.020000,1.755208,0.319121,1.303058,1.798935,1.283388,0.071587,6.257054
0.020000,1.791688,0.318168,1.339550,1.824632,1.284840,0.072600,6.257072
0.020000,1.828683,0.317202,1.376558,1.850358,1.286312,0.073613,6.257132
0.020000,1.866192,0.316227,1.414080,1.876115,1.287804,0.074626,6.257235
0.020000,1.904218,0.315242,1.452118,1.901901,1.289317,0.075642,6.257382
0.020000,1.942759,0.314251,1.490672,1.927718,1.290850,0.076658,6.257576
0.020000,1.981818,0.313255,1.529744,1.953566,1.292404,0.077670,6.257818
0.020000,2.021394,0.312257,1.569332,1.979446,1.293977,0.078687,6.258110
0.020000,2.060379,0.311370,1.608327,1.949738,-1.485391,-138.968447,6.264631
0.020000,2.104467,0.310777,1.652419,2.204594,12.742824,711.410795,6.274776
0.020000,2.148953,0.310623,1.696905,2.224312,0.985906,-587.845917,0.001439
0.020000,2.193826,0.310903,1.741780,2.243731,0.970915,-0.749551,0.010973
0.020000,2.239078,0.311609,1.787037,2.262859,0.956406,-0.725456,0.020178
0.020000,2.284698,0.312734,1.832671,2.281703,0.942204,-0.710117,0.029038
0.020000,2.330678,0.314267,1.878677,2.300269,0.928325,-0.693935,0.037535
0.020000,2.377009,0.316197,1.925048,2.318565,0.914797,-0.676383,0.045657
0.020000,2.423684,0.318512,1.971780,2.336597,0.901599,-0.659936,0.053387
0.020000,2.470694,0.321198,2.018867,2.354371,0.888693,-0.645267,0.060711
0.020000,2.518035,0.324242,2.066305,2.371889,0.875886,-0.640375,0.067614
0.020000,2.565698,0.327626,2.114088,2.389157,0.863407,-0.623929,0.074083
0.020000,2.613678,0.331335,2.162212,2.406174,0.850828,-0.628950,0.080104
0.020000,2.661970,0.335349,2.210670,2.422945,0.838550,-0.613891,0.085663
0.020000,2.710570,0.339649,2.259460,2.439468,0.826153,-0.619865,0.090745
0.020000,2.759472,0.344214,2.308575,2.455742,0.813711,-0.622103,0.095337
0.020000,2.808673,0.349022,2.358010,2.471763,0.801051,-0.633016,0.099424
0.020000,2.858105,0.354045,2.407697,2.484332,0.628444,-8.630313,0.102989
0.020000,2.907639,0.359242,2.457503,2.490304,0.298636,-16.490412,0.106011
0.020000,2.957149,0.364575,2.507298,2.489782,-0.026145,-16.239074,0.108476
0.020000,3.006451,0.369994,2.556898,2.479974,-0.490390,-23.212252,0.110375
0.020000,3.055368,0.375450,2.606118,2.461026,-0.947400,-22.850498,0.111703
0.020000,3.103781,0.380901,2.654837,2.435936,-1.254493,-15.354656,0.112469
0.020000,3.151572,0.386307,2.702933,2.404796,-1.556971,-15.123896,0.112682
0.020000,3.198683,0.391632,2.750344,2.370534,-1.713109,-7.806884,0.112358
0.020000,3.245116,0.396854,2.797069,2.336290,-1.712191,0.045909,0.111513
0.020000,3.290880,0.401949,2.843116,2.302330,-1.698023,0.708407,0.110165
0.020000,3.335982,0.406898,2.888489,2.268644,-1.684315,0.685392,0.108327
0.020000,3.380430,0.411681,2.933193,2.235224,-1.670987,0.666404,0.106015
0.020000,3.424230,0.416283,2.977235,2.202061,-1.658139,0.642382,0.103243
0.020000,3.467389,0.420686,3.020618,2.169153,-1.645421,0.635932,0.100026
0.020000,3.509913,0.424877,3.063347,2.136489,-1.633164,0.612811,0.096378
0.020000,3.551807,0.428843,3.105429,2.104069,-1.621027,0.606874,0.092311
0.020000,3.593076,0.432572,3.146867,2.071887,-1.609078,0.597426,0.087841
0.020000,3.633726,0.436054,3.187665,2.039942,-1.597282,0.589798,0.082979
0.020000,3.673761,0.439280,3.227830,2.008231,-1.585514,0.588405,0.077739
0.020000,3.713185,0.442241,3.267365,1.976754,-1.573853,0.583046,0.072134
0.020000,3.752002,0.444931,3.306275,1.945511,-1.562179,0.583738,0.066178
0.020000,3.790216,0.447344,3.344565,1.914500,-1.550513,0.583274,0.059883
0.020000,3.827831,0.449476,3.382240,1.883726,-1.538728,0.589279,0.053263
0.020000,3.864848,0.451322,3.419304,1.853188,-1.526885,0.592125,0.046331
0.020000,3.901273,0.452880,3.455761,1.822889,-1.514962,0.596173,0.039100
0.020000,3.937107,0.454148,3.491618,1.792830,-1.502932,0.601453,0.031584
0.020000,3.972354,0.455126,3.526878,1.763018,-1.490609,0.616179,0.023797
0.020000,4.007016,0.455813,3.561547,1.733451,-1.478371,0.611917,0.015753
0.020000,4.041096,0.456209,3.595630,1.704135,-1.465782,0.629412,0.007465
0.020000,4.074598,0.456318,3.629132,1.675073,-1.453090,0.634616,6.282134
0.020000,4.107523,0.456140,3.662057,1.646268,-1.440270,0.641000,6.273403
0.020000,4.139874,0.455680,3.694411,1.617723,-1.427256,0.650693,6.264472
0.020000,4.171654,0.454942,3.726200,1.589440,-1.414154,0.655124,6.255356
0.020000,4.202866,0.453929,3.757429,1.561422,-1.400874,0.663967,6.246070
0.020000,4.233513,0.452646,3.788102,1.533672,-1.387509,0.668256,6.236628
0.020000,4.263597,0.451101,3.818226,1.506191,-1.374066,0.672141,6.227046
0.020000,4.293121,0.449299,3.847805,1.478980,-1.360560,0.675295,6.217340
0.020000,4.322090,0.447246,3.876846,1.452039,-1.347031,0.676467,6.207523
0.020000,4.350504,0.444951,3.905354,1.425368,-1.333550,0.674035,6.197613
0.020000,4.378369,0.442421,3.933333,1.398968,-1.319991,0.677960,6.187623
0.020000,4.405687,0.439665,3.960790,1.372834,-1.306688,0.665142,6.177568
0.020000,4.432462,0.436690,3.987729,1.346968,-1.293309,0.668969,6.167465
0.020000,4.458696,0.433506,4.014156,1.321364,-1.280217,0.654606,6.157326
0.020000,4.484395,0.430122,4.040077,1.296018,-1.267292,0.646232,6.147168
0.020000,4.509561,0.426548,4.065495,1.270927,-1.254537,0.637761,6.137005
0.020000,4.534198,0.422793,4.090417,1.246087,-1.241989,0.627427,6.126849
0.020000,4.558310,0.418868,4.114847,1.221485,-1.230124,0.593249,6.116716
0.020000,4.581902,0.414781,4.138789,1.197125,-1.218002,0.606092,6.106618
0.020000,4.604976,0.410545,4.162249,1.172993,-1.206604,0.569866,6.096568
0.020000,4.627537,0.406169,4.185231,1.149081,-1.195577,0.551367,6.086579
0.020000,4.649589,0.401663,4.207738,1.125384,-1.184861,0.535796,6.076663
0.020000,4.671136,0.397038,4.229776,1.101895,-1.174433,0.521424,6.066831
0.020000,4.692182,0.392305,4.251348,1.078591,-1.165198,0.461749,6.057094
0.020000,4.712732,0.387474,4.272458,1.055486,-1.155260,0.496890,6.047463
0.020000,4.732789,0.382556,4.293109,1.032554,-1.146637,0.431129,6.037947
0.020000,4.752357,0.377560,4.313305,1.009786,-1.138395,0.412092,6.028557
0.020000,4.771441,0.372499,4.333048,0.987176,-1.130495,0.395022,6.019301
0.020000,4.790044,0.367382,4.352342,0.964718,-1.122891,0.380185,6.010187
0.020000,4.808171,0.362219,4.371190,0.942395,-1.116135,0.337821,6.001223
0.020000,4.825826,0.357020,4.389594,0.920204,-1.109582,0.327629,5.992416
0.020000,4.843012,0.351796,4.407557,0.898122,-1.104054,0.276404,5.983773
0.020000,4.859733,0.346557,4.425080,0.876160,-1.098144,0.295491,5.975301
0.020000,4.875994,0.341312,4.442166,0.854298,-1.093096,0.252419,5.967004
0.020000,4.891798,0.336070,4.458816,0.832517,-1.089034,0.203079,5.958888
0.020000,4.907149,0.330842,4.475033,0.810830,-1.084329,0.235285,5.950958
0.020000,4.922050,0.325636,4.490817,0.789214,-1.080809,0.175966,5.943217
0.020000,4.936505,0.320462,4.506171,0.767671,-1.077159,0.182518,5.935670
0.020000,4.950518,0.315328,4.521094,0.746182,-1.074471,0.134405,5.928321
0.020000,4.964092,0.310243,4.535589,0.724743,-1.071909,0.128117,5.921171
0.020000,4.977229,0.305216,4.549656,0.703355,-1.069417,0.124599,5.914223
0.020000,4.989935,0.300253,4.563297,0.682016,-1.066940,0.123827,5.907481
0.020000,5.002211,0.295365,4.576510,0.660692,-1.066227,0.035672,5.900946
0.020000,5.014062,0.290557,4.589299,0.639418,-1.063678,0.127431,5.894619
0.020000,5.025489,0.285838,4.601662,0.618159,-1.062941,0.036835,5.888501
0.020000,5.036496,0.281215,4.613600,0.596916,-1.062188,0.037692,5.882595
0.020000,5.047085,0.276695,4.625114,0.575688,-1.061369,0.040901,5.876901
0.020000,5.057260,0.272285,4.636204,0.554479,-1.060442,0.046378,5.871419
0.020000,5.067023,0.267990,4.646869,0.533289,-1.059515,0.046361,5.866150
0.020000,5.076376,0.263818,4.657111,0.512074,-1.060733,-0.060892,5.861095
0.020000,5.085323,0.259774,4.666929,0.490889,-1.059285,0.072390,5.856254
0.020000,5.093864,0.255865,4.676323,0.469698,-1.059556,-0.013564,5.851625
0.020000,5.102004,0.252095,4.685293,0.448501,-1.059808,-0.012613,5.847211
0.020000,5.109743,0.248470,4.693839,0.427304,-1.059854,-0.002310,5.843009
0.020000,5.117084,0.244994,4.701961,0.406111,-1.059663,0.009573,5.839021
