dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992374,3.392614,0.000062,0.006247,0.312330,15.616502,6.283125
0.020000,0.992369,3.392614,0.000067,0.000249,-0.299875,-30.610252,6.283139
0.020000,0.992358,3.392614,0.000079,0.000560,0.015537,15.770623,6.283170
0.020000,0.993067,3.392614,0.000787,0.035430,1.743487,86.397461,0.000041
0.020000,0.994536,3.392614,0.002257,0.073475,1.902253,7.938297,0.000124
0.020000,0.996496,3.392614,0.004216,0.097976,1.225057,-33.859759,0.000235
0.020000,0.998945,3.392615,0.006666,0.122485,1.225469,0.020587,0.000373
0.020000,1.001885,3.392616,0.009606,0.147005,1.225984,0.025723,0.000536
0.020000,1.005316,3.392619,0.013037,0.171537,1.226601,0.030877,0.000726
0.020000,1.009238,3.392622,0.016958,0.196083,1.227322,0.036021,0.000940
0.020000,1.013651,3.392627,0.021371,0.220646,1.228145,0.041160,0.001178
0.020000,1.018555,3.392633,0.026276,0.245228,1.229071,0.046312,0.001439
0.020000,1.023952,3.392642,0.031673,0.269830,1.230100,0.051464,0.001721
0.020000,1.029841,3.392653,0.037562,0.294454,1.231232,0.056596,0.002024
0.020000,1.036223,3.392667,0.043944,0.319104,1.232467,0.061758,0.002346
0.020000,1.043099,3.392684,0.050819,0.343780,1.233805,0.066885,0.002685
0.020000,1.050468,3.392705,0.058189,0.368485,1.235246,0.072045,0.003040
0.020000,1.058333,3.392730,0.066053,0.393220,1.236790,0.077188,0.003409
0.020000,1.066692,3.392760,0.074413,0.417989,1.238436,0.082332,0.003790
0.020000,1.075548,3.392796,0.083269,0.442793,1.240186,0.087468,0.004182
0.020000,1.084901,3.392837,0.092622,0.467634,1.242038,0.092618,0.004581
0.020000,1.094751,3.392884,0.102472,0.492514,1.243993,0.097766,0.004987
0.020000,1.105099,3.392938,0.112821,0.517435,1.246051,0.102894,0.005397
0.020000,1.115947,3.392998,0.123669,0.542399,1.248212,0.108043,0.005807
0.020000,1.127295,3.393067,0.135017,0.567408,1.250476,0.113188,0.006217
0.020000,1.139144,3.393143,0.146866,0.592465,1.252842,0.118319,0.006622
0.020000,1.151495,3.393227,0.159218,0.617571,1.255312,0.123460,0.007021
0.020000,1.164350,3.393320,0.172072,0.642729,1.257883,0.128592,0.007410
0.020000,1.177708,3.393421,0.185431,0.667940,1.260558,0.133744,0.007786
0.020000,1.191572,3.393532,0.199295,0.693207,1.263336,0.138863,0.008147
0.020000,1.205942,3.393651,0.213666,0.718531,1.266216,0.144015,0.008489
0.020000,1.220820,3.393780,0.228544,0.743915,1.269199,0.149135,0.008808
0.020000,1.236206,3.393918,0.243931,0.769361,1.272284,0.154286,0.009101
0.020000,1.252103,3.394065,0.259829,0.794870,1.275473,0.159420,0.009365
0.020000,1.268511,3.394220,0.276238,0.820446,1.278764,0.164560,0.009596
