dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992353,3.037014,0.000062,0.006247,0.312330,15.616502,6.283125
0.020000,0.992353,3.037014,0.000312,0.018740,0.624660,15.616502,6.283139
0.020000,0.992353,3.037014,0.000875,0.037480,0.936990,15.616502,6.283170
0.020000,0.993081,3.037014,0.001874,0.062466,1.249320,15.616502,0.000041
0.020000,0.994580,3.037014,0.003373,0.087452,1.249320,0.000000,0.000124
0.020000,0.996579,3.037014,0.005372,0.112439,1.249320,-0.000000,0.000235
0.020000,0.999078,3.037015,0.007871,0.137425,1.249320,0.000000,0.000373
0.020000,1.002076,3.037017,0.010869,0.162412,1.249320,0.000000,0.000536
0.020000,1.005574,3.037019,0.014367,0.187398,1.249320,-0.000000,0.000726
0.020000,1.009572,3.037022,0.018365,0.212384,1.249320,0.000000,0.000940
0.020000,1.014070,3.037027,0.022863,0.237371,1.249320,-0.000000,0.001178
0.020000,1.019067,3.037033,0.027860,0.262357,1.249320,-0.000000,0.001439
0.020000,1.024564,3.037042,0.033357,0.287344,1.249320,0.000000,0.001721
0.020000,1.030561,3.037053,0.039354,0.312330,1.249320,-0.000000,0.002024
0.020000,1.037057,3.037067,0.045850,0.337316,1.249320,0.000000,0.002346
0.020000,1.044053,3.037085,0.052846,0.362303,1.249320,-0.000000,0.002685
0.020000,1.051549,3.037107,0.060342,0.387289,1.249320,0.000000,0.003040
0.020000,1.059545,3.037132,0.068338,0.412276,1.249320,0.000000,0.003409
0.020000,1.068040,3.037163,0.076833,0.437262,1.249320,-0.000000,0.003790
0.020000,1.077035,3.037199,0.085828,0.462248,1.249320,0.000000,0.004182
0.020000,1.086530,3.037240,0.095323,0.487235,1.249320,0.000000,0.004581
0.020000,1.096524,3.037288,0.105318,0.512221,1.249320,-0.000000,0.004987
0.020000,1.107018,3.037343,0.115812,0.537208,1.249320,0.000000,0.005397
0.020000,1.118012,3.037404,0.126806,0.562194,1.249320,-0.000000,0.005807
0.020000,1.129506,3.037473,0.138300,0.587180,1.249320,0.000000,0.006217
0.020000,1.141499,3.037550,0.150293,0.612167,1.249320,0.000000,0.006622
0.020000,1.153992,3.037636,0.162786,0.637153,1.249320,-0.000000,0.007021
0.020000,1.166985,3.037730,0.175779,0.662140,1.249320,0.000000,0.007410
0.020000,1.180477,3.037832,0.189272,0.687126,1.249320,-0.000000,0.007786
0.020000,1.194469,3.037944,0.203264,0.712113,1.249320,0.000000,0.008147
0.020000,1.208960,3.038064,0.217757,0.737099,1.249320,0.000000,0.008489
0.020000,1.223952,3.038194,0.232748,0.762085,1.249320,0.000000,0.008808
0.020000,1.239443,3.038333,0.248240,0.787072,1.249320,-0.000000,0.009101
0.020000,1.255433,3.038480,0.264231,0.812058,1.249320,0.000000,0.009365
0.020000,1.271924,3.038637,0.280722,0.837045,1.249320,0.000000,0.009596
0.020000,1.288913,3.038801,0.297713,0.862031,1.249320,-0.000000,0.009790
0.020000,1.306403,3.038974,0.315203,0.887017,1.249320,0.000000,0.009943
0.020000,1.324392,3.039154,0.333194,0.912004,1.249320,0.000000,0.010052
0.020000,1.342881,3.039341,0.351684,0.936990,1.249320,-0.000000,0.010111
0.020000,1.361870,3.039533,0.370673,0.961977,1.249320,0.000000,0.010116
0.020000,1.381359,3.039729,0.390163,0.986963,1.249320,0.000000,0.010064
0.020000,1.401347,3.039930,0.410152,1.011949,1.249320,-0.000000,0.009950
0.020000,1.421835,3.040132,0.430641,1.036936,1.249320,0.000000,0.009769
