dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992331,2.681414,0.000062,0.006247,0.312330,15.616502,6.283125
0.020000,0.992336,2.681414,0.000067,0.000249,-0.299875,-30.610252,6.283139
0.020000,0.992347,2.681414,0.000079,0.000560,0.015537,15.770623,6.283170
0.020000,0.993096,2.681414,0.000827,0.037416,1.842801,91.363194,0.000041
0.020000,0.994624,2.681414,0.002356,0.076444,1.951395,5.429704,0.000124
0.020000,0.996663,2.681414,0.004394,0.101915,1.273583,-33.890632,0.000235
0.020000,0.999210,2.681415,0.006942,0.127379,1.273171,-0.020577,0.000373
0.020000,1.002267,2.681417,0.009998,0.152832,1.272657,-0.025733,0.000536
0.020000,1.005832,2.681419,0.013564,0.178273,1.272039,-0.030870,0.000726
0.020000,1.009906,2.681422,0.017638,0.203699,1.271319,-0.036018,0.000940
0.020000,1.014489,2.681427,0.022220,0.229109,1.270495,-0.041171,0.001178
0.020000,1.019579,2.681434,0.027310,0.254500,1.269569,-0.046311,0.001439
0.020000,1.025176,2.681443,0.032907,0.279871,1.268540,-0.051451,0.001721
0.020000,1.031280,2.681454,0.039012,0.305219,1.267408,-0.056611,0.002024
0.020000,1.037891,2.681468,0.045623,0.330543,1.266173,-0.061741,0.002346
0.020000,1.045008,2.681486,0.052739,0.355840,1.264835,-0.066905,0.002685
0.020000,1.052630,2.681508,0.060362,0.381107,1.263394,-0.072036,0.003040
0.020000,1.060757,2.681534,0.068488,0.406344,1.261851,-0.077183,0.003409
0.020000,1.069388,2.681565,0.077119,0.431549,1.260204,-0.082328,0.003790
0.020000,1.078522,2.681602,0.086254,0.456718,1.258454,-0.087481,0.004182
0.020000,1.088159,2.681644,0.095891,0.481850,1.256602,-0.092616,0.004581
0.020000,1.098298,2.681693,0.106030,0.506943,1.254647,-0.097753,0.004987
0.020000,1.108938,2.681748,0.116670,0.531994,1.252589,-0.102909,0.005397
0.020000,1.120077,2.681810,0.127810,0.557003,1.250428,-0.108041,0.005807
0.020000,1.131717,2.681880,0.139449,0.581966,1.248165,-0.113177,0.006217
0.020000,1.143854,2.681958,0.151587,0.606882,1.245798,-0.118324,0.006622
0.020000,1.156489,2.682044,0.164222,0.631749,1.243329,-0.123460,0.007021
0.020000,1.169620,2.682139,0.177353,0.656564,1.240757,-0.128603,0.007410
0.020000,1.183246,2.682243,0.190979,0.681326,1.238082,-0.133724,0.007786
0.020000,1.197366,2.682355,0.205100,0.706032,1.235305,-0.138879,0.008147
0.020000,1.211979,2.682477,0.219714,0.730680,1.232425,-0.144000,0.008489
0.020000,1.227084,2.682608,0.234819,0.755269,1.229442,-0.149153,0.008808
0.020000,1.242679,2.682747,0.250415,0.779796,1.226356,-0.154276,0.009101
