dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660179,3.390999,0.000062,0.006241,0.312044,15.602216,6.283155
0.020000,1.660173,3.390999,0.000069,0.000329,-0.295605,-30.382456,6.283173
0.020000,1.660554,3.390999,0.000450,0.019063,0.936714,61.615932,0.000029
0.020000,1.661527,3.390999,0.001423,0.048622,1.477955,27.062057,0.000103
0.020000,1.662986,3.390999,0.002882,0.072949,1.216362,-13.079630,0.000212
0.020000,1.664931,3.391000,0.004828,0.097296,1.217332,0.048493,0.000356
0.020000,1.667365,3.391001,0.007261,0.121669,1.218625,0.064658,0.000533
0.020000,1.670286,3.391003,0.010182,0.146073,1.220242,0.080823,0.000741
0.020000,1.673697,3.391006,0.013593,0.170517,1.222182,0.096988,0.000979
0.020000,1.677597,3.391010,0.017493,0.195006,1.224445,0.113152,0.001244
0.020000,1.681988,3.391016,0.021884,0.219547,1.227031,0.129319,0.001532
0.020000,1.686871,3.391024,0.026767,0.244145,1.229941,0.145482,0.001841
0.020000,1.692247,3.391035,0.032143,0.268809,1.233174,0.161647,0.002166
0.020000,1.698118,3.391049,0.038014,0.293543,1.236730,0.177810,0.002505
0.020000,1.704485,3.391066,0.044381,0.318356,1.240609,0.193973,0.002852
0.020000,1.711350,3.391087,0.051246,0.343252,1.244812,0.210132,0.003203
0.020000,1.718714,3.391112,0.058611,0.368239,1.249338,0.226295,0.003552
0.020000,1.726581,3.391141,0.066477,0.393322,1.254187,0.242451,0.003895
0.020000,1.734951,3.391175,0.074847,0.418510,1.259359,0.258609,0.004225
0.020000,1.743827,3.391214,0.083723,0.443807,1.264854,0.274767,0.004537
0.020000,1.753211,3.391258,0.093108,0.469220,1.270673,0.290922,0.004823
0.020000,1.763106,3.391307,0.103003,0.494756,1.276814,0.307078,0.005077
0.020000,1.773515,3.391361,0.113411,0.520422,1.283279,0.323235,0.005291
0.020000,1.784439,3.391420,0.124336,0.546223,1.290067,0.339394,0.005458
0.020000,1.795882,3.391483,0.135779,0.572167,1.297178,0.355556,0.005571
0.020000,1.807847,3.391550,0.147744,0.598259,1.304613,0.371722,0.005619
0.020000,1.820337,3.391620,0.160235,0.624507,1.312370,0.387893,0.005596
0.020000,1.833355,3.391692,0.173253,0.650916,1.320452,0.404070,0.005491
0.020000,1.846905,3.391765,0.186803,0.677493,1.328857,0.420252,0.005295
0.020000,1.860989,3.391838,0.200888,0.704244,1.337586,0.436441,0.004999
0.020000,1.875613,3.391908,0.215511,0.731177,1.346638,0.452635,0.004592
0.020000,1.890779,3.391974,0.230677,0.758297,1.356015,0.468827,0.004064
0.020000,1.906491,3.392033,0.246389,0.785612,1.365715,0.485019,0.003404
0.020000,1.922753,3.392082,0.262652,0.813127,1.375739,0.501197,0.002600
0.020000,1.939570,3.392118,0.279469,0.840848,1.386086,0.517351,0.001641
0.020000,1.956946,3.392137,0.296845,0.868783,1.396756,0.533469,0.000515
0.020000,1.974885,3.392134,0.314783,0.896938,1.407746,0.549522,6.282394
0.020000,1.993391,3.392106,0.333290,0.925319,1.419056,0.565489,6.280897
0.020000,2.012470,3.392046,0.352368,0.953933,1.430682,0.581328,6.279193
0.020000,2.032125,3.391949,0.372024,0.982786,1.442622,0.596998,6.277272
0.020000,2.052362,3.391808,0.392262,1.011883,1.454871,0.612435,6.275117
0.020000,2.073186,3.391615,0.413086,1.041231,1.467422,0.627562,6.272716
0.020000,2.094601,3.391363,0.434503,1.070837,1.480269,0.642312,6.270054
0.020000,2.116613,3.391042,0.456517,1.100705,1.493400,0.656548,6.267116
