dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,3.035399,0.000062,0.006241,0.312044,15.602216,6.283155
0.020000,1.660168,3.035399,0.000312,0.018723,0.624089,15.602216,6.283173
0.020000,1.660564,3.035399,0.000874,0.037445,0.936133,15.602216,0.000029
0.020000,1.661563,3.035399,0.001872,0.062409,1.248177,15.602216,0.000103
0.020000,1.663061,3.035399,0.003370,0.087372,1.248177,-0.000000,0.000212
0.020000,1.665058,3.035400,0.005367,0.112336,1.248177,0.000000,0.000356
0.020000,1.667554,3.035401,0.007864,0.137300,1.248177,-0.000000,0.000533
0.020000,1.670550,3.035403,0.010859,0.162263,1.248177,-0.000000,0.000741
0.020000,1.674045,3.035406,0.014354,0.187227,1.248177,0.000000,0.000979
0.020000,1.678039,3.035410,0.018348,0.212190,1.248177,0.000000,0.001244
0.020000,1.682532,3.035417,0.022842,0.237154,1.248177,-0.000000,0.001532
0.020000,1.687525,3.035425,0.027834,0.262117,1.248177,0.000000,0.001841
0.020000,1.693017,3.035436,0.033326,0.287081,1.248177,0.000000,0.002166
0.020000,1.699008,3.035450,0.039318,0.312044,1.248177,-0.000000,0.002505
0.020000,1.705499,3.035467,0.045808,0.337008,1.248177,0.000000,0.002852
0.020000,1.712489,3.035489,0.052798,0.361971,1.248177,0.000000,0.003203
0.020000,1.719978,3.035514,0.060287,0.386935,1.248177,0.000000,0.003552
0.020000,1.727966,3.035544,0.068275,0.411899,1.248177,0.000000,0.003895
0.020000,1.736453,3.035578,0.076763,0.436862,1.248177,0.000000,0.004225
0.020000,1.745440,3.035618,0.085750,0.461826,1.248177,-0.000000,0.004537
0.020000,1.754926,3.035662,0.095236,0.486789,1.248177,0.000000,0.004823
0.020000,1.764912,3.035711,0.105221,0.511753,1.248177,-0.000000,0.005077
0.020000,1.775396,3.035766,0.115706,0.536716,1.248177,0.000000,0.005291
0.020000,1.786380,3.035825,0.126690,0.561680,1.248177,0.000000,0.005458
0.020000,1.797863,3.035888,0.138173,0.586643,1.248177,0.000000,0.005571
0.020000,1.809845,3.035955,0.150156,0.611607,1.248177,-0.000000,0.005619
0.020000,1.822327,3.036025,0.162638,0.636570,1.248177,0.000000,0.005596
0.020000,1.835308,3.036098,0.175619,0.661534,1.248177,0.000000,0.005491
0.020000,1.848788,3.036170,0.189099,0.686498,1.248177,0.000000,0.005295
0.020000,1.862767,3.036242,0.203078,0.711461,1.248177,0.000000,0.004999
0.020000,1.877246,3.036312,0.217557,0.736425,1.248177,0.000000,0.004592
0.020000,1.892224,3.036377,0.232535,0.761388,1.248177,0.000000,0.004064
0.020000,1.907701,3.036435,0.248013,0.786352,1.248177,-0.000000,0.003404
0.020000,1.923678,3.036483,0.263989,0.811315,1.248177,0.000000,0.002600
0.020000,1.940154,3.036518,0.280465,0.836279,1.248177,0.000000,0.001641
0.020000,1.957129,3.036537,0.297441,0.861242,1.248177,0.000000,0.000515
0.020000,1.974603,3.036534,0.314915,0.886206,1.248177,0.000000,6.282394
0.020000,1.992577,3.036507,0.332889,0.911169,1.248177,0.000000,6.280897
0.020000,2.011050,3.036449,0.351362,0.936133,1.248177,0.000000,6.279193
0.020000,2.030022,3.036356,0.370334,0.961097,1.248177,0.000000,6.277272
0.020000,2.049493,3.036220,0.389806,0.986060,1.248177,0.000000,6.275117
0.020000,2.069463,3.036035,0.409777,1.011024,1.248177,0.000000,6.272716
0.020000,2.089932,3.035794,0.430247,1.035987,1.248177,0.000000,6.270054
0.020000,2.110899,3.035488,0.451216,1.060951,1.248177,-0.000000,6.267116
0.020000,2.132364,3.035109,0.472685,1.085914,1.248177,0.000000,6.263887
0.020000,2.150964,3.034721,0.494653,1.110878,1.248177,0.000000,6.260755
