dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660158,2.679799,0.000062,0.006241,0.312044,15.602216,6.283155
0.020000,1.660164,2.679799,0.000069,0.000329,-0.295605,-30.382456,6.283173
0.020000,1.660575,2.679799,0.000480,0.020539,1.010495,65.304976,0.000029
0.020000,1.661600,2.679799,0.001504,0.051232,1.534667,26.208594,0.000103
0.020000,1.663136,2.679799,0.003041,0.076832,1.279992,-12.733720,0.000212
0.020000,1.665184,2.679800,0.005089,0.102412,1.279022,-0.048494,0.000356
0.020000,1.667744,2.679801,0.007649,0.127967,1.277729,-0.064658,0.000533
0.020000,1.670814,2.679803,0.010718,0.153489,1.276113,-0.080823,0.000741
0.020000,1.674393,2.679806,0.014298,0.178973,1.274173,-0.096988,0.000979
0.020000,1.678481,2.679811,0.018386,0.204411,1.271910,-0.113154,0.001244
0.020000,1.683077,2.679817,0.022982,0.229797,1.269324,-0.129317,0.001532
0.020000,1.688180,2.679826,0.028085,0.255126,1.266414,-0.145483,0.001841
0.020000,1.693787,2.679837,0.033692,0.280389,1.263181,-0.161646,0.002166
0.020000,1.699899,2.679851,0.039804,0.305582,1.259625,-0.177810,0.002505
0.020000,1.706513,2.679869,0.046418,0.330697,1.255745,-0.193972,0.002852
0.020000,1.713627,2.679890,0.053532,0.355727,1.251543,-0.210134,0.003203
0.020000,1.721241,2.679916,0.061146,0.380668,1.247017,-0.226292,0.003552
0.020000,1.729351,2.679946,0.069256,0.405511,1.242168,-0.242452,0.003895
0.020000,1.737956,2.679981,0.077861,0.430251,1.236996,-0.258610,0.004225
0.020000,1.747053,2.680021,0.086959,0.454881,1.231500,-0.274765,0.004537
0.020000,1.756641,2.680066,0.096547,0.479395,1.225682,-0.290922,0.004823
0.020000,1.766717,2.680116,0.106622,0.503785,1.219540,-0.307078,0.005077
0.020000,1.777278,2.680171,0.117183,0.528047,1.213076,-0.323235,0.005291
0.020000,1.788321,2.680230,0.128227,0.552173,1.206288,-0.339394,0.005458
0.020000,1.799844,2.680294,0.139750,0.576156,1.199177,-0.355556,0.005571
0.020000,1.811843,2.680361,0.151750,0.599991,1.191742,-0.371722,0.005619
0.020000,1.824317,2.680431,0.164223,0.623671,1.183984,-0.387894,0.005596
0.020000,1.837260,2.680503,0.177167,0.647189,1.175903,-0.404071,0.005491
0.020000,1.850671,2.680575,0.190578,0.670539,1.167498,-0.420255,0.005295
0.020000,1.864545,2.680647,0.204452,0.693714,1.158769,-0.436445,0.004999
0.020000,1.878879,2.680716,0.218786,0.716708,1.149716,-0.452639,0.004592
0.020000,1.893669,2.680780,0.233576,0.739515,1.140339,-0.468836,0.004064
0.020000,1.908912,2.680837,0.248819,0.762128,1.130639,-0.485026,0.003404
0.020000,1.924602,2.680884,0.264510,0.784540,1.120615,-0.501207,0.002600
0.020000,1.940737,2.680919,0.280645,0.806746,1.110267,-0.517366,0.001641
0.020000,1.957312,2.680937,0.297219,0.828738,1.099598,-0.533482,0.000515
0.020000,1.974322,2.680935,0.314230,0.850510,1.088607,-0.549543,6.282394
0.020000,1.991763,2.680908,0.331671,0.872056,1.077297,-0.565512,6.280897
0.020000,2.009631,2.680852,0.349538,0.893369,1.065669,-0.581358,6.279193
0.020000,2.027919,2.680762,0.367827,0.914444,1.053729,-0.597030,6.277272
0.020000,2.046624,2.680631,0.386532,0.935273,1.041479,-0.612473,6.275117
0.020000,2.065740,2.680454,0.405649,0.955852,1.028927,-0.627619,6.272716
0.020000,2.085263,2.680224,0.425173,0.976173,1.016080,-0.642359,6.270054
0.020000,2.105185,2.679934,0.445098,0.996232,1.002948,-0.656610,6.267116
0.020000,2.125502,2.679575,0.465418,1.016023,0.989543,-0.670228,6.263887
0.020000,2.142989,2.679211,0.482908,0.874509,-7.075719,-403.263089,6.260755
0.020000,2.164066,2.678697,0.503992,1.054193,8.984209,802.996390,6.256865
0.020000,2.185611,2.678087,0.525545,1.077647,1.172694,-390.575748,6.252890
0.020000,2.207621,2.677375,0.547567,1.101109,1.173121,0.021345,6.248830
0.020000,2.230098,2.676556,0.570059,1.124579,1.173496,0.018747,6.244687
0.020000,2.253040,2.675624,0.593020,1.148056,1.173828,0.016608,6.240460
0.020000,2.276447,2.674572,0.616451,1.171546,1.174491,0.033129,6.236150
0.020000,2.300319,2.673396,0.640352,1.195039,1.174667,0.008838,6.231757
0.020000,2.324655,2.672089,0.664723,1.218550,1.175543,0.043764,6.227283
0.020000,2.349454,2.670644,0.689564,1.242067,1.175858,0.015783,6.222727
0.020000,2.374717,2.669056,0.714876,1.265597,1.176501,0.032115,6.218091
0.020000,2.400441,2.667319,0.740659,1.289140,1.177154,0.032662,6.213375
0.020000,2.426626,2.665425,0.766913,1.312701,1.178046,0.044602,6.208580
0.020000,2.453272,2.663368,0.793638,1.336270,1.178447,0.020065,6.203706
0.020000,2.480378,2.661141,0.820835,1.359862,1.179607,0.057982,6.198756
0.020000,2.507943,2.658738,0.848505,1.383467,1.180235,0.031415,6.193728
0.020000,2.535966,2.656153,0.876646,1.407090,1.181162,0.046363,6.188626
0.020000,2.564446,2.653377,0.905261,1.430732,1.182101,0.046904,6.183449
0.020000,2.593381,2.650405,0.934349,1.454397,1.183236,0.056772,6.178200
0.020000,2.622772,2.647229,0.963911,1.478080,1.184160,0.046211,6.172878
0.020000,2.652616,2.643842,0.993946,1.501787,1.185371,0.060559,6.167485
0.020000,2.682913,2.640237,1.024457,1.525517,1.186466,0.054754,6.162023
0.020000,2.713660,2.636407,1.055442,1.549272,1.187752,0.064271,6.156494
0.020000,2.744858,2.632344,1.086903,1.573053,1.189041,0.064477,6.150897
0.020000,2.776504,2.628042,1.118840,1.596860,1.190346,0.065226,6.145236
0.020000,2.808597,2.623493,1.151254,1.620696,1.191847,0.075078,6.139511
0.020000,2.841136,2.618689,1.184146,1.644560,1.193202,0.067731,6.133725
0.020000,2.874118,2.613624,1.217515,1.668458,1.194881,0.083928,6.127878
0.020000,2.907543,2.608289,1.251362,1.692385,1.196356,0.073787,6.121973
0.020000,2.941408,2.602678,1.285689,1.716346,1.198019,0.083134,6.116012
0.020000,2.975712,2.596783,1.320496,1.740341,1.199766,0.087337,6.109996
0.020000,3.010453,2.590597,1.355784,1.764372,1.201542,0.088813,6.103928
0.020000,3.045629,2.584112,1.391552,1.788438,1.203304,0.088072,6.097810
0.020000,3.081238,2.577320,1.427803,1.812542,1.205228,0.096226,6.091643
0.020000,3.117278,2.570215,1.464537,1.836686,1.207199,0.098548,6.085430
0.020000,3.153747,2.562789,1.501754,1.860869,1.209145,0.097317,6.079173
0.020000,3.190643,2.555034,1.539456,1.885094,1.211240,0.104724,6.072874
0.020000,3.227963,2.546943,1.577643,1.909360,1.213311,0.103546,6.066537
0.020000,3.265706,2.538510,1.616317,1.933669,1.215448,0.106856,6.060162
0.020000,3.303868,2.529726,1.655477,1.958023,1.217684,0.111827,6.053753
0.020000,3.342448,2.520584,1.695126,1.982421,1.219926,0.112084,6.047313
0.020000,3.381444,2.511078,1.735263,2.006866,1.222206,0.113993,6.040843
0.020000,3.420852,2.501200,1.775890,2.031356,1.224544,0.116893,6.034347
0.020000,3.460670,2.490944,1.817008,2.055895,1.226936,0.119625,6.027827
0.020000,3.500896,2.480302,1.858618,2.080482,1.229330,0.119704,6.021285
0.020000,3.541526,2.469267,1.900720,2.105118,1.231785,0.122751,6.014725
0.020000,3.582559,2.457834,1.943316,2.129803,1.234262,0.123853,6.008150
0.020000,3.623992,2.445994,1.986407,2.154538,1.236773,0.125517,6.001561
0.020000,3.665821,2.433742,2.029993,2.179324,1.239304,0.126551,5.994963
0.020000,3.708044,2.421072,2.074076,2.204162,1.241861,0.127855,5.988358
0.020000,3.750658,2.407977,2.118657,2.229050,1.244449,0.129390,5.981748
0.020000,3.793661,2.394451,2.163737,2.253991,1.247013,0.128198,5.975137
0.020000,3.837049,2.380487,2.209317,2.278984,1.249652,0.131960,5.968528
0.020000,3.880820,2.366081,2.255398,2.304029,1.252255,0.130156,5.961923
0.020000,3.924970,2.351226,2.301980,2.329126,1.254866,0.130535,5.955326
0.020000,3.969497,2.335916,2.349066,2.354276,1.257488,0.131119,5.948740
0.020000,4.014398,2.320147,2.396655,2.379478,1.260125,0.131870,5.942166
0.020000,4.059670,2.303913,2.444750,2.404734,1.262781,0.132753,5.935610
0.020000,4.105310,2.287209,2.493351,2.430040,1.265309,0.126418,5.929072
0.020000,4.151316,2.270030,2.542459,2.455400,1.267999,0.134490,5.922557
0.020000,4.197683,2.252372,2.592075,2.480812,1.270565,0.128324,5.916067
0.020000,4.244410,2.234229,2.642200,2.506274,1.273128,0.128125,5.909605
0.020000,4.291493,2.215597,2.692836,2.531788,1.275689,0.128058,5.903174
0.020000,4.338931,2.196473,2.743983,2.557353,1.278251,0.128089,5.896777
0.020000,4.386719,2.176852,2.795643,2.582968,1.280769,0.125896,5.890416
0.020000,4.434855,2.156730,2.847815,2.608632,1.283205,0.121817,5.884095
0.020000,4.483337,2.136104,2.900502,2.634347,1.285710,0.125234,5.877816
0.020000,4.532161,2.114971,2.953704,2.660109,1.288146,0.121835,5.871582
0.020000,4.581326,2.093327,3.007423,2.685920,1.290522,0.118805,5.865396
0.020000,4.630829,2.071169,3.061658,2.711778,1.292886,0.118164,5.859260
0.020000,4.680613,2.048519,3.116352,2.734679,1.145092,-7.389702,5.853183
0.020000,4.730566,2.025427,3.171384,2.751611,0.846581,-14.925511,5.847181
0.020000,4.780576,2.001946,3.226633,2.762424,0.540640,-15.297057,5.841269
0.020000,4.830478,1.978158,3.281914,2.764096,0.083593,-22.852364,5.835465
0.020000,4.880110,1.954149,3.337049,2.756725,-0.368530,-22.606158,5.829789
0.020000,4.929366,1.929979,3.391915,2.743299,-0.671302,-15.138580,5.824249
0.020000,4.978142,1.905713,3.446394,2.723933,-0.968309,-14.850344,5.818857
0.020000,5.026390,1.881389,3.500426,2.701626,-1.115329,-7.350995,5.813614
0.020000,5.074113,1.857020,3.554011,2.679261,-1.118281,-0.147598,5.808517
0.020000,5.122288,1.832160,3.608223,2.710571,1.565502,134.189131,5.809430
0.020000,5.176586,1.804940,3.668961,3.036934,16.318145,737.632134,5.827260
0.020000,5.230230,1.779166,3.728476,2.975742,-3.059598,-968.887157,5.843051
0.020000,5.283149,1.754698,3.786778,2.915062,-3.033973,1.281250,5.856834
0.020000,5.335280,1.731398,3.843879,2.855062,-2.999999,1.698715,5.868645
0.020000,5.386575,1.709137,3.899796,2.795856,-2.960288,1.985566,5.878531
0.020000,5.436992,1.687791,3.954546,2.737517,-2.916963,2.166255,5.886539
0.020000,5.486499,1.667243,4.008148,2.680083,-2.871696,2.263355,5.892720
0.020000,5.535068,1.647385,4.060619,2.623569,-2.825729,2.298334,5.897127
0.020000,5.582676,1.628116,4.111979,2.567970,-2.779938,2.289565,5.899811
0.020000,5.629304,1.609344,4.162244,2.513273,-2.734872,2.253276,5.900822
0.020000,5.674938,1.590983,4.211433,2.459456,-2.690815,2.202837,5.900211
0.020000,5.719564,1.572955,4.259563,2.406500,-2.647828,2.149365,5.898025
0.020000,5.763172,1.555189,4.306651,2.354384,-2.605785,2.102128,5.894313
0.020000,5.805751,1.537619,4.352713,2.303096,-2.564420,2.068286,5.889119
0.020000,5.847295,1.520189,4.397765,2.252629,-2.523346,2.053673,5.882492
0.020000,5.887798,1.502846,4.441825,2.202987,-2.482098,2.062432,5.874476
0.020000,5.927255,1.485544,4.484909,2.154184,-2.440147,2.097515,5.865120
