dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.659797,3.390600,0.000062,0.006223,0.311155,15.557739,0.000572
0.020000,1.659811,3.390600,0.000076,0.000710,-0.275663,-29.340901,0.000532
0.020000,1.659843,3.390600,0.000108,0.001597,0.044350,16.000639,0.000442
0.020000,1.659899,3.390600,0.000165,0.002838,0.062048,0.884909,0.000283
0.020000,1.659985,3.390600,0.000250,0.004254,0.070822,0.438723,0.000043
0.020000,1.661818,3.390600,0.002084,0.091681,4.371326,215.025194,6.282910
0.020000,1.664449,3.390599,0.004715,0.131539,1.992906,-118.920990,6.282512
0.020000,1.667606,3.390596,0.007871,0.157836,1.314879,-33.901342,6.282035
0.020000,1.671288,3.390590,0.011554,0.184129,1.314645,-0.011701,6.281479
0.020000,1.675497,3.390582,0.015762,0.210414,1.314248,-0.019877,6.280845
0.020000,1.680230,3.390569,0.020496,0.236693,1.313943,-0.015233,6.280133
0.020000,1.685490,3.390551,0.025755,0.262962,1.313418,-0.026239,6.279343
0.020000,1.691274,3.390526,0.031540,0.289220,1.312943,-0.023763,6.278477
0.020000,1.697583,3.390494,0.037849,0.315470,1.312500,-0.022184,6.277534
0.020000,1.704417,3.390451,0.044683,0.341708,1.311899,-0.030027,6.276516
0.020000,1.711776,3.390398,0.052042,0.367933,1.311236,-0.033138,6.275422
0.020000,1.719658,3.390333,0.059925,0.394145,1.310581,-0.032765,6.274255
0.020000,1.728065,3.390252,0.068332,0.420342,1.309841,-0.037001,6.273014
0.020000,1.736995,3.390156,0.077262,0.446523,1.309069,-0.038601,6.271700
0.020000,1.746448,3.390040,0.086716,0.472689,1.308325,-0.037216,6.270315
0.020000,1.756424,3.389905,0.096693,0.498835,1.307292,-0.051645,6.268860
0.020000,1.766922,3.389746,0.107192,0.524964,1.306443,-0.042422,6.267335
0.020000,1.777942,3.389563,0.118213,0.551074,1.305480,-0.048180,6.265741
0.020000,1.789483,3.389352,0.129757,0.577161,1.304371,-0.055436,6.264080
0.020000,1.801545,3.389111,0.141821,0.603227,1.303269,-0.055110,6.262353
0.020000,1.814128,3.388838,0.154407,0.629271,1.302219,-0.052492,6.260562
0.020000,1.827230,3.388529,0.167512,0.655289,1.300886,-0.066627,6.258707
0.020000,1.840851,3.388182,0.181138,0.681282,1.299662,-0.061205,6.256790
0.020000,1.854991,3.387795,0.195283,0.707248,1.298292,-0.068512,6.254813
0.020000,1.869648,3.387364,0.209947,0.733188,1.297029,-0.063151,6.252777
0.020000,1.884822,3.386887,0.225129,0.759098,1.295486,-0.077125,6.250684
0.020000,1.900513,3.386360,0.240828,0.784978,1.293991,-0.074787,6.248535
0.020000,1.916719,3.385780,0.257045,0.810828,1.292502,-0.074435,6.246332
0.020000,1.933440,3.385145,0.273778,0.836644,1.290816,-0.084289,6.244078
0.020000,1.950675,3.384450,0.291026,0.862427,1.289128,-0.084418,6.241773
