dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660000,3.035000,0.000067,0.006651,0.332541,16.627065,0.000483
0.020000,1.660000,3.035000,0.000333,0.019952,0.665083,16.627065,0.000447
0.020000,1.660000,3.035000,0.000931,0.039905,0.997624,16.627065,0.000368
0.020000,1.660000,3.035000,0.001929,0.059857,0.997624,-0.000000,0.000235
0.020000,1.660000,3.035000,0.003325,0.079810,0.997624,0.000000,0.000048
0.020000,1.661432,3.035000,0.005121,0.099762,0.997624,-0.000000,6.282994
0.020000,1.663627,3.034999,0.007316,0.119715,0.997624,0.000000,6.282702
0.020000,1.666221,3.034997,0.009910,0.139667,0.997624,0.000000,6.282356
0.020000,1.669213,3.034994,0.012903,0.159620,0.997624,0.000000,6.281958
0.020000,1.672605,3.034989,0.016295,0.179572,0.997624,-0.000000,6.281506
0.020000,1.676396,3.034982,0.020085,0.199525,0.997624,0.000000,6.281001
0.020000,1.680586,3.034972,0.024276,0.219477,0.997624,0.000000,6.280444
0.020000,1.685175,3.034958,0.028865,0.239430,0.997624,-0.000000,6.279833
0.020000,1.690163,3.034939,0.033853,0.259382,0.997624,0.000000,6.279169
0.020000,1.695551,3.034916,0.039240,0.279335,0.997624,-0.000000,6.278453
0.020000,1.701337,3.034886,0.045026,0.299287,0.997624,0.000000,6.277684
0.020000,1.707522,3.034850,0.051211,0.319240,0.997624,-0.000000,6.276863
0.020000,1.714106,3.034805,0.057796,0.339192,0.997624,0.000000,6.275989
0.020000,1.721089,3.034752,0.064779,0.359145,0.997624,0.000000,6.275062
0.020000,1.728471,3.034688,0.072161,0.379097,0.997624,0.000000,6.274083
0.020000,1.736252,3.034613,0.079943,0.399050,0.997624,0.000000,6.273052
0.020000,1.744432,3.034526,0.088123,0.419002,0.997624,0.000000,6.271968
0.020000,1.753011,3.034425,0.096703,0.438955,0.997624,-0.000000,6.270832
0.020000,1.761989,3.034309,0.105682,0.458907,0.997624,-0.000000,6.269645
0.020000,1.771366,3.034176,0.115059,0.478859,0.997624,0.000000,6.268406
0.020000,1.781142,3.034025,0.124836,0.498812,0.997624,0.000000,6.267115
0.020000,1.791316,3.033855,0.135012,0.518764,0.997624,-0.000000,6.265772
0.020000,1.801889,3.033663,0.145587,0.538717,0.997624,-0.000000,6.264378
0.020000,1.812861,3.033449,0.156560,0.558669,0.997624,0.000000,6.262933
0.020000,1.824231,3.033210,0.167933,0.578622,0.997624,0.000000,6.261437
0.020000,1.836000,3.032945,0.179705,0.598574,0.997624,0.000000,6.259890
0.020000,1.848168,3.032652,0.191876,0.618527,0.997624,0.000000,6.258292
0.020000,1.860734,3.032328,0.204446,0.638479,0.997624,-0.000000,6.256644
0.020000,1.873698,3.031973,0.217415,0.658432,0.997624,0.000000,6.254945
0.020000,1.887060,3.031584,0.230784,0.678384,0.997624,0.000000,6.253196
0.020000,1.900821,3.031159,0.244551,0.698337,0.997624,0.000000,6.251398
0.020000,1.914980,3.030696,0.258717,0.718289,0.997624,-0.000000,6.249550
0.020000,1.929536,3.030192,0.273282,0.738242,0.997624,0.000000,6.247652
0.020000,1.944491,3.029646,0.288247,0.758194,0.997624,-0.000000,6.245705
0.020000,1.959843,3.029055,0.303610,0.778147,0.997624,0.000000,6.243710
0.020000,1.975592,3.028417,0.319373,0.798099,0.997624,-0.000000,6.241666
0.020000,1.991739,3.027729,0.335534,0.818052,0.997624,0.000000,6.239573
0.020000,2.008283,3.026989,0.352095,0.838004,0.997624,0.000000,6.237433
0.020000,2.025224,3.026195,0.369054,0.857957,0.997624,-0.000000,6.235245
0.020000,2.042562,3.025344,0.386413,0.877909,0.997624,0.000000,6.233010
0.020000,2.060296,3.024433,0.404171,0.897861,0.997624,-0.000000,6.230727
0.020000,2.078427,3.023460,0.422327,0.917814,0.997624,0.000000,6.228398
0.020000,2.096953,3.022422,0.440883,0.937766,0.997624,0.000000,6.226023
0.020000,2.115876,3.021316,0.459838,0.957719,0.997624,-0.000000,6.223602
0.020000,2.135194,3.020139,0.479192,0.977671,0.997624,0.000000,6.221135
0.020000,2.154907,3.018890,0.498945,0.997624,0.997624,-0.000000,6.218624
0.020000,2.175016,3.017564,0.519097,1.017576,0.997624,0.000000,6.216067
0.020000,2.195519,3.016159,0.539648,1.037529,0.997624,0.000000,6.213467
0.020000,2.216416,3.014672,0.560598,1.057481,0.997624,-0.000000,6.210823
0.020000,2.237707,3.013100,0.581947,1.077434,0.997624,0.000000,6.208135
0.020000,2.259392,3.011439,0.603695,1.097386,0.997624,0.000000,6.205405
0.020000,2.281470,3.009688,0.625843,1.117339,0.997624,-0.000000,6.202633
0.020000,2.303940,3.007842,0.648389,1.137291,0.997624,0.000000,6.199819
0.020000,2.326803,3.005899,0.671334,1.157244,0.997624,-0.000000,6.196964
0.020000,2.350058,3.003855,0.694679,1.177196,0.997624,0.000000,6.194068
0.020000,2.373704,3.001707,0.718422,1.197149,0.997624,-0.000000,6.191132
0.020000,2.397741,2.999452,0.742565,1.217101,0.997624,0.000000,6.188157
0.020000,2.422168,2.997086,0.767106,1.237054,0.997624,0.000000,6.185143
0.020000,2.446985,2.994607,0.792047,1.257006,0.997624,-0.000000,6.182091
0.020000,2.472192,2.992011,0.817386,1.276959,0.997624,-0.000000,6.179001
0.020000,2.497787,2.989294,0.843125,1.296911,0.997624,0.000000,6.175874
0.020000,2.523770,2.986453,0.869263,1.316864,0.997624,-0.000000,6.172711
0.020000,2.550140,2.983486,0.895800,1.336816,0.997624,0.000000,6.169513
0.020000,2.576897,2.980387,0.922736,1.356768,0.997624,-0.000000,6.166280
0.020000,2.604040,2.977154,0.950070,1.376721,0.997624,0.000000,6.163014
0.020000,2.631568,2.973784,0.977804,1.396673,0.997624,-0.000000,6.159714
0.020000,2.659481,2.970273,1.005937,1.416626,0.997624,0.000000,6.156381
0.020000,2.687778,2.966617,1.034469,1.436578,0.997624,-0.000000,6.153017
0.020000,2.716458,2.962813,1.063401,1.456531,0.997624,0.000000,6.149622
0.020000,2.745520,2.958857,1.092731,1.476483,0.997624,0.000000,6.146197
0.020000,2.774964,2.954746,1.122460,1.496436,0.997624,0.000000,6.142743
0.020000,2.804788,2.950477,1.152588,1.516388,0.997624,-0.000000,6.139261
0.020000,2.834992,2.946046,1.183115,1.536341,0.997624,0.000000,6.135752
0.020000,2.865575,2.941448,1.214042,1.556293,0.997624,-0.000000,6.132216
0.020000,2.896535,2.936682,1.245367,1.576246,0.997624,0.000000,6.128654
0.020000,2.927873,2.931743,1.277092,1.596198,0.997624,-0.000000,6.125068
0.020000,2.959586,2.926627,1.309215,1.616151,0.997624,0.000000,6.121459
0.020000,2.991675,2.921332,1.341738,1.636103,0.997624,-0.000000,6.117827
0.020000,3.024137,2.915854,1.374659,1.656056,0.997624,0.000000,6.114174
0.020000,3.056973,2.910189,1.407980,1.676008,0.997624,-0.000000,6.110500
0.020000,3.090180,2.904333,1.441700,1.695961,0.997624,-0.000000,6.106806
0.020000,3.123759,2.898284,1.475818,1.715913,0.997624,0.000000,6.103094
0.020000,3.157706,2.892038,1.510336,1.735866,0.997624,0.000000,6.099365
0.020000,3.192023,2.885591,1.545253,1.755818,0.997624,0.000000,6.095619
0.020000,3.226707,2.878941,1.580569,1.775771,0.997624,-0.000000,6.091859
0.020000,3.261757,2.872083,1.616284,1.795723,0.997624,0.000000,6.088084
0.020000,3.297173,2.865014,1.652398,1.815675,0.997624,0.000000,6.084296
0.020000,3.332952,2.857732,1.688911,1.835628,0.997624,-0.000000,6.080497
0.020000,3.369094,2.850232,1.725823,1.855580,0.997624,0.000000,6.076687
0.020000,3.405598,2.842513,1.763134,1.875533,0.997624,-0.000000,6.072867
0.020000,3.442462,2.834569,1.800844,1.895485,0.997624,-0.000000,6.069040
0.020000,3.479685,2.826399,1.838953,1.915438,0.997624,0.000000,6.065205
0.020000,3.517266,2.817999,1.877462,1.935390,0.997624,0.000000,6.061365
0.020000,3.555204,2.809366,1.916369,1.955343,0.997624,0.000000,6.057520
0.020000,3.593496,2.800497,1.955675,1.975295,0.997624,-0.000000,6.053671
0.020000,3.632143,2.791390,1.995381,1.995248,0.997624,0.000000,6.049821
0.020000,3.671143,2.782040,2.035485,2.015200,0.997624,-0.000000,6.045969
0.020000,3.710493,2.772446,2.075989,2.035153,0.997624,0.000000,6.042118
0.020000,3.750194,2.762604,2.116891,2.055105,0.997624,0.000000,6.038269
0.020000,3.790244,2.752513,2.158193,2.075058,0.997624,0.000000,6.034423
0.020000,3.830641,2.742168,2.199894,2.095010,0.997624,0.000000,6.030581
0.020000,3.871384,2.731568,2.241993,2.114963,0.997624,-0.000000,6.026744
0.020000,3.912473,2.720710,2.284492,2.134915,0.997624,0.000000,6.022914
0.020000,3.953905,2.709591,2.327390,2.154868,0.997624,0.000000,6.019093
0.020000,3.995679,2.698209,2.370687,2.174820,0.997624,0.000000,6.015281
0.020000,4.037794,2.686562,2.414383,2.194773,0.997624,0.000000,6.011480
0.020000,4.080248,2.674647,2.458478,2.214725,0.997624,0.000000,6.007690
