dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660203,2.679400,0.000062,0.006223,0.311155,15.557739,0.000572
0.020000,1.660189,2.679400,0.000076,0.000710,-0.275663,-29.340901,0.000532
0.020000,1.660157,2.679400,0.000108,0.001597,0.044350,16.000639,0.000442
0.020000,1.660101,2.679400,0.000165,0.002838,0.062048,0.884909,0.000283
0.020000,1.660015,2.679400,0.000250,0.004254,0.070822,0.438723,0.000043
0.020000,1.661622,2.679400,0.001857,0.080345,3.804537,186.685721,6.282910
0.020000,1.663970,2.679399,0.004205,0.117384,1.851929,-97.630401,6.282512
0.020000,1.666787,2.679396,0.007022,0.140871,1.174359,-33.878462,6.282035
0.020000,1.670075,2.679391,0.010309,0.164364,1.174686,0.016321,6.281479
0.020000,1.673832,2.679384,0.014067,0.187864,1.174957,0.013545,6.280845
0.020000,1.678059,2.679372,0.018294,0.211372,1.175401,0.022241,6.280133
0.020000,1.682757,2.679356,0.022992,0.234886,1.175741,0.016995,6.279343
0.020000,1.687925,2.679334,0.028160,0.258411,1.176218,0.023821,6.278477
0.020000,1.693564,2.679305,0.033799,0.281947,1.176816,0.029888,6.277534
0.020000,1.699674,2.679267,0.039909,0.305494,1.177367,0.027578,6.276516
0.020000,1.706255,2.679220,0.046490,0.329054,1.177958,0.029537,6.275422
0.020000,1.713307,2.679161,0.053543,0.352627,1.178651,0.034656,6.274255
0.020000,1.720831,2.679089,0.061067,0.376214,1.179365,0.035704,6.273014
0.020000,1.728827,2.679002,0.069063,0.399817,1.180148,0.039160,6.271700
0.020000,1.737295,2.678899,0.077532,0.423438,1.181055,0.045344,6.270315
0.020000,1.746236,2.678778,0.086473,0.447074,1.181803,0.037414,6.268860
0.020000,1.755649,2.678636,0.095888,0.470730,1.182818,0.050726,6.267335
0.020000,1.765536,2.678471,0.105776,0.494407,1.183831,0.050676,6.265741
0.020000,1.775896,2.678282,0.116138,0.518103,1.184818,0.049329,6.264080
0.020000,1.786731,2.678065,0.126975,0.541822,1.185915,0.054840,6.262353
0.020000,1.798039,2.677820,0.138286,0.565565,1.187164,0.062473,6.260562
0.020000,1.809823,2.677542,0.150073,0.589330,1.188266,0.055106,6.258707
0.020000,1.822081,2.677230,0.162335,0.613122,1.189574,0.065364,6.256790
0.020000,1.834815,2.676881,0.175074,0.636939,1.190858,0.064234,6.254813
0.020000,1.848025,2.676493,0.188290,0.660786,1.192350,0.074559,6.252777
0.020000,1.861711,2.676062,0.201983,0.684660,1.193700,0.067516,6.250684
0.020000,1.875875,2.675587,0.216154,0.708564,1.195204,0.075210,6.248535
0.020000,1.890515,2.675063,0.230804,0.732501,1.196828,0.081171,6.246332
0.020000,1.905634,2.674488,0.245933,0.756468,1.198387,0.077952,6.244078
0.020000,1.921231,2.673860,0.261543,0.780469,1.200058,0.083548,6.241773
0.020000,1.937306,2.673175,0.277633,0.804506,1.201834,0.088827,6.239420
0.020000,1.953861,2.672430,0.294204,0.828579,1.203639,0.090248,6.237021
0.020000,1.970896,2.671622,0.311258,0.852688,1.205470,0.091562,6.234578
0.020000,1.988411,2.670748,0.328795,0.876836,1.207399,0.096449,6.232093
0.020000,2.006406,2.669805,0.346815,0.901024,1.209374,0.098719,6.229568
0.020000,2.024883,2.668790,0.365320,0.925253,1.211478,0.105231,6.227007
0.020000,2.043843,2.667699,0.384311,0.949523,1.213508,0.101479,6.224410
0.020000,2.063284,2.666529,0.403788,0.973838,1.215732,0.111226,6.221780
0.020000,2.083209,2.665277,0.423752,0.998197,1.217920,0.109380,6.219121
0.020000,2.103617,2.663941,0.444204,1.022601,1.220231,0.115532,6.216434
0.020000,2.124510,2.662515,0.465145,1.047053,1.222587,0.117833,6.213723
0.020000,2.145887,2.660999,0.486576,1.071553,1.224994,0.120317,6.210989
0.020000,2.167750,2.659387,0.508498,1.096102,1.227453,0.122968,6.208236
0.020000,2.190098,2.657678,0.530912,1.120702,1.230011,0.127889,6.205467
0.020000,2.212934,2.655867,0.553819,1.145354,1.232577,0.128317,6.202684
0.020000,2.236257,2.653953,0.577220,1.170059,1.235260,0.134158,6.199890
0.020000,2.260067,2.651931,0.601116,1.194818,1.237945,0.134221,6.197089
0.020000,2.284367,2.649800,0.625509,1.219632,1.240719,0.138731,6.194284
0.020000,2.309155,2.647555,0.650399,1.244503,1.243545,0.141270,6.191478
0.020000,2.334434,2.645194,0.675788,1.269432,1.246431,0.144295,6.188673
0.020000,2.360203,2.642715,0.701676,1.294419,1.249377,0.147338,6.185874
0.020000,2.386464,2.640114,0.728065,1.319466,1.252355,0.148901,6.183083
0.020000,2.413217,2.637390,0.754957,1.344575,1.255417,0.153108,6.180305
0.020000,2.440463,2.634538,0.782352,1.369745,1.258519,0.155074,6.177542
0.020000,2.468203,2.631558,0.810251,1.394978,1.261673,0.157707,6.174799
0.020000,2.496438,2.628447,0.838657,1.420276,1.264884,0.160549,6.172078
0.020000,2.525168,2.625202,0.867570,1.445639,1.268148,0.163177,6.169384
0.020000,2.554395,2.621822,0.896991,1.471068,1.271459,0.165593,6.166720
0.020000,2.584119,2.618305,0.926922,1.496565,1.274824,0.168210,6.164090
0.020000,2.614341,2.614648,0.957365,1.522129,1.278237,0.170671,6.161498
0.020000,2.645062,2.610851,0.988320,1.547763,1.281700,0.173125,6.158947
0.020000,2.676284,2.606912,1.019790,1.573468,1.285213,0.175664,6.156442
0.020000,2.708007,2.602830,1.051774,1.599243,1.288773,0.178026,6.153987
0.020000,2.740233,2.598604,1.084276,1.625091,1.292383,0.180503,6.151586
0.020000,2.772963,2.594232,1.117297,1.651011,1.296029,0.182296,6.149242
0.020000,2.806197,2.589715,1.150837,1.677006,1.299746,0.185853,6.146960
0.020000,2.839938,2.585052,1.184898,1.703076,1.303483,0.186848,6.144745
0.020000,2.874186,2.580242,1.219483,1.729222,1.307290,0.190342,6.142600
0.020000,2.908944,2.575286,1.254592,1.755444,1.311131,0.192022,6.140530
0.020000,2.944212,2.570184,1.290226,1.781745,1.315020,0.194483,6.138539
0.020000,2.979991,2.564937,1.326389,1.808124,1.318960,0.196983,6.136631
0.020000,3.016285,2.559546,1.363081,1.834583,1.322950,0.199503,6.134812
0.020000,3.053093,2.554011,1.400303,1.861122,1.326972,0.201078,6.133086
0.020000,3.090419,2.548335,1.438058,1.887744,1.331071,0.204969,6.131456
0.020000,3.128264,2.542518,1.476347,1.914448,1.335184,0.205669,6.129929
0.020000,3.166629,2.536564,1.515172,1.941235,1.339378,0.209673,6.128508
0.020000,3.205517,2.530473,1.554534,1.968107,1.343609,0.211546,6.127199
0.020000,3.244930,2.524251,1.594435,1.995065,1.347893,0.214226,6.126005
0.020000,3.284871,2.517898,1.634877,2.022110,1.352226,0.216656,6.124933
0.020000,3.325340,2.511420,1.675862,2.049242,1.356619,0.219654,6.123987
0.020000,3.366341,2.504819,1.717391,2.076463,1.361069,0.222489,6.123171
0.020000,3.407877,2.498100,1.759467,2.103775,1.365570,0.225037,6.122492
0.020000,3.449950,2.491269,1.802090,2.131177,1.370129,0.227973,6.121954
0.020000,3.492562,2.484329,1.845264,2.158673,1.374753,0.231188,6.121562
0.020000,3.535716,2.477287,1.888989,2.186261,1.379434,0.234040,6.121322
0.020000,3.579416,2.470149,1.933268,2.213945,1.384177,0.237150,6.121239
0.020000,3.623664,2.462921,1.978102,2.241724,1.388985,0.240410,6.121318
0.020000,3.668463,2.455610,2.023494,2.269602,1.393856,0.243550,6.121565
0.020000,3.713817,2.448225,2.069446,2.297577,1.398795,0.246962,6.121986
0.020000,3.759730,2.440772,2.115959,2.325653,1.403800,0.250250,6.122586
0.020000,3.806203,2.433262,2.163036,2.353831,1.408872,0.253562,6.123370
0.020000,3.853242,2.425702,2.210678,2.382111,1.414012,0.257029,6.124345
0.020000,3.900849,2.418104,2.258888,2.410496,1.419219,0.260357,6.125516
0.020000,3.949029,2.410477,2.307668,2.438986,1.424504,0.264245,6.126890
0.020000,3.997785,2.402833,2.357019,2.467582,1.429838,0.266709,6.128472
0.020000,4.047121,2.395183,2.406945,2.496288,1.435257,0.270943,6.130269
0.020000,4.097042,2.387540,2.457447,2.525102,1.440724,0.273343,6.132286
0.020000,4.147550,2.379917,2.508527,2.554027,1.446264,0.276997,6.134530
0.020000,4.198651,2.372328,2.560189,2.583065,1.451860,0.279781,6.137007
0.020000,4.250285,2.364796,2.612370,2.609042,1.298881,-7.648923,6.139720
