dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660204,3.390999,0.000062,0.006184,0.309189,15.459469,6.283084
0.020000,1.660183,3.390999,0.000083,0.001070,-0.255668,-28.242854,6.283144
0.020000,1.660523,3.390999,0.000423,0.016999,0.796422,52.604463,0.000094
0.020000,1.661427,3.390999,0.001328,0.045221,1.411085,30.733157,0.000333
0.020000,1.662785,3.391000,0.002685,0.067881,1.133040,-13.902252,0.000689
0.020000,1.664597,3.391002,0.004497,0.090603,1.136071,0.151548,0.001158
0.020000,1.666865,3.391005,0.006765,0.113405,1.140112,0.202079,0.001735
0.020000,1.669591,3.391011,0.009492,0.136308,1.145165,0.252616,0.002416
0.020000,1.672778,3.391019,0.012678,0.159333,1.151228,0.303159,0.003193
0.020000,1.676428,3.391033,0.016328,0.182499,1.158302,0.353706,0.004058
0.020000,1.680544,3.391051,0.020445,0.205827,1.166387,0.404248,0.005002
0.020000,1.685131,3.391077,0.025031,0.229336,1.175483,0.454801,0.006016
0.020000,1.690192,3.391110,0.030092,0.253048,1.185589,0.505319,0.007087
0.020000,1.695731,3.391152,0.035632,0.276982,1.196706,0.555822,0.008202
0.020000,1.701754,3.391205,0.041655,0.301159,1.208832,0.606318,0.009350
0.020000,1.708266,3.391270,0.048167,0.325598,1.221967,0.656728,0.010513
0.020000,1.715272,3.391348,0.055174,0.350320,1.236110,0.707171,0.011678
0.020000,1.722778,3.391440,0.062681,0.375346,1.251260,0.757486,0.012826
0.020000,1.730792,3.391547,0.070694,0.400694,1.267416,0.807841,0.013940
0.020000,1.739318,3.391670,0.079222,0.426385,1.284578,0.858098,0.015000
0.020000,1.748366,3.391811,0.088271,0.452440,1.302746,0.908361,0.015986
0.020000,1.757942,3.391968,0.097849,0.478879,1.321918,0.958623,0.016876
0.020000,1.768055,3.392143,0.107963,0.505721,1.342096,1.008880,0.017648
0.020000,1.778713,3.392335,0.118623,0.532986,1.363280,1.059192,0.018277
0.020000,1.789925,3.392542,0.129837,0.560696,1.385472,1.109601,0.018739
0.020000,1.801701,3.392765,0.141614,0.588869,1.408674,1.160101,0.019007
0.020000,1.814049,3.393000,0.153964,0.617527,1.432889,1.210761,0.019055
0.020000,1.826980,3.393245,0.166898,0.646689,1.458121,1.261600,0.018854
0.020000,1.840505,3.393498,0.180426,0.676377,1.484374,1.312635,0.018374
0.020000,1.854635,3.393752,0.194558,0.706610,1.511651,1.363863,0.017586
0.020000,1.869381,3.394003,0.209306,0.737409,1.539956,1.415251,0.016456
0.020000,1.884755,3.394245,0.224682,0.768795,1.569290,1.466721,0.014952
0.020000,1.900770,3.394470,0.240698,0.800788,1.599653,1.518136,0.013040
0.020000,1.917437,3.394668,0.257366,0.833409,1.631039,1.569281,0.010684
0.020000,1.934769,3.394829,0.274700,0.866677,1.663435,1.619834,0.007848
0.020000,1.952781,3.394941,0.292712,0.900614,1.696822,1.669346,0.004495
0.020000,1.971486,3.394989,0.311417,0.935237,1.731166,1.717202,0.000586
0.020000,1.990897,3.394958,0.330828,0.970565,1.766418,1.762569,6.279266
0.020000,2.011029,3.394828,0.350960,1.006615,1.802506,1.804412,6.274124
0.020000,2.031896,3.394579,0.371828,1.043402,1.839333,1.841364,6.268305
0.020000,2.053511,3.394187,0.393447,1.080937,1.876767,1.871676,6.261766
0.020000,2.075888,3.393627,0.415832,1.119230,1.914636,1.893448,6.254464
0.020000,2.099042,3.392869,0.438997,1.158284,1.952711,1.903776,6.246357
0.020000,2.122983,3.391881,0.462959,1.198099,1.990713,1.900112,6.237401
0.020000,2.147725,3.390626,0.487733,1.238664,2.028282,1.878421,6.227556
0.020000,2.169357,3.389318,0.509404,1.083569,-7.754747,-489.151436,6.217297
0.020000,2.196971,3.387285,0.537093,1.384464,15.044719,1139.973288,6.202033
0.020000,2.225342,3.384748,0.565577,1.424174,1.985505,-652.960668,6.185927
0.020000,2.254470,3.381658,0.594868,1.464592,2.020905,1.769990,6.168937
0.020000,2.284361,3.377957,0.624988,1.505955,2.068167,2.363108,6.151014
0.020000,2.315011,3.373588,0.655948,1.548017,2.103073,1.745294,6.132116
0.020000,2.346418,3.368488,0.687766,1.590895,2.143888,2.040749,6.112196
0.020000,2.378573,3.362589,0.720457,1.634570,2.183754,1.993270,6.091211
0.020000,2.411462,3.355820,0.754036,1.678927,2.217875,1.706043,6.069121
0.020000,2.445067,3.348106,0.788515,1.723974,2.252340,1.723296,6.045890
0.020000,2.479363,3.339369,0.823906,1.769549,2.278756,1.320801,6.021487
0.020000,2.514313,3.329529,0.860215,1.815452,2.295172,0.820755,5.995893
0.020000,2.549875,3.318503,0.897447,1.861594,2.307052,0.594034,5.969094
0.020000,2.585993,3.306210,0.935600,1.907657,2.303172,-0.194017,5.941095
0.020000,2.622604,3.292570,0.974669,1.953443,2.289278,-0.694687,5.911912
0.020000,2.659627,3.277507,1.014640,1.998528,2.254298,-1.749013,5.881583
0.020000,2.696975,3.260950,1.055493,2.042659,2.206511,-2.389364,5.850164
0.020000,2.734544,3.242839,1.097200,2.085341,2.134106,-3.620257,5.817735
0.020000,2.772220,3.223124,1.139722,2.126116,2.038745,-4.768028,5.784403
0.020000,2.809880,3.201770,1.183015,2.164653,1.926839,-5.595293,5.750295
0.020000,2.847393,3.178757,1.227025,2.200481,1.791410,-6.771437,5.715563
0.020000,2.884625,3.154085,1.271688,2.233185,1.635210,-7.810020,5.680381
0.020000,2.921438,3.127773,1.316939,2.262509,1.466205,-8.450250,5.644942
0.020000,2.957703,3.099859,1.362702,2.288178,1.283448,-9.137870,5.609450
0.020000,2.993293,3.070398,1.408904,2.310077,1.094954,-9.424685,5.574118
0.020000,3.028096,3.039464,1.455468,2.328198,0.906047,-9.445356,5.539158
0.020000,3.062014,3.007143,1.502320,2.342597,0.719959,-9.304388,5.504779
0.020000,3.094967,2.973532,1.549389,2.353492,0.544728,-8.761574,5.471179
0.020000,3.126892,2.938735,1.596612,2.361150,0.382917,-8.090503,5.438539
0.020000,3.157746,2.902859,1.643931,2.365917,0.238360,-7.227893,5.407024
0.020000,3.187505,2.866013,1.691294,2.368185,0.113385,-6.248731,5.376772
0.020000,3.216165,2.828300,1.738661,2.368339,0.007714,-5.283553,5.347903
0.020000,3.243734,2.789821,1.785997,2.366803,-0.076798,-4.225589,5.320512
0.020000,3.270237,2.750669,1.833276,2.363938,-0.143256,-3.322883,5.294675
0.020000,3.295710,2.710931,1.880478,2.360084,-0.192720,-2.473247,5.270445
0.020000,3.320199,2.670685,1.927588,2.355536,-0.227400,-1.733969,5.247863
0.020000,3.343756,2.630002,1.974599,2.350539,-0.249824,-1.121182,5.226953
0.020000,3.366442,2.588948,2.021505,2.345287,-0.262637,-0.640694,5.207731
0.020000,3.388319,2.547578,2.068303,2.339904,-0.269102,-0.323254,5.190203
0.020000,3.409455,2.505946,2.114993,2.334497,-0.270395,-0.064642,5.174370
0.020000,3.429916,2.464098,2.161575,2.329099,-0.269882,0.025683,5.160233
0.020000,3.449774,2.422080,2.208049,2.323725,-0.268687,0.059714,5.147789
0.020000,3.469098,2.379932,2.254416,2.318333,-0.269628,-0.047017,5.137040
0.020000,3.487959,2.337695,2.300673,2.312858,-0.273729,-0.205055,5.127990
0.020000,3.506428,2.295408,2.346817,2.307207,-0.282537,-0.440418,5.120649
0.020000,3.524576,2.253112,2.392843,2.301257,-0.297506,-0.748434,5.115034
0.020000,3.542473,2.210848,2.438740,2.294857,-0.320027,-1.126079,5.111171
0.020000,3.560190,2.168660,2.484496,2.287826,-0.351554,-1.576314,5.109094
0.020000,3.577797,2.126598,2.530096,2.279968,-0.392867,-2.065645,5.108850
0.020000,3.595341,2.084767,2.575456,2.268026,-0.597088,-10.211065,5.110495
0.020000,3.612846,2.043334,2.620435,2.248954,-0.953605,-17.825836,5.114083
0.020000,3.630314,2.002508,2.664841,2.220307,-1.432380,-23.938785,5.119651
0.020000,3.647724,1.962546,2.708431,2.179482,-2.041233,-30.442645,5.127213
0.020000,3.665068,1.923648,2.751020,2.129468,-2.500699,-22.973271,5.136763
0.020000,3.682353,1.885953,2.792489,2.073452,-2.800793,-15.004703,5.148291
0.020000,3.699600,1.849551,2.832771,2.014075,-2.968882,-8.404490,5.161789
0.020000,3.716843,1.814477,2.871854,1.954161,-2.995663,-1.339004,5.177266
0.020000,3.734113,1.780763,2.909734,1.894016,-3.007259,-0.579845,5.194735
0.020000,3.751433,1.748437,2.946407,1.833654,-3.018133,-0.543661,5.214206
0.020000,3.768817,1.717527,2.981870,1.773143,-3.025509,-0.368837,5.235690
0.020000,3.786275,1.688058,3.016123,1.712610,-3.026655,-0.057281,5.259186
0.020000,3.803808,1.660048,3.049168,1.652268,-3.017113,0.477090,5.284685
0.020000,3.821416,1.633509,3.081016,1.592414,-2.992687,1.221322,5.312159
0.020000,3.839091,1.608446,3.111685,1.533425,-2.949441,2.162272,5.341558
0.020000,3.856825,1.584853,3.141200,1.475760,-2.883272,3.308458,5.372810
0.020000,3.874608,1.562711,3.169599,1.419949,-2.790537,4.636772,5.405810
0.020000,3.892434,1.541992,3.196931,1.366580,-2.668472,6.103228,5.440419
0.020000,3.910298,1.522656,3.223256,1.316266,-2.515701,7.638576,5.476467
0.020000,3.928201,1.504649,3.248648,1.269606,-2.333003,9.134877,5.513748
0.020000,3.946151,1.487911,3.273191,1.227145,-2.123027,10.498820,5.552026
0.020000,3.964162,1.472374,3.296977,1.189331,-1.890729,11.614868,5.591039
0.020000,3.982255,1.457965,3.320107,1.156477,-1.642657,12.403615,5.630509
0.020000,4.000456,1.444612,3.342681,1.128718,-1.387992,12.733266,5.670149
0.020000,4.018796,1.432244,3.364802,1.106018,-1.134995,12.649825,5.709675
0.020000,4.037305,1.420796,3.386565,1.088153,-0.893261,12.086689,5.748815
0.020000,4.056010,1.410208,3.408059,1.074721,-0.671584,11.083896,5.787318
0.020000,4.074937,1.400427,3.429364,1.065236,-0.474242,9.867097,5.824964
0.020000,4.094103,1.391408,3.450546,1.059083,-0.307646,8.329791,5.861566
0.020000,4.113517,1.383112,3.471658,1.055612,-0.173551,6.704735,5.896972
0.020000,4.138232,1.373382,3.498219,1.328084,13.623621,689.858604,5.912515
0.020000,4.166421,1.362543,3.528421,1.510070,9.099272,-226.217441,5.919581
0.020000,4.194429,1.351990,3.558351,1.496497,-0.678667,-488.896951,5.926020
0.020000,4.222239,1.341706,3.588001,1.482521,-0.698790,-1.006150,5.931854
0.020000,4.249835,1.331674,3.617364,1.468141,-0.719012,-1.011124,5.937105
0.020000,4.277202,1.321879,3.646431,1.453356,-0.739225,-1.010621,5.941797
0.020000,4.304326,1.312307,3.675195,1.438169,-0.759335,-1.005489,5.945951
0.020000,4.331193,1.302943,3.703646,1.422584,-0.779269,-0.996746,5.949591
0.020000,4.357789,1.293774,3.731778,1.406605,-0.798972,-0.985147,5.952739
0.020000,4.384101,1.284788,3.759583,1.390236,-0.818401,-0.971450,5.955416
0.020000,4.410119,1.275975,3.787053,1.373486,-0.837521,-0.955993,5.957644
0.020000,4.435829,1.267323,3.814180,1.356360,-0.856313,-0.939611,5.959444
0.020000,4.461222,1.258823,3.840957,1.338865,-0.874759,-0.922265,5.960836
0.020000,4.486286,1.250467,3.867377,1.321008,-0.892852,-0.904649,5.961842
0.020000,4.511011,1.242246,3.893433,1.302796,-0.910585,-0.886646,5.962481
