dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660168,3.035399,0.000062,0.006184,0.309189,15.459469,6.283084
0.020000,1.660168,3.035399,0.000309,0.018551,0.618379,15.459469,6.283144
0.020000,1.660557,3.035399,0.000866,0.037103,0.927568,15.459469,0.000094
0.020000,1.661546,3.035399,0.001855,0.061838,1.236757,15.459469,0.000333
0.020000,1.663030,3.035400,0.003339,0.086573,1.236757,-0.000000,0.000689
0.020000,1.665009,3.035402,0.005318,0.111308,1.236757,0.000000,0.001158
0.020000,1.667482,3.035405,0.007792,0.136043,1.236757,-0.000000,0.001735
0.020000,1.670451,3.035412,0.010760,0.160778,1.236757,0.000000,0.002416
0.020000,1.673913,3.035421,0.014223,0.185514,1.236757,0.000000,0.003193
0.020000,1.677871,3.035436,0.018180,0.210249,1.236757,-0.000000,0.004058
0.020000,1.682323,3.035456,0.022633,0.234984,1.236757,-0.000000,0.005002
0.020000,1.687270,3.035483,0.027580,0.259719,1.236757,0.000000,0.006016
0.020000,1.692712,3.035519,0.033021,0.284454,1.236757,-0.000000,0.007087
0.020000,1.698648,3.035564,0.038958,0.309189,1.236757,0.000000,0.008202
0.020000,1.705079,3.035621,0.045389,0.333925,1.236757,0.000000,0.009350
0.020000,1.712005,3.035689,0.052315,0.358660,1.236757,-0.000000,0.010513
0.020000,1.719425,3.035772,0.059735,0.383395,1.236757,0.000000,0.011678
0.020000,1.727339,3.035869,0.067651,0.408130,1.236757,0.000000,0.012826
0.020000,1.735749,3.035981,0.076061,0.432865,1.236757,-0.000000,0.013940
0.020000,1.744652,3.036110,0.084965,0.457600,1.236757,0.000000,0.015000
0.020000,1.754050,3.036256,0.094365,0.482335,1.236757,-0.000000,0.015986
0.020000,1.763943,3.036419,0.104259,0.507071,1.236757,0.000000,0.016876
0.020000,1.774330,3.036598,0.114647,0.531806,1.236757,0.000000,0.017648
0.020000,1.785212,3.036794,0.125531,0.556541,1.236757,0.000000,0.018277
0.020000,1.796588,3.037005,0.136909,0.581276,1.236757,-0.000000,0.018739
0.020000,1.808459,3.037229,0.148782,0.606011,1.236757,0.000000,0.019007
0.020000,1.820824,3.037465,0.161150,0.630746,1.236757,-0.000000,0.019055
0.020000,1.833684,3.037709,0.174012,0.655481,1.236757,0.000000,0.018854
0.020000,1.847039,3.037958,0.187369,0.680217,1.236757,-0.000000,0.018374
0.020000,1.860888,3.038207,0.201220,0.704952,1.236757,0.000000,0.017586
0.020000,1.875233,3.038452,0.215567,0.729687,1.236757,-0.000000,0.016456
0.020000,1.890072,3.038685,0.230408,0.754422,1.236757,0.000000,0.014952
0.020000,1.905406,3.038900,0.245744,0.779157,1.236757,-0.000000,0.013040
0.020000,1.921236,3.039088,0.261574,0.803892,1.236757,0.000000,0.010684
0.020000,1.937560,3.039240,0.277899,0.828628,1.236757,-0.000000,0.007848
0.020000,1.954380,3.039345,0.294719,0.853363,1.236757,0.000000,0.004495
0.020000,1.971694,3.039389,0.312034,0.878098,1.236757,0.000000,0.000586
0.020000,1.989504,3.039360,0.329843,0.902833,1.236757,-0.000000,6.279266
0.020000,2.007807,3.039242,0.348147,0.927568,1.236757,0.000000,6.274124
0.020000,2.026604,3.039018,0.366946,0.952303,1.236757,-0.000000,6.268305
0.020000,2.045895,3.038669,0.386239,0.977038,1.236757,0.000000,6.261766
0.020000,2.065677,3.038174,0.406027,1.001774,1.236757,-0.000000,6.254464
0.020000,2.085948,3.037510,0.426310,1.026509,1.236757,-0.000000,6.246357
0.020000,2.106708,3.036653,0.447088,1.051244,1.236757,0.000000,6.237401
0.020000,2.127953,3.035576,0.468360,1.075979,1.236757,-0.000000,6.227556
0.020000,2.145944,3.034490,0.490127,1.100714,1.236757,0.000000,6.217297
0.020000,2.168145,3.032855,0.512389,1.125449,1.236757,0.000000,6.202033
0.020000,2.190811,3.030829,0.535145,1.150184,1.236757,0.000000,6.185927
0.020000,2.213931,3.028376,0.558396,1.174920,1.236757,0.000000,6.168937
0.020000,2.237498,3.025459,0.582142,1.199655,1.236757,-0.000000,6.151014
0.020000,2.261495,3.022038,0.606382,1.224390,1.236757,0.000000,6.132116
0.020000,2.285910,3.018074,0.631117,1.249125,1.236757,0.000000,6.112196
0.020000,2.310725,3.013522,0.656347,1.273860,1.236757,-0.000000,6.091211
0.020000,2.335921,3.008337,0.682072,1.298595,1.236757,0.000000,6.069121
