dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.660133,2.679799,0.000062,0.006184,0.309189,15.459469,6.283084
0.020000,1.660154,2.679799,0.000083,0.001070,-0.255668,-28.242854,6.283144
0.020000,1.660590,2.679799,0.000519,0.021804,1.036653,64.616056,0.000094
0.020000,1.661664,2.679799,0.001594,0.053720,1.595827,27.958679,0.000333
0.020000,1.663275,2.679800,0.003204,0.080530,1.340475,-12.767584,0.000689
0.020000,1.665421,2.679802,0.005350,0.107278,1.337444,-0.151552,0.001158
0.020000,1.668099,2.679806,0.008029,0.133946,1.333403,-0.202079,0.001735
0.020000,1.671310,2.679813,0.011239,0.160513,1.328350,-0.252616,0.002416
0.020000,1.675049,2.679823,0.014978,0.186959,1.322287,-0.303159,0.003193
0.020000,1.679314,2.679839,0.019244,0.213264,1.315213,-0.353708,0.004058
0.020000,1.684102,2.679860,0.024032,0.239406,1.307128,-0.404261,0.005002
0.020000,1.689409,2.679889,0.029339,0.265367,1.298032,-0.454786,0.006016
0.020000,1.695232,2.679928,0.035161,0.291125,1.287926,-0.505324,0.007087
0.020000,1.701565,2.679976,0.041495,0.316661,1.276809,-0.555834,0.008202
0.020000,1.708404,2.680036,0.048334,0.341955,1.264683,-0.606290,0.009350
0.020000,1.715743,2.680109,0.055674,0.366986,1.251548,-0.656768,0.010513
0.020000,1.723577,2.680196,0.063508,0.391734,1.237405,-0.707121,0.011678
0.020000,1.731900,2.680298,0.071832,0.416179,1.222255,-0.757528,0.012826
0.020000,1.740705,2.680416,0.080638,0.440301,1.206099,-0.807801,0.013940
0.020000,1.749986,2.680550,0.089919,0.464080,1.188937,-0.858110,0.015000
0.020000,1.759735,2.680702,0.099669,0.487495,1.170769,-0.908362,0.015986
0.020000,1.769944,2.680869,0.109880,0.510527,1.151597,-0.958602,0.016876
0.020000,1.780606,2.681054,0.120543,0.533156,1.131420,-1.008884,0.017648
0.020000,1.791711,2.681253,0.131650,0.555360,1.110236,-1.059203,0.018277
0.020000,1.803251,2.681467,0.143193,0.577121,1.088044,-1.109585,0.018739
0.020000,1.815218,2.681693,0.155161,0.598418,1.064842,-1.160108,0.019007
0.020000,1.827600,2.681929,0.167546,0.619231,1.040626,-1.210771,0.019055
0.020000,1.840388,2.682172,0.180336,0.639538,1.015394,-1.261615,0.018854
0.020000,1.853573,2.682418,0.193523,0.659321,0.989141,-1.312656,0.018374
0.020000,1.867142,2.682662,0.207094,0.678559,0.961863,-1.363894,0.017586
0.020000,1.881084,2.682900,0.221039,0.697230,0.933557,-1.415293,0.016456
0.020000,1.895389,2.683125,0.235345,0.715314,0.904222,-1.466779,0.014952
0.020000,1.910043,2.683330,0.250001,0.732791,0.873857,-1.518213,0.013040
0.020000,1.925035,2.683509,0.264993,0.749641,0.842470,-1.569379,0.010684
0.020000,1.940351,2.683651,0.280310,0.765842,0.810071,-1.619958,0.007848
0.020000,1.955978,2.683748,0.295938,0.781376,0.776681,-1.669497,0.004495
0.020000,1.971903,2.683789,0.311862,0.796222,0.742333,-1.717378,0.000586
0.020000,1.988110,2.683763,0.328070,0.810364,0.707077,-1.762800,6.279266
0.020000,2.004585,2.683657,0.344545,0.823784,0.670984,-1.804676,6.274124
0.020000,2.021313,2.683458,0.361275,0.836467,0.634150,-1.841664,6.268305
0.020000,2.038279,2.683150,0.378243,0.848401,0.596708,-1.872111,6.261766
0.020000,2.055465,2.682721,0.395434,0.859577,0.558833,-1.893775,6.254464
0.020000,2.072855,2.682151,0.412834,0.869992,0.520745,-1.904402,6.246357
0.020000,2.090433,2.681426,0.430427,0.879647,0.482733,-1.900585,6.237401
0.020000,2.108181,2.680527,0.448198,0.888550,0.445150,-1.879120,6.227556
0.020000,2.122531,2.679661,0.462573,0.718770,-8.489006,-446.707840,6.217297
0.020000,2.139319,2.678426,0.479407,0.841680,6.145496,731.725112,6.202033
0.020000,2.156281,2.676909,0.496436,0.851471,0.489546,-282.797514,6.185927
0.020000,2.173393,2.675094,0.513645,0.860418,0.447376,-2.108475,6.168937
0.020000,2.190634,2.672960,0.531017,0.868641,0.411117,-1.812946,6.151014
0.020000,2.207979,2.670488,0.548537,0.875989,0.367423,-2.184708,6.132116
0.020000,2.225402,2.667660,0.566188,0.882551,0.328090,-1.966669,6.112196
0.020000,2.242877,2.664454,0.583955,0.888359,0.290434,-1.882787,6.091211
0.020000,2.260379,2.660853,0.601824,0.893431,0.253586,-1.842418,6.069121
0.020000,2.277882,2.656836,0.619782,0.897889,0.222896,-1.534458,6.045890
0.020000,2.295360,2.652384,0.637818,0.901815,0.196297,-1.329955,6.021487
0.020000,2.312790,2.647478,0.655925,0.905330,0.175733,-1.028204,5.995893
0.020000,2.330148,2.642097,0.674098,0.908671,0.167075,-0.432911,5.969094
0.020000,2.347416,2.636221,0.692339,0.912033,0.168102,0.051360,5.941095
0.020000,2.364579,2.629827,0.710654,0.915736,0.185155,0.852620,5.911912
0.020000,2.381624,2.622893,0.729055,0.920065,0.216421,1.563339,5.881583
0.020000,2.398545,2.615393,0.747564,0.925443,0.268935,2.625693,5.850164
0.020000,2.415340,2.607297,0.766209,0.932240,0.339802,3.543344,5.817735
0.020000,2.432013,2.598573,0.785026,0.940870,0.431514,4.585593,5.784403
0.020000,2.448572,2.589183,0.804062,0.951815,0.547278,5.788209,5.750295
0.020000,2.465032,2.579086,0.823372,0.965473,0.682864,6.779289,5.715563
0.020000,2.481407,2.568235,0.843016,0.982207,0.836693,7.691447,5.680381
0.020000,2.497716,2.556577,0.863063,1.002361,1.007730,8.551841,5.644942
0.020000,2.513978,2.544058,0.883586,1.026151,1.189479,9.087445,5.609450
0.020000,2.530211,2.530619,0.904660,1.053715,1.378199,9.436016,5.574118
0.020000,2.546431,2.516201,0.926362,1.085081,1.568327,9.506419,5.539158
0.020000,2.562648,2.500745,0.948765,1.120146,1.753256,9.246412,5.504779
0.020000,2.578871,2.484195,0.971940,1.158730,1.929197,8.797054,5.471179
0.020000,2.595102,2.466501,0.995951,1.200550,2.090975,8.088900,5.438539
0.020000,2.611339,2.447617,1.020856,1.245261,2.235554,7.228958,5.407024
0.020000,2.627580,2.427505,1.046705,1.292481,2.360986,6.271616,5.376772
0.020000,2.643815,2.406138,1.073541,1.341796,2.465755,5.238427,5.347903
0.020000,2.660037,2.383492,1.101398,1.392820,2.551235,4.274040,5.320512
0.020000,2.676237,2.359555,1.130301,1.445170,2.617481,3.312278,5.294675
0.020000,2.692409,2.334323,1.160271,1.498505,2.666738,2.462857,5.270445
0.020000,2.708548,2.307796,1.191322,1.552532,2.701361,1.731143,5.247863
0.020000,2.724652,2.279981,1.223462,1.607010,2.723919,1.127913,5.226953
