dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332707,1.023048,0.000062,0.006215,0.310749,15.537441,6.282530
0.020000,0.332687,1.023048,0.000081,0.000963,-0.262594,-28.667151,6.282584
0.020000,0.332644,1.023048,0.000125,0.002167,0.060177,16.138552,6.282706
0.020000,0.332567,1.023048,0.000202,0.003851,0.084202,1.201239,6.282923
0.020000,0.332737,1.023048,0.000372,0.008509,0.232936,7.436728,0.000062
0.020000,0.334572,1.023049,0.002207,0.091747,4.161904,196.448413,0.000495
0.020000,0.336866,1.023051,0.004501,0.114691,1.147171,-150.736660,0.001035
0.020000,0.339619,1.023054,0.007253,0.137639,1.147414,0.012143,0.001683
0.020000,0.342831,1.023061,0.010465,0.160594,1.147719,0.015237,0.002438
0.020000,0.346502,1.023071,0.014136,0.183554,1.148007,0.014389,0.003300
0.020000,0.350632,1.023087,0.018267,0.206526,1.148627,0.031036,0.004268
0.020000,0.355222,1.023109,0.022857,0.229501,1.148741,0.005696,0.005342
0.020000,0.360272,1.023139,0.027907,0.252492,1.149552,0.040521,0.006522
0.020000,0.365782,1.023179,0.033417,0.275491,1.149928,0.018794,0.007806
0.020000,0.371751,1.023229,0.039387,0.298501,1.150532,0.030243,0.009194
0.020000,0.378182,1.023293,0.045817,0.321527,1.151267,0.036749,0.010685
0.020000,0.385072,1.023372,0.052709,0.344567,1.152006,0.036907,0.012278
0.020000,0.392424,1.023469,0.060061,0.367620,1.152648,0.032127,0.013973
0.020000,0.400237,1.023585,0.067875,0.390692,1.153590,0.047108,0.015769
0.020000,0.408512,1.023723,0.076150,0.413782,1.154533,0.047162,0.017664
0.020000,0.417248,1.023886,0.084888,0.436890,1.155396,0.043148,0.019658
0.020000,0.426446,1.024077,0.094089,0.460021,1.156537,0.057038,0.021749
0.020000,0.436107,1.024298,0.103752,0.483172,1.157564,0.051358,0.023936
0.020000,0.446231,1.024552,0.113879,0.506346,1.158671,0.055326,0.026218
0.020000,0.456818,1.024842,0.124470,0.529545,1.159972,0.065047,0.028593
0.020000,0.467868,1.025172,0.135525,0.552771,1.161323,0.067545,0.031060
0.020000,0.479383,1.025544,0.147046,0.576024,1.162606,0.064144,0.033618
0.020000,0.491362,1.025963,0.159032,0.599306,1.164124,0.075940,0.036264
0.020000,0.503805,1.026431,0.171484,0.622619,1.165658,0.076674,0.038997
0.020000,0.516714,1.026953,0.184404,0.645962,1.167138,0.073988,0.041816
0.020000,0.530088,1.027532,0.197790,0.669342,1.168980,0.092121,0.044718
0.020000,0.543929,1.028172,0.211645,0.692755,1.170678,0.084889,0.047701
0.020000,0.558235,1.028877,0.225970,0.716205,1.172498,0.091019,0.050764
0.020000,0.573009,1.029651,0.240763,0.739693,1.174417,0.095951,0.053903
0.020000,0.588250,1.030498,0.256028,0.763225,1.176577,0.107998,0.057118
0.020000,0.603959,1.031422,0.271764,0.786794,1.178457,0.093971,0.060405
0.020000,0.620136,1.032428,0.287972,0.810411,1.180851,0.119718,0.063761
0.020000,0.636781,1.033519,0.304653,0.834071,1.182995,0.107225,0.067186
0.020000,0.653896,1.034701,0.321809,0.857779,1.185390,0.119749,0.070675
0.020000,0.671481,1.035977,0.339440,0.881536,1.187835,0.122231,0.074226
0.020000,0.689535,1.037353,0.357547,0.905344,1.190428,0.129660,0.077836
0.020000,0.708060,1.038832,0.376131,0.929205,1.193032,0.130179,0.081503
0.020000,0.727056,1.040419,0.395193,0.953120,1.195777,0.137254,0.085223
