dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332474,0.667448,0.000074,0.007442,0.372078,18.603904,6.282533
0.020000,0.332474,0.667448,0.000372,0.022325,0.744156,18.603904,6.282598
0.020000,0.332474,0.667448,0.001042,0.044649,1.116234,18.603904,6.282744
0.020000,0.332474,0.667448,0.002232,0.074416,1.488312,18.603904,6.283003
0.020000,0.333422,0.667448,0.004018,0.104182,1.488312,0.000000,0.000206
0.020000,0.335803,0.667450,0.006400,0.133948,1.488312,0.000000,0.000724
0.020000,0.338780,0.667453,0.009376,0.163714,1.488312,0.000000,0.001371
0.020000,0.342351,0.667459,0.012948,0.193481,1.488312,-0.000000,0.002146
0.020000,0.346519,0.667470,0.017116,0.223247,1.488312,0.000000,0.003050
0.020000,0.351281,0.667487,0.021878,0.253013,1.488312,-0.000000,0.004081
0.020000,0.356639,0.667512,0.027236,0.282779,1.488312,-0.000000,0.005238
0.020000,0.362592,0.667547,0.033189,0.312546,1.488312,0.000000,0.006522
0.020000,0.369141,0.667594,0.039738,0.342312,1.488312,-0.000000,0.007931
0.020000,0.376284,0.667656,0.046882,0.372078,1.488312,0.000000,0.009465
0.020000,0.384023,0.667736,0.054621,0.401844,1.488312,-0.000000,0.011121
0.020000,0.392357,0.667836,0.062956,0.431611,1.488312,0.000000,0.012901
0.020000,0.401286,0.667960,0.071885,0.461377,1.488312,0.000000,0.014801
0.020000,0.410810,0.668110,0.081411,0.491143,1.488312,0.000000,0.016821
0.020000,0.420929,0.668291,0.091531,0.520909,1.488312,-0.000000,0.018960
0.020000,0.431643,0.668507,0.102247,0.550676,1.488312,0.000000,0.021216
0.020000,0.442951,0.668760,0.113558,0.580442,1.488312,-0.000000,0.023587
0.020000,0.454854,0.669056,0.125465,0.610208,1.488312,0.000000,0.026072
0.020000,0.467351,0.669398,0.137967,0.639974,1.488312,0.000000,0.028669
0.020000,0.480442,0.669791,0.151064,0.669741,1.488312,0.000000,0.031376
0.020000,0.494127,0.670240,0.164756,0.699507,1.488312,-0.000000,0.034191
0.020000,0.508406,0.670749,0.179044,0.729273,1.488312,0.000000,0.037112
0.020000,0.523278,0.671324,0.193927,0.759039,1.488312,0.000000,0.040136
0.020000,0.538743,0.671969,0.209406,0.788806,1.488312,0.000000,0.043261
0.020000,0.554801,0.672690,0.225479,0.818572,1.488312,-0.000000,0.046485
0.020000,0.571450,0.673492,0.242148,0.848338,1.488312,0.000000,0.049805
0.020000,0.588692,0.674381,0.259413,0.878104,1.488312,0.000000,0.053218
0.020000,0.606525,0.675363,0.277273,0.907871,1.488312,-0.000000,0.056721
0.020000,0.624948,0.676442,0.295728,0.937637,1.488312,0.000000,0.060312
0.020000,0.643962,0.677625,0.314778,0.967403,1.488312,0.000000,0.063986
0.020000,0.663565,0.678918,0.334424,0.997169,1.488312,0.000000,0.067741
0.020000,0.683757,0.680327,0.354665,1.026936,1.488312,-0.000000,0.071573
0.020000,0.704537,0.681858,0.375501,1.056702,1.488312,0.000000,0.075478
0.020000,0.725904,0.683516,0.396933,1.086468,1.488312,-0.000000,0.079453
0.020000,0.747858,0.685309,0.418960,1.116234,1.488312,0.000000,0.083494
0.020000,0.770398,0.687242,0.441582,1.146000,1.488312,0.000000,0.087596
0.020000,0.793522,0.689321,0.464800,1.175767,1.488312,0.000000,0.091756
0.020000,0.817230,0.691553,0.488613,1.205533,1.488312,0.000000,0.095968
0.020000,0.841521,0.693944,0.513021,1.235299,1.488312,0.000000,0.100229
0.020000,0.866394,0.696500,0.538025,1.265065,1.488312,-0.000000,0.104534
0.020000,0.891847,0.699226,0.563624,1.294832,1.488312,0.000000,0.108878
0.020000,0.917880,0.702130,0.589818,1.324598,1.488312,0.000000,0.113256
0.020000,0.944491,0.705216,0.616608,1.354364,1.488312,-0.000000,0.117662
0.020000,0.971680,0.708491,0.643993,1.384130,1.488312,0.000000,0.122092
0.020000,0.999444,0.711961,0.671973,1.413897,1.488312,0.000000,0.126541
0.020000,1.027783,0.715631,0.700549,1.443663,1.488312,0.000000,0.131002
0.020000,1.056695,0.719506,0.729720,1.473429,1.488312,0.000000,0.135470
0.020000,1.086180,0.723592,0.759486,1.503195,1.488312,0.000000,0.139939
0.020000,1.116235,0.727894,0.789847,1.532962,1.488312,0.000000,0.144404
0.020000,1.146860,0.732418,0.820804,1.562728,1.488312,0.000000,0.148858
0.020000,1.178052,0.737167,0.852356,1.592494,1.488312,-0.000000,0.153296
0.020000,1.209812,0.742146,0.884504,1.622260,1.488312,-0.000000,0.157710
0.020000,1.242137,0.747360,0.917247,1.652027,1.488312,0.000000,0.162095
0.020000,1.275026,0.752812,0.950585,1.681793,1.488312,-0.000000,0.166443
0.020000,1.308479,0.758506,0.984519,1.711559,1.488312,0.000000,0.170749
0.020000,1.342493,0.764446,1.019047,1.741325,1.488312,0.000000,0.175006
0.020000,1.377067,0.770635,1.054172,1.771092,1.488312,-0.000000,0.179207
0.020000,1.412201,0.777075,1.089891,1.800858,1.488312,0.000000,0.183344
0.020000,1.447894,0.783768,1.126206,1.830624,1.488312,-0.000000,0.187412
0.020000,1.484144,0.790718,1.163116,1.860390,1.488312,0.000000,0.191402
0.020000,1.520950,0.797925,1.200622,1.890157,1.488312,0.000000,0.195309
0.020000,1.558312,0.805391,1.238722,1.919923,1.488312,-0.000000,0.199124
0.020000,1.596230,0.813117,1.277418,1.949689,1.488312,0.000000,0.202840
0.020000,1.634701,0.821102,1.316710,1.979455,1.488312,0.000000,0.206449
0.020000,1.673726,0.829347,1.356597,2.009222,1.488312,0.000000,0.209945
0.020000,1.713305,0.837851,1.397079,2.038988,1.488312,-0.000000,0.213320
0.020000,1.753437,0.846613,1.438156,2.068754,1.488312,-0.000000,0.216566
0.020000,1.794122,0.855632,1.479829,2.098520,1.488312,0.000000,0.219675
0.020000,1.835361,0.864904,1.522097,2.128287,1.488312,-0.000000,0.222640
