dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.332241,0.311848,0.000062,0.006215,0.310749,15.537441,6.282530
0.020000,0.332260,0.311848,0.000081,0.000963,-0.262594,-28.667151,6.282584
0.020000,0.332303,0.311848,0.000125,0.002167,0.060177,16.138552,6.282706
0.020000,0.332380,0.311848,0.000202,0.003851,0.084202,1.201239,6.282923
0.020000,0.332781,0.311848,0.000603,0.020056,0.810272,36.303536,0.000062
0.020000,0.334924,0.311849,0.002746,0.107134,4.353884,177.180576,0.000495
0.020000,0.337602,0.311851,0.005424,0.133909,1.338769,-150.755745,0.001035
0.020000,0.340816,0.311855,0.008637,0.160680,1.338526,-0.012152,0.001683
0.020000,0.344565,0.311863,0.012386,0.187445,1.338247,-0.013932,0.002438
0.020000,0.348849,0.311875,0.016670,0.214201,1.337840,-0.020382,0.003300
0.020000,0.353668,0.311894,0.021489,0.240956,1.337710,-0.006497,0.004268
0.020000,0.359022,0.311919,0.026843,0.267693,1.336876,-0.041690,0.005342
0.020000,0.364910,0.311954,0.032732,0.294428,1.336740,-0.006790,0.006522
0.020000,0.371333,0.312000,0.039155,0.321148,1.335981,-0.037970,0.007806
0.020000,0.378290,0.312059,0.046112,0.347855,1.335369,-0.030568,0.009194
0.020000,0.385780,0.312134,0.053603,0.374551,1.334788,-0.029068,0.010685
0.020000,0.393804,0.312226,0.061627,0.401232,1.334086,-0.035102,0.012278
0.020000,0.402362,0.312338,0.070185,0.427895,1.333146,-0.047019,0.013973
0.020000,0.411451,0.312474,0.079276,0.454544,1.332424,-0.036081,0.015769
0.020000,0.421074,0.312634,0.088900,0.481175,1.331570,-0.042686,0.017664
0.020000,0.431228,0.312824,0.099055,0.507785,1.330487,-0.054171,0.019658
0.020000,0.441913,0.313045,0.109743,0.534377,1.329587,-0.045009,0.021749
0.020000,0.453129,0.313301,0.120962,0.560945,1.328411,-0.058766,0.023936
0.020000,0.464875,0.313596,0.132712,0.587489,1.327182,-0.061475,0.026218
0.020000,0.477150,0.313933,0.144992,0.614009,1.326028,-0.057693,0.028593
0.020000,0.489955,0.314315,0.157802,0.640505,1.324778,-0.062478,0.031060
0.020000,0.503287,0.314746,0.171141,0.666971,1.323293,-0.074266,0.033618
0.020000,0.517147,0.315230,0.185010,0.693409,1.321921,-0.068625,0.036264
0.020000,0.531533,0.315772,0.199406,0.719817,1.320401,-0.075977,0.038997
0.020000,0.546445,0.316375,0.214330,0.746190,1.318652,-0.087437,0.041816
0.020000,0.561881,0.317043,0.229780,0.772533,1.317152,-0.075014,0.044718
0.020000,0.577841,0.317781,0.245757,0.798839,1.315311,-0.092064,0.047701
0.020000,0.594323,0.318593,0.262259,0.825108,1.313434,-0.093824,0.050764
0.020000,0.611326,0.319484,0.279286,0.851338,1.311492,-0.097123,0.053903
0.020000,0.628850,0.320458,0.296837,0.877531,1.309644,-0.092390,0.057118
0.020000,0.646892,0.321519,0.314910,0.903676,1.307289,-0.117770,0.060405
0.020000,0.665452,0.322673,0.333506,0.929783,1.305338,-0.097549,0.063761
0.020000,0.684528,0.323924,0.352623,0.955841,1.302910,-0.121372,0.067186
0.020000,0.704118,0.325276,0.372260,0.981853,1.300579,-0.116563,0.070675
0.020000,0.724222,0.326736,0.392416,1.007815,1.298112,-0.123366,0.074226
0.020000,0.744837,0.328306,0.413091,1.033728,1.295620,-0.124579,0.077836
0.020000,0.765961,0.329993,0.434282,1.059587,1.292945,-0.133743,0.081503
0.020000,0.787593,0.331800,0.455990,1.085391,1.290236,-0.135454,0.085223
0.020000,0.809732,0.333734,0.478213,1.111139,1.287383,-0.142659,0.088992
0.020000,0.832375,0.335798,0.500950,1.136829,1.284497,-0.144310,0.092809
0.020000,0.855520,0.337997,0.524199,1.162459,1.281483,-0.150663,0.096668
0.020000,0.879165,0.340336,0.547959,1.188026,1.278360,-0.156177,0.100568
0.020000,0.903308,0.342821,0.572230,1.213531,1.275283,-0.153862,0.104503
0.020000,0.927947,0.345455,0.597009,1.238969,1.271888,-0.169723,0.108471
0.020000,0.953079,0.348242,0.622296,1.264340,1.268565,-0.166148,0.112468
0.020000,0.978704,0.351189,0.648089,1.289643,1.265128,-0.171884,0.116490
0.020000,1.004817,0.354298,0.674386,1.314875,1.261578,-0.177491,0.120533
0.020000,1.031416,0.357575,0.701187,1.340033,1.257925,-0.182618,0.124593
0.020000,1.058500,0.361023,0.728489,1.365118,1.254254,-0.183577,0.128665
0.020000,1.086065,0.364647,0.756292,1.390126,1.250415,-0.191960,0.132745
0.020000,1.114110,0.368450,0.784593,1.415058,1.246573,-0.192064,0.136830
0.020000,1.142631,0.372437,0.813391,1.439910,1.242606,-0.198371,0.140914
0.020000,1.171625,0.376610,0.842685,1.464682,1.238581,-0.201245,0.144993
0.020000,1.201091,0.380974,0.872472,1.489371,1.234449,-0.206597,0.149063
0.020000,1.231026,0.385532,0.902752,1.513976,1.230262,-0.209348,0.153118
0.020000,1.261426,0.390287,0.933522,1.538496,1.226020,-0.212098,0.157154
0.020000,1.292290,0.395241,0.964780,1.562930,1.221689,-0.216552,0.161166
0.020000,1.323614,0.400398,0.996526,1.587276,1.217287,-0.220095,0.165150
0.020000,1.355395,0.405760,1.028757,1.611532,1.212827,-0.223017,0.169099
0.020000,1.387632,0.411329,1.061470,1.635699,1.208311,-0.225797,0.173009
0.020000,1.420320,0.417107,1.094666,1.659773,1.203712,-0.229960,0.176875
0.020000,1.453459,0.423095,1.128341,1.683754,1.199072,-0.231989,0.180692
0.020000,1.487044,0.429296,1.162494,1.707641,1.194364,-0.235404,0.184454
0.020000,1.521073,0.435711,1.197123,1.731434,1.189604,-0.238009,0.188156
0.020000,1.555544,0.442340,1.232225,1.755129,1.184788,-0.240776,0.191793
0.020000,1.590454,0.449184,1.267800,1.778728,1.179921,-0.243374,0.195358
0.020000,1.625801,0.456243,1.303844,1.802228,1.174991,-0.246474,0.198847
0.020000,1.661581,0.463517,1.340357,1.825628,1.170029,-0.248115,0.202254
0.020000,1.697794,0.471005,1.377335,1.848928,1.165003,-0.251271,0.205573
0.020000,1.734436,0.478708,1.414778,1.872127,1.159928,-0.253795,0.208799
0.020000,1.771504,0.486623,1.452682,1.895223,1.154806,-0.256080,0.211926
0.020000,1.808998,0.494750,1.491047,1.918216,1.149640,-0.258276,0.214947
0.020000,1.846914,0.503086,1.529869,1.941104,1.144421,-0.260955,0.217858
0.020000,1.885252,0.511630,1.569146,1.963887,1.139145,-0.263798,0.220652
0.020000,1.924008,0.520378,1.608878,1.986564,1.133825,-0.265996,0.223323
0.020000,1.963181,0.529328,1.649060,2.009133,1.128458,-0.268351,0.225865
0.020000,2.002770,0.538475,1.689692,2.031593,1.123033,-0.271271,0.228272
0.020000,2.042773,0.547817,1.730771,2.053944,1.117549,-0.274198,0.230539
0.020000,2.083188,0.557349,1.772295,2.076185,1.112009,-0.276980,0.232657
0.020000,2.124013,0.567065,1.814261,2.098313,1.106423,-0.279342,0.234623
0.020000,2.165249,0.576962,1.856668,2.120328,1.100763,-0.282990,0.236428
0.020000,2.206893,0.587032,1.899512,2.142229,1.095036,-0.286330,0.238067
0.020000,2.248945,0.597270,1.942793,2.164014,1.089247,-0.289445,0.239532
0.020000,2.291404,0.607669,1.986506,2.185682,1.083391,-0.292805,0.240819
0.020000,2.334269,0.618222,2.030651,2.207231,1.077462,-0.296447,0.241919
0.020000,2.377539,0.628920,2.075224,2.228660,1.071439,-0.301148,0.242826
0.020000,2.421214,0.639757,2.120223,2.249967,1.065357,-0.304126,0.243533
0.020000,2.465294,0.650721,2.165646,2.271150,1.059176,-0.309025,0.244034
0.020000,2.509778,0.661805,2.211491,2.292209,1.052910,-0.313294,0.244320
0.020000,2.554666,0.672999,2.257753,2.313140,1.046553,-0.317874,0.244386
0.020000,2.599959,0.684290,2.304432,2.333942,1.040099,-0.322687,0.244224
0.020000,2.645656,0.695669,2.351524,2.354613,1.033548,-0.327571,0.243825
0.020000,2.691757,0.707123,2.399027,2.375151,1.026895,-0.332631,0.243184
0.020000,2.738263,0.718640,2.446938,2.395553,1.020137,-0.337919,0.242292
0.020000,2.785175,0.730207,2.495255,2.415819,1.013275,-0.343104,0.241142
0.020000,2.832492,0.741809,2.543974,2.435945,1.006304,-0.348549,0.239726
0.020000,2.880216,0.753432,2.593092,2.455930,0.999237,-0.353353,0.238035
0.020000,2.928346,0.765061,2.642608,2.475770,0.992045,-0.359599,0.236062
0.020000,2.976884,0.776680,2.692517,2.495466,0.984776,-0.363441,0.233798
0.020000,3.025830,0.788272,2.742817,2.515014,0.977383,-0.369640,0.231236
0.020000,3.075186,0.799819,2.793506,2.534412,0.969909,-0.373704,0.228367
0.020000,3.124951,0.811303,2.844579,2.553659,0.962346,-0.378170,0.225182
0.020000,3.175127,0.822705,2.896034,2.572753,0.954726,-0.381000,0.221673
0.020000,3.225714,0.834006,2.947868,2.591693,0.947000,-0.386265,0.217830
0.020000,3.276713,0.845184,3.000077,2.610479,0.939274,-0.386305,0.213646
0.020000,3.328125,0.856217,3.052659,2.629109,0.931488,-0.389310,0.209112
0.020000,3.376488,0.866367,3.102077,2.470857,-7.912586,-442.203710,0.204472
0.020000,3.428106,0.876879,3.154754,2.633888,8.151557,803.207135,0.197410
0.020000,3.480404,0.887155,3.208052,2.664864,1.548811,-330.137300,0.190692
0.020000,3.533379,0.897204,3.261972,2.696024,1.557995,0.459223,0.184329
0.020000,3.587033,0.907039,3.316519,2.727366,1.567074,0.453969,0.178330
0.020000,3.641363,0.916672,3.371697,2.758885,1.575993,0.445954,0.172706
0.020000,3.696370,0.926117,3.427509,2.790581,1.584772,0.438909,0.167466
0.020000,3.752052,0.935389,3.483958,2.822453,1.593588,0.440816,0.162620
0.020000,3.808409,0.944505,3.541048,2.854499,1.602329,0.437033,0.158179
0.020000,3.865442,0.953482,3.598782,2.886720,1.611051,0.436132,0.154152
0.020000,3.923148,0.962340,3.657165,2.919118,1.619905,0.442700,0.150548
0.020000,3.981529,0.971099,3.716198,2.951694,1.628783,0.443902,0.147379
