dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003598,1.002467,0.000062,0.006206,0.310292,15.514585,6.281856
0.020000,0.003574,1.002467,0.000086,0.001180,-0.251276,-28.078386,6.281923
0.020000,0.003521,1.002467,0.000139,0.002655,0.073738,16.250709,6.282072
0.020000,0.003426,1.002468,0.000233,0.004718,0.103145,1.470365,6.282337
0.020000,0.003285,1.002468,0.000375,0.007072,0.117691,0.727301,6.282735
0.020000,0.003395,1.002468,0.000484,0.005483,-0.079416,-9.855387,0.000079
0.020000,0.005642,1.002469,0.002731,0.112358,5.343722,271.156930,0.000741
0.020000,0.008339,1.002472,0.005428,0.134852,1.124705,-210.950862,0.001533
0.020000,0.011486,1.002478,0.008576,0.157359,1.125340,0.031740,0.002456
0.020000,0.015084,1.002489,0.012173,0.179880,1.126061,0.036059,0.003508
0.020000,0.019132,1.002505,0.016222,0.202418,1.126892,0.041552,0.004689
0.020000,0.023631,1.002529,0.020721,0.224975,1.127832,0.046972,0.005997
0.020000,0.028582,1.002563,0.025672,0.247552,1.128877,0.052261,0.007431
0.020000,0.033985,1.002607,0.031075,0.270153,1.130031,0.057733,0.008991
0.020000,0.039841,1.002665,0.036931,0.292779,1.131296,0.063205,0.010674
0.020000,0.046149,1.002738,0.043239,0.315431,1.132644,0.067398,0.012479
0.020000,0.052910,1.002828,0.050002,0.338115,1.134164,0.076029,0.014404
0.020000,0.060126,1.002940,0.057218,0.360829,1.135710,0.077273,0.016448
0.020000,0.067797,1.003074,0.064890,0.383578,1.137463,0.087667,0.018609
0.020000,0.075922,1.003235,0.073017,0.406363,1.139250,0.089360,0.020885
0.020000,0.084504,1.003424,0.081601,0.429187,1.141165,0.095741,0.023272
0.020000,0.093542,1.003646,0.090642,0.452051,1.143236,0.103559,0.025770
0.020000,0.103038,1.003903,0.100141,0.474959,1.145395,0.107963,0.028376
0.020000,0.112992,1.004199,0.110099,0.497913,1.147680,0.114210,0.031087
0.020000,0.123404,1.004538,0.120517,0.520912,1.149983,0.115188,0.033901
0.020000,0.134277,1.004922,0.131397,0.543964,1.152582,0.129929,0.036814
0.020000,0.145610,1.005357,0.142738,0.567068,1.155220,0.131897,0.039824
0.020000,0.157404,1.005845,0.154543,0.590225,1.157836,0.130806,0.042927
0.020000,0.169661,1.006391,0.166811,0.613441,1.160803,0.148359,0.046121
0.020000,0.182381,1.006999,0.179546,0.636717,1.163774,0.148555,0.049402
0.020000,0.195565,1.007673,0.192747,0.660052,1.166762,0.149410,0.052767
0.020000,0.209213,1.008418,0.206416,0.683452,1.170001,0.161919,0.056212
0.020000,0.223328,1.009237,0.220554,0.706919,1.173345,0.167231,0.059733
0.020000,0.237909,1.010135,0.235163,0.730453,1.176731,0.169269,0.063326
0.020000,0.252959,1.011117,0.250244,0.754058,1.180205,0.173715,0.066988
0.020000,0.268476,1.012188,0.265799,0.777737,1.183968,0.188160,0.070715
0.020000,0.284464,1.013351,0.281829,0.801492,1.187729,0.188027,0.074501
0.020000,0.300922,1.014611,0.298335,0.825319,1.191387,0.182918,0.078344
0.020000,0.317852,1.015973,0.315320,0.849230,1.195555,0.208409,0.082238
0.020000,0.335255,1.017442,0.332784,0.873223,1.199612,0.202838,0.086178
0.020000,0.353131,1.019023,0.350730,0.897293,1.203516,0.195210,0.090161
0.020000,0.371482,1.020719,0.369159,0.921453,1.207985,0.223431,0.094181
0.020000,0.390308,1.022536,0.388073,0.945699,1.212310,0.216244,0.098234
0.020000,0.409611,1.024478,0.407474,0.970034,1.216753,0.222157,0.102314
0.020000,0.429392,1.026550,0.427363,0.994458,1.221186,0.221625,0.106417
0.020000,0.449652,1.028757,0.447743,1.018973,1.225752,0.228340,0.110537
0.020000,0.470391,1.031102,0.468614,1.043586,1.230666,0.245697,0.114669
0.020000,0.491612,1.033591,0.489980,1.068289,1.235164,0.224897,0.118807
0.020000,0.513314,1.036227,0.511842,1.093094,1.240260,0.254773,0.122947
0.020000,0.535499,1.039015,0.534202,1.117990,1.244800,0.227022,0.127082
0.020000,0.558169,1.041960,0.557062,1.142992,1.250079,0.263950,0.131208
0.020000,0.581324,1.045064,0.580424,1.168093,1.255035,0.247774,0.135318
0.020000,0.604965,1.048332,0.604289,1.193294,1.260082,0.252371,0.139406
0.020000,0.629093,1.051768,0.628661,1.218599,1.265221,0.256944,0.143468
0.020000,0.653711,1.055375,0.653542,1.244008,1.270450,0.261445,0.147496
0.020000,0.678818,1.059157,0.678932,1.269523,1.275766,0.265825,0.151486
0.020000,0.704416,1.063116,0.704835,1.295142,1.280965,0.259929,0.155431
0.020000,0.730507,1.067257,0.731252,1.320867,1.286246,0.264081,0.159325
0.020000,0.757092,1.071582,0.758186,1.346705,1.291885,0.281944,0.163162
0.020000,0.784171,1.076092,0.785639,1.372647,1.297074,0.259442,0.166936
0.020000,0.811748,1.080792,0.813613,1.398699,1.302621,0.277353,0.170641
0.020000,0.839822,1.085683,0.842111,1.424864,1.308240,0.280956,0.174271
0.020000,0.868396,1.090766,0.871133,1.451139,1.313738,0.274890,0.177819
0.020000,0.897472,1.096044,0.900684,1.477525,1.319314,0.278796,0.181279
0.020000,0.927050,1.101517,0.930764,1.504024,1.324967,0.282632,0.184645
0.020000,0.957133,1.107187,0.961377,1.530638,1.330694,0.286365,0.187910
0.020000,0.987723,1.113054,0.992524,1.557368,1.336493,0.289962,0.191068
0.020000,1.018821,1.119119,1.024209,1.584209,1.342049,0.277780,0.194113
0.020000,1.050430,1.125381,1.056432,1.611171,1.348102,0.302668,0.197037
0.020000,1.082552,1.131841,1.089197,1.638249,1.353889,0.289317,0.199834
0.020000,1.115189,1.138497,1.122506,1.665449,1.360000,0.305595,0.202498
0.020000,1.148344,1.145348,1.156361,1.692763,1.365691,0.284512,0.205022
0.020000,1.182019,1.152393,1.190765,1.720203,1.372034,0.317157,0.207398
0.020000,1.216217,1.159630,1.225721,1.747766,1.378153,0.305973,0.209621
0.020000,1.250941,1.167055,1.261230,1.775454,1.384382,0.311445,0.211682
0.020000,1.286194,1.174666,1.297295,1.803268,1.390723,0.317050,0.213575
0.020000,1.321980,1.182460,1.333919,1.831212,1.397176,0.322659,0.215293
