dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003125,0.646868,0.000062,0.006206,0.310292,15.514585,6.281856
0.020000,0.003125,0.646868,0.000310,0.018618,0.620583,15.514585,6.281923
0.020000,0.003125,0.646868,0.000869,0.037235,0.930875,15.514585,6.282072
0.020000,0.003125,0.646868,0.001862,0.062058,1.241167,15.514585,6.282337
0.020000,0.003125,0.646868,0.003351,0.086882,1.241167,0.000000,6.282735
0.020000,0.003423,0.646868,0.005337,0.111705,1.241167,-0.000000,0.000079
0.020000,0.005905,0.646869,0.007819,0.136528,1.241167,0.000000,0.000741
0.020000,0.008884,0.646872,0.010798,0.161352,1.241167,-0.000000,0.001533
0.020000,0.012359,0.646879,0.014273,0.186175,1.241167,0.000000,0.002456
0.020000,0.016331,0.646891,0.018245,0.210998,1.241167,0.000000,0.003508
0.020000,0.020799,0.646909,0.022713,0.235822,1.241167,-0.000000,0.004689
0.020000,0.025764,0.646936,0.027678,0.260645,1.241167,0.000000,0.005997
0.020000,0.031225,0.646972,0.033139,0.285468,1.241167,0.000000,0.007431
0.020000,0.037182,0.647021,0.039097,0.310292,1.241167,-0.000000,0.008991
0.020000,0.043636,0.647085,0.045551,0.335115,1.241167,0.000000,0.010674
0.020000,0.050586,0.647165,0.052501,0.359938,1.241167,-0.000000,0.012479
0.020000,0.058032,0.647265,0.059948,0.384762,1.241167,0.000000,0.014404
0.020000,0.065975,0.647388,0.067892,0.409585,1.241167,0.000000,0.016448
0.020000,0.074414,0.647536,0.076332,0.434408,1.241167,-0.000000,0.018609
0.020000,0.083348,0.647712,0.085268,0.459232,1.241167,0.000000,0.020885
0.020000,0.092779,0.647921,0.094701,0.484055,1.241167,0.000000,0.023272
0.020000,0.102705,0.648164,0.104630,0.508878,1.241167,-0.000000,0.025770
0.020000,0.113127,0.648446,0.115056,0.533702,1.241167,0.000000,0.028376
0.020000,0.124045,0.648771,0.125978,0.558525,1.241167,0.000000,0.031087
0.020000,0.135457,0.649142,0.137397,0.583348,1.241167,-0.000000,0.033901
0.020000,0.147365,0.649563,0.149312,0.608172,1.241167,0.000000,0.036814
0.020000,0.159768,0.650039,0.161724,0.632995,1.241167,0.000000,0.039824
0.020000,0.172665,0.650573,0.174632,0.657818,1.241167,-0.000000,0.042927
0.020000,0.186056,0.651169,0.188037,0.682642,1.241167,0.000000,0.046121
0.020000,0.199941,0.651833,0.201938,0.707465,1.241167,-0.000000,0.049402
0.020000,0.214320,0.652568,0.216335,0.732288,1.241167,0.000000,0.052767
0.020000,0.229192,0.653379,0.231229,0.757112,1.241167,0.000000,0.056212
0.020000,0.244556,0.654271,0.246620,0.781935,1.241167,-0.000000,0.059733
0.020000,0.260413,0.655248,0.262507,0.806758,1.241167,0.000000,0.063326
0.020000,0.276762,0.656315,0.278890,0.831582,1.241167,-0.000000,0.066988
0.020000,0.293602,0.657476,0.295770,0.856405,1.241167,0.000000,0.070715
0.020000,0.310932,0.658737,0.313146,0.881228,1.241167,-0.000000,0.074501
0.020000,0.328753,0.660102,0.331019,0.906052,1.241167,0.000000,0.078344
0.020000,0.347063,0.661575,0.349388,0.930875,1.241167,-0.000000,0.082238
0.020000,0.365862,0.663162,0.368254,0.955698,1.241167,0.000000,0.086178
0.020000,0.385149,0.664867,0.387616,0.980522,1.241167,-0.000000,0.090161
0.020000,0.404923,0.666695,0.407475,1.005345,1.241167,0.000000,0.094181
0.020000,0.425184,0.668650,0.427830,1.030168,1.241167,-0.000000,0.098234
0.020000,0.445931,0.670738,0.448682,1.054992,1.241167,0.000000,0.102314
0.020000,0.467163,0.672962,0.470030,1.079815,1.241167,-0.000000,0.106417
0.020000,0.488879,0.675327,0.491874,1.104638,1.241167,0.000000,0.110537
0.020000,0.511078,0.677837,0.514215,1.129462,1.241167,0.000000,0.114669
0.020000,0.533760,0.680498,0.537053,1.154285,1.241167,0.000000,0.118807
0.020000,0.556924,0.683311,0.560387,1.179108,1.241167,-0.000000,0.122947
0.020000,0.580568,0.686283,0.584217,1.203932,1.241167,0.000000,0.127082
0.020000,0.604693,0.689416,0.608544,1.228755,1.241167,-0.000000,0.131208
0.020000,0.629296,0.692715,0.633367,1.253578,1.241167,0.000000,0.135318
0.020000,0.654377,0.696182,0.658687,1.278402,1.241167,0.000000,0.139406
0.020000,0.679935,0.699821,0.684503,1.303225,1.241167,0.000000,0.143468
0.020000,0.705970,0.703636,0.710816,1.328048,1.241167,0.000000,0.147496
0.020000,0.732480,0.707629,0.737625,1.352872,1.241167,-0.000000,0.151486
0.020000,0.759465,0.711803,0.764931,1.377695,1.241167,0.000000,0.155431
0.020000,0.786924,0.716161,0.792733,1.402518,1.241167,0.000000,0.159325
0.020000,0.814855,0.720704,0.821032,1.427342,1.241167,-0.000000,0.163162
0.020000,0.843259,0.725436,0.849827,1.452165,1.241167,0.000000,0.166936
0.020000,0.872134,0.730357,0.879118,1.476989,1.241167,-0.000000,0.170641
0.020000,0.901480,0.735469,0.908906,1.501812,1.241167,0.000000,0.174271
0.020000,0.931296,0.740773,0.939191,1.526635,1.241167,0.000000,0.177819
0.020000,0.961582,0.746271,0.969972,1.551459,1.241167,0.000000,0.181279
0.020000,0.992338,0.751962,1.001249,1.576282,1.241167,-0.000000,0.184645
0.020000,1.023562,0.757847,1.033023,1.601105,1.241167,0.000000,0.187910
0.020000,1.055254,0.763925,1.065293,1.625929,1.241167,0.000000,0.191068
0.020000,1.087415,0.770197,1.098060,1.650752,1.241167,0.000000,0.194113
0.020000,1.120044,0.776662,1.131324,1.675575,1.241167,-0.000000,0.197037
0.020000,1.153141,0.783318,1.165083,1.700399,1.241167,0.000000,0.199834
0.020000,1.186707,0.790163,1.199339,1.725222,1.241167,-0.000000,0.202498
0.020000,1.220740,0.797196,1.234092,1.750045,1.241167,0.000000,0.205022
0.020000,1.255243,0.804414,1.269341,1.774869,1.241167,0.000000,0.207398
0.020000,1.290214,0.811814,1.305087,1.799692,1.241167,-0.000000,0.209621
0.020000,1.325655,0.819392,1.341329,1.824515,1.241167,0.000000,0.211682
0.020000,1.361566,0.827146,1.378068,1.849339,1.241167,0.000000,0.213575
0.020000,1.397948,0.835070,1.415303,1.874162,1.241167,0.000000,0.215293
0.020000,1.434802,0.843159,1.453034,1.898985,1.241167,-0.000000,0.216827
0.020000,1.472129,0.851409,1.491262,1.923809,1.241167,0.000000,0.218172
0.020000,1.509930,0.859813,1.529986,1.948632,1.241167,0.000000,0.219319
0.020000,1.548208,0.868365,1.569207,1.973455,1.241167,0.000000,0.220259
0.020000,1.586962,0.877058,1.608925,1.998279,1.241167,-0.000000,0.220987
0.020000,1.626196,0.885883,1.649138,2.023102,1.241167,0.000000,0.221492
0.020000,1.665910,0.894832,1.689849,2.047925,1.241167,-0.000000,0.221767
0.020000,1.706107,0.903898,1.731055,2.072749,1.241167,0.000000,0.221803
0.020000,1.746790,0.913068,1.772759,2.097572,1.241167,-0.000000,0.221592
0.020000,1.787959,0.922334,1.814958,2.122395,1.241167,0.000000,0.221125
0.020000,1.829619,0.931684,1.857654,2.147219,1.241167,0.000000,0.220391
0.020000,1.871772,0.941107,1.900847,2.172042,1.241167,-0.000000,0.219382
0.020000,1.914419,0.950588,1.944536,2.196865,1.241167,0.000000,0.218088
0.020000,1.957566,0.960115,1.988722,2.221689,1.241167,-0.000000,0.216498
0.020000,2.001213,0.969673,2.033404,2.246512,1.241167,0.000000,0.214603
0.020000,2.045366,0.979246,2.078582,2.271335,1.241167,0.000000,0.212390
0.020000,2.090027,0.988819,2.124257,2.296159,1.241167,-0.000000,0.209850
0.020000,2.135199,0.998373,2.170428,2.320982,1.241167,0.000000,0.206970
0.020000,2.180886,1.007890,2.217096,2.345805,1.241167,0.000000,0.203739
0.020000,2.227091,1.017351,2.264261,2.370629,1.241167,-0.000000,0.200144
0.020000,2.273819,1.026735,2.311921,2.395452,1.241167,0.000000,0.196173
0.020000,2.321073,1.036021,2.360079,2.420275,1.241167,0.000000,0.191812
0.020000,2.368856,1.045183,2.408732,2.445099,1.241167,-0.000000,0.187048
0.020000,2.417172,1.054200,2.457883,2.469922,1.241167,0.000000,0.181867
0.020000,2.465963,1.063033,2.507467,2.488539,0.930875,-15.514585,0.176262
0.020000,2.515111,1.071635,2.557362,2.500951,0.620583,-15.514585,0.170235
0.020000,2.564459,1.079956,2.607407,2.503503,0.127616,-24.648355,0.163798
0.020000,2.613789,1.087938,2.657378,2.493644,-0.492967,-31.029170,0.156973
0.020000,2.662917,1.095535,2.707090,2.477579,-0.803259,-15.514585,0.149789
0.020000,2.711720,1.102714,2.756419,2.455308,-1.113550,-15.514585,0.142267
0.020000,2.760111,1.109454,2.805277,2.430485,-1.241167,-6.380816,0.134428
0.020000,2.808062,1.115742,2.853639,2.405661,-1.241167,-0.000000,0.126285
0.020000,2.855570,1.121571,2.901504,2.380838,-1.241167,0.000000,0.117847
0.020000,2.902634,1.126937,2.948872,2.356015,-1.241167,0.000000,0.109126
0.020000,2.949249,1.131834,2.995744,2.331191,-1.241167,-0.000000,0.100130
0.020000,2.995413,1.136257,3.042120,2.306368,-1.241167,0.000000,0.090871
0.020000,3.041122,1.140204,3.087999,2.281545,-1.241167,0.000000,0.081359
0.020000,3.086372,1.143673,3.133382,2.256721,-1.241167,-0.000000,0.071605
0.020000,3.131158,1.146662,3.178268,2.231898,-1.241167,0.000000,0.061622
0.020000,3.175477,1.149171,3.222658,2.207075,-1.241167,0.000000,0.051421
0.020000,3.219323,1.151200,3.266551,2.182251,-1.241167,-0.000000,0.041015
