dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002652,0.291268,0.000062,0.006206,0.310292,15.514585,6.281856
0.020000,0.002676,0.291268,0.000086,0.001180,-0.251276,-28.078386,6.281923
0.020000,0.002729,0.291268,0.000139,0.002655,0.073738,16.250709,6.282072
0.020000,0.002823,0.291268,0.000233,0.004718,0.103145,1.470365,6.282337
0.020000,0.002965,0.291268,0.000375,0.007072,0.117691,0.727301,6.282735
0.020000,0.003451,0.291268,0.000861,0.024322,0.862529,37.241857,0.000079
0.020000,0.006169,0.291269,0.003579,0.135876,5.577661,235.756594,0.000741
0.020000,0.009429,0.291273,0.006839,0.163028,1.357608,-211.002642,0.001533
0.020000,0.013233,0.291280,0.010642,0.190168,1.357003,-0.030252,0.002456
0.020000,0.017578,0.291293,0.014988,0.217293,1.356270,-0.036622,0.003508
0.020000,0.022466,0.291313,0.019876,0.244402,1.355437,-0.041640,0.004689
0.020000,0.027896,0.291342,0.025306,0.271492,1.354501,-0.046821,0.005997
0.020000,0.033867,0.291382,0.031277,0.298561,1.353456,-0.052241,0.007431
0.020000,0.040379,0.291436,0.037790,0.325607,1.352306,-0.057525,0.008991
0.020000,0.047431,0.291505,0.044842,0.352628,1.351048,-0.062898,0.010674
0.020000,0.055023,0.291593,0.052435,0.379621,1.349650,-0.069902,0.012479
0.020000,0.063154,0.291702,0.060566,0.406585,1.348216,-0.071657,0.014404
0.020000,0.071824,0.291836,0.069237,0.433517,1.346569,-0.082391,0.016448
0.020000,0.081031,0.291997,0.078445,0.460415,1.344924,-0.082212,0.018609
0.020000,0.090774,0.292190,0.088190,0.487277,1.343073,-0.092576,0.020885
0.020000,0.101054,0.292417,0.098472,0.514099,1.341125,-0.097383,0.023272
0.020000,0.111868,0.292682,0.109290,0.540882,1.339114,-0.100549,0.025770
0.020000,0.123216,0.292989,0.120642,0.567621,1.336957,-0.107873,0.028376
0.020000,0.135097,0.293343,0.132529,0.594315,1.334696,-0.113043,0.031087
0.020000,0.147510,0.293746,0.144948,0.620959,1.332205,-0.124536,0.033901
0.020000,0.160453,0.294204,0.157899,0.647555,1.329812,-0.119647,0.036814
0.020000,0.173925,0.294721,0.171381,0.674099,1.327212,-0.130019,0.039824
0.020000,0.187925,0.295300,0.185393,0.700586,1.324332,-0.143985,0.042927
0.020000,0.202451,0.295947,0.199933,0.727018,1.321616,-0.135789,0.046121
0.020000,0.217501,0.296667,0.215001,0.753391,1.318653,-0.148185,0.049402
0.020000,0.233075,0.297463,0.230595,0.779700,1.315459,-0.159690,0.052767
0.020000,0.249170,0.298341,0.246714,0.805947,1.312312,-0.157335,0.056212
0.020000,0.265785,0.299305,0.263356,0.832128,1.309044,-0.163412,0.059733
0.020000,0.282917,0.300361,0.280521,0.858239,1.305580,-0.173205,0.063326
0.020000,0.300565,0.301513,0.298207,0.884279,1.301980,-0.179990,0.066988
0.020000,0.318727,0.302765,0.316412,0.910248,1.298482,-0.174902,0.070715
0.020000,0.337400,0.304123,0.335135,0.936143,1.294747,-0.186736,0.074501
0.020000,0.356583,0.305592,0.354374,0.961957,1.290666,-0.204085,0.078344
0.020000,0.376274,0.307177,0.374128,0.987696,1.286955,-0.185516,0.082238
0.020000,0.396469,0.308881,0.394395,1.013354,1.282896,-0.202956,0.086178
0.020000,0.417167,0.310711,0.415173,1.038923,1.278449,-0.222363,0.090161
0.020000,0.438364,0.312671,0.436461,1.064412,1.274450,-0.199941,0.094181
0.020000,0.460060,0.314765,0.458258,1.089813,1.270085,-0.218280,0.098234
0.020000,0.482250,0.316997,0.480560,1.115127,1.265663,-0.221092,0.102314
0.020000,0.504933,0.319373,0.503367,1.140348,1.261043,-0.230966,0.106417
0.020000,0.528106,0.321897,0.526677,1.165476,1.256401,-0.232141,0.110537
0.020000,0.551765,0.324573,0.550487,1.190515,1.251983,-0.220872,0.114669
0.020000,0.575909,0.327404,0.574796,1.215454,1.246927,-0.252800,0.118807
0.020000,0.600534,0.330396,0.599602,1.240302,1.242396,-0.226567,0.122947
0.020000,0.625637,0.333551,0.624903,1.265043,1.237086,-0.265496,0.127082
0.020000,0.651216,0.336873,0.650697,1.289693,1.232472,-0.230697,0.131208
0.020000,0.677268,0.340365,0.676982,1.314240,1.227357,-0.255751,0.135318
0.020000,0.703789,0.344032,0.703755,1.338684,1.222219,-0.256888,0.139406
0.020000,0.730778,0.347875,0.731016,1.363026,1.217064,-0.257755,0.143468
0.020000,0.758230,0.351897,0.758761,1.387264,1.211895,-0.258431,0.147496
0.020000,0.786143,0.356101,0.786989,1.411398,1.206716,-0.258992,0.151486
0.020000,0.814514,0.360490,0.815698,1.435424,1.201301,-0.270706,0.155431
0.020000,0.843340,0.365065,0.844884,1.459341,1.195882,-0.270969,0.159325
0.020000,0.872618,0.369827,0.874547,1.483157,1.190762,-0.255998,0.163162
0.020000,0.902346,0.374779,0.904685,1.506858,1.185054,-0.285392,0.166936
0.020000,0.932520,0.379921,0.935294,1.530451,1.179652,-0.270091,0.170641
0.020000,0.963138,0.385255,0.966372,1.553936,1.174241,-0.270582,0.174271
0.020000,0.994196,0.390780,0.997919,1.577308,1.168609,-0.281574,0.177819
0.020000,1.025693,0.396497,1.029930,1.600567,1.162976,-0.281664,0.181279
0.020000,1.057625,0.402406,1.062404,1.623714,1.157337,-0.281943,0.184645
0.020000,1.089990,0.408506,1.095339,1.646748,1.151687,-0.282503,0.187910
0.020000,1.122786,0.414797,1.128732,1.669668,1.146018,-0.283432,0.191068
0.020000,1.156009,0.421276,1.162582,1.692468,1.139989,-0.301466,0.194113
0.020000,1.189658,0.427943,1.196885,1.715156,1.134386,-0.280148,0.197037
0.020000,1.223731,0.434794,1.231639,1.737723,1.128384,-0.300120,0.199834
0.020000,1.258224,0.441829,1.266843,1.760176,1.122604,-0.288970,0.202498
0.020000,1.293136,0.449043,1.302493,1.782500,1.116247,-0.317856,0.205022
0.020000,1.328466,0.456434,1.338587,1.804709,1.110436,-0.290582,0.207398
0.020000,1.364210,0.463998,1.375123,1.826794,1.104231,-0.310244,0.209621
0.020000,1.400368,0.471730,1.412098,1.848753,1.097970,-0.313013,0.211682
0.020000,1.436937,0.479625,1.449510,1.870586,1.091642,-0.316447,0.213575
0.020000,1.473916,0.487679,1.487356,1.892291,1.085227,-0.320746,0.215293
