dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.392444,1.053043,0.000130,0.012956,0.647820,32.390998,0.000054
0.020000,0.392449,1.053043,0.000135,0.000267,-0.634462,-64.114121,0.000039
0.020000,0.392460,1.053043,0.000146,0.000534,0.013337,32.389951,0.000009
0.020000,0.393736,1.053043,0.001422,0.063839,3.165276,157.596951,6.283149
0.020000,0.395831,1.053043,0.003517,0.104716,2.043811,-56.073249,6.283089
0.020000,0.398449,1.053042,0.006135,0.130891,1.308788,-36.751144,6.283014
0.020000,0.401590,1.053042,0.009276,0.157065,1.308684,-0.005193,6.282925
0.020000,0.405255,1.053040,0.012941,0.183236,1.308557,-0.006330,6.282821
0.020000,0.409443,1.053039,0.017129,0.209404,1.308411,-0.007314,6.282703
0.020000,0.414154,1.053036,0.021840,0.235569,1.308243,-0.008388,6.282571
0.020000,0.419389,1.053033,0.027075,0.261730,1.308055,-0.009403,6.282424
0.020000,0.425146,1.053028,0.032832,0.287887,1.307845,-0.010499,6.282264
0.020000,0.431427,1.053021,0.039113,0.314040,1.307615,-0.011511,6.282090
0.020000,0.438231,1.053013,0.045917,0.340187,1.307363,-0.012583,6.281904
0.020000,0.445557,1.053003,0.053243,0.366329,1.307091,-0.013590,6.281704
0.020000,0.453407,1.052991,0.061093,0.392465,1.306798,-0.014694,6.281492
0.020000,0.461779,1.052976,0.069465,0.418594,1.306483,-0.015709,6.281268
0.020000,0.470673,1.052957,0.078359,0.444717,1.306148,-0.016764,6.281031
0.020000,0.480090,1.052936,0.087776,0.470833,1.305792,-0.017806,6.280784
0.020000,0.490028,1.052911,0.097714,0.496941,1.305415,-0.018864,6.280525
0.020000,0.500489,1.052882,0.108175,0.523042,1.305016,-0.019915,6.280256
0.020000,0.511472,1.052848,0.119158,0.549134,1.304597,-0.020946,6.279977
0.020000,0.522976,1.052809,0.130662,0.575217,1.304157,-0.022026,6.279688
0.020000,0.535002,1.052765,0.142688,0.601291,1.303696,-0.023049,6.279390
0.020000,0.547549,1.052716,0.155235,0.627355,1.303214,-0.024108,6.279084
0.020000,0.560617,1.052660,0.168303,0.653409,1.302711,-0.025157,6.278769
0.020000,0.574206,1.052598,0.181892,0.679453,1.302187,-0.026206,6.278448
0.020000,0.588315,1.052529,0.196002,0.705486,1.301642,-0.027246,6.278119
0.020000,0.602945,1.052452,0.210632,0.731507,1.301076,-0.028308,6.277784
0.020000,0.618095,1.052368,0.225783,0.757517,1.300488,-0.029364,6.277444
0.020000,0.633765,1.052275,0.241453,0.783515,1.299881,-0.030387,6.277100
0.020000,0.649955,1.052174,0.257643,0.809500,1.299251,-0.031461,6.276751
0.020000,0.666664,1.052063,0.274352,0.835472,1.298601,-0.032492,6.276399
0.020000,0.683892,1.051943,0.291581,0.861430,1.297930,-0.033561,6.276044
0.020000,0.701639,1.051813,0.309329,0.887375,1.297238,-0.034589,6.275687
0.020000,0.719905,1.051673,0.327595,0.913306,1.296525,-0.035650,6.275330
0.020000,0.738689,1.051522,0.346379,0.939221,1.295792,-0.036695,6.274972
0.020000,0.757990,1.051360,0.365681,0.965122,1.295037,-0.037746,6.274615
0.020000,0.777810,1.051187,0.385502,0.991007,1.294261,-0.038791,6.274259
0.020000,0.798147,1.051002,0.405839,1.016877,1.293464,-0.039841,6.273906
0.020000,0.819000,1.050805,0.426694,1.042730,1.292646,-0.040889,6.273557
0.020000,0.840371,1.050595,0.448065,1.068566,1.291807,-0.041937,6.273211
0.020000,0.862257,1.050373,0.469953,1.094385,1.290948,-0.042985,6.272871
0.020000,0.884660,1.050138,0.492356,1.120186,1.290067,-0.044032,6.272537
