dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.392463,0.697443,0.000125,0.012488,0.624394,31.219685,0.000123
0.020000,0.392463,0.697443,0.000624,0.037464,1.248787,31.219685,0.000101
0.020000,0.392463,0.697443,0.001623,0.062439,1.248787,0.000000,0.000056
0.020000,0.392702,0.697443,0.003122,0.087415,1.248787,-0.000000,6.283175
0.020000,0.394700,0.697443,0.005120,0.112391,1.248787,0.000000,6.283086
0.020000,0.397198,0.697442,0.007618,0.137367,1.248787,-0.000000,6.282975
0.020000,0.400195,0.697441,0.010615,0.162342,1.248787,0.000000,6.282842
0.020000,0.403692,0.697440,0.014111,0.187318,1.248787,-0.000000,6.282688
0.020000,0.407688,0.697438,0.018107,0.212294,1.248787,0.000000,6.282512
0.020000,0.412183,0.697434,0.022603,0.237270,1.248787,-0.000000,6.282314
0.020000,0.417179,0.697429,0.027598,0.262245,1.248787,0.000000,6.282095
0.020000,0.422673,0.697423,0.033093,0.287221,1.248787,-0.000000,6.281855
0.020000,0.428667,0.697414,0.039087,0.312197,1.248787,0.000000,6.281595
0.020000,0.435161,0.697403,0.045581,0.337173,1.248787,-0.000000,6.281314
0.020000,0.442154,0.697389,0.052574,0.362148,1.248787,0.000000,6.281013
0.020000,0.449647,0.697371,0.060067,0.387124,1.248787,0.000000,6.280692
0.020000,0.457639,0.697350,0.068059,0.412100,1.248787,0.000000,6.280351
0.020000,0.466131,0.697324,0.076551,0.437076,1.248787,-0.000000,6.279992
0.020000,0.475122,0.697294,0.085542,0.462051,1.248787,-0.000000,6.279613
0.020000,0.484613,0.697258,0.095033,0.487027,1.248787,0.000000,6.279217
0.020000,0.494603,0.697216,0.105023,0.512003,1.248787,-0.000000,6.278802
0.020000,0.505093,0.697168,0.115513,0.536979,1.248787,-0.000000,6.278370
0.020000,0.516082,0.697113,0.126502,0.561954,1.248787,0.000000,6.277921
0.020000,0.527571,0.697049,0.137991,0.586930,1.248787,0.000000,6.277456
0.020000,0.539559,0.696978,0.149979,0.611906,1.248787,0.000000,6.276975
0.020000,0.552046,0.696897,0.162467,0.636882,1.248787,-0.000000,6.276478
0.020000,0.565033,0.696807,0.175455,0.661857,1.248787,0.000000,6.275967
0.020000,0.578520,0.696706,0.188942,0.686833,1.248787,-0.000000,6.275441
0.020000,0.592506,0.696594,0.202928,0.711809,1.248787,0.000000,6.274902
0.020000,0.606991,0.696470,0.217414,0.736785,1.248787,-0.000000,6.274351
0.020000,0.621976,0.696333,0.232399,0.761760,1.248787,0.000000,6.273786
0.020000,0.637460,0.696183,0.247884,0.786736,1.248787,0.000000,6.273211
0.020000,0.653444,0.696019,0.263869,0.811712,1.248787,0.000000,6.272624
0.020000,0.669927,0.695840,0.280353,0.836688,1.248787,0.000000,6.272028
0.020000,0.686909,0.695645,0.297336,0.861663,1.248787,-0.000000,6.271422
0.020000,0.704391,0.695434,0.314819,0.886639,1.248787,0.000000,6.270807
0.020000,0.722372,0.695206,0.332802,0.911615,1.248787,0.000000,6.270185
0.020000,0.740853,0.694960,0.351284,0.936591,1.248787,0.000000,6.269556
0.020000,0.759832,0.694695,0.370265,0.961566,1.248787,0.000000,6.268921
0.020000,0.779311,0.694411,0.389747,0.986542,1.248787,0.000000,6.268281
0.020000,0.799290,0.694107,0.409727,1.011518,1.248787,-0.000000,6.267637
0.020000,0.819767,0.693782,0.430207,1.036494,1.248787,0.000000,6.266989
0.020000,0.840744,0.693435,0.451187,1.061469,1.248787,0.000000,6.266339
0.020000,0.862220,0.693066,0.472666,1.086445,1.248787,-0.000000,6.265687
0.020000,0.884195,0.692675,0.494645,1.111421,1.248787,0.000000,6.265035
0.020000,0.906669,0.692259,0.517123,1.136397,1.248787,0.000000,6.264384
0.020000,0.929643,0.691820,0.540101,1.161372,1.248787,0.000000,6.263735
0.020000,0.953116,0.691356,0.563578,1.186348,1.248787,0.000000,6.263088
0.020000,0.977087,0.690866,0.587554,1.211324,1.248787,0.000000,6.262445
0.020000,1.001558,0.690351,0.612031,1.236300,1.248787,0.000000,6.261806
0.020000,1.026528,0.689809,0.637006,1.261275,1.248787,0.000000,6.261174
0.020000,1.051997,0.689240,0.662482,1.286251,1.248787,-0.000000,6.260549
0.020000,1.077965,0.688644,0.688456,1.311227,1.248787,0.000000,6.259933
0.020000,1.104432,0.688020,0.714931,1.336203,1.248787,0.000000,6.259326
0.020000,1.131398,0.687369,0.741905,1.361178,1.248787,0.000000,6.258730
0.020000,1.158863,0.686689,0.769378,1.386154,1.248787,-0.000000,6.258146
0.020000,1.186826,0.685981,0.797351,1.411130,1.248787,0.000000,6.257575
0.020000,1.215289,0.685244,0.825823,1.436106,1.248787,0.000000,6.257019
0.020000,1.244251,0.684478,0.854795,1.461081,1.248787,0.000000,6.256479
0.020000,1.273712,0.683683,0.884266,1.486057,1.248787,-0.000000,6.255956
0.020000,1.303671,0.682859,0.914237,1.511033,1.248787,0.000000,6.255452
0.020000,1.334130,0.682007,0.944708,1.536009,1.248787,0.000000,6.254968
0.020000,1.365087,0.681126,0.975678,1.560984,1.248787,0.000000,6.254505
0.020000,1.396543,0.680216,1.007147,1.585960,1.248787,0.000000,6.254066
0.020000,1.428499,0.679279,1.039116,1.610936,1.248787,0.000000,6.253650
