dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.392506,0.341843,0.000129,0.012939,0.646950,32.347505,0.000123
0.020000,0.392498,0.341843,0.000138,0.000410,-0.626448,-63.669893,0.000100
0.020000,0.392482,0.341843,0.000154,0.000820,0.020480,32.346405,0.000053
0.020000,0.392810,0.341843,0.000482,0.016397,0.778844,37.918206,6.283170
0.020000,0.394847,0.341843,0.002519,0.101876,4.273984,174.756993,6.283078
0.020000,0.397394,0.341842,0.005066,0.127349,1.273618,-150.018325,6.282963
0.020000,0.400450,0.341841,0.008123,0.152823,1.273726,0.005427,6.282825
0.020000,0.404016,0.341840,0.011689,0.178300,1.273859,0.006620,6.282665
0.020000,0.408092,0.341837,0.015764,0.203781,1.274015,0.007832,6.282483
0.020000,0.412677,0.341834,0.020350,0.229264,1.274186,0.008513,6.282278
0.020000,0.417772,0.341828,0.025445,0.254752,1.274387,0.010087,6.282052
0.020000,0.423377,0.341821,0.031050,0.280244,1.274607,0.010965,6.281803
0.020000,0.429492,0.341812,0.037165,0.305741,1.274847,0.012034,6.281534
0.020000,0.436117,0.341800,0.043789,0.331243,1.275114,0.013319,6.281243
0.020000,0.443252,0.341785,0.050924,0.356751,1.275395,0.014047,6.280931
0.020000,0.450897,0.341767,0.058570,0.382265,1.275708,0.015662,6.280599
0.020000,0.459053,0.341744,0.066725,0.407786,1.276034,0.016311,6.280247
0.020000,0.467719,0.341717,0.075392,0.433314,1.276387,0.017657,6.279875
0.020000,0.476896,0.341685,0.084569,0.458849,1.276761,0.018682,6.279484
0.020000,0.486584,0.341647,0.094257,0.484392,1.277158,0.019838,6.279074
0.020000,0.496783,0.341603,0.104455,0.509944,1.277576,0.020942,6.278646
0.020000,0.507493,0.341552,0.115166,0.535504,1.278016,0.021986,6.278199
0.020000,0.518714,0.341493,0.126387,0.561074,1.278478,0.023096,6.277736
0.020000,0.530447,0.341427,0.138120,0.586653,1.278963,0.024249,6.277255
0.020000,0.542691,0.341351,0.150365,0.612242,1.279469,0.025294,6.276759
0.020000,0.555448,0.341266,0.163122,0.637842,1.280001,0.026590,6.276247
