dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.752449,0.993054,0.000124,0.012423,0.621146,31.057296,6.283039
0.020000,0.752413,0.993054,0.000160,0.001804,-0.530969,-57.605738,6.283140
0.020000,0.753115,0.993054,0.000862,0.035102,1.664902,109.793541,0.000158
0.020000,0.754498,0.993054,0.002245,0.069149,1.702375,1.873631,0.000461
0.020000,0.756342,0.993056,0.004090,0.092225,1.153775,-27.429977,0.000863
0.020000,0.758649,0.993058,0.006396,0.115322,1.154886,0.055543,0.001364
0.020000,0.761417,0.993063,0.009165,0.138448,1.156273,0.069351,0.001962
0.020000,0.764650,0.993070,0.012397,0.161606,1.157934,0.083064,0.002655
0.020000,0.768346,0.993081,0.016093,0.184804,1.159879,0.097244,0.003440
0.020000,0.772507,0.993098,0.020254,0.208046,1.162100,0.111070,0.004315
0.020000,0.777133,0.993120,0.024881,0.231338,1.164603,0.125139,0.005278
0.020000,0.782227,0.993149,0.029975,0.254686,1.167384,0.139057,0.006326
0.020000,0.787789,0.993188,0.035537,0.278095,1.170449,0.153223,0.007454
0.020000,0.793820,0.993236,0.041568,0.301571,1.173792,0.167155,0.008659
0.020000,0.800322,0.993297,0.048070,0.325119,1.177420,0.181411,0.009937
0.020000,0.807296,0.993371,0.055045,0.348746,1.181328,0.195371,0.011283
0.020000,0.814745,0.993460,0.062495,0.372456,1.185521,0.209688,0.012694
0.020000,0.822669,0.993566,0.070420,0.396256,1.189995,0.223684,0.014163
0.020000,0.831072,0.993692,0.078823,0.420151,1.194754,0.237973,0.015685
0.020000,0.839953,0.993838,0.087706,0.444147,1.199798,0.252168,0.017256
0.020000,0.849317,0.994007,0.097071,0.468249,1.205124,0.266297,0.018868
0.020000,0.859164,0.994201,0.106920,0.492464,1.210735,0.280552,0.020516
0.020000,0.869498,0.994422,0.117256,0.516797,1.216629,0.294709,0.022193
0.020000,0.880320,0.994672,0.128081,0.541253,1.222807,0.308897,0.023891
0.020000,0.891633,0.994952,0.139398,0.565838,1.229268,0.323058,0.025605
0.020000,0.903440,0.995264,0.151209,0.590558,1.236012,0.337187,0.027325
0.020000,0.915744,0.995611,0.163517,0.615419,1.243038,0.351318,0.029045
0.020000,0.928546,0.995994,0.176326,0.640426,1.250346,0.365387,0.030755
0.020000,0.941852,0.996415,0.189637,0.665585,1.257935,0.379444,0.032448
0.020000,0.955662,0.996875,0.203455,0.690901,1.265804,0.393468,0.034114
0.020000,0.969981,0.997375,0.217783,0.716380,1.273953,0.407443,0.035745
0.020000,0.984811,0.997918,0.232624,0.742028,1.282381,0.421401,0.037331
0.020000,1.000157,0.998503,0.247981,0.767849,1.291088,0.435323,0.038861
0.020000,1.016022,0.999131,0.263858,0.793851,1.300072,0.449219,0.040327
0.020000,1.032409,0.999804,0.280258,0.820037,1.309334,0.463094,0.041718
0.020000,1.049322,1.000521,0.297187,0.846415,1.318873,0.476952,0.043022
0.020000,1.066765,1.001283,0.314646,0.872989,1.328689,0.490828,0.044229
0.020000,1.084742,1.002089,0.332642,0.899764,1.338783,0.504667,0.045327
0.020000,1.103258,1.002938,0.351177,0.926747,1.349154,0.518565,0.046306
0.020000,1.122316,1.003829,0.370255,0.953943,1.359803,0.532461,0.047152
