dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.752397,0.637454,0.000199,0.019891,0.994542,49.727078,6.283054
0.020000,0.752397,0.637454,0.000796,0.039782,0.994542,0.000000,6.283176
0.020000,0.753346,0.637454,0.001790,0.059672,0.994542,-0.000000,0.000193
0.020000,0.754738,0.637454,0.003183,0.079563,0.994542,0.000000,0.000476
0.020000,0.756528,0.637456,0.004973,0.099454,0.994542,-0.000000,0.000839
0.020000,0.758716,0.637458,0.007161,0.119345,0.994542,0.000000,0.001280
0.020000,0.761302,0.637462,0.009747,0.139236,0.994542,0.000000,0.001799
0.020000,0.764286,0.637468,0.012730,0.159127,0.994542,-0.000000,0.002395
0.020000,0.767667,0.637477,0.016112,0.179017,0.994542,-0.000000,0.003065
0.020000,0.771446,0.637490,0.019891,0.198908,0.994542,0.000000,0.003809
0.020000,0.775624,0.637508,0.024068,0.218799,0.994542,-0.000000,0.004623
0.020000,0.780198,0.637531,0.028643,0.238690,0.994542,0.000000,0.005507
0.020000,0.785171,0.637561,0.033616,0.258581,0.994542,-0.000000,0.006458
0.020000,0.790541,0.637598,0.038986,0.278472,0.994542,0.000000,0.007473
0.020000,0.796310,0.637644,0.044754,0.298362,0.994542,-0.000000,0.008549
0.020000,0.802475,0.637701,0.050921,0.318253,0.994542,0.000000,0.009685
0.020000,0.809039,0.637768,0.057485,0.338144,0.994542,-0.000000,0.010876
0.020000,0.816000,0.637848,0.064446,0.358035,0.994542,0.000000,0.012119
0.020000,0.823359,0.637942,0.071806,0.377926,0.994542,0.000000,0.013411
0.020000,0.831116,0.638051,0.079563,0.397817,0.994542,-0.000000,0.014747
0.020000,0.839270,0.638177,0.087719,0.417707,0.994542,0.000000,0.016125
0.020000,0.847822,0.638321,0.096272,0.437598,0.994542,-0.000000,0.017540
0.020000,0.856772,0.638485,0.105222,0.457489,0.994542,0.000000,0.018988
0.020000,0.866118,0.638669,0.114571,0.477380,0.994542,-0.000000,0.020463
0.020000,0.875863,0.638876,0.124318,0.497271,0.994542,0.000000,0.021962
0.020000,0.886004,0.639107,0.134462,0.517162,0.994542,-0.000000,0.023479
0.020000,0.896543,0.639362,0.145004,0.537052,0.994542,0.000000,0.025009
0.020000,0.907480,0.639644,0.155944,0.556943,0.994542,0.000000,0.026547
0.020000,0.918813,0.639954,0.167282,0.576834,0.994542,-0.000000,0.028087
0.020000,0.930544,0.640293,0.179017,0.596725,0.994542,0.000000,0.029624
0.020000,0.942672,0.640661,0.191151,0.616616,0.994542,0.000000,0.031151
0.020000,0.955197,0.641061,0.203682,0.636507,0.994542,0.000000,0.032662
0.020000,0.968118,0.641493,0.216611,0.656397,0.994542,-0.000000,0.034151
0.020000,0.981437,0.641958,0.229938,0.676288,0.994542,0.000000,0.035612
0.020000,0.995153,0.642456,0.243663,0.696179,0.994542,0.000000,0.037037
0.020000,1.009265,0.642989,0.257785,0.716070,0.994542,-0.000000,0.038419
0.020000,1.023775,0.643557,0.272305,0.735961,0.994542,0.000000,0.039752
0.020000,1.038680,0.644159,0.287224,0.755852,0.994542,0.000000,0.041028
0.020000,1.053983,0.644797,0.302540,0.775742,0.994542,-0.000000,0.042239
0.020000,1.069682,0.645469,0.318253,0.795633,0.994542,0.000000,0.043378
0.020000,1.085779,0.646177,0.334365,0.815524,0.994542,-0.000000,0.044436
0.020000,1.102271,0.646918,0.350874,0.835415,0.994542,0.000000,0.045406
0.020000,1.119161,0.647693,0.367781,0.855306,0.994542,-0.000000,0.046279
0.020000,1.136447,0.648501,0.385086,0.875197,0.994542,0.000000,0.047046
0.020000,1.154130,0.649339,0.402789,0.895087,0.994542,0.000000,0.047699
0.020000,1.172210,0.650207,0.420890,0.914978,0.994542,0.000000,0.048229
0.020000,1.190686,0.651103,0.439388,0.934869,0.994542,0.000000,0.048626
0.020000,1.209560,0.652024,0.458285,0.954760,0.994542,-0.000000,0.048881
0.020000,1.228831,0.652968,0.477579,0.974651,0.994542,0.000000,0.048985
0.020000,1.248500,0.653932,0.497271,0.994542,0.994542,0.000000,0.048927
0.020000,1.268565,0.654912,0.517361,1.014432,0.994542,0.000000,0.048698
0.020000,1.289029,0.655906,0.537848,1.034323,0.994542,-0.000000,0.048288
0.020000,1.309890,0.656908,0.558733,1.054214,0.994542,0.000000,0.047685
0.020000,1.331150,0.657914,0.580017,1.074105,0.994542,0.000000,0.046880
0.020000,1.352807,0.658920,0.601698,1.093996,0.994542,0.000000,0.045862
0.020000,1.374863,0.659919,0.623776,1.113887,0.994542,0.000000,0.044619
0.020000,1.397318,0.660905,0.646253,1.133777,0.994542,-0.000000,0.043140
0.020000,1.420172,0.661872,0.669128,1.153668,0.994542,0.000000,0.041414
0.020000,1.443426,0.662813,0.692400,1.173559,0.994542,0.000000,0.039429
0.020000,1.467078,0.663720,0.716070,1.193450,0.994542,-0.000000,0.037174
0.020000,1.491131,0.664584,0.740138,1.213341,0.994542,0.000000,0.034636
0.020000,1.515583,0.665397,0.764604,1.233232,0.994542,0.000000,0.031803
0.020000,1.540435,0.666150,0.789467,1.253122,0.994542,0.000000,0.028663
0.020000,1.565687,0.666830,0.814728,1.273013,0.994542,0.000000,0.025204
0.020000,1.591339,0.667429,0.840388,1.292904,0.994542,-0.000000,0.021412
0.020000,1.614098,0.668049,0.866445,1.312795,0.994542,0.000000,0.033640
0.020000,1.640530,0.669136,0.892899,1.332686,0.994542,0.000000,0.048571
0.020000,1.667340,0.670642,0.919752,1.352577,0.994542,-0.000000,0.063673
0.020000,1.694521,0.672584,0.947002,1.372467,0.994542,0.000000,0.078928
0.020000,1.722065,0.674976,0.974651,1.392358,0.994542,0.000000,0.094313
0.020000,1.749965,0.677833,1.002697,1.412249,0.994542,-0.000000,0.109804
0.020000,1.778212,0.681171,1.031141,1.432140,0.994542,0.000000,0.125377
0.020000,1.806798,0.685001,1.059982,1.452031,0.994542,0.000000,0.141006
0.020000,1.835714,0.689337,1.089222,1.471922,0.994542,-0.000000,0.156665
0.020000,1.864951,0.694191,1.118859,1.491812,0.994542,0.000000,0.172325
0.020000,1.894500,0.699573,1.148894,1.511703,0.994542,-0.000000,0.187957
0.020000,1.924351,0.705493,1.179327,1.531594,0.994542,0.000000,0.203533
0.020000,1.954496,0.711959,1.210158,1.551485,0.994542,-0.000000,0.219023
0.020000,1.984925,0.718979,1.241387,1.571376,0.994542,0.000000,0.234397
0.020000,2.015629,0.726559,1.273013,1.591267,0.994542,0.000000,0.249624
0.020000,2.046600,0.734705,1.305037,1.611157,0.994542,-0.000000,0.264676
0.020000,2.077828,0.743419,1.337459,1.631048,0.994542,0.000000,0.279521
0.020000,2.109307,0.752705,1.370279,1.650939,0.994542,0.000000,0.294133
0.020000,2.141027,0.762565,1.403497,1.670830,0.994542,0.000000,0.308480
0.020000,2.172983,0.772997,1.437113,1.690721,0.994542,-0.000000,0.322537
0.020000,2.205167,0.784000,1.471126,1.710611,0.994542,0.000000,0.336276
0.020000,2.237573,0.795574,1.505537,1.730502,0.994542,0.000000,0.349671
0.020000,2.270196,0.807713,1.540346,1.750393,0.994542,-0.000000,0.362698
0.020000,2.303032,0.820414,1.575553,1.770284,0.994542,0.000000,0.375331
0.020000,2.336077,0.833669,1.611157,1.790175,0.994542,0.000000,0.387550
0.020000,2.369328,0.847473,1.647160,1.810066,0.994542,0.000000,0.399331
0.020000,2.402783,0.861816,1.683560,1.829956,0.994542,-0.000000,0.410654
0.020000,2.436440,0.876691,1.720358,1.849847,0.994542,0.000000,0.421499
0.020000,2.470300,0.892086,1.757554,1.869738,0.994542,0.000000,0.431848
0.020000,2.504364,0.907990,1.795148,1.889629,0.994542,-0.000000,0.441683
0.020000,2.538633,0.924391,1.833139,1.909520,0.994542,0.000000,0.450987
0.020000,2.573109,0.941276,1.871528,1.929411,0.994542,0.000000,0.459743
0.020000,2.607797,0.958631,1.910315,1.949301,0.994542,-0.000000,0.467935
0.020000,2.642701,0.976440,1.949500,1.969192,0.994542,0.000000,0.475548
0.020000,2.677827,0.994687,1.989083,1.989083,0.994542,0.000000,0.482567
0.020000,2.713181,1.013356,2.029064,2.008974,0.994542,-0.000000,0.488977
0.020000,2.748771,1.032428,2.069442,2.028865,0.994542,0.000000,0.494763
0.020000,2.784607,1.051883,2.110218,2.048756,0.994542,-0.000000,0.499910
0.020000,2.820696,1.071703,2.151392,2.068646,0.994542,0.000000,0.504402
0.020000,2.857051,1.091866,2.192964,2.088537,0.994542,0.000000,0.508225
0.020000,2.893683,1.112349,2.234934,2.108428,0.994542,-0.000000,0.511361
0.020000,2.930604,1.133130,2.277301,2.128319,0.994542,0.000000,0.513794
0.020000,2.967829,1.154182,2.320067,2.148210,0.994542,0.000000,0.515506
0.020000,3.005371,1.175481,2.363230,2.168101,0.994542,0.000000,0.516478
