dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.752345,0.281854,0.000124,0.012423,0.621146,31.057296,6.283039
0.020000,0.752381,0.281854,0.000160,0.001804,-0.530969,-57.605738,6.283140
0.020000,0.753227,0.281854,0.001006,0.042305,2.025055,127.801211,0.000158
0.020000,0.754825,0.281854,0.002605,0.079926,1.881067,-7.199438,0.000461
0.020000,0.756956,0.281856,0.004736,0.106542,1.330805,-27.513091,0.000863
0.020000,0.759619,0.281859,0.007398,0.133136,1.329699,-0.055281,0.001364
0.020000,0.762813,0.281864,0.010593,0.159702,1.328314,-0.069261,0.001962
0.020000,0.766538,0.281873,0.014317,0.186235,1.326646,-0.083396,0.002655
0.020000,0.770792,0.281886,0.018572,0.212729,1.324705,-0.097044,0.003440
0.020000,0.775576,0.281904,0.023355,0.239179,1.322482,-0.111156,0.004315
0.020000,0.780887,0.281930,0.028667,0.265579,1.319981,-0.125047,0.005278
0.020000,0.786726,0.281964,0.034505,0.291923,1.317198,-0.139174,0.006326
0.020000,0.793090,0.282007,0.040870,0.318205,1.314136,-0.153080,0.007454
0.020000,0.799978,0.282063,0.047758,0.344421,1.310790,-0.167314,0.008659
0.020000,0.807389,0.282132,0.055169,0.370564,1.307165,-0.181236,0.009937
0.020000,0.815321,0.282216,0.063102,0.396629,1.303254,-0.195549,0.011283
0.020000,0.823772,0.282317,0.071554,0.422611,1.299064,-0.209504,0.012694
0.020000,0.832742,0.282438,0.080524,0.448502,1.294587,-0.223863,0.014163
0.020000,0.842227,0.282579,0.090010,0.474299,1.289828,-0.237921,0.015685
0.020000,0.852225,0.282744,0.100010,0.499995,1.284786,-0.252105,0.017256
0.020000,0.862735,0.282934,0.110522,0.525584,1.279459,-0.266375,0.018868
0.020000,0.873754,0.283151,0.121543,0.551061,1.273849,-0.280502,0.020516
0.020000,0.885280,0.283397,0.133071,0.576420,1.267954,-0.294727,0.022193
0.020000,0.897310,0.283675,0.145104,0.601656,1.261776,-0.308891,0.023891
0.020000,0.909841,0.283985,0.157640,0.626762,1.255315,-0.323051,0.025605
0.020000,0.922871,0.284330,0.170674,0.651733,1.248571,-0.337201,0.027325
0.020000,0.936397,0.284711,0.184206,0.676564,1.241545,-0.351294,0.029045
