dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.151133,1.047950,0.000050,0.005000,0.250000,12.500000,6.282190
0.020000,0.151117,1.047950,0.000066,0.000785,-0.210745,-23.037238,6.282234
0.020000,0.151082,1.047950,0.000101,0.001766,0.049062,12.990329,6.282333
0.020000,0.151019,1.047950,0.000164,0.003140,0.068666,0.980224,6.282510
0.020000,0.150925,1.047950,0.000258,0.004708,0.078432,0.488298,6.282775
0.020000,0.150799,1.047950,0.000383,0.006276,0.078361,-0.003571,6.283128
0.020000,0.152381,1.047950,0.001965,0.079072,3.639827,178.073316,0.000383
0.020000,0.154592,1.047951,0.004177,0.110591,1.575941,-103.194284,0.000912
0.020000,0.157173,1.047955,0.006758,0.129037,0.922312,-32.681481,0.001529
0.020000,0.160123,1.047960,0.009707,0.147472,0.921738,-0.028689,0.002234
0.020000,0.163441,1.047969,0.013025,0.165914,0.922094,0.017789,0.003026
0.020000,0.167128,1.047982,0.016713,0.184367,0.922683,0.029434,0.003905
0.020000,0.171184,1.047999,0.020769,0.202817,0.922495,-0.009396,0.004871
0.020000,0.175610,1.048023,0.025194,0.221271,0.922705,0.010525,0.005925
0.020000,0.180404,1.048055,0.029989,0.239732,0.923037,0.016585,0.007065
0.020000,0.185568,1.048094,0.035153,0.258203,0.923520,0.024173,0.008291
0.020000,0.191101,1.048144,0.040686,0.276671,0.923437,-0.004182,0.009603
0.020000,0.197004,1.048204,0.046589,0.295143,0.923561,0.006216,0.011001
0.020000,0.203276,1.048278,0.052862,0.313639,0.924800,0.061956,0.012484
0.020000,0.209918,1.048366,0.059504,0.332120,0.924091,-0.035463,0.014051
0.020000,0.216930,1.048471,0.066517,0.350627,0.925311,0.060997,0.015704
0.020000,0.224312,1.048593,0.073900,0.369133,0.925341,0.001491,0.017440
0.020000,0.232063,1.048735,0.081653,0.387648,0.925744,0.020191,0.019259
0.020000,0.240185,1.048899,0.089776,0.406175,0.926314,0.028456,0.021162
0.020000,0.248677,1.049088,0.098270,0.424712,0.926857,0.027150,0.023146
0.020000,0.257540,1.049302,0.107136,0.443259,0.927377,0.026045,0.025213
0.020000,0.266773,1.049545,0.116372,0.461817,0.927880,0.025148,0.027360
0.020000,0.276377,1.049818,0.125980,0.480384,0.928370,0.024464,0.029588
0.020000,0.286352,1.050125,0.135959,0.498975,0.929543,0.058657,0.031896
0.020000,0.296697,1.050467,0.146310,0.517567,0.929607,0.003205,0.034282
0.020000,0.307414,1.050848,0.157034,0.536181,0.930704,0.054877,0.036747
0.020000,0.318502,1.051270,0.168130,0.554802,0.931027,0.016127,0.039288
0.020000,0.329962,1.051735,0.179599,0.573452,0.932487,0.073008,0.041907
0.020000,0.341793,1.052247,0.191441,0.592108,0.932834,0.017334,0.044600
0.020000,0.353996,1.052809,0.203657,0.610784,0.933765,0.046565,0.047368
0.020000,0.366570,1.053423,0.216247,0.629478,0.934725,0.047976,0.050210
0.020000,0.379517,1.054093,0.229210,0.648192,0.935681,0.047825,0.053124
0.020000,0.392835,1.054821,0.242549,0.666924,0.936640,0.047949,0.056109
0.020000,0.406526,1.055611,0.256262,0.685680,0.937797,0.057864,0.059164
0.020000,0.420589,1.056466,0.270352,0.704461,0.939032,0.061719,0.062288
0.020000,0.435025,1.057389,0.284817,0.723255,0.939712,0.034015,0.065479
0.020000,0.449833,1.058384,0.299658,0.742086,0.941547,0.091753,0.068736
0.020000,0.465014,1.059455,0.314877,0.760930,0.942203,0.032777,0.072058
0.020000,0.480568,1.060604,0.330473,0.779807,0.943843,0.081990,0.075444
0.020000,0.496495,1.061836,0.346447,0.798712,0.945229,0.069311,0.078891
0.020000,0.512794,1.063153,0.362800,0.817641,0.946477,0.062432,0.082398
0.020000,0.529467,1.064560,0.379532,0.836601,0.947978,0.075026,0.085964
0.020000,0.546513,1.066060,0.396644,0.855591,0.949496,0.075894,0.089586
0.020000,0.563932,1.067657,0.414136,0.874611,0.951037,0.077059,0.093264
0.020000,0.581725,1.069355,0.432010,0.893670,0.952909,0.093586,0.096994
0.020000,0.599891,1.071157,0.450265,0.912757,0.954367,0.072924,0.100776
0.020000,0.618430,1.073068,0.468902,0.931878,0.956036,0.083440,0.104608
0.020000,0.637343,1.075090,0.487923,0.951041,0.958156,0.106023,0.108486
0.020000,0.656629,1.077229,0.507328,0.970235,0.959733,0.078814,0.112410
0.020000,0.676289,1.079488,0.527117,0.989469,0.961678,0.097244,0.116377
0.020000,0.696323,1.081871,0.547292,1.008746,0.963857,0.108995,0.120384
0.020000,0.716731,1.084382,0.567854,1.028061,0.965759,0.095089,0.124430
0.020000,0.737512,1.087024,0.588802,1.047418,0.967834,0.103718,0.128512
0.020000,0.758666,1.089802,0.610138,1.066818,0.969985,0.107571,0.132628
0.020000,0.780195,1.092720,0.631863,1.086264,0.972294,0.115468,0.136775
0.020000,0.802097,1.095781,0.653979,1.105754,0.974511,0.110818,0.140951
0.020000,0.824373,1.098990,0.676484,1.125288,0.976725,0.110727,0.145153
0.020000,0.847022,1.102350,0.699382,1.144874,0.979260,0.126739,0.149378
0.020000,0.870046,1.105865,0.722672,1.164505,0.981563,0.115161,0.153624
0.020000,0.893443,1.109539,0.746356,1.184189,0.984196,0.131635,0.157888
0.020000,0.917214,1.113376,0.770434,1.203921,0.986595,0.119935,0.162167
0.020000,0.941358,1.117379,0.794908,1.223705,0.989234,0.131949,0.166458
0.020000,0.965876,1.121553,0.819779,1.243543,0.991900,0.133292,0.170758
0.020000,0.990768,1.125900,0.845048,1.263435,0.994597,0.134855,0.175064
0.020000,1.016034,1.130426,0.870715,1.283382,0.997329,0.136615,0.179373
