dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.150779,0.692350,0.000050,0.005000,0.250000,12.500000,6.282190
0.020000,0.150779,0.692350,0.000250,0.015000,0.500000,12.500000,6.282234
0.020000,0.150779,0.692350,0.000700,0.030000,0.750000,12.500000,6.282333
0.020000,0.150779,0.692350,0.001500,0.050000,1.000000,12.500000,6.282510
0.020000,0.150779,0.692350,0.002700,0.070000,1.000000,0.000000,6.282775
0.020000,0.150779,0.692350,0.004300,0.090000,1.000000,-0.000000,6.283128
0.020000,0.152517,0.692350,0.006300,0.110000,1.000000,0.000000,0.000383
0.020000,0.154917,0.692352,0.008700,0.130000,1.000000,0.000000,0.000912
0.020000,0.157717,0.692355,0.011500,0.150000,1.000000,-0.000000,0.001529
0.020000,0.160917,0.692361,0.014700,0.170000,1.000000,0.000000,0.002234
0.020000,0.164517,0.692371,0.018300,0.190000,1.000000,-0.000000,0.003026
0.020000,0.168517,0.692384,0.022300,0.210000,1.000000,0.000000,0.003905
0.020000,0.172917,0.692404,0.026700,0.230000,1.000000,0.000000,0.004871
0.020000,0.177717,0.692430,0.031500,0.250000,1.000000,-0.000000,0.005925
0.020000,0.182916,0.692463,0.036700,0.270000,1.000000,0.000000,0.007065
0.020000,0.188516,0.692506,0.042300,0.290000,1.000000,-0.000000,0.008291
0.020000,0.194516,0.692560,0.048300,0.310000,1.000000,0.000000,0.009603
0.020000,0.200916,0.692626,0.054700,0.330000,1.000000,0.000000,0.011001
0.020000,0.207715,0.692706,0.061500,0.350000,1.000000,-0.000000,0.012484
0.020000,0.214915,0.692801,0.068700,0.370000,1.000000,0.000000,0.014051
0.020000,0.222514,0.692914,0.076300,0.390000,1.000000,0.000000,0.015704
0.020000,0.230513,0.693047,0.084300,0.410000,1.000000,-0.000000,0.017440
0.020000,0.238911,0.693201,0.092700,0.430000,1.000000,0.000000,0.019259
0.020000,0.247710,0.693379,0.101500,0.450000,1.000000,0.000000,0.021162
0.020000,0.256907,0.693583,0.110700,0.470000,1.000000,-0.000000,0.023146
0.020000,0.266504,0.693815,0.120300,0.490000,1.000000,0.000000,0.025213
0.020000,0.276501,0.694078,0.130300,0.510000,1.000000,0.000000,0.027360
0.020000,0.286897,0.694374,0.140700,0.530000,1.000000,0.000000,0.029588
0.020000,0.297692,0.694706,0.151500,0.550000,1.000000,0.000000,0.031896
0.020000,0.308886,0.695076,0.162700,0.570000,1.000000,-0.000000,0.034282
0.020000,0.320478,0.695488,0.174300,0.590000,1.000000,0.000000,0.036747
0.020000,0.332469,0.695944,0.186300,0.610000,1.000000,0.000000,0.039288
0.020000,0.344859,0.696448,0.198700,0.630000,1.000000,0.000000,0.041907
0.020000,0.357647,0.697001,0.211500,0.650000,1.000000,0.000000,0.044600
0.020000,0.370833,0.697608,0.224700,0.670000,1.000000,0.000000,0.047368
0.020000,0.384417,0.698271,0.238300,0.690000,1.000000,-0.000000,0.050210
0.020000,0.398399,0.698994,0.252300,0.710000,1.000000,0.000000,0.053124
0.020000,0.412777,0.699780,0.266700,0.730000,1.000000,0.000000,0.056109
0.020000,0.427552,0.700633,0.281500,0.750000,1.000000,0.000000,0.059164
0.020000,0.442724,0.701555,0.296700,0.770000,1.000000,0.000000,0.062288
0.020000,0.458293,0.702551,0.312300,0.790000,1.000000,0.000000,0.065479
0.020000,0.474257,0.703624,0.328300,0.810000,1.000000,0.000000,0.068736
0.020000,0.490616,0.704778,0.344700,0.830000,1.000000,-0.000000,0.072058
0.020000,0.507370,0.706016,0.361500,0.850000,1.000000,0.000000,0.075444
0.020000,0.524519,0.707342,0.378700,0.870000,1.000000,0.000000,0.078891
0.020000,0.542062,0.708759,0.396300,0.890000,1.000000,0.000000,0.082398
0.020000,0.559998,0.710273,0.414300,0.910000,1.000000,0.000000,0.085964
0.020000,0.578327,0.711886,0.432700,0.930000,1.000000,0.000000,0.089586
0.020000,0.597049,0.713602,0.451500,0.950000,1.000000,-0.000000,0.093264
0.020000,0.616162,0.715426,0.470700,0.970000,1.000000,0.000000,0.096994
0.020000,0.635666,0.717361,0.490300,0.990000,1.000000,0.000000,0.100776
0.020000,0.655561,0.719412,0.510300,1.010000,1.000000,0.000000,0.104608
0.020000,0.675845,0.721581,0.530700,1.030000,1.000000,0.000000,0.108486
0.020000,0.696518,0.723874,0.551500,1.050000,1.000000,0.000000,0.112410
0.020000,0.717580,0.726294,0.572700,1.070000,1.000000,0.000000,0.116377
0.020000,0.739028,0.728845,0.594300,1.090000,1.000000,0.000000,0.120384
