dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.150425,0.336750,0.000050,0.005000,0.250000,12.500000,6.282190
0.020000,0.150440,0.336750,0.000066,0.000785,-0.210745,-23.037238,6.282234
0.020000,0.150476,0.336750,0.000101,0.001766,0.049062,12.990329,6.282333
0.020000,0.150538,0.336750,0.000164,0.003140,0.068666,0.980224,6.282510
0.020000,0.150633,0.336750,0.000258,0.004708,0.078432,0.488298,6.282775
0.020000,0.150758,0.336750,0.000383,0.006276,0.078361,-0.003571,6.283128
0.020000,0.152653,0.336750,0.002279,0.094755,4.423993,217.281625,0.000383
0.020000,0.155241,0.336752,0.004867,0.129401,1.732265,-134.586437,0.000912
0.020000,0.158261,0.336755,0.007886,0.150972,1.078559,-32.685257,0.001529
0.020000,0.161711,0.336762,0.011337,0.172524,1.077597,-0.048116,0.002234
0.020000,0.165593,0.336772,0.015218,0.194077,1.077678,0.004068,0.003026
0.020000,0.169905,0.336787,0.019531,0.215637,1.077987,0.015437,0.003905
0.020000,0.174649,0.336808,0.024275,0.237184,1.077342,-0.032281,0.004871
0.020000,0.179823,0.336836,0.029449,0.258726,1.077115,-0.011333,0.005925
0.020000,0.185429,0.336872,0.035054,0.280266,1.076982,-0.006668,0.007065
0.020000,0.191465,0.336919,0.041090,0.301805,1.076976,-0.000294,0.008291
0.020000,0.197931,0.336976,0.047557,0.323331,1.076256,-0.036002,0.009603
0.020000,0.204827,0.337048,0.054454,0.344845,1.075726,-0.026480,0.011001
0.020000,0.212154,0.337134,0.061781,0.366374,1.076444,0.035906,0.012484
0.020000,0.219911,0.337236,0.069539,0.387871,1.074830,-0.080719,0.014051
0.020000,0.228098,0.337358,0.077726,0.409379,1.075411,0.029041,0.015704
0.020000,0.236714,0.337501,0.086344,0.430870,1.074541,-0.043469,0.017440
0.020000,0.245759,0.337667,0.095391,0.452351,1.074047,-0.024736,0.019259
0.020000,0.255234,0.337859,0.104867,0.473824,1.073680,-0.018311,0.021162
0.020000,0.265137,0.338078,0.114773,0.495288,1.073217,-0.023167,0.023146
0.020000,0.275469,0.338328,0.125108,0.516742,1.072659,-0.027897,0.025213
0.020000,0.286229,0.338611,0.135872,0.538182,1.072009,-0.032497,0.027360
0.020000,0.297417,0.338929,0.147064,0.559607,1.071270,-0.036961,0.029588
0.020000,0.309032,0.339287,0.158684,0.581032,1.071251,-0.000937,0.031896
0.020000,0.321074,0.339685,0.170733,0.602429,1.069862,-0.069437,0.034282
0.020000,0.333542,0.340128,0.183209,0.623821,1.069596,-0.013312,0.036747
0.020000,0.346437,0.340619,0.196113,0.645188,1.068345,-0.062572,0.039288
0.020000,0.359757,0.341160,0.209444,0.666555,1.068330,-0.000719,0.041907
0.020000,0.373502,0.341755,0.223202,0.687894,1.066933,-0.069879,0.044600
0.020000,0.387671,0.342407,0.237386,0.709216,1.066124,-0.040436,0.047368
0.020000,0.402264,0.343119,0.251997,0.730521,1.065255,-0.043476,0.050210
0.020000,0.417280,0.343896,0.267033,0.751807,1.064285,-0.048454,0.053124
0.020000,0.432719,0.344740,0.282494,0.773071,1.063221,-0.053227,0.056109
0.020000,0.448579,0.345655,0.298381,0.794317,1.062285,-0.046777,0.059164
0.020000,0.464860,0.346645,0.314692,0.815544,1.061336,-0.047489,0.062288
0.020000,0.481560,0.347713,0.331426,0.836736,1.059639,-0.084821,0.065479
0.020000,0.498680,0.348864,0.348585,0.857920,1.059171,-0.023402,0.068736
0.020000,0.516218,0.350101,0.366166,0.879064,1.057229,-0.097102,0.072058
0.020000,0.534173,0.351427,0.384170,0.900191,1.056313,-0.045801,0.075444
0.020000,0.552544,0.352848,0.402596,0.921291,1.054990,-0.066166,0.078891
0.020000,0.571329,0.354366,0.421443,0.942358,1.053392,-0.079872,0.082398
0.020000,0.590529,0.355986,0.440711,0.963398,1.051968,-0.071203,0.085964
0.020000,0.610141,0.357712,0.460399,0.984407,1.050445,-0.076145,0.089586
0.020000,0.630165,0.359548,0.480507,1.005383,1.048829,-0.080806,0.093264
0.020000,0.650599,0.361498,0.501033,1.026333,1.047471,-0.067889,0.096994
0.020000,0.671442,0.363565,0.521978,1.047243,1.045517,-0.097749,0.100776
0.020000,0.692691,0.365755,0.543340,1.068117,1.043680,-0.091803,0.104608
0.020000,0.714347,0.368072,0.565120,1.088961,1.042238,-0.072125,0.108486
0.020000,0.736407,0.370518,0.587315,1.109762,1.040048,-0.109514,0.112410
0.020000,0.758870,0.373099,0.609925,1.130525,1.038155,-0.094617,0.116377
0.020000,0.781734,0.375818,0.632950,1.151254,1.036407,-0.087440,0.120384
0.020000,0.804997,0.378680,0.656389,1.171938,1.034216,-0.109547,0.124430
0.020000,0.828658,0.381689,0.680241,1.192580,1.032098,-0.105881,0.128512
0.020000,0.852715,0.384848,0.704504,1.213179,1.029945,-0.107655,0.132628
0.020000,0.877166,0.388162,0.729179,1.233736,1.027849,-0.104805,0.136775
0.020000,0.902010,0.391634,0.754264,1.254246,1.025525,-0.116166,0.140951
0.020000,0.927244,0.395269,0.779758,1.274708,1.023081,-0.122248,0.145153
0.020000,0.952866,0.399070,0.805661,1.295125,1.020880,-0.110031,0.149378
0.020000,0.978874,0.403040,0.831971,1.315491,1.018300,-0.128981,0.153624
0.020000,1.005267,0.407185,0.858687,1.335811,1.015978,-0.116101,0.157888
0.020000,1.032042,0.411507,0.885808,1.356077,1.013279,-0.134941,0.162167
0.020000,1.059197,0.416009,0.913334,1.376291,1.010741,-0.126899,0.166458
0.020000,1.086730,0.420696,0.941263,1.396454,1.008126,-0.130788,0.170758
0.020000,1.114639,0.425571,0.969594,1.416563,1.005440,-0.134288,0.175064
0.020000,1.142921,0.430636,0.998327,1.436617,1.002692,-0.137422,0.179373
0.020000,1.171575,0.435896,1.027459,1.456614,0.999887,-0.140214,0.183682
0.020000,1.200597,0.441352,1.056990,1.476555,0.997034,-0.142686,0.187988
0.020000,1.229987,0.447009,1.086919,1.496439,0.994192,-0.142084,0.192287
0.020000,1.259740,0.452868,1.117244,1.516265,0.991292,-0.145012,0.196577
0.020000,1.289856,0.458933,1.147965,1.536030,0.988286,-0.150297,0.200853
0.020000,1.320332,0.465206,1.179080,1.555737,0.985310,-0.148802,0.205113
0.020000,1.351166,0.471689,1.210587,1.575383,0.982301,-0.150454,0.209353
0.020000,1.382355,0.478384,1.242487,1.594966,0.979191,-0.155460,0.213569
0.020000,1.413896,0.485294,1.274776,1.614488,0.976097,-0.154729,0.217759
0.020000,1.445789,0.492421,1.307455,1.633948,0.972962,-0.156762,0.221918
0.020000,1.478030,0.499765,1.340522,1.653343,0.969791,-0.158501,0.226043
0.020000,1.510617,0.507330,1.373976,1.672675,0.966592,-0.159980,0.230130
0.020000,1.543548,0.515116,1.407814,1.691943,0.963370,-0.161116,0.234177
0.020000,1.576820,0.523124,1.442037,1.711145,0.960113,-0.162833,0.238178
0.020000,1.610433,0.531355,1.476643,1.730282,0.956837,-0.163806,0.242131
0.020000,1.644383,0.539810,1.511630,1.749352,0.953524,-0.165624,0.246032
0.020000,1.678668,0.548491,1.546997,1.768356,0.950211,-0.165673,0.249876
0.020000,1.713287,0.557396,1.582743,1.787294,0.946865,-0.167285,0.253661
0.020000,1.748237,0.566526,1.618866,1.806163,0.943478,-0.169363,0.257382
0.020000,1.783517,0.575882,1.655366,1.824965,0.940103,-0.168749,0.261036
0.020000,1.819125,0.585463,1.692240,1.843699,0.936697,-0.170293,0.264619
0.020000,1.855058,0.595268,1.729487,1.862365,0.933273,-0.171218,0.268127
0.020000,1.891316,0.605296,1.767106,1.880961,0.929810,-0.173138,0.271555
0.020000,1.927897,0.615548,1.805096,1.899488,0.926354,-0.172810,0.274901
0.020000,1.964798,0.626021,1.843455,1.917946,0.922897,-0.172856,0.278160
0.020000,2.002019,0.636714,1.882181,1.936333,0.919364,-0.176630,0.281329
0.020000,2.039559,0.647626,1.921274,1.954651,0.915873,-0.174529,0.284402
0.020000,2.077415,0.658754,1.960732,1.972897,0.912304,-0.178468,0.287378
0.020000,2.115587,0.670096,2.000554,1.991072,0.908786,-0.175904,0.290250
0.020000,2.154073,0.681650,2.040737,2.009176,0.905196,-0.179498,0.293016
0.020000,2.192825,0.693398,2.081230,2.024650,0.773682,-6.575714,0.295668
0.020000,2.231743,0.705306,2.121929,2.034951,0.515049,-12.931662,0.298196
0.020000,2.270730,0.717341,2.162731,2.040104,0.257672,-12.868850,0.300592
0.020000,2.309689,0.729466,2.203534,2.040135,0.001543,-12.806404,0.302850
0.020000,2.348574,0.741662,2.244286,2.037614,-0.126049,-6.379615,0.304965
0.020000,2.387385,0.753922,2.284988,2.035096,-0.125896,0.007656,0.306939
0.020000,2.426125,0.766241,2.325640,2.032581,-0.125745,0.007543,0.308772
0.020000,2.464796,0.778612,2.366241,2.030069,-0.125598,0.007346,0.310463
0.020000,2.503399,0.791031,2.406793,2.027560,-0.125457,0.007073,0.312013
0.020000,2.541936,0.803491,2.447294,2.025054,-0.125322,0.006729,0.313422
0.020000,2.580408,0.815988,2.487745,2.022550,-0.125196,0.006321,0.314690
