dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452431,1.053043,0.000129,0.012873,0.643635,32.181771,0.000058
0.020000,0.452438,1.053043,0.000136,0.000364,-0.625420,-63.452763,0.000038
0.020000,0.452536,1.053043,0.000234,0.004887,0.226138,42.577908,6.283182
0.020000,0.454103,1.053043,0.001800,0.078327,3.672020,172.294081,6.283121
0.020000,0.456191,1.053043,0.003889,0.104435,1.305359,-118.333049,6.283039
0.020000,0.458802,1.053042,0.006500,0.130540,1.305272,-0.004334,6.282937
0.020000,0.461935,1.053041,0.009633,0.156643,1.305167,-0.005266,6.282815
0.020000,0.465590,1.053039,0.013288,0.182744,1.305038,-0.006427,6.282673
0.020000,0.469767,1.053037,0.017464,0.208842,1.304889,-0.007458,6.282511
0.020000,0.474465,1.053033,0.022163,0.234936,1.304718,-0.008544,6.282329
0.020000,0.479686,1.053028,0.027384,0.261027,1.304526,-0.009616,6.282128
0.020000,0.485428,1.053022,0.033126,0.287113,1.304314,-0.010621,6.281908
0.020000,0.491692,1.053013,0.039390,0.313195,1.304078,-0.011788,6.281669
0.020000,0.498477,1.053002,0.046175,0.339271,1.303822,-0.012782,6.281412
0.020000,0.505784,1.052988,0.053482,0.365342,1.303544,-0.013902,6.281136
0.020000,0.513612,1.052971,0.061310,0.391407,1.303246,-0.014907,6.280842
0.020000,0.521962,1.052950,0.069660,0.417465,1.302925,-0.016027,6.280530
0.020000,0.530832,1.052925,0.078530,0.443517,1.302584,-0.017082,6.280202
0.020000,0.540223,1.052895,0.087921,0.469562,1.302220,-0.018176,6.279856
0.020000,0.550135,1.052860,0.097833,0.495598,1.301836,-0.019217,6.279494
0.020000,0.560568,1.052820,0.108266,0.521627,1.301430,-0.020310,6.279116
0.020000,0.571520,1.052773,0.119219,0.547647,1.301003,-0.021338,6.278723
0.020000,0.582993,1.052720,0.130692,0.573658,1.300554,-0.022471,6.278315
0.020000,0.594986,1.052659,0.142685,0.599660,1.300084,-0.023475,6.277892
0.020000,0.607499,1.052590,0.155198,0.625652,1.299591,-0.024639,6.277455
0.020000,0.620532,1.052512,0.168231,0.651633,1.299079,-0.025625,6.277006
0.020000,0.634083,1.052425,0.181783,0.677604,1.298544,-0.026746,6.276543
0.020000,0.648154,1.052328,0.195854,0.703564,1.297988,-0.027796,6.276069
0.020000,0.662744,1.052221,0.210444,0.729512,1.297410,-0.028889,6.275583
0.020000,0.677853,1.052102,0.225553,0.755448,1.296811,-0.029960,6.275086
0.020000,0.693480,1.051972,0.241181,0.781372,1.296191,-0.030996,6.274579
0.020000,0.709625,1.051829,0.257326,0.807283,1.295548,-0.032132,6.274063
0.020000,0.726288,1.051672,0.273990,0.833181,1.294885,-0.033172,6.273539
0.020000,0.743468,1.051502,0.291171,0.859065,1.294200,-0.034228,6.273006
0.020000,0.761166,1.051317,0.308870,0.884935,1.293494,-0.035344,6.272467
0.020000,0.779380,1.051117,0.327086,0.910790,1.292766,-0.036394,6.271921
0.020000,0.798112,1.050901,0.345818,0.936630,1.292017,-0.037458,6.271370
0.020000,0.817359,1.050668,0.365067,0.962455,1.291245,-0.038556,6.270815
0.020000,0.837123,1.050418,0.384833,0.988264,1.290453,-0.039618,6.270256
0.020000,0.857403,1.050150,0.405114,1.014057,1.289640,-0.040675,6.269694
0.020000,0.878197,1.049863,0.425910,1.039833,1.288804,-0.041777,6.269131
0.020000,0.899507,1.049558,0.447222,1.065592,1.287947,-0.042833,6.268567
0.020000,0.921331,1.049233,0.469049,1.091333,1.287069,-0.043899,6.268003
0.020000,0.943670,1.048887,0.491390,1.117057,1.286170,-0.044986,6.267440
0.020000,0.966522,1.048521,0.514245,1.142762,1.285249,-0.046047,6.266880
0.020000,0.989888,1.048133,0.537614,1.168448,1.284306,-0.047120,6.266323
0.020000,1.013766,1.047724,0.561497,1.194115,1.283343,-0.048190,6.265770
0.020000,1.038158,1.047292,0.585892,1.219762,1.282357,-0.049259,6.265223
0.020000,1.063061,1.046838,0.610800,1.245389,1.281351,-0.050331,6.264683
0.020000,1.088477,1.046361,0.636219,1.270995,1.280323,-0.051397,6.264150
0.020000,1.114404,1.045861,0.662151,1.296581,1.279273,-0.052466,6.263627
0.020000,1.140841,1.045337,0.688594,1.322145,1.278203,-0.053535,6.263113
0.020000,1.167790,1.044789,0.715548,1.347687,1.277111,-0.054600,6.262611
0.020000,1.195248,1.044217,0.743012,1.373207,1.275997,-0.055670,6.262122
0.020000,1.223215,1.043621,0.770986,1.398704,1.274863,-0.056734,6.261646
0.020000,1.251692,1.043001,0.799470,1.424178,1.273707,-0.057807,6.261186
0.020000,1.280678,1.042357,0.828462,1.449629,1.272529,-0.058866,6.260743
0.020000,1.310171,1.041689,0.857963,1.475056,1.271330,-0.059941,6.260317
0.020000,1.340172,1.040996,0.887972,1.500458,1.270110,-0.060999,6.259911
0.020000,1.370681,1.040280,0.918489,1.525835,1.268869,-0.062074,6.259525
0.020000,1.401696,1.039540,0.949513,1.551187,1.267606,-0.063135,6.259162
