dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452472,0.341843,0.000125,0.012499,0.624960,31.247976,0.000058
0.020000,0.452465,0.341843,0.000132,0.000354,-0.607272,-61.611592,0.000038
0.020000,0.452486,0.341843,0.000153,0.001024,0.033509,32.039077,6.283184
0.020000,0.453964,0.341843,0.001631,0.073936,3.645580,180.603523,6.283124
0.020000,0.455936,0.341843,0.003603,0.098583,1.232353,-120.661343,6.283045
0.020000,0.458401,0.341842,0.006068,0.123231,1.232433,0.003990,6.282946
0.020000,0.461358,0.341841,0.009025,0.147882,1.232534,0.005052,6.282827
0.020000,0.464809,0.341840,0.012476,0.172535,1.232654,0.006007,6.282689
0.020000,0.468753,0.341837,0.016420,0.197191,1.232796,0.007087,6.282532
0.020000,0.473190,0.341834,0.020857,0.221850,1.232955,0.007996,6.282356
0.020000,0.478120,0.341830,0.025787,0.246513,1.233137,0.009088,6.282161
0.020000,0.483544,0.341823,0.031211,0.271179,1.233338,0.010030,6.281947
0.020000,0.489461,0.341815,0.037128,0.295851,1.233560,0.011103,6.281714
0.020000,0.495871,0.341805,0.043538,0.320527,1.233801,0.012041,6.281464
0.020000,0.502775,0.341792,0.050442,0.345208,1.234062,0.013084,6.281196
0.020000,0.510173,0.341777,0.057840,0.369895,1.234345,0.014122,6.280910
0.020000,0.518065,0.341757,0.065732,0.394588,1.234646,0.015068,6.280607
0.020000,0.526451,0.341735,0.074118,0.419287,1.234969,0.016120,6.280287
0.020000,0.535331,0.341707,0.082998,0.443993,1.235311,0.017111,6.279951
0.020000,0.544705,0.341675,0.092372,0.468707,1.235673,0.018131,6.279599
0.020000,0.554573,0.341638,0.102240,0.493428,1.236056,0.019127,6.279231
0.020000,0.564936,0.341595,0.112603,0.518157,1.236459,0.020168,6.278848
0.020000,0.575794,0.341546,0.123461,0.542895,1.236882,0.021135,6.278450
0.020000,0.587147,0.341490,0.134814,0.567641,1.237325,0.022165,6.278039
0.020000,0.598994,0.341426,0.146662,0.592397,1.237789,0.023207,6.277613
0.020000,0.611337,0.341355,0.159005,0.617163,1.238273,0.024161,6.277175
0.020000,0.624176,0.341275,0.171844,0.641938,1.238777,0.025221,6.276724
0.020000,0.637510,0.341185,0.185178,0.666724,1.239301,0.026192,6.276261
0.020000,0.651340,0.341086,0.199009,0.691521,1.239846,0.027261,6.275786
0.020000,0.665666,0.340977,0.213336,0.716329,1.240410,0.028207,6.275301
0.020000,0.680489,0.340856,0.228158,0.741149,1.240996,0.029271,6.274806
0.020000,0.695808,0.340724,0.243478,0.765981,1.241601,0.030243,6.274302
0.020000,0.711624,0.340580,0.259295,0.790826,1.242227,0.031301,6.273789
0.020000,0.727937,0.340422,0.275608,0.815683,1.242872,0.032281,6.273268
0.020000,0.744747,0.340251,0.292419,0.840554,1.243538,0.033284,6.272740
0.020000,0.762055,0.340065,0.309728,0.865438,1.244225,0.034332,6.272205
0.020000,0.779860,0.339865,0.327535,0.890337,1.244931,0.035325,6.271665
0.020000,0.798164,0.339649,0.345840,0.915250,1.245658,0.036326,6.271120
0.020000,0.816966,0.339417,0.364643,0.940178,1.246405,0.037363,6.270571
0.020000,0.836267,0.339168,0.383946,0.965122,1.247172,0.038363,6.270019
0.020000,0.856067,0.338902,0.403747,0.990081,1.247959,0.039361,6.269465
0.020000,0.876366,0.338618,0.424049,1.015056,1.248767,0.040397,6.268909
0.020000,0.897165,0.338315,0.444850,1.040048,1.249595,0.041386,6.268353
0.020000,0.918463,0.337993,0.466151,1.065057,1.250443,0.042416,6.267798
0.020000,0.940262,0.337652,0.487952,1.090083,1.251311,0.043405,6.267244
0.020000,0.962562,0.337290,0.510255,1.115127,1.252200,0.044430,6.266693
0.020000,0.985363,0.336908,0.533059,1.140189,1.253109,0.045433,6.266145
0.020000,1.008664,0.336504,0.556364,1.165270,1.254038,0.046448,6.265602
0.020000,1.032468,0.336079,0.580172,1.190370,1.254987,0.047448,6.265065
0.020000,1.056774,0.335632,0.604481,1.215489,1.255956,0.048462,6.264535
0.020000,1.081582,0.335163,0.629294,1.240628,1.256945,0.049467,6.264012
0.020000,1.106893,0.334671,0.654610,1.265787,1.257955,0.050475,6.263499
0.020000,1.132707,0.334156,0.680429,1.290967,1.258984,0.051481,6.262995
0.020000,1.159025,0.333618,0.706752,1.316167,1.260034,0.052491,6.262503
0.020000,1.185847,0.333057,0.733580,1.341389,1.261104,0.053492,6.262024
0.020000,1.213173,0.332472,0.760913,1.366633,1.262194,0.054500,6.261558
0.020000,1.241005,0.331864,0.788751,1.391899,1.263304,0.055510,6.261108
0.020000,1.269341,0.331232,0.817094,1.417188,1.264434,0.056508,6.260674
0.020000,1.298184,0.330577,0.845944,1.442500,1.265585,0.057520,6.260257
0.020000,1.327533,0.329898,0.875301,1.467835,1.266755,0.058520,6.259860
0.020000,1.357388,0.329195,0.905165,1.493194,1.267946,0.059532,6.259482
0.020000,1.387751,0.328470,0.935537,1.518577,1.269156,0.060534,6.259127
0.020000,1.418622,0.327722,0.966416,1.543985,1.270387,0.061541,6.258794
0.020000,1.450001,0.326952,0.997805,1.569417,1.271638,0.062547,6.258486
0.020000,1.481888,0.326159,1.029702,1.594876,1.272909,0.063552,6.258203
0.020000,1.514285,0.325346,1.062109,1.620360,1.274200,0.064563,6.257948
0.020000,1.547192,0.324511,1.095027,1.645870,1.275512,0.065571,6.257722
0.020000,1.580609,0.323657,1.128455,1.671407,1.276843,0.066576,6.257526
0.020000,1.614538,0.322783,1.162394,1.696971,1.278195,0.067588,6.257362
0.020000,1.648977,0.321891,1.196845,1.722562,1.279567,0.068597,6.257231
0.020000,1.683929,0.320982,1.231809,1.748181,1.280959,0.069609,6.257135
0.020000,1.719393,0.320057,1.267286,1.773829,1.282372,0.070620,6.257075
0.020000,1.755371,0.319117,1.303276,1.799505,1.283804,0.071632,6.257054
0.020000,1.791863,0.318163,1.339780,1.825210,1.285257,0.072646,6.257073
0.020000,1.828869,0.317197,1.376799,1.850944,1.286730,0.073659,6.257132
0.020000,1.866391,0.316221,1.414333,1.876709,1.288224,0.074674,6.257235
0.020000,1.904428,0.315237,1.452383,1.902504,1.289738,0.075689,6.257383
0.020000,1.942982,0.314245,1.490950,1.928329,1.291272,0.076706,6.257577
0.020000,1.982053,0.313249,1.530033,1.954186,1.292826,0.077718,6.257820
0.020000,2.021642,0.312251,1.569635,1.980074,1.294401,0.078738,6.258112
0.020000,2.060662,0.311364,1.608665,1.951512,-1.428065,-136.123313,6.264698
0.020000,2.104763,0.310774,1.652770,2.205240,12.686374,705.721969,6.274843
0.020000,2.149262,0.310623,1.697269,2.224961,0.986039,-585.016738,0.001506
0.020000,2.194149,0.310907,1.742157,2.244382,0.971092,-0.747370,0.011040
