dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500091,3.364275,0.000050,0.005000,0.250000,12.500000,6.282931
0.020000,1.500080,3.364275,0.000061,0.000552,-0.222402,-23.620099,6.282962
0.020000,1.500055,3.364275,0.000086,0.001241,0.034462,12.843195,6.283031
0.020000,1.500011,3.364275,0.000130,0.002204,0.048147,0.684261,6.283155
0.020000,1.500951,3.364275,0.001070,0.047020,2.240818,109.633535,0.000156
0.020000,1.502463,3.364275,0.002583,0.075610,1.429496,-40.566114,0.000403
0.020000,1.504354,3.364276,0.004473,0.094531,0.946006,-24.174455,0.000710
0.020000,1.506623,3.364278,0.006742,0.113462,0.946591,0.029216,0.001078
0.020000,1.509271,3.364282,0.009391,0.132408,0.947292,0.035061,0.001505
0.020000,1.512299,3.364287,0.012418,0.151370,0.948110,0.040915,0.001990
0.020000,1.515706,3.364295,0.015825,0.170351,0.949046,0.046775,0.002533
0.020000,1.519493,3.364305,0.019612,0.189353,0.950098,0.052616,0.003132
0.020000,1.523660,3.364320,0.023780,0.208379,0.951268,0.058479,0.003785
0.020000,1.528209,3.364339,0.028328,0.227430,0.952555,0.064342,0.004492
0.020000,1.533139,3.364363,0.033258,0.246509,0.953959,0.070217,0.005251
0.020000,1.538451,3.364393,0.038571,0.265619,0.955481,0.076089,0.006060
0.020000,1.544146,3.364430,0.044266,0.284761,0.957118,0.081849,0.006917
0.020000,1.550225,3.364474,0.050345,0.303938,0.958876,0.087906,0.007820
0.020000,1.556688,3.364528,0.056808,0.323153,0.960748,0.093625,0.008768
0.020000,1.563536,3.364591,0.063656,0.342408,0.962739,0.099542,0.009757
0.020000,1.570769,3.364666,0.070890,0.361705,0.964848,0.105465,0.010786
0.020000,1.578390,3.364752,0.078511,0.381047,0.967071,0.111139,0.011852
0.020000,1.586398,3.364851,0.086520,0.400435,0.969416,0.117231,0.012953
0.020000,1.594795,3.364965,0.094917,0.419872,0.971876,0.123007,0.014085
0.020000,1.603581,3.365094,0.103704,0.439361,0.974450,0.128702,0.015245
0.020000,1.612758,3.365239,0.112883,0.458904,0.977148,0.134891,0.016432
0.020000,1.622327,3.365402,0.122453,0.478503,0.979954,0.140321,0.017641
0.020000,1.632288,3.365584,0.132416,0.498161,0.982883,0.146431,0.018869
0.020000,1.642644,3.365786,0.142773,0.517880,0.985925,0.152086,0.020113
0.020000,1.653395,3.366009,0.153527,0.537661,0.989088,0.158183,0.021370
