dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,3.008675,0.000050,0.005000,0.250000,12.500000,6.282931
0.020000,1.500000,3.008675,0.000250,0.015000,0.500000,12.500000,6.282962
0.020000,1.500000,3.008675,0.000700,0.030000,0.750000,12.500000,6.283031
0.020000,1.500000,3.008675,0.001500,0.050000,1.000000,12.500000,6.283155
0.020000,1.501006,3.008675,0.002700,0.070000,1.000000,0.000000,0.000156
0.020000,1.502606,3.008675,0.004300,0.090000,1.000000,-0.000000,0.000403
0.020000,1.504606,3.008676,0.006300,0.110000,1.000000,0.000000,0.000710
0.020000,1.507006,3.008678,0.008700,0.130000,1.000000,0.000000,0.001078
0.020000,1.509806,3.008682,0.011500,0.150000,1.000000,-0.000000,0.001505
0.020000,1.513006,3.008688,0.014700,0.170000,1.000000,0.000000,0.001990
0.020000,1.516606,3.008696,0.018300,0.190000,1.000000,-0.000000,0.002533
0.020000,1.520606,3.008707,0.022300,0.210000,1.000000,0.000000,0.003132
0.020000,1.525006,3.008722,0.026700,0.230000,1.000000,0.000000,0.003785
0.020000,1.529806,3.008742,0.031500,0.250000,1.000000,-0.000000,0.004492
0.020000,1.535006,3.008768,0.036700,0.270000,1.000000,0.000000,0.005251
0.020000,1.540606,3.008799,0.042300,0.290000,1.000000,-0.000000,0.006060
0.020000,1.546606,3.008838,0.048300,0.310000,1.000000,0.000000,0.006917
0.020000,1.553006,3.008885,0.054700,0.330000,1.000000,0.000000,0.007820
0.020000,1.559806,3.008942,0.061500,0.350000,1.000000,-0.000000,0.008768
0.020000,1.567005,3.009008,0.068700,0.370000,1.000000,0.000000,0.009757
0.020000,1.574605,3.009087,0.076300,0.390000,1.000000,0.000000,0.010786
0.020000,1.582604,3.009177,0.084300,0.410000,1.000000,-0.000000,0.011852
0.020000,1.591004,3.009281,0.092700,0.430000,1.000000,0.000000,0.012953
0.020000,1.599803,3.009400,0.101500,0.450000,1.000000,0.000000,0.014085
0.020000,1.609002,3.009535,0.110700,0.470000,1.000000,-0.000000,0.015245
0.020000,1.618601,3.009687,0.120300,0.490000,1.000000,0.000000,0.016432
0.020000,1.628599,3.009858,0.130300,0.510000,1.000000,0.000000,0.017641
0.020000,1.638998,3.010047,0.140700,0.530000,1.000000,0.000000,0.018869
0.020000,1.649796,3.010258,0.151500,0.550000,1.000000,0.000000,0.020113
0.020000,1.660993,3.010490,0.162700,0.570000,1.000000,-0.000000,0.021370
0.020000,1.672590,3.010746,0.174300,0.590000,1.000000,0.000000,0.022635
0.020000,1.684587,3.011025,0.186300,0.610000,1.000000,0.000000,0.023905
0.020000,1.696983,3.011329,0.198700,0.630000,1.000000,0.000000,0.025175
0.020000,1.709779,3.011659,0.211500,0.650000,1.000000,0.000000,0.026442
0.020000,1.722974,3.012017,0.224700,0.670000,1.000000,0.000000,0.027702
0.020000,1.736569,3.012402,0.238300,0.690000,1.000000,-0.000000,0.028951
