dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.499909,2.653075,0.000050,0.005000,0.250000,12.500000,6.282931
0.020000,1.499920,2.653075,0.000061,0.000552,-0.222402,-23.620099,6.282962
0.020000,1.499945,2.653075,0.000086,0.001241,0.034462,12.843195,6.283031
0.020000,1.499989,2.653075,0.000130,0.002204,0.048147,0.684261,6.283155
0.020000,1.501062,2.653075,0.001202,0.053621,2.570855,126.135388,0.000156
0.020000,1.502750,2.653075,0.002890,0.084390,1.538417,-51.621873,0.000403
0.020000,1.504859,2.653076,0.005000,0.105469,1.053994,-24.221195,0.000710
0.020000,1.507390,2.653079,0.007530,0.126538,1.053409,-0.029216,0.001078
0.020000,1.510342,2.653082,0.010482,0.147592,1.052708,-0.035068,0.001505
0.020000,1.513714,2.653088,0.013855,0.168630,1.051890,-0.040915,0.001990
0.020000,1.517507,2.653097,0.017648,0.189649,1.050954,-0.046760,0.002533
0.020000,1.521720,2.653109,0.021861,0.210647,1.049902,-0.052632,0.003132
0.020000,1.526352,2.653125,0.026493,0.231621,1.048732,-0.058484,0.003785
0.020000,1.531404,2.653146,0.031544,0.252570,1.047445,-0.064343,0.004492
0.020000,1.536874,2.653172,0.037014,0.273491,1.046041,-0.070193,0.005251
0.020000,1.542761,2.653206,0.042902,0.294381,1.044520,-0.076051,0.006060
0.020000,1.549066,2.653247,0.049207,0.315239,1.042880,-0.082035,0.006917
0.020000,1.555787,2.653296,0.055928,0.336062,1.041126,-0.087693,0.007820
0.020000,1.562923,2.653355,0.063065,0.356847,1.039251,-0.093725,0.008768
0.020000,1.570475,2.653425,0.070617,0.377592,1.037260,-0.099538,0.009757
0.020000,1.578440,2.653507,0.078583,0.398295,1.035154,-0.105341,0.010786
0.020000,1.586819,2.653602,0.086962,0.418953,1.032925,-0.111414,0.011852
0.020000,1.595610,2.653711,0.095753,0.439565,1.030585,-0.117019,0.012953
0.020000,1.604811,2.653836,0.104956,0.460128,1.028126,-0.122964,0.014085
0.020000,1.614423,2.653976,0.114568,0.480639,1.025546,-0.128985,0.015245
0.020000,1.624444,2.654135,0.124590,0.501096,1.022857,-0.134451,0.016432
0.020000,1.634872,2.654313,0.135020,0.521497,1.020042,-0.140732,0.017641
0.020000,1.645707,2.654511,0.145857,0.541839,1.017117,-0.146251,0.018869
0.020000,1.656947,2.654730,0.157099,0.562120,1.014072,-0.152246,0.020113
0.020000,1.668592,2.654972,0.168746,0.582339,1.010918,-0.157740,0.021370
0.020000,1.680639,2.655237,0.180796,0.602491,1.007637,-0.164015,0.022635
0.020000,1.693087,2.655526,0.193247,0.622576,1.004249,-0.169413,0.023905
0.020000,1.705935,2.655842,0.206099,0.642591,1.000739,-0.175500,0.025175
0.020000,1.719181,2.656184,0.219350,0.662534,0.997123,-0.180810,0.026442
0.020000,1.732824,2.656553,0.232998,0.682401,0.993381,-0.187073,0.027702
0.020000,1.746862,2.656951,0.247042,0.702192,0.989533,-0.192412,0.028951
0.020000,1.761294,2.657378,0.261480,0.721903,0.985568,-0.198274,0.030182
0.020000,1.776118,2.657835,0.276311,0.741533,0.981483,-0.204257,0.031394
0.020000,1.791331,2.658321,0.291532,0.761079,0.977295,-0.209398,0.032579
0.020000,1.806933,2.658839,0.307143,0.780538,0.972983,-0.215591,0.033734
0.020000,1.822922,2.659388,0.323141,0.799910,0.968560,-0.221124,0.034854
0.020000,1.839296,2.659968,0.339525,0.819190,0.964027,-0.226669,0.035933
0.020000,1.856052,2.660579,0.356292,0.838378,0.959374,-0.232635,0.036967
0.020000,1.873190,2.661221,0.373442,0.857470,0.954613,-0.238078,0.037949
0.020000,1.890706,2.661894,0.390971,0.876465,0.949734,-0.243944,0.038876
0.020000,1.908599,2.662598,0.408878,0.895359,0.944743,-0.249535,0.039739
0.020000,1.926868,2.663332,0.427161,0.914152,0.939633,-0.255522,0.040535
0.020000,1.945509,2.664095,0.445818,0.932840,0.934414,-0.260909,0.041258
0.020000,1.964521,2.664886,0.464847,0.951422,0.929076,-0.266934,0.041900
0.020000,1.983901,2.665704,0.484245,0.969894,0.923623,-0.272645,0.042456
0.020000,2.003649,2.666548,0.504010,0.988255,0.918051,-0.278574,0.042921
0.020000,2.023760,2.667415,0.524140,1.006503,0.912365,-0.284328,0.043286
0.020000,2.044233,2.668305,0.544632,1.024634,0.906558,-0.290361,0.043547
0.020000,2.065066,2.669214,0.565485,1.042647,0.900632,-0.296272,0.043696
0.020000,2.086257,2.670142,0.586696,1.060538,0.894586,-0.302306,0.043726
0.020000,2.107802,2.671083,0.608262,1.078307,0.888418,-0.308388,0.043631
0.020000,2.129701,2.672037,0.630181,1.095949,0.882128,-0.314521,0.043403
0.020000,2.151949,2.673000,0.652450,1.113463,0.875713,-0.320724,0.043035
0.020000,2.174545,2.673967,0.675067,1.130847,0.869176,-0.326879,0.042521
0.020000,2.197487,2.674936,0.698029,1.148097,0.862509,-0.333349,0.041851
0.020000,2.220771,2.675901,0.721334,1.165212,0.855719,-0.339483,0.041020
0.020000,2.244395,2.676859,0.744977,1.182188,0.848801,-0.345931,0.040018
0.020000,2.268357,2.677805,0.768958,1.199023,0.841753,-0.352374,0.038838
0.020000,2.292654,2.678733,0.793272,1.215714,0.834576,-0.358855,0.037472
0.020000,2.317282,2.679637,0.817917,1.232260,0.827274,-0.365079,0.035912
0.020000,2.342240,2.680512,0.842890,1.248657,0.819846,-0.371439,0.034149
0.020000,2.367524,2.681352,0.868188,1.264902,0.812288,-0.377878,0.032175
0.020000,2.393132,2.682148,0.893808,1.280994,0.804605,-0.384175,0.029981
