dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.364284,3.488363,0.000050,0.005000,0.250000,12.500000,6.282645
0.020000,1.364276,3.488363,0.000058,0.000405,-0.229726,-23.986287,6.282668
0.020000,1.364257,3.488363,0.000076,0.000912,0.025329,12.752747,6.282719
0.020000,1.364225,3.488363,0.000109,0.001621,0.035423,0.504678,6.282810
0.020000,1.364176,3.488363,0.000157,0.002429,0.040401,0.248925,6.282947
0.020000,1.364112,3.488363,0.000222,0.003234,0.040267,-0.006710,6.283129
0.020000,1.365534,3.488364,0.001645,0.071126,3.394607,167.716974,0.000171
0.020000,1.367838,3.488364,0.003948,0.115168,2.202084,-59.626105,0.000442
0.020000,1.370525,3.488366,0.006635,0.134375,0.960358,-62.086306,0.000759
0.020000,1.373597,3.488369,0.009707,0.153592,0.960833,0.023712,0.001119
0.020000,1.377053,3.488373,0.013163,0.172811,0.960994,0.008065,0.001523
0.020000,1.380894,3.488380,0.017004,0.192042,0.961508,0.025691,0.001971
0.020000,1.385120,3.488389,0.021230,0.211281,0.961978,0.023492,0.002461
0.020000,1.389730,3.488402,0.025841,0.230530,0.962460,0.024103,0.002994
0.020000,1.394726,3.488418,0.030836,0.249790,0.963002,0.027125,0.003568
0.020000,1.400107,3.488439,0.036218,0.269062,0.963605,0.030143,0.004183
0.020000,1.405874,3.488465,0.041984,0.288347,0.964218,0.030652,0.004839
0.020000,1.412027,3.488497,0.048137,0.307643,0.964791,0.028652,0.005534
0.020000,1.418566,3.488536,0.054676,0.326957,0.965712,0.046038,0.006267
0.020000,1.425491,3.488582,0.061602,0.346283,0.966317,0.030273,0.007039
0.020000,1.432804,3.488636,0.068915,0.365628,0.967257,0.046991,0.007847
0.020000,1.440503,3.488700,0.076614,0.384987,0.967932,0.033769,0.008692
0.020000,1.448590,3.488774,0.084702,0.404367,0.969004,0.053559,0.009571
0.020000,1.457065,3.488859,0.093177,0.423765,0.969897,0.044653,0.010484
0.020000,1.465928,3.488956,0.102041,0.443182,0.970849,0.047601,0.011430
0.020000,1.475180,3.489066,0.111293,0.462619,0.971859,0.050537,0.012407
0.020000,1.484821,3.489191,0.120935,0.482078,0.972929,0.053456,0.013415
0.020000,1.494851,3.489331,0.130966,0.501559,0.974056,0.056356,0.014453
0.020000,1.505271,3.489487,0.141387,0.521064,0.975240,0.059234,0.015518
0.020000,1.516081,3.489660,0.152199,0.540593,0.976482,0.062085,0.016609
0.020000,1.527283,3.489853,0.163402,0.560145,0.977562,0.054003,0.017726
0.020000,1.538875,3.490065,0.174996,0.579724,0.978990,0.071376,0.018866
0.020000,1.550859,3.490298,0.186983,0.599329,0.980214,0.061243,0.020029
0.020000,1.563236,3.490553,0.199362,0.618963,0.981717,0.075108,0.021212
0.020000,1.576005,3.490832,0.212135,0.638621,0.982897,0.059006,0.022414
0.020000,1.589168,3.491135,0.225301,0.658311,0.984493,0.079823,0.023634
0.020000,1.602725,3.491464,0.238861,0.678030,0.985969,0.073801,0.024870
0.020000,1.616676,3.491820,0.252817,0.697780,0.987477,0.075380,0.026120
0.020000,1.631022,3.492203,0.267168,0.717560,0.989039,0.078100,0.027382
0.020000,1.645764,3.492617,0.281916,0.737374,0.990654,0.080777,0.028654
0.020000,1.660902,3.493060,0.297060,0.757220,0.992322,0.083406,0.029936
0.020000,1.676436,3.493536,0.312602,0.777097,0.993840,0.075869,0.031224
0.020000,1.692368,3.494043,0.328542,0.797012,0.995744,0.095209,0.032517
0.020000,1.708699,3.494585,0.344881,0.816961,0.997457,0.085656,0.033812
0.020000,1.725428,3.495162,0.361620,0.836945,0.999204,0.087324,0.035109
0.020000,1.742556,3.495775,0.378760,0.856966,1.001058,0.092712,0.036405
0.020000,1.760084,3.496425,0.396300,0.877026,1.002993,0.096756,0.037697
0.020000,1.778014,3.497112,0.414243,0.897122,1.004830,0.091836,0.038983
0.020000,1.796344,3.497839,0.432588,0.917257,1.006737,0.095371,0.040263
0.020000,1.815077,3.498606,0.451336,0.937433,1.008791,0.102694,0.041532
0.020000,1.834213,3.499413,0.470489,0.957649,1.010805,0.100691,0.042789
0.020000,1.853753,3.500262,0.490048,0.977906,1.012844,0.101954,0.044032
0.020000,1.873697,3.501153,0.510012,0.998203,1.014873,0.101470,0.045257
0.020000,1.894047,3.502087,0.530383,1.018545,1.017092,0.110936,0.046464
0.020000,1.914802,3.503064,0.551161,1.038931,1.019294,0.110088,0.047649
0.020000,1.935965,3.504086,0.572348,1.059358,1.021314,0.101018,0.048810
0.020000,1.957535,3.505152,0.593945,1.079833,1.023776,0.123094,0.049944
0.020000,1.979514,3.506263,0.615952,1.100349,1.025823,0.102321,0.051049
0.020000,2.001903,3.507419,0.638370,1.120916,1.028304,0.124079,0.052123
0.020000,2.024701,3.508620,0.661201,1.141528,1.030615,0.115530,0.053162
0.020000,2.047912,3.509867,0.684445,1.162187,1.032976,0.118086,0.054164
0.020000,2.071534,3.511159,0.708102,1.182895,1.035383,0.120321,0.055126
0.020000,2.095570,3.512497,0.732176,1.203652,1.037857,0.123732,0.056045
0.020000,2.120020,3.513880,0.756665,1.224459,1.040349,0.124556,0.056919
0.020000,2.144886,3.515307,0.781571,1.245317,1.042905,0.127799,0.057745
0.020000,2.170167,3.516778,0.806896,1.266227,1.045499,0.129700,0.058520
0.020000,2.195867,3.518293,0.832639,1.287190,1.048125,0.131313,0.059240
0.020000,2.221984,3.519851,0.858803,1.308204,1.050703,0.128903,0.059904
0.020000,2.248522,3.521451,0.885389,1.329274,1.053518,0.140734,0.060507
0.020000,2.275480,3.523092,0.912397,1.350397,1.056159,0.132059,0.061047
0.020000,2.302860,3.524772,0.939828,1.371578,1.059021,0.143096,0.061521
0.020000,2.330663,3.526490,0.967685,1.392815,1.061839,0.140932,0.061925
0.020000,2.358891,3.528245,0.995967,1.414109,1.064709,0.143475,0.062256
0.020000,2.387544,3.530035,1.024676,1.435461,1.067633,0.146186,0.062511
0.020000,2.416624,3.531858,1.053814,1.456874,1.070623,0.149513,0.062687
0.020000,2.446133,3.533712,1.083381,1.478347,1.073646,0.151166,0.062780
0.020000,2.476072,3.535595,1.113378,1.499881,1.076730,0.154178,0.062787
0.020000,2.506441,3.537503,1.143808,1.521479,1.079864,0.156696,0.062704
0.020000,2.537244,3.539434,1.174671,1.543139,1.083044,0.159004,0.062527
0.020000,2.568480,3.541386,1.205968,1.564866,1.086309,0.163268,0.062253
0.020000,2.600152,3.543355,1.237701,1.586657,1.089586,0.163852,0.061879
0.020000,2.632261,3.545337,1.269871,1.608517,1.092988,0.170080,0.061400
0.020000,2.664809,3.547328,1.302480,1.630445,1.096375,0.169348,0.060813
0.020000,2.697798,3.549326,1.335529,1.652442,1.099883,0.175424,0.060113
0.020000,2.731228,3.551324,1.369019,1.674512,1.103477,0.179679,0.059297
0.020000,2.765103,3.553320,1.402952,1.696653,1.107070,0.179647,0.058360
0.020000,2.799423,3.555307,1.437330,1.718869,1.110771,0.185047,0.057299
0.020000,2.834190,3.557281,1.472153,1.741159,1.114539,0.188402,0.056109
0.020000,2.869406,3.559236,1.507424,1.763528,1.118414,0.193764,0.054785
0.020000,2.905073,3.561166,1.543143,1.785975,1.122357,0.197132,0.053325
0.020000,2.941193,3.563065,1.579313,1.808501,1.126289,0.196615,0.051722
0.020000,2.977768,3.564927,1.615935,1.831109,1.130419,0.206488,0.049972
0.020000,3.014800,3.566744,1.653011,1.853801,1.134604,0.209261,0.048071
0.020000,3.052290,3.568509,1.690543,1.876578,1.138839,0.211739,0.046014
0.020000,3.090240,3.570215,1.728532,1.899440,1.143119,0.214024,0.043795
0.020000,3.128653,3.571853,1.766979,1.922394,1.147681,0.228117,0.041411
0.020000,3.167531,3.573415,1.805888,1.945436,1.152125,0.222161,0.038855
0.020000,3.206874,3.574891,1.845260,1.968571,1.156713,0.229405,0.036124
0.020000,3.246686,3.576272,1.885096,1.991799,1.161412,0.234974,0.033210
0.020000,3.286969,3.577548,1.925398,2.015123,1.166186,0.238684,0.030110
0.020000,3.327671,3.578708,1.966117,2.035969,1.042317,-6.193466,0.026821
0.020000,3.368693,3.579738,2.007152,2.051745,0.788829,-12.674380,0.023349
0.020000,3.409932,3.580626,2.048401,2.062421,0.533758,-12.753541,0.019697
0.020000,3.451285,3.581362,2.089760,2.067967,0.277339,-12.820967,0.015875
0.020000,3.492700,3.581937,2.131179,2.070952,0.149229,-6.405493,0.011884
0.020000,3.534177,3.582345,2.172658,2.073944,0.149606,0.018830,0.007725
0.020000,3.575715,3.582576,2.214197,2.076948,0.150188,0.029115,0.003397
0.020000,3.617315,3.582625,2.255796,2.079968,0.151018,0.041499,6.282085
0.020000,3.658974,3.582482,2.297456,2.082995,0.151347,0.016479,6.277417
0.020000,3.700694,3.582141,2.339177,2.086032,0.151854,0.025318,6.272578
0.020000,3.742472,3.581594,2.380959,2.089085,0.152629,0.038769,6.267567
0.020000,3.784308,3.580832,2.422801,2.092141,0.152806,0.008819,6.262385
0.020000,3.826200,3.579849,2.464705,2.095206,0.153269,0.023168,6.257030
0.020000,3.868148,3.578636,2.506671,2.098282,0.153798,0.026455,6.251502
0.020000,3.910150,3.577186,2.548698,2.101360,0.153872,0.003713,6.245801
0.020000,3.952205,3.575490,2.590787,2.104444,0.154228,0.017774,6.239927
0.020000,3.994311,3.573540,2.632938,2.107532,0.154399,0.008560,6.233879
0.020000,4.036465,3.571329,2.675150,2.110619,0.154341,-0.002881,6.227657
0.020000,4.078666,3.568849,2.717424,2.113709,0.154514,0.008622,6.221262
0.020000,4.120912,3.566091,2.759760,2.116794,0.154254,-0.013012,6.214692
0.020000,4.163201,3.563047,2.802158,2.119875,0.154046,-0.010364,6.207950
0.020000,4.205528,3.559710,2.844617,2.122951,0.153804,-0.012096,6.201035
0.020000,4.247893,3.556071,2.887137,2.126016,0.153214,-0.029515,6.193947
0.020000,4.290291,3.552123,2.929719,2.129070,0.152717,-0.024866,6.186687
0.020000,4.332719,3.547857,2.972361,2.132109,0.151933,-0.039193,6.179257
0.020000,4.375174,3.543266,3.015063,2.135130,0.151046,-0.044321,6.171656
0.020000,4.417652,3.538342,3.057826,2.138130,0.150028,-0.050925,6.163887
0.020000,4.460149,3.533078,3.100648,2.141106,0.148801,-0.061339,6.155951
0.020000,4.502661,3.527465,3.143529,2.144054,0.147411,-0.069530,6.147848
0.020000,4.545184,3.521496,3.186469,2.146971,0.145850,-0.078042,6.139582
0.020000,4.587712,3.515164,3.229466,2.149854,0.144137,-0.085641,6.131153
0.020000,4.630241,3.508461,3.272520,2.152695,0.142059,-0.103891,6.122565
0.020000,4.672766,3.501381,3.315629,2.155497,0.140067,-0.099627,6.113819
0.020000,4.715281,3.493917,3.358794,2.158248,0.137584,-0.124143,6.104918
0.020000,4.757780,3.486061,3.402013,2.160949,0.135024,-0.127973,6.095865
0.020000,4.800257,3.477808,3.445285,2.163597,0.132404,-0.131038,6.086664
0.020000,4.842707,3.469150,3.488609,2.166177,0.129014,-0.169457,6.077317
0.020000,4.885122,3.460083,3.531983,2.168700,0.126131,-0.144176,6.067828
0.020000,4.927497,3.450600,3.575406,2.171153,0.122658,-0.173645,6.058202
0.020000,4.969825,3.440696,3.618876,2.173525,0.118595,-0.203150,6.048441
0.020000,5.012097,3.430365,3.662393,2.175828,0.115162,-0.171665,6.038552
0.020000,5.054308,3.419604,3.705954,2.178047,0.110926,-0.211790,6.028538
0.020000,5.096449,3.408407,3.749557,2.180170,0.106176,-0.237482,6.018404
0.020000,5.138513,3.396770,3.793202,2.182213,0.102164,-0.200628,6.008155
0.020000,5.180493,3.384689,3.836885,2.184162,0.097435,-0.236420,5.997797
0.020000,5.222380,3.372162,3.880605,2.185997,0.091741,-0.284736,5.987335
0.020000,5.264166,3.359184,3.924360,2.187742,0.087243,-0.224869,5.976775
0.020000,5.305843,3.345754,3.968147,2.189382,0.081994,-0.262481,5.966123
0.020000,5.347403,3.331870,4.011966,2.190912,0.076511,-0.274122,5.955385
0.020000,5.388838,3.317529,4.055812,2.192314,0.070126,-0.319254,5.944568
0.020000,5.430139,3.302730,4.099684,2.193614,0.064987,-0.256970,5.933678
0.020000,5.471298,3.287473,4.143580,2.194797,0.059148,-0.291922,5.922721
0.020000,5.512307,3.271757,4.187497,2.195860,0.053127,-0.301063,5.911705
0.020000,5.553157,3.255583,4.231433,2.196800,0.047011,-0.305805,5.900636
0.020000,5.593841,3.238950,4.275386,2.197616,0.040820,-0.309564,5.889521
0.020000,5.634350,3.221859,4.319352,2.198308,0.034574,-0.312281,5.878367
0.020000,5.674675,3.204313,4.363329,2.198872,0.028214,-0.318010,5.867181
0.020000,5.714809,3.186312,4.407315,2.199312,0.021984,-0.311470,5.855970
0.020000,5.754745,3.167860,4.451308,2.199630,0.015909,-0.303770,5.844742
0.020000,5.794475,3.148959,4.495304,2.199821,0.009553,-0.317781,5.833503
0.020000,5.833990,3.129612,4.539302,2.199885,0.003209,-0.317232,5.822260
0.020000,5.873285,3.109822,4.583299,2.199830,-0.002753,-0.298067,5.811020
0.020000,5.912351,3.089593,4.627292,2.199656,-0.008720,-0.298367,5.799789
0.020000,5.951183,3.068930,4.671279,2.199365,-0.014547,-0.291350,5.788576
0.020000,5.989774,3.047838,4.715258,2.198961,-0.020208,-0.283052,5.777385
0.020000,6.028118,3.026320,4.759227,2.198447,-0.025678,-0.273489,5.766224
0.020000,6.066209,3.004383,4.803183,2.197788,-0.032952,-0.363718,5.755098
0.020000,6.104040,2.982032,4.847124,2.197050,-0.036898,-0.197302,5.744015
0.020000,6.141608,2.959272,4.891049,2.196225,-0.041267,-0.218448,5.732978
0.020000,6.178907,2.936110,4.934954,2.195253,-0.048559,-0.364587,5.721996
0.020000,6.215932,2.912552,4.978838,2.194220,-0.051686,-0.156339,5.711071
0.020000,6.252680,2.888605,5.022700,2.193090,-0.056468,-0.239115,5.700211
0.020000,6.289145,2.864275,5.066537,2.191853,-0.061864,-0.269780,5.689420
0.020000,6.319887,2.843501,5.103639,1.855125,-16.836428,-838.728221,5.689316
0.020000,6.352895,2.821229,5.143459,1.990969,6.792200,1181.431393,5.689824
0.020000,6.386087,2.798844,5.183494,2.001754,0.539259,-312.647056,5.689726
0.020000,6.419449,2.776324,5.223745,2.012551,0.539844,0.029282,5.689020
0.020000,6.452968,2.753649,5.264213,2.023430,0.543980,0.206773,5.687702
0.020000,6.486633,2.730795,5.304903,2.034466,0.551810,0.391488,5.685764
0.020000,6.520432,2.707738,5.345817,2.045728,0.563077,0.563368,5.683192
0.020000,6.554355,2.684452,5.386963,2.057301,0.578647,0.778504,5.679969
0.020000,6.588392,2.660910,5.428349,2.069270,0.598431,0.989210,5.676073
0.020000,6.622533,2.637082,5.469983,2.081714,0.622231,1.190013,5.671477
0.020000,6.656768,2.612933,5.511878,2.094739,0.651260,1.451440,5.666149
0.020000,6.691088,2.588431,5.554047,2.108453,0.685688,1.721400,5.660049
0.020000,6.725483,2.563535,5.596506,2.122974,0.726062,2.018673,5.653133
0.020000,6.759943,2.538205,5.639275,2.138435,0.773022,2.348000,5.645346
0.020000,6.794459,2.512392,5.682375,2.154984,0.827485,2.723171,5.636629
0.020000,6.829019,2.486047,5.725831,2.172822,0.891891,3.220312,5.626909
0.020000,6.863610,2.459112,5.769673,2.192081,0.962952,3.553008,5.616105
0.020000,6.898185,2.431552,5.813888,2.210766,0.934227,-1.436209,5.604134
0.020000,6.932649,2.403364,5.858411,2.226167,0.770069,-8.207937,5.590924
0.020000,6.966898,2.374551,5.903168,2.237851,0.584170,-9.294956,5.576403
0.020000,7.000826,2.345116,5.948085,2.245817,0.398318,-9.292598,5.560498
0.020000,7.034357,2.315032,5.993134,2.252437,0.331012,-3.365285,5.543120
0.020000,7.067458,2.284231,6.038348,2.260728,0.414514,4.175105,5.524150
0.020000,7.100095,2.252631,6.083777,2.271425,0.534853,6.016976,5.503453
0.020000,7.132230,2.220143,6.129473,2.284819,0.669710,6.742845,5.480879
0.020000,7.163814,2.186669,6.175495,2.301097,0.813907,7.209842,5.456263
0.020000,7.194785,2.152104,6.221905,2.320527,0.971499,7.879567,5.429429
0.020000,7.225071,2.116337,6.268772,2.343353,1.141290,8.489557,5.400185
0.020000,7.254578,2.079250,6.316166,2.369653,1.315001,8.685549,5.368337
0.020000,7.283192,2.040724,6.364155,2.399482,1.491460,8.822978,5.333684
0.020000,7.310772,2.000642,6.412810,2.432721,1.661957,8.524829,5.296036
