dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.364092,3.132763,0.000129,0.012931,0.646552,32.327586,6.282654
0.020000,1.364092,3.132763,0.000647,0.038793,1.293103,32.327586,6.282713
0.020000,1.364092,3.132763,0.001681,0.064655,1.293103,0.000000,6.282831
0.020000,1.364092,3.132763,0.003233,0.090517,1.293103,-0.000000,6.283008
0.020000,1.364597,3.132764,0.005302,0.116379,1.293103,0.000000,0.000057
0.020000,1.367183,3.132764,0.007888,0.142241,1.293103,-0.000000,0.000350
0.020000,1.370286,3.132766,0.010991,0.168103,1.293103,0.000000,0.000701
0.020000,1.373907,3.132769,0.014612,0.193966,1.293103,0.000000,0.001109
0.020000,1.378045,3.132774,0.018750,0.219828,1.293103,-0.000000,0.001574
0.020000,1.382700,3.132783,0.023405,0.245690,1.293103,0.000000,0.002094
0.020000,1.387872,3.132795,0.028578,0.271552,1.293103,0.000000,0.002670
0.020000,1.393562,3.132812,0.034267,0.297414,1.293103,-0.000000,0.003300
0.020000,1.399769,3.132835,0.040474,0.323276,1.293103,0.000000,0.003983
0.020000,1.406493,3.132864,0.047198,0.349138,1.293103,0.000000,0.004719
0.020000,1.413734,3.132901,0.054440,0.375000,1.293103,0.000000,0.005506
0.020000,1.421493,3.132947,0.062198,0.400862,1.293103,0.000000,0.006343
0.020000,1.429768,3.133003,0.070474,0.426724,1.293103,0.000000,0.007228
0.020000,1.438561,3.133071,0.079267,0.452586,1.293103,0.000000,0.008161
0.020000,1.447871,3.133152,0.088578,0.478448,1.293103,0.000000,0.009140
0.020000,1.457698,3.133246,0.098405,0.504310,1.293103,-0.000000,0.010164
0.020000,1.468043,3.133357,0.108750,0.530172,1.293103,0.000000,0.011230
0.020000,1.478904,3.133485,0.119612,0.556034,1.293103,0.000000,0.012338
0.020000,1.490282,3.133632,0.130991,0.581897,1.293103,-0.000000,0.013485
0.020000,1.502178,3.133800,0.142888,0.607759,1.293103,0.000000,0.014669
0.020000,1.514590,3.133989,0.155302,0.633621,1.293103,0.000000,0.015890
0.020000,1.527519,3.134203,0.168233,0.659483,1.293103,0.000000,0.017144
0.020000,1.540965,3.134442,0.181681,0.685345,1.293103,0.000000,0.018429
0.020000,1.554928,3.134709,0.195647,0.711207,1.293103,-0.000000,0.019744
0.020000,1.569408,3.135004,0.210129,0.737069,1.293103,-0.000000,0.021086
0.020000,1.584405,3.135331,0.225129,0.762931,1.293103,0.000000,0.022453
0.020000,1.599918,3.135690,0.240647,0.788793,1.293103,0.000000,0.023843
