dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.363900,2.777164,0.000050,0.005000,0.250000,12.500000,6.282645
0.020000,1.363908,2.777164,0.000058,0.000405,-0.229726,-23.986287,6.282668
0.020000,1.363926,2.777164,0.000076,0.000912,0.025329,12.752747,6.282719
0.020000,1.363958,2.777164,0.000109,0.001621,0.035423,0.504678,6.282810
0.020000,1.364007,2.777164,0.000157,0.002429,0.040401,0.248925,6.282947
0.020000,1.364072,2.777163,0.000222,0.003234,0.040267,-0.006710,6.283129
0.020000,1.365656,2.777164,0.001806,0.079197,3.798162,187.894745,0.000171
0.020000,1.368152,2.777164,0.004303,0.124833,2.281808,-75.817715,0.000442
0.020000,1.371065,2.777166,0.007215,0.145624,1.039523,-62.114214,0.000759
0.020000,1.374393,2.777169,0.010543,0.166411,1.039376,-0.007369,0.001119
0.020000,1.378137,2.777174,0.014287,0.187187,1.038795,-0.029028,0.001523
0.020000,1.382296,2.777181,0.018446,0.207957,1.038503,-0.014629,0.001971
0.020000,1.386870,2.777192,0.023021,0.228719,1.038069,-0.021704,0.002461
0.020000,1.391859,2.777205,0.028010,0.249470,1.037554,-0.025722,0.002994
0.020000,1.397264,2.777223,0.033414,0.270210,1.037012,-0.027119,0.003568
0.020000,1.403082,2.777246,0.039233,0.290939,1.036442,-0.028512,0.004183
0.020000,1.409315,2.777274,0.045466,0.311655,1.035790,-0.032604,0.004839
0.020000,1.415962,2.777308,0.052113,0.332355,1.035002,-0.039391,0.005534
0.020000,1.423023,2.777350,0.059174,0.353045,1.034497,-0.025222,0.006267
0.020000,1.430497,2.777400,0.066648,0.373716,1.033560,-0.046849,0.007039
0.020000,1.438385,2.777458,0.074536,0.394374,1.032893,-0.033381,0.007847
0.020000,1.446685,2.777527,0.082836,0.415011,1.031849,-0.052205,0.008692
0.020000,1.455397,2.777606,0.091549,0.435633,1.031141,-0.035406,0.009571
0.020000,1.464521,2.777698,0.100673,0.456236,1.030150,-0.049533,0.010484
0.020000,1.474057,2.777802,0.110210,0.476819,1.029133,-0.050850,0.011430
0.020000,1.484004,2.777921,0.120157,0.497381,1.028090,-0.052162,0.012407
0.020000,1.494361,2.778055,0.130516,0.517921,1.027020,-0.053471,0.013415
0.020000,1.505129,2.778205,0.141285,0.538440,1.025925,-0.054779,0.014453
0.020000,1.516307,2.778372,0.152463,0.558936,1.024803,-0.056090,0.015518
0.020000,1.527893,2.778558,0.164052,0.579409,1.023655,-0.057407,0.016609
0.020000,1.539889,2.778764,0.176049,0.599854,1.022247,-0.070404,0.017726
0.020000,1.552292,2.778991,0.188454,0.620276,1.021125,-0.056102,0.018866
0.020000,1.565103,2.779241,0.201268,0.640670,1.019700,-0.071234,0.020029
0.020000,1.578321,2.779513,0.214488,0.661040,1.018487,-0.060661,0.021212
0.020000,1.591945,2.779810,0.228116,0.681377,1.016845,-0.082076,0.022414
0.020000,1.605975,2.780134,0.242150,0.701688,1.015564,-0.064034,0.023634
0.020000,1.620410,2.780484,0.256589,0.721970,1.014072,-0.074625,0.024870
