dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.749144,3.364273,0.000050,0.005000,0.250000,12.500000,0.002817
0.020000,1.749178,3.364273,0.000084,0.001680,-0.165976,-20.798815,0.002723
0.020000,1.749253,3.364274,0.000159,0.003782,0.105059,13.551787,0.002510
0.020000,1.749388,3.364274,0.000294,0.006725,0.147167,2.105356,0.002132
0.020000,1.749589,3.364274,0.000496,0.010092,0.168369,1.060137,0.001564
0.020000,1.749859,3.364275,0.000765,0.013466,0.168662,0.014653,0.000807
0.020000,1.750493,3.364275,0.001399,0.031687,0.911081,37.120921,6.283045
0.020000,1.753299,3.364273,0.004205,0.140335,5.432374,226.064666,6.281905
0.020000,1.756571,3.364266,0.007477,0.163606,1.163579,-213.439779,6.280574
0.020000,1.760315,3.364254,0.011222,0.187206,1.179979,0.820032,6.279047
0.020000,1.764526,3.364233,0.015432,0.210534,1.166392,-0.679365,6.277326
0.020000,1.769210,3.364201,0.020116,0.234196,1.183127,0.836732,6.275406
0.020000,1.774364,3.364155,0.025270,0.257706,1.175481,-0.382255,6.273286
0.020000,1.779989,3.364093,0.030895,0.281256,1.177528,0.102304,6.270964
0.020000,1.786086,3.364011,0.036993,0.304885,1.181406,0.193908,6.268438
0.020000,1.792657,3.363905,0.043565,0.328582,1.184868,0.173110,6.265705
0.020000,1.799702,3.363771,0.050612,0.352340,1.187914,0.152309,6.262762
0.020000,1.807223,3.363606,0.058135,0.376151,1.190545,0.131552,6.259605
0.020000,1.815221,3.363404,0.066135,0.400006,1.192763,0.110891,6.256231
0.020000,1.823695,3.363160,0.074613,0.423898,1.194570,0.090374,6.252638
0.020000,1.832647,3.362869,0.083569,0.447817,1.195971,0.070053,6.248821
0.020000,1.842080,3.362526,0.093008,0.471956,1.206957,0.549261,6.244775
0.020000,1.851993,3.362124,0.102929,0.496062,1.205272,-0.084256,6.240497
0.020000,1.862387,3.361656,0.113334,0.520242,1.209019,0.187389,6.235984
0.020000,1.873265,3.361117,0.124225,0.544542,1.214993,0.298688,6.231228
0.020000,1.884627,3.360497,0.135604,0.568963,1.221037,0.302220,6.226226
0.020000,1.896473,3.359791,0.147472,0.593364,1.220083,-0.047722,6.220974
0.020000,1.908805,3.358988,0.159830,0.617907,1.227116,0.351666,6.215465
0.020000,1.921626,3.358082,0.172682,0.642611,1.235202,0.404286,6.209694
0.020000,1.934934,3.357062,0.186030,0.667383,1.238593,0.169543,6.203654
0.020000,1.948731,3.355918,0.199874,0.692222,1.241986,0.169673,6.197341
0.020000,1.963020,3.354641,0.214219,0.717262,1.251998,0.500591,6.190748
0.020000,1.977798,3.353220,0.229066,0.742342,1.254007,0.100426,6.183869
0.020000,1.993067,3.351643,0.244416,0.767497,1.257728,0.186084,6.176698
0.020000,2.008826,3.349899,0.260271,0.792762,1.263256,0.276393,6.169228
0.020000,2.025079,3.347975,0.276638,0.818313,1.277567,0.715547,6.161452
0.020000,2.041821,3.345858,0.293513,0.843749,1.271751,-0.290786,6.153364
0.020000,2.059055,3.343535,0.310903,0.869501,1.287610,0.792920,6.144957
0.020000,2.076779,3.340990,0.328808,0.895283,1.289101,0.074558,6.136224
0.020000,2.094991,3.338210,0.347231,0.921160,1.293852,0.237564,6.127159
0.020000,2.113690,3.335178,0.366175,0.947185,1.301259,0.370309,6.117755
0.020000,2.132875,3.331879,0.385642,0.973338,1.307675,0.320821,6.108006
0.020000,2.152544,3.328296,0.405634,0.999600,1.313088,0.270669,6.097905
0.020000,2.172691,3.324410,0.426153,1.025950,1.317488,0.219983,6.087447
0.020000,2.193314,3.320205,0.447200,1.052367,1.320866,0.168891,6.076625
0.020000,2.214410,3.315662,0.468780,1.078971,1.330201,0.466738,6.065435
0.020000,2.235972,3.310760,0.490891,1.105586,1.330741,0.027017,6.053872
0.020000,2.257994,3.305481,0.513537,1.132296,1.335496,0.237762,6.041931
0.020000,2.280468,3.299805,0.536717,1.158999,1.335158,-0.016884,6.029611
0.020000,2.303389,3.293709,0.560435,1.185890,1.344547,0.469439,6.016907
0.020000,2.326746,3.287174,0.584689,1.212701,1.340561,-0.199318,6.003820
0.020000,2.350529,3.280178,0.609480,1.239527,1.341257,0.034784,5.990347
0.020000,2.374726,3.272699,0.634806,1.266338,1.340581,-0.033786,5.976491
0.020000,2.399326,3.264716,0.660669,1.293105,1.338328,-0.112646,5.962254
0.020000,2.424314,3.256206,0.687066,1.319895,1.339523,0.059738,5.947638
0.020000,2.449675,3.247149,0.713996,1.346469,1.328695,-0.541364,5.932649
0.020000,2.475391,3.237521,0.741455,1.372976,1.325322,-0.168692,5.917296
0.020000,2.501445,3.227304,0.769441,1.399291,1.315753,-0.478427,5.901586
0.020000,2.527818,3.216475,0.797951,1.425480,1.309477,-0.313816,5.885529
0.020000,2.554487,3.205015,0.826978,1.451371,1.294554,-0.746150,5.869141
0.020000,2.581431,3.192905,0.856518,1.477010,1.281946,-0.630363,5.852435
0.020000,2.608626,3.180127,0.886565,1.502345,1.266727,-0.760983,5.835429
0.020000,2.636046,3.166665,0.917112,1.527326,1.249057,-0.883514,5.818143
0.020000,2.663665,3.152502,0.948150,1.551908,1.229122,-0.996745,5.800598
0.020000,2.691456,3.137626,0.979673,1.576129,1.211053,-0.903454,5.782817
0.020000,2.719390,3.122024,1.011669,1.599801,1.183572,-1.374041,5.764829
0.020000,2.747439,3.105685,1.044129,1.623037,1.161823,-1.087431,5.746660
0.020000,2.775573,3.088602,1.077043,1.645697,1.132990,-1.441650,5.728340
0.020000,2.803762,3.070769,1.110399,1.667814,1.105869,-1.356071,5.709901
0.020000,2.831976,3.052180,1.144187,1.689362,1.077384,-1.424253,5.691375
0.020000,2.860186,3.032835,1.178392,1.710282,1.046025,-1.567955,5.672797
