dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750146,3.008675,0.000050,0.005000,0.250000,12.500000,0.002817
0.020000,1.750146,3.008675,0.000250,0.015000,0.500000,12.500000,0.002723
0.020000,1.750146,3.008675,0.000700,0.030000,0.750000,12.500000,0.002510
0.020000,1.750146,3.008675,0.001500,0.050000,1.000000,12.500000,0.002132
0.020000,1.750146,3.008675,0.002700,0.070000,1.000000,0.000000,0.001564
0.020000,1.750146,3.008675,0.004300,0.090000,1.000000,-0.000000,0.000807
0.020000,1.750443,3.008675,0.006300,0.110000,1.000000,0.000000,6.283045
0.020000,1.752844,3.008673,0.008700,0.130000,1.000000,0.000000,6.281905
0.020000,1.755643,3.008667,0.011500,0.150000,1.000000,-0.000000,6.280574
0.020000,1.758844,3.008657,0.014700,0.170000,1.000000,0.000000,6.279047
0.020000,1.762442,3.008639,0.018300,0.190000,1.000000,-0.000000,6.277326
0.020000,1.766443,3.008611,0.022300,0.210000,1.000000,0.000000,6.275406
0.020000,1.770844,3.008573,0.026700,0.230000,1.000000,0.000000,6.273286
0.020000,1.775643,3.008519,0.031500,0.250000,1.000000,-0.000000,6.270964
0.020000,1.780842,3.008449,0.036700,0.270000,1.000000,0.000000,6.268438
0.020000,1.786441,3.008359,0.042300,0.290000,1.000000,-0.000000,6.265705
0.020000,1.792440,3.008245,0.048300,0.310000,1.000000,0.000000,6.262762
0.020000,1.798839,3.008105,0.054700,0.330000,1.000000,0.000000,6.259605
0.020000,1.805637,3.007933,0.061500,0.350000,1.000000,-0.000000,6.256231
0.020000,1.812834,3.007726,0.068700,0.370000,1.000000,0.000000,6.252638
0.020000,1.820429,3.007479,0.076300,0.390000,1.000000,0.000000,6.248821
0.020000,1.828424,3.007188,0.084300,0.410000,1.000000,-0.000000,6.244775
0.020000,1.836818,3.006848,0.092700,0.430000,1.000000,0.000000,6.240497
0.020000,1.845608,3.006452,0.101500,0.450000,1.000000,0.000000,6.235984
0.020000,1.854797,3.005996,0.110700,0.470000,1.000000,-0.000000,6.231228
0.020000,1.864383,3.005474,0.120300,0.490000,1.000000,0.000000,6.226226
0.020000,1.874365,3.004879,0.130300,0.510000,1.000000,0.000000,6.220974
0.020000,1.884742,3.004203,0.140700,0.530000,1.000000,0.000000,6.215465
0.020000,1.895515,3.003442,0.151500,0.550000,1.000000,0.000000,6.209694
0.020000,1.906683,3.002586,0.162700,0.570000,1.000000,-0.000000,6.203654
0.020000,1.918243,3.001628,0.174300,0.590000,1.000000,0.000000,6.197341
0.020000,1.930196,3.000559,0.186300,0.610000,1.000000,0.000000,6.190748
0.020000,1.942539,2.999372,0.198700,0.630000,1.000000,0.000000,6.183869
0.020000,1.955272,2.998057,0.211500,0.650000,1.000000,0.000000,6.176698
0.020000,1.968391,2.996606,0.224700,0.670000,1.000000,0.000000,6.169228
0.020000,1.981897,2.995007,0.238300,0.690000,1.000000,-0.000000,6.161452
0.020000,1.995786,2.993251,0.252300,0.710000,1.000000,0.000000,6.153364
0.020000,2.010057,2.991327,0.266700,0.730000,1.000000,0.000000,6.144957
0.020000,2.024707,2.989223,0.281500,0.750000,1.000000,0.000000,6.136224
0.020000,2.039733,2.986930,0.296700,0.770000,1.000000,0.000000,6.127159
0.020000,2.055131,2.984433,0.312300,0.790000,1.000000,0.000000,6.117755
0.020000,2.070900,2.981722,0.328300,0.810000,1.000000,0.000000,6.108006
0.020000,2.087034,2.978782,0.344700,0.830000,1.000000,-0.000000,6.097905
0.020000,2.103530,2.975601,0.361500,0.850000,1.000000,0.000000,6.087447
0.020000,2.120383,2.972165,0.378700,0.870000,1.000000,0.000000,6.076625
0.020000,2.137589,2.968459,0.396300,0.890000,1.000000,0.000000,6.065435
0.020000,2.155141,2.964469,0.414300,0.910000,1.000000,0.000000,6.053872
