dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.751148,2.653076,0.000050,0.005000,0.250000,12.500000,0.002817
0.020000,1.751114,2.653076,0.000084,0.001680,-0.165976,-20.798815,0.002723
0.020000,1.751038,2.653076,0.000159,0.003782,0.105059,13.551787,0.002510
0.020000,1.750904,2.653075,0.000294,0.006725,0.147167,2.105356,0.002132
0.020000,1.750702,2.653075,0.000496,0.010092,0.168369,1.060137,0.001564
0.020000,1.750433,2.653075,0.000765,0.013466,0.168662,0.014653,0.000807
0.020000,1.750393,2.653075,0.000805,0.002012,-0.572672,-37.066735,6.283045
0.020000,1.752389,2.653073,0.002801,0.099811,4.889925,273.129884,6.281905
0.020000,1.754714,2.653069,0.005127,0.116269,0.822916,-203.350444,6.280574
0.020000,1.757372,2.653060,0.007785,0.132917,0.832413,0.474819,6.279047
0.020000,1.760359,2.653045,0.010772,0.149323,0.820294,-0.605943,6.277326
0.020000,1.763677,2.653022,0.014090,0.165911,0.829375,0.454069,6.275406
0.020000,1.767323,2.652990,0.017736,0.182328,0.820847,-0.426419,6.273286
0.020000,1.771297,2.652946,0.021710,0.198705,0.818875,-0.098577,6.270964
0.020000,1.775598,2.652888,0.026012,0.215063,0.817873,-0.050128,6.268438
0.020000,1.780225,2.652813,0.030639,0.231387,0.816245,-0.081402,6.265705
0.020000,1.785178,2.652720,0.035593,0.247667,0.813991,-0.112682,6.262762
0.020000,1.790454,2.652603,0.040871,0.263890,0.811113,-0.143885,6.259605
0.020000,1.796053,2.652462,0.046471,0.280042,0.807615,-0.174924,6.256231
0.020000,1.801973,2.652292,0.052394,0.296112,0.803501,-0.205706,6.252638
0.020000,1.808212,2.652089,0.058635,0.312087,0.798778,-0.236134,6.248821
0.020000,1.814769,2.651851,0.065197,0.328095,0.800389,0.080545,6.244775
0.020000,1.821643,2.651572,0.072076,0.343952,0.792838,-0.377548,6.240497
0.020000,1.828830,2.651248,0.079271,0.359727,0.788745,-0.204657,6.235984
0.020000,1.836329,2.650876,0.086780,0.375444,0.785855,-0.144483,6.231228
0.020000,1.844140,2.650451,0.094602,0.391097,0.782672,-0.159177,6.226226
0.020000,1.852257,2.649966,0.102733,0.406585,0.774363,-0.415455,6.220974
0.020000,1.860679,2.649419,0.111174,0.422009,0.771234,-0.156435,6.215465
0.020000,1.869405,2.648801,0.119921,0.437379,0.768494,-0.136987,6.209694
0.020000,1.878431,2.648110,0.128974,0.452624,0.762251,-0.312142,6.203654
0.020000,1.887754,2.647337,0.138328,0.467739,0.755747,-0.325210,6.197341
0.020000,1.897372,2.646477,0.147985,0.482808,0.753447,-0.114997,6.190748
0.020000,1.907281,2.645525,0.157939,0.497718,0.745504,-0.397187,6.183869
0.020000,1.917476,2.644472,0.168189,0.512489,0.738525,-0.348906,6.176698
0.020000,1.927955,2.643312,0.178732,0.527140,0.732585,-0.297026,6.169228
0.020000,1.938716,2.642038,0.189567,0.541787,0.732303,-0.014080,6.161452
0.020000,1.949751,2.640643,0.200690,0.556158,0.718580,-0.686149,6.153364
0.020000,1.961059,2.639118,0.212101,0.570541,0.719128,0.027409,6.144957
0.020000,1.972636,2.637456,0.223796,0.584745,0.710193,-0.446770,6.136224
0.020000,1.984475,2.635649,0.235772,0.598814,0.703486,-0.335329,6.127159
0.020000,1.996572,2.633688,0.248028,0.612787,0.698639,-0.242349,6.117755
0.020000,2.008924,2.631564,0.260561,0.626654,0.693349,-0.264539,6.108006
0.020000,2.021525,2.629268,0.273369,0.640408,0.687709,-0.281998,6.097905
0.020000,2.034369,2.626791,0.286450,0.654045,0.681826,-0.294148,6.087447
0.020000,2.047451,2.624124,0.299802,0.667561,0.675818,-0.300412,6.076625
0.020000,2.060767,2.621256,0.313422,0.681045,0.674211,-0.080342,6.065435
0.020000,2.074309,2.618178,0.327310,0.694401,0.667797,-0.320700,6.053872
0.020000,2.088074,2.614878,0.341464,0.707700,0.664959,-0.141862,6.041931
0.020000,2.102053,2.611347,0.355882,0.720901,0.660005,-0.247739,6.029611
0.020000,2.116242,2.607574,0.370565,0.734147,0.662315,0.115513,6.016907
0.020000,2.130636,2.603547,0.385511,0.747301,0.657711,-0.230219,6.003820
0.020000,2.145226,2.599255,0.400720,0.760453,0.657602,-0.005414,5.990347
0.020000,2.160009,2.594686,0.416193,0.773621,0.658409,0.040324,5.976491
0.020000,2.174977,2.589829,0.431929,0.786825,0.660200,0.089535,5.962254
0.020000,2.190126,2.584670,0.447932,0.800149,0.666211,0.300553,5.947638
0.020000,2.205448,2.579198,0.464202,0.813494,0.667252,0.052049,5.932649
0.020000,2.220938,2.573399,0.480742,0.827001,0.675319,0.403390,5.917296
0.020000,2.236590,2.567260,0.497555,0.840647,0.682314,0.349726,5.901586
0.020000,2.252400,2.560769,0.514646,0.854529,0.694104,0.589527,5.885529
0.020000,2.268361,2.553910,0.532018,0.868602,0.703656,0.477582,5.869141
0.020000,2.284468,2.546671,0.549677,0.882955,0.717652,0.699818,5.852435
0.020000,2.300716,2.539037,0.567629,0.897620,0.733206,0.777683,5.835429
0.020000,2.317100,2.530992,0.585882,0.912629,0.750449,0.862155,5.818143
0.020000,2.333616,2.522523,0.604442,0.928018,0.769482,0.951657,5.800598
0.020000,2.350259,2.513614,0.623320,0.943873,0.792722,1.161959,5.782817
0.020000,2.367024,2.504251,0.642523,0.960139,0.813308,1.029339,5.764829
0.020000,2.383907,2.494416,0.662061,0.976942,0.840154,1.342266,5.746660
0.020000,2.400904,2.484095,0.681946,0.994249,0.865358,1.260221,5.728340
0.020000,2.418011,2.473273,0.702189,1.012128,0.893944,1.429293,5.709901
0.020000,2.435223,2.461933,0.722801,1.030603,0.923762,1.490888,5.691375
0.020000,2.452536,2.450059,0.743794,1.049674,0.953529,1.488370,5.672797
0.020000,2.469947,2.437638,0.765182,1.069370,0.984837,1.565406,5.654203
0.020000,2.487450,2.424652,0.786976,1.089706,1.016787,1.597492,5.635627
0.020000,2.505041,2.411088,0.809190,1.110677,1.048530,1.587127,5.617106
0.020000,2.522716,2.396930,0.831835,1.132288,1.080585,1.602773,5.598675
0.020000,2.540470,2.382166,0.854926,1.154540,1.112570,1.599238,5.580372
0.020000,2.558298,2.366782,0.878474,1.177415,1.143733,1.558172,5.562229
0.020000,2.576196,2.350766,0.902492,1.200898,1.174163,1.521489,5.544283
