dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.151263,1.047949,0.000050,0.005000,0.250000,12.500000,6.281824
0.020000,0.151239,1.047949,0.000074,0.001206,-0.189696,-21.984807,6.281892
0.020000,0.151184,1.047950,0.000128,0.002713,0.075367,13.253160,6.282044
0.020000,0.151088,1.047950,0.000225,0.004823,0.105478,1.505554,6.282316
0.020000,0.150943,1.047950,0.000369,0.007232,0.120470,0.749570,6.282722
0.020000,0.150984,1.047950,0.000411,0.002054,-0.258941,-18.970508,0.000079
0.020000,0.152744,1.047950,0.002170,0.087962,4.295434,227.718714,0.000757
0.020000,0.154855,1.047953,0.004281,0.105549,0.879358,-170.803788,0.001569
0.020000,0.157318,1.047958,0.006744,0.123155,0.880305,0.047356,0.002517
0.020000,0.160133,1.047967,0.009559,0.140763,0.880390,0.004241,0.003599
0.020000,0.163300,1.047980,0.012727,0.158371,0.880389,-0.000065,0.004815
0.020000,0.166820,1.047999,0.016246,0.175987,0.880780,0.019561,0.006166
0.020000,0.170692,1.048026,0.020119,0.193609,0.881113,0.016664,0.007650
0.020000,0.174917,1.048062,0.024343,0.211237,0.881393,0.014004,0.009268
0.020000,0.179494,1.048108,0.028921,0.228872,0.881741,0.017374,0.011018
0.020000,0.184424,1.048167,0.033851,0.246529,0.882871,0.056510,0.012901
0.020000,0.189707,1.048241,0.039135,0.264174,0.882255,-0.030807,0.014916
0.020000,0.195343,1.048331,0.044772,0.281850,0.883816,0.078047,0.017062
0.020000,0.201333,1.048440,0.050762,0.299521,0.883518,-0.014902,0.019338
0.020000,0.207676,1.048570,0.057106,0.317213,0.884627,0.055496,0.021744
0.020000,0.214372,1.048724,0.063805,0.334924,0.885512,0.044231,0.024280
0.020000,0.221423,1.048905,0.070858,0.352642,0.885904,0.019613,0.026943
0.020000,0.228827,1.049115,0.078265,0.370377,0.886744,0.041973,0.029734
0.020000,0.236586,1.049357,0.086028,0.388131,0.887736,0.049593,0.032651
0.020000,0.244700,1.049634,0.094146,0.405911,0.888966,0.061537,0.035694
0.020000,0.253168,1.049950,0.102620,0.423699,0.889436,0.023460,0.038860
0.020000,0.261991,1.050308,0.111450,0.441515,0.890796,0.068006,0.042149
0.020000,0.271169,1.050710,0.120637,0.459356,0.892024,0.061436,0.045560
0.020000,0.280703,1.051162,0.130182,0.477223,0.893362,0.066858,0.049091
0.020000,0.290592,1.051666,0.140084,0.495111,0.894427,0.053293,0.052741
0.020000,0.300838,1.052226,0.150345,0.513032,0.896037,0.080455,0.056507
0.020000,0.311439,1.052846,0.160965,0.530985,0.897653,0.080838,0.060388
0.020000,0.322397,1.053531,0.171944,0.548971,0.899290,0.081832,0.064383
0.020000,0.333712,1.054284,0.183284,0.566990,0.900959,0.083440,0.068490
0.020000,0.345384,1.055109,0.194985,0.585044,0.902672,0.085661,0.072705
0.020000,0.357413,1.056011,0.207047,0.603138,0.904741,0.103428,0.077028
0.020000,0.369799,1.056995,0.219473,0.621278,0.906996,0.112761,0.081456
0.020000,0.382544,1.058065,0.232262,0.639455,0.908848,0.092622,0.085986
0.020000,0.395646,1.059225,0.245416,0.657679,0.911181,0.116650,0.090616
0.020000,0.409107,1.060480,0.258935,0.675959,0.913991,0.140491,0.095342
0.020000,0.422926,1.061835,0.272820,0.694282,0.916156,0.108236,0.100163
0.020000,0.437104,1.063295,0.287074,0.712659,0.918877,0.136053,0.105076
0.020000,0.451642,1.064865,0.301696,0.731093,0.921667,0.139504,0.110076
0.020000,0.466538,1.066550,0.316687,0.749586,0.924654,0.149342,0.115161
0.020000,0.481795,1.068355,0.332050,0.768143,0.927877,0.161173,0.120327
0.020000,0.497411,1.070285,0.347785,0.786757,0.930679,0.140080,0.125571
0.020000,0.513388,1.072345,0.363894,0.805444,0.934364,0.184254,0.130890
0.020000,0.529725,1.074540,0.380378,0.824194,0.937464,0.155003,0.136278
0.020000,0.546423,1.076876,0.397238,0.843023,0.941486,0.201101,0.141732
0.020000,0.563481,1.079359,0.414477,0.861922,0.944929,0.172134,0.147248
0.020000,0.580902,1.081992,0.432095,0.880898,0.948811,0.194143,0.152822
0.020000,0.598683,1.084782,0.450094,0.899954,0.952819,0.200380,0.158449
0.020000,0.616826,1.087734,0.468476,0.919093,0.956923,0.205176,0.164124
0.020000,0.635332,1.090853,0.487242,0.938317,0.961208,0.214270,0.169843
0.020000,0.654199,1.094145,0.506395,0.957630,0.965671,0.223128,0.175600
0.020000,0.673429,1.097615,0.525935,0.977029,0.969923,0.212648,0.181392
0.020000,0.693022,1.101267,0.545866,0.996525,0.974826,0.245143,0.187211
0.020000,0.712978,1.105108,0.566188,1.016112,0.979318,0.224591,0.193054
0.020000,0.733298,1.109142,0.586904,1.035797,0.984243,0.246216,0.198915
0.020000,0.753981,1.113375,0.608016,1.055582,0.989285,0.252115,0.204787
0.020000,0.775027,1.117811,0.629525,1.075467,0.994242,0.247875,0.210666
0.020000,0.796439,1.122456,0.651434,1.095455,0.999405,0.258114,0.216546
0.020000,0.818214,1.127314,0.673745,1.115550,1.004713,0.265415,0.222421
0.020000,0.840355,1.132390,0.696460,1.135749,1.009990,0.263855,0.228284
0.020000,0.862861,1.137688,0.719581,1.156057,1.015393,0.270130,0.234130
0.020000,0.885732,1.143214,0.743111,1.176476,1.020957,0.278236,0.239952
0.020000,0.908970,1.148971,0.767051,1.197006,1.026461,0.275205,0.245745
0.020000,0.932574,1.154964,0.791404,1.217648,1.032145,0.284202,0.251501
0.020000,0.956545,1.161196,0.816172,1.238405,1.037813,0.283362,0.257215
0.020000,0.980884,1.167672,0.841357,1.259276,1.043569,0.287805,0.262880
0.020000,1.005590,1.174396,0.866963,1.280264,1.049372,0.290139,0.268490
0.020000,1.030666,1.181370,0.892990,1.301368,1.055218,0.292340,0.274037
0.020000,1.056111,1.188599,0.919442,1.322590,1.061110,0.294598,0.279515
0.020000,1.081926,1.196084,0.946320,1.343930,1.067014,0.295165,0.284919
0.020000,1.108112,1.203830,0.973628,1.365390,1.072974,0.298034,0.290240
0.020000,1.134671,1.211838,1.001368,1.386969,1.078975,0.300011,0.295472
0.020000,1.161602,1.220112,1.029541,1.408668,1.084950,0.298749,0.300608
0.020000,1.188907,1.228652,1.058151,1.430488,1.090982,0.301600,0.305643
0.020000,1.216588,1.237462,1.087199,1.452429,1.097049,0.303390,0.310568
0.020000,1.244645,1.246542,1.116689,1.474491,1.103100,0.302540,0.315377
0.020000,1.273080,1.255894,1.146623,1.496674,1.109173,0.303658,0.320064
0.020000,1.301895,1.265518,1.177002,1.518980,1.115271,0.304904,0.324620
0.020000,1.331091,1.275416,1.207830,1.541408,1.121396,0.306248,0.329040
0.020000,1.360670,1.285587,1.239110,1.563959,1.127550,0.307660,0.333317
