dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.150779,0.692350,0.000129,0.012931,0.646552,32.327586,0.000013
0.020000,0.150779,0.692350,0.000647,0.038793,1.293103,32.327586,0.000012
0.020000,0.150779,0.692350,0.001681,0.064655,1.293103,0.000000,0.000009
0.020000,0.150779,0.692350,0.003233,0.090517,1.293103,-0.000000,0.000006
0.020000,0.150779,0.692350,0.005302,0.116379,1.293103,0.000000,0.000001
0.020000,0.153116,0.692350,0.007888,0.142241,1.293103,-0.000000,6.283180
0.020000,0.156220,0.692350,0.010991,0.168103,1.293103,0.000000,6.283173
0.020000,0.159841,0.692350,0.014612,0.193966,1.293103,0.000000,6.283165
0.020000,0.163979,0.692350,0.018750,0.219828,1.293103,-0.000000,6.283157
0.020000,0.168634,0.692349,0.023405,0.245690,1.293103,0.000000,6.283148
0.020000,0.173806,0.692349,0.028578,0.271552,1.293103,0.000000,6.283139
0.020000,0.179496,0.692349,0.034267,0.297414,1.293103,-0.000000,6.283129
0.020000,0.185703,0.692349,0.040474,0.323276,1.293103,0.000000,6.283120
0.020000,0.192427,0.692348,0.047198,0.349138,1.293103,0.000000,6.283112
0.020000,0.199668,0.692347,0.054440,0.375000,1.293103,0.000000,6.283105
0.020000,0.207427,0.692347,0.062198,0.400862,1.293103,0.000000,6.283098
0.020000,0.215703,0.692346,0.070474,0.426724,1.293103,0.000000,6.283093
0.020000,0.224496,0.692345,0.079267,0.452586,1.293103,0.000000,6.283090
0.020000,0.233806,0.692344,0.088578,0.478448,1.293103,0.000000,6.283090
0.020000,0.243634,0.692343,0.098405,0.504310,1.293103,-0.000000,6.283092
0.020000,0.253979,0.692343,0.108750,0.530172,1.293103,0.000000,6.283097
0.020000,0.264841,0.692342,0.119612,0.556034,1.293103,0.000000,6.283106
0.020000,0.276220,0.692341,0.130991,0.581897,1.293103,-0.000000,6.283119
0.020000,0.288116,0.692340,0.142888,0.607759,1.293103,0.000000,6.283137
0.020000,0.300530,0.692340,0.155302,0.633621,1.293103,0.000000,6.283160
0.020000,0.313461,0.692339,0.168233,0.659483,1.293103,0.000000,0.000003
0.020000,0.326910,0.692340,0.181681,0.685345,1.293103,0.000000,0.000038
0.020000,0.340875,0.692341,0.195647,0.711207,1.293103,-0.000000,0.000080
0.020000,0.355358,0.692342,0.210129,0.737069,1.293103,-0.000000,0.000130
0.020000,0.370358,0.692344,0.225129,0.762931,1.293103,0.000000,0.000187
0.020000,0.385875,0.692348,0.240647,0.788793,1.293103,0.000000,0.000254
0.020000,0.401910,0.692353,0.256681,0.814655,1.293103,0.000000,0.000331
0.020000,0.418461,0.692359,0.273233,0.840517,1.293103,-0.000000,0.000417
0.020000,0.435530,0.692367,0.290302,0.866379,1.293103,0.000000,0.000515
0.020000,0.453116,0.692377,0.307888,0.892241,1.293103,-0.000000,0.000625
0.020000,0.471220,0.692389,0.325991,0.918103,1.293103,-0.000000,0.000748
0.020000,0.489841,0.692404,0.344612,0.943966,1.293103,0.000000,0.000884
0.020000,0.508979,0.692423,0.363750,0.969828,1.293103,0.000000,0.001035
0.020000,0.528634,0.692445,0.383405,0.995690,1.293103,0.000000,0.001200
0.020000,0.548806,0.692471,0.403578,1.021552,1.293103,-0.000000,0.001382
0.020000,0.569496,0.692501,0.424267,1.047414,1.293103,0.000000,0.001581
0.020000,0.590703,0.692537,0.445474,1.073276,1.293103,-0.000000,0.001799
0.020000,0.612427,0.692579,0.467198,1.099138,1.293103,0.000000,0.002035
0.020000,0.634668,0.692627,0.489440,1.125000,1.293103,0.000000,0.002291
0.020000,0.657427,0.692682,0.512198,1.150862,1.293103,0.000000,0.002568
0.020000,0.680702,0.692745,0.535474,1.176724,1.293103,-0.000000,0.002867
0.020000,0.704495,0.692817,0.559267,1.202586,1.293103,0.000000,0.003190
0.020000,0.728806,0.692899,0.583578,1.228448,1.293103,0.000000,0.003536
0.020000,0.753633,0.692991,0.608405,1.254310,1.293103,-0.000000,0.003908
0.020000,0.778978,0.693095,0.633750,1.280172,1.293103,0.000000,0.004307
0.020000,0.804839,0.693212,0.659612,1.306034,1.293103,0.000000,0.004733
0.020000,0.831218,0.693343,0.685991,1.331897,1.293103,-0.000000,0.005188
0.020000,0.858115,0.693489,0.712888,1.357759,1.293103,0.000000,0.005674
0.020000,0.885528,0.693652,0.740302,1.383621,1.293103,-0.000000,0.006190
0.020000,0.913458,0.693832,0.768233,1.409483,1.293103,0.000000,0.006740
0.020000,0.941906,0.694032,0.796681,1.435345,1.293103,-0.000000,0.007323
0.020000,0.970871,0.694253,0.825647,1.461207,1.293103,0.000000,0.007941
0.020000,1.000352,0.694497,0.855129,1.487069,1.293103,0.000000,0.008596
0.020000,1.030351,0.694765,0.885129,1.512931,1.293103,-0.000000,0.009289
0.020000,1.060867,0.695060,0.915647,1.538793,1.293103,0.000000,0.010022
0.020000,1.091900,0.695383,0.946681,1.564655,1.293103,-0.000000,0.010795
0.020000,1.123449,0.695736,0.978233,1.590517,1.293103,0.000000,0.011611
0.020000,1.155516,0.696122,1.010302,1.616379,1.293103,0.000000,0.012470
0.020000,1.188100,0.696543,1.042888,1.642241,1.293103,-0.000000,0.013375
0.020000,1.221200,0.697001,1.075991,1.668103,1.293103,0.000000,0.014326
0.020000,1.254817,0.697500,1.109612,1.693966,1.293103,0.000000,0.015326
0.020000,1.288950,0.698041,1.143750,1.719828,1.293103,-0.000000,0.016376
0.020000,1.323601,0.698627,1.178405,1.745690,1.293103,0.000000,0.017478
0.020000,1.358767,0.699262,1.213578,1.771552,1.293103,0.000000,0.018633
0.020000,1.394450,0.699949,1.249267,1.797414,1.293103,0.000000,0.019843
0.020000,1.430650,0.700690,1.285474,1.823276,1.293103,-0.000000,0.021110
0.020000,1.467365,0.701489,1.322198,1.849138,1.293103,0.000000,0.022435
0.020000,1.504597,0.702350,1.359440,1.875000,1.293103,-0.000000,0.023820
0.020000,1.542344,0.703277,1.397198,1.900862,1.293103,0.000000,0.025268
0.020000,1.580607,0.704273,1.435474,1.926724,1.293103,0.000000,0.026779
0.020000,1.619385,0.705342,1.474267,1.952586,1.293103,-0.000000,0.028357
0.020000,1.658679,0.706488,1.513578,1.978448,1.293103,0.000000,0.030002
0.020000,1.698487,0.707717,1.553405,2.004310,1.293103,0.000000,0.031716
0.020000,1.738811,0.709032,1.593750,2.030172,1.293103,-0.000000,0.033503
0.020000,1.779649,0.710439,1.634612,2.056034,1.293103,0.000000,0.035362
0.020000,1.821001,0.711942,1.675991,2.081897,1.293103,0.000000,0.037298
0.020000,1.862866,0.713546,1.717888,2.107759,1.293103,0.000000,0.039311
0.020000,1.905246,0.715257,1.760302,2.133621,1.293103,-0.000000,0.041404
0.020000,1.948138,0.717080,1.803233,2.159483,1.293103,0.000000,0.043578
0.020000,1.991543,0.719022,1.846681,2.185345,1.293103,0.000000,0.045837
0.020000,2.035460,0.721088,1.890647,2.211207,1.293103,0.000000,0.048182
0.020000,2.079888,0.723284,1.935129,2.237069,1.293103,0.000000,0.050615
0.020000,2.124828,0.725617,1.980129,2.262931,1.293103,-0.000000,0.053139
0.020000,2.170277,0.728094,2.025647,2.288793,1.293103,0.000000,0.055756
0.020000,2.216237,0.730722,2.071681,2.314655,1.293103,0.000000,0.058468
0.020000,2.262705,0.733507,2.118233,2.340517,1.293103,0.000000,0.061277
0.020000,2.309682,0.736457,2.165302,2.366379,1.293103,0.000000,0.064186
0.020000,2.357165,0.739581,2.212888,2.392241,1.293103,-0.000000,0.067198
0.020000,2.405155,0.742885,2.260991,2.418103,1.293103,0.000000,0.070314
0.020000,2.453650,0.746379,2.309612,2.443966,1.293103,0.000000,0.073537
0.020000,2.502649,0.750071,2.358750,2.469828,1.293103,0.000000,0.076870
0.020000,2.552151,0.753969,2.408405,2.495690,1.293103,-0.000000,0.080314
0.020000,2.602154,0.758083,2.458578,2.521552,1.293103,0.000000,0.083873
