dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.150294,0.336750,0.000050,0.005000,0.250000,12.500000,6.281824
0.020000,0.150319,0.336750,0.000074,0.001206,-0.189696,-21.984807,6.281892
0.020000,0.150373,0.336750,0.000128,0.002713,0.075367,13.253160,6.282044
0.020000,0.150469,0.336750,0.000225,0.004823,0.105478,1.505554,6.282316
0.020000,0.150614,0.336750,0.000369,0.007232,0.120470,0.749570,6.282722
0.020000,0.151041,0.336750,0.000796,0.021333,0.705009,29.226951,0.000079
0.020000,0.153282,0.336751,0.003037,0.112052,4.535976,191.548372,0.000757
0.020000,0.155970,0.336754,0.005726,0.134441,1.119450,-170.826319,0.001569
0.020000,0.159107,0.336760,0.008863,0.156846,1.120248,0.039914,0.002517
0.020000,0.162692,0.336771,0.012448,0.179243,1.119873,-0.018733,0.003599
0.020000,0.166725,0.336788,0.016480,0.201630,1.119312,-0.028079,0.004815
0.020000,0.171205,0.336813,0.020961,0.224013,1.119169,-0.007124,0.006166
0.020000,0.176133,0.336847,0.025888,0.246390,1.118868,-0.015041,0.007650
0.020000,0.181508,0.336892,0.031264,0.268759,1.118411,-0.022856,0.009268
0.020000,0.187330,0.336951,0.037086,0.291118,1.117947,-0.023222,0.011018
0.020000,0.193599,0.337026,0.043356,0.313485,1.118379,0.021637,0.012901
0.020000,0.200315,0.337120,0.050072,0.335815,1.116488,-0.094565,0.014916
0.020000,0.207477,0.337234,0.057235,0.358160,1.117256,0.038383,0.017062
0.020000,0.215085,0.337373,0.064845,0.380471,1.115546,-0.085507,0.019338
0.020000,0.223139,0.337538,0.072900,0.402781,1.115504,-0.002109,0.021744
0.020000,0.231638,0.337734,0.081402,0.425082,1.115047,-0.022843,0.024280
0.020000,0.240583,0.337963,0.090349,0.447359,1.113830,-0.060826,0.026943
0.020000,0.249971,0.338229,0.099741,0.469619,1.113040,-0.039530,0.029734
0.020000,0.259804,0.338536,0.109579,0.491865,1.112293,-0.037341,0.032651
0.020000,0.270080,0.338887,0.119861,0.514099,1.111691,-0.030077,0.035694
0.020000,0.280798,0.339287,0.130587,0.536298,1.109960,-0.086537,0.038860
0.020000,0.291959,0.339739,0.141756,0.558482,1.109185,-0.038750,0.042149
0.020000,0.303560,0.340248,0.153369,0.580643,1.108063,-0.056131,0.045560
0.020000,0.315603,0.340819,0.165425,0.602781,1.106888,-0.058738,0.049091
0.020000,0.328084,0.341455,0.177923,0.624884,1.105174,-0.085725,0.052741
0.020000,0.341004,0.342161,0.190862,0.646963,1.103940,-0.061694,0.056507
0.020000,0.354361,0.342943,0.204242,0.669013,1.102501,-0.071925,0.060388
0.020000,0.368155,0.343805,0.218063,0.691031,1.100866,-0.081778,0.064383
0.020000,0.382384,0.344751,0.232323,0.713011,1.099041,-0.091242,0.068490
0.020000,0.397046,0.345788,0.247022,0.734952,1.097035,-0.100312,0.072705
0.020000,0.412141,0.346920,0.262159,0.756857,1.095230,-0.090247,0.077028
0.020000,0.427667,0.348153,0.277734,0.778725,1.093405,-0.091207,0.081456
0.020000,0.443621,0.349492,0.293744,0.800541,1.090817,-0.129430,0.085986
0.020000,0.460004,0.350942,0.310191,0.822312,1.088565,-0.112602,0.090616
0.020000,0.476812,0.352510,0.327072,0.844045,1.086636,-0.096465,0.095342
0.020000,0.494043,0.354200,0.344386,0.865718,1.083622,-0.150677,0.100163
0.020000,0.511697,0.356018,0.362133,0.887338,1.081021,-0.130071,0.105076
0.020000,0.529770,0.357970,0.380311,0.908902,1.078217,-0.140162,0.110076
0.020000,0.548260,0.360061,0.398919,0.930410,1.075367,-0.142506,0.115161
0.020000,0.567165,0.362297,0.417956,0.951860,1.072516,-0.142586,0.120327
0.020000,0.586483,0.364684,0.437421,0.973237,1.068845,-0.183548,0.125571
0.020000,0.606211,0.367228,0.457312,0.994556,1.065969,-0.143777,0.130890
0.020000,0.626346,0.369934,0.477628,1.015798,1.062071,-0.194888,0.136278
0.020000,0.646885,0.372808,0.498367,1.036978,1.059011,-0.152991,0.141732
0.020000,0.667826,0.375855,0.519529,1.058077,1.054940,-0.203594,0.147248
0.020000,0.689166,0.379081,0.541111,1.079099,1.051114,-0.191288,0.152822
0.020000,0.710901,0.382491,0.563112,1.100042,1.047148,-0.198307,0.158449
0.020000,0.733028,0.386091,0.585530,1.120902,1.043010,-0.206904,0.164124
0.020000,0.755544,0.389887,0.608363,1.141678,1.038809,-0.210035,0.169843
0.020000,0.778445,0.393882,0.631611,1.162369,1.034544,-0.213226,0.175600
0.020000,0.801729,0.398083,0.655270,1.182964,1.029754,-0.239533,0.181392
0.020000,0.825390,0.402494,0.679340,1.203474,1.025486,-0.213399,0.187211
0.020000,0.849427,0.407120,0.703817,1.223883,1.020464,-0.251097,0.193054
0.020000,0.873835,0.411966,0.728701,1.244198,1.015717,-0.237347,0.198915
0.020000,0.898609,0.417036,0.753989,1.264415,1.010873,-0.242203,0.204787
0.020000,0.923748,0.422335,0.779680,1.284529,1.005700,-0.258663,0.210666
0.020000,0.949245,0.427866,0.805771,1.304540,1.000555,-0.257213,0.216546
0.020000,0.975099,0.433633,0.832260,1.324448,0.995380,-0.258787,0.222421
0.020000,1.001304,0.439641,0.859145,1.344247,0.989973,-0.270308,0.228284
