dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123163,1.020374,0.000050,0.005000,0.250000,12.500000,0.000113
0.020000,0.123167,1.020374,0.000054,0.000181,-0.240925,-24.546270,0.000103
0.020000,0.123175,1.020374,0.000062,0.000408,0.011312,12.611863,0.000080
0.020000,0.123189,1.020374,0.000076,0.000723,0.015749,0.221847,0.000039
0.020000,0.123633,1.020374,0.000520,0.022188,1.073242,52.874635,6.283164
0.020000,0.125262,1.020374,0.002149,0.081429,2.962072,94.441501,6.283084
0.020000,0.127297,1.020374,0.004184,0.101771,1.017081,-97.249530,6.282984
0.020000,0.129739,1.020373,0.006626,0.122102,1.016577,-0.025174,6.282866
0.020000,0.132587,1.020372,0.009474,0.142421,1.015957,-0.031045,6.282730
0.020000,0.135842,1.020371,0.012729,0.162726,1.015217,-0.036999,6.282576
0.020000,0.139502,1.020368,0.016389,0.183014,1.014427,-0.039464,6.282407
0.020000,0.143568,1.020364,0.020455,0.203283,1.013463,-0.048202,6.282222
0.020000,0.148039,1.020360,0.024926,0.223533,1.012455,-0.050406,6.282023
0.020000,0.152914,1.020354,0.029801,0.243759,1.011322,-0.056632,6.281812
0.020000,0.158193,1.020346,0.035080,0.263961,1.010083,-0.061968,6.281589
0.020000,0.163876,1.020336,0.040763,0.284135,1.008739,-0.067206,6.281357
0.020000,0.169961,1.020324,0.046848,0.304282,1.007319,-0.071025,6.281116
0.020000,0.176449,1.020310,0.053336,0.324397,1.005770,-0.077406,6.280869
0.020000,0.183339,1.020293,0.060226,0.344480,1.004120,-0.082529,6.280617
0.020000,0.190629,1.020273,0.067516,0.364527,1.002377,-0.087128,6.280362
0.020000,0.198320,1.020251,0.075207,0.384538,1.000537,-0.092022,6.280107
0.020000,0.206410,1.020225,0.083297,0.404510,0.998601,-0.096769,6.279853
0.020000,0.214899,1.020195,0.091786,0.424440,0.996526,-0.103773,6.279603
0.020000,0.223785,1.020162,0.100673,0.444328,0.994397,-0.106451,6.279360
0.020000,0.233069,1.020126,0.109956,0.464171,0.992141,-0.112804,6.279125
0.020000,0.242748,1.020085,0.119635,0.483967,0.989789,-0.117595,6.278902
0.020000,0.252822,1.020041,0.129710,0.503714,0.987332,-0.122867,6.278693
0.020000,0.263290,1.019993,0.140178,0.523409,0.984777,-0.127752,6.278502
0.020000,0.274151,1.019941,0.151039,0.543052,0.982121,-0.132801,6.278330
0.020000,0.285404,1.019886,0.162292,0.562639,0.979363,-0.137899,6.278182
0.020000,0.297047,1.019827,0.173935,0.582169,0.976500,-0.143139,6.278060
0.020000,0.309080,1.019765,0.185968,0.601640,0.973537,-0.148152,6.277967
0.020000,0.321501,1.019699,0.198389,0.621049,0.970469,-0.153385,6.277908
0.020000,0.334308,1.019632,0.211197,0.640395,0.967299,-0.158507,6.277886
0.020000,0.347502,1.019562,0.224390,0.659675,0.964025,-0.163679,6.277904
0.020000,0.361079,1.019490,0.237968,0.678888,0.960646,-0.168959,6.277967
0.020000,0.375040,1.019418,0.251929,0.698032,0.957161,-0.174238,6.278078
0.020000,0.389381,1.019346,0.266271,0.717103,0.953569,-0.179632,6.278241
0.020000,0.404103,1.019275,0.280993,0.736100,0.949879,-0.184483,6.278460
0.020000,0.419204,1.019206,0.296093,0.755022,0.946062,-0.190876,6.278740
0.020000,0.434681,1.019139,0.311570,0.773865,0.942150,-0.195595,6.279085
0.020000,0.450533,1.019078,0.327423,0.792627,0.938127,-0.201117,6.279500
0.020000,0.466759,1.019022,0.343649,0.811307,0.933989,-0.206908,6.279989
0.020000,0.483357,1.018973,0.360247,0.829902,0.929730,-0.212955,6.280557
0.020000,0.500325,1.018934,0.377215,0.848409,0.925357,-0.218637,6.281209
0.020000,0.517662,1.018906,0.394552,0.866826,0.920880,-0.223870,6.281949
0.020000,0.535365,1.018891,0.412255,0.885152,0.916276,-0.230186,6.282785
0.020000,0.553432,1.018893,0.430323,0.903383,0.911540,-0.236823,0.000534
0.020000,0.571863,1.018912,0.448753,0.921517,0.906696,-0.242171,0.001573
0.020000,0.590654,1.018952,0.467544,0.939551,0.901729,-0.248391,0.002724
0.020000,0.609803,1.019016,0.486694,0.957483,0.896599,-0.256461,0.003990
0.020000,0.629309,1.019107,0.506200,0.975311,0.891382,-0.260872,0.005378
0.020000,0.649170,1.019229,0.526060,0.993031,0.886020,-0.268101,0.006895
0.020000,0.669382,1.019385,0.546273,1.010641,0.880505,-0.275740,0.008547
0.020000,0.689944,1.019579,0.566836,1.028139,0.874887,-0.280921,0.010338
0.020000,0.710853,1.019815,0.587746,1.045520,0.869065,-0.291083,0.012278
0.020000,0.732107,1.020098,0.609002,1.062784,0.863186,-0.293944,0.014371
0.020000,0.753702,1.020433,0.630601,1.079926,0.857086,-0.304997,0.016625
0.020000,0.775638,1.020824,0.652540,1.096944,0.850885,-0.310073,0.019046
0.020000,0.797910,1.021277,0.674816,1.113834,0.844519,-0.318291,0.021643
0.020000,0.820516,1.021797,0.697428,1.130594,0.837994,-0.326266,0.024422
0.020000,0.843453,1.022391,0.720373,1.147221,0.831383,-0.330522,0.027390
0.020000,0.866717,1.023065,0.743647,1.163712,0.824516,-0.343354,0.030556
0.020000,0.890306,1.023826,0.767248,1.180063,0.817569,-0.347335,0.033927
0.020000,0.914216,1.024680,0.791173,1.196272,0.810464,-0.355261,0.037511
0.020000,0.938444,1.025635,0.815420,1.212336,0.803192,-0.363620,0.041316
