dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123203,0.664774,0.000050,0.005000,0.250000,12.500000,0.000113
0.020000,0.123203,0.664774,0.000250,0.015000,0.500000,12.500000,0.000103
0.020000,0.123203,0.664774,0.000700,0.030000,0.750000,12.500000,0.000080
0.020000,0.123203,0.664774,0.001500,0.050000,1.000000,12.500000,0.000039
0.020000,0.123625,0.664774,0.002700,0.070000,1.000000,0.000000,6.283164
0.020000,0.125225,0.664774,0.004300,0.090000,1.000000,-0.000000,6.283084
0.020000,0.127225,0.664774,0.006300,0.110000,1.000000,0.000000,6.282984
0.020000,0.129625,0.664773,0.008700,0.130000,1.000000,0.000000,6.282866
0.020000,0.132425,0.664772,0.011500,0.150000,1.000000,-0.000000,6.282730
0.020000,0.135625,0.664771,0.014700,0.170000,1.000000,0.000000,6.282576
0.020000,0.139225,0.664768,0.018300,0.190000,1.000000,-0.000000,6.282407
0.020000,0.143225,0.664765,0.022300,0.210000,1.000000,0.000000,6.282222
0.020000,0.147625,0.664760,0.026700,0.230000,1.000000,0.000000,6.282023
0.020000,0.152425,0.664754,0.031500,0.250000,1.000000,-0.000000,6.281812
0.020000,0.157625,0.664746,0.036700,0.270000,1.000000,0.000000,6.281589
0.020000,0.163225,0.664737,0.042300,0.290000,1.000000,-0.000000,6.281357
0.020000,0.169225,0.664725,0.048300,0.310000,1.000000,0.000000,6.281116
0.020000,0.175625,0.664711,0.054700,0.330000,1.000000,0.000000,6.280869
0.020000,0.182425,0.664694,0.061500,0.350000,1.000000,-0.000000,6.280617
0.020000,0.189625,0.664675,0.068700,0.370000,1.000000,0.000000,6.280362
0.020000,0.197225,0.664652,0.076300,0.390000,1.000000,0.000000,6.280107
0.020000,0.205225,0.664627,0.084300,0.410000,1.000000,-0.000000,6.279853
0.020000,0.213625,0.664598,0.092700,0.430000,1.000000,0.000000,6.279603
0.020000,0.222425,0.664565,0.101500,0.450000,1.000000,0.000000,6.279360
0.020000,0.231625,0.664529,0.110700,0.470000,1.000000,-0.000000,6.279125
0.020000,0.241225,0.664489,0.120300,0.490000,1.000000,0.000000,6.278902
0.020000,0.251225,0.664445,0.130300,0.510000,1.000000,0.000000,6.278693
0.020000,0.261625,0.664397,0.140700,0.530000,1.000000,0.000000,6.278502
0.020000,0.272425,0.664346,0.151500,0.550000,1.000000,0.000000,6.278330
0.020000,0.283625,0.664290,0.162700,0.570000,1.000000,-0.000000,6.278182
0.020000,0.295224,0.664232,0.174300,0.590000,1.000000,0.000000,6.278060
0.020000,0.307224,0.664169,0.186300,0.610000,1.000000,0.000000,6.277967
0.020000,0.319624,0.664104,0.198700,0.630000,1.000000,0.000000,6.277908
0.020000,0.332424,0.664037,0.211500,0.650000,1.000000,0.000000,6.277886
0.020000,0.345624,0.663967,0.224700,0.670000,1.000000,0.000000,6.277904
0.020000,0.359224,0.663895,0.238300,0.690000,1.000000,-0.000000,6.277967
0.020000,0.373223,0.663823,0.252300,0.710000,1.000000,0.000000,6.278078
0.020000,0.387623,0.663750,0.266700,0.730000,1.000000,0.000000,6.278241
0.020000,0.402423,0.663679,0.281500,0.750000,1.000000,0.000000,6.278460
0.020000,0.417623,0.663609,0.296700,0.770000,1.000000,0.000000,6.278740
0.020000,0.433223,0.663542,0.312300,0.790000,1.000000,0.000000,6.279085
0.020000,0.449223,0.663480,0.328300,0.810000,1.000000,0.000000,6.279500
0.020000,0.465622,0.663423,0.344700,0.830000,1.000000,-0.000000,6.279989
0.020000,0.482422,0.663374,0.361500,0.850000,1.000000,0.000000,6.280557
0.020000,0.499622,0.663335,0.378700,0.870000,1.000000,0.000000,6.281209
0.020000,0.517222,0.663306,0.396300,0.890000,1.000000,0.000000,6.281949
0.020000,0.535222,0.663292,0.414300,0.910000,1.000000,0.000000,6.282785
0.020000,0.553622,0.663293,0.432700,0.930000,1.000000,0.000000,0.000534
0.020000,0.572422,0.663312,0.451500,0.950000,1.000000,-0.000000,0.001573
0.020000,0.591622,0.663353,0.470700,0.970000,1.000000,0.000000,0.002724
0.020000,0.611222,0.663419,0.490300,0.990000,1.000000,0.000000,0.003990
0.020000,0.631222,0.663513,0.510300,1.010000,1.000000,0.000000,0.005378
0.020000,0.651622,0.663638,0.530700,1.030000,1.000000,0.000000,0.006895
0.020000,0.672421,0.663798,0.551500,1.050000,1.000000,0.000000,0.008547
0.020000,0.693620,0.663998,0.572700,1.070000,1.000000,0.000000,0.010338
0.020000,0.715219,0.664242,0.594300,1.090000,1.000000,0.000000,0.012278
0.020000,0.737217,0.664535,0.616300,1.110000,1.000000,0.000000,0.014371
0.020000,0.759614,0.664882,0.638700,1.130000,1.000000,-0.000000,0.016625
0.020000,0.782410,0.665288,0.661500,1.150000,1.000000,0.000000,0.019046
0.020000,0.805606,0.665760,0.684700,1.170000,1.000000,0.000000,0.021643
0.020000,0.829199,0.666303,0.708300,1.190000,1.000000,0.000000,0.024422
0.020000,0.853191,0.666925,0.732300,1.210000,1.000000,0.000000,0.027390
0.020000,0.877581,0.667631,0.756700,1.230000,1.000000,0.000000,0.030556
0.020000,0.902368,0.668430,0.781500,1.250000,1.000000,0.000000,0.033927
0.020000,0.927552,0.669330,0.806700,1.270000,1.000000,0.000000,0.037511
0.020000,0.953132,0.670338,0.832300,1.290000,1.000000,0.000000,0.041316
