dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.123244,0.309174,0.000050,0.005000,0.250000,12.500000,0.000113
0.020000,0.123240,0.309174,0.000054,0.000181,-0.240925,-24.546270,0.000103
0.020000,0.123232,0.309174,0.000062,0.000408,0.011312,12.611863,0.000080
0.020000,0.123217,0.309174,0.000076,0.000723,0.015749,0.221847,0.000039
0.020000,0.123618,0.309174,0.000477,0.020030,0.965351,47.480119,6.283164
0.020000,0.125189,0.309174,0.002048,0.078571,2.927071,98.085966,6.283084
0.020000,0.127154,0.309174,0.004013,0.098229,0.982906,-97.208221,6.282984
0.020000,0.129512,0.309173,0.006371,0.117898,0.983434,0.026379,6.282866
0.020000,0.132263,0.309172,0.009122,0.137579,0.984050,0.030831,6.282730
0.020000,0.135409,0.309171,0.012268,0.157274,0.984754,0.035194,6.282576
0.020000,0.138949,0.309168,0.015808,0.176986,0.985613,0.042918,6.282407
0.020000,0.142883,0.309165,0.019742,0.196716,0.986504,0.044568,6.282222
0.020000,0.147212,0.309160,0.024071,0.216467,0.987554,0.052525,6.282023
0.020000,0.151937,0.309154,0.028796,0.236241,0.988686,0.056578,6.281812
0.020000,0.157058,0.309147,0.033917,0.256039,0.989916,0.061480,6.281589
0.020000,0.162575,0.309137,0.039434,0.275864,0.991245,0.066463,6.281357
0.020000,0.168490,0.309126,0.045349,0.295718,0.992701,0.072811,6.281116
0.020000,0.174802,0.309112,0.051661,0.315603,0.994234,0.076659,6.280869
0.020000,0.181512,0.309095,0.058371,0.335520,0.995868,0.081713,6.280617
0.020000,0.188621,0.309076,0.065480,0.355473,0.997614,0.087268,6.280362
0.020000,0.196131,0.309054,0.072990,0.375462,0.999464,0.092526,6.280107
0.020000,0.204040,0.309029,0.080900,0.395490,1.001423,0.097921,6.279853
0.020000,0.212352,0.309000,0.089211,0.415559,1.003445,0.101101,6.279603
0.020000,0.221065,0.308968,0.097924,0.435672,1.005615,0.108507,6.279360
0.020000,0.230181,0.308932,0.107041,0.455829,1.007861,0.112318,6.279125
0.020000,0.239702,0.308892,0.116561,0.476033,1.010214,0.117659,6.278902
0.020000,0.249628,0.308848,0.126487,0.496286,1.012665,0.122534,6.278693
0.020000,0.259959,0.308801,0.136819,0.516591,1.015221,0.127800,6.278502
0.020000,0.270698,0.308750,0.147558,0.536948,1.017880,0.132921,6.278330
0.020000,0.281845,0.308695,0.158705,0.557361,1.020640,0.138014,6.278182
0.020000,0.293402,0.308636,0.170262,0.577831,1.023500,0.142994,6.278060
0.020000,0.305369,0.308574,0.182229,0.598361,1.026464,0.148232,6.277967
0.020000,0.317748,0.308509,0.194608,0.618951,1.029530,0.153293,6.277908
0.020000,0.330540,0.308442,0.207400,0.639605,1.032700,0.158514,6.277886
0.020000,0.343746,0.308372,0.220607,0.660325,1.035975,0.163743,6.277904
0.020000,0.357368,0.308300,0.234229,0.681112,1.039354,0.168931,6.277967
0.020000,0.371407,0.308228,0.248268,0.701969,1.042838,0.174195,6.278078
0.020000,0.385865,0.308155,0.262726,0.722897,1.046426,0.179431,6.278241
0.020000,0.400743,0.308083,0.277604,0.743900,1.050133,0.185313,6.278460
0.020000,0.416042,0.308013,0.292904,0.764978,1.053928,0.189747,6.278740
0.020000,0.431765,0.307945,0.308626,0.786135,1.057848,0.195993,6.279085
0.020000,0.447912,0.307882,0.324774,0.807373,1.061879,0.201563,6.279500
0.020000,0.464486,0.307825,0.341348,0.828693,1.066019,0.207004,6.279989
0.020000,0.481488,0.307776,0.358350,0.850098,1.070266,0.212339,6.280557
0.020000,0.498919,0.307735,0.375781,0.871591,1.074630,0.218215,6.281209
0.020000,0.516783,0.307707,0.393645,0.893174,1.079125,0.224741,6.281949
0.020000,0.535080,0.307692,0.411942,0.914848,1.083732,0.230350,6.282785
0.020000,0.553812,0.307693,0.430674,0.936617,1.088448,0.235829,0.000534
0.020000,0.572982,0.307713,0.449844,0.958483,1.093306,0.242861,0.001573
0.020000,0.592591,0.307755,0.469453,0.980449,1.098290,0.249223,0.002724
0.020000,0.612641,0.307822,0.489503,1.002516,1.103368,0.253885,0.003990
0.020000,0.633135,0.307918,0.509997,1.024689,1.108620,0.262611,0.005378
0.020000,0.654074,0.308046,0.530936,1.046969,1.113993,0.268650,0.006895
0.020000,0.675460,0.308211,0.552324,1.069358,1.119483,0.274494,0.008547
0.020000,0.697296,0.308417,0.574161,1.091861,1.125147,0.283188,0.010338
0.020000,0.719584,0.308669,0.596450,1.114479,1.130883,0.286841,0.012278
0.020000,0.742327,0.308972,0.619195,1.137216,1.136853,0.298494,0.014371
0.020000,0.765525,0.309331,0.642396,1.160074,1.142886,0.301640,0.016625
0.020000,0.789183,0.309753,0.666057,1.183056,1.149113,0.311364,0.019046
0.020000,0.813301,0.310243,0.690181,1.206165,1.155471,0.317900,0.021643
0.020000,0.837883,0.310809,0.714769,1.229405,1.161968,0.324821,0.024422
0.020000,0.862930,0.311458,0.739824,1.252778,1.168686,0.335888,0.027390
0.020000,0.888445,0.312197,0.765350,1.276287,1.175438,0.337641,0.030556
0.020000,0.914430,0.313035,0.791349,1.299936,1.182418,0.349002,0.033927
0.020000,0.940888,0.313980,0.817823,1.323726,1.189538,0.355955,0.037511
0.020000,0.967820,0.315042,0.844776,1.347662,1.196781,0.362194,0.041316
0.020000,0.995229,0.316230,0.872211,1.371746,1.204194,0.370623,0.045352
0.020000,1.023117,0.317555,0.900131,1.395981,1.211732,0.376893,0.049625
0.020000,1.051487,0.319028,0.928538,1.420369,1.219425,0.384677,0.054145
0.020000,1.080339,0.320660,0.957437,1.444913,1.227197,0.388603,0.058921
0.020000,1.109676,0.322464,0.986829,1.469615,1.235111,0.395684,0.063962
0.020000,1.139499,0.324454,1.016719,1.494479,1.243182,0.403576,0.069275
0.020000,1.169810,0.326641,1.047109,1.519503,1.251222,0.401954,0.074872
0.020000,1.200611,0.329043,1.078002,1.544693,1.259471,0.412448,0.080760
0.020000,1.231901,0.331672,1.109403,1.570046,1.267661,0.409517,0.086950
0.020000,1.263683,0.334546,1.141315,1.595565,1.275931,0.413530,0.093450
0.020000,1.295956,0.337681,1.173740,1.621248,1.284190,0.412941,0.100269
0.020000,1.328720,0.341095,1.206682,1.647098,1.292461,0.413520,0.107418
0.020000,1.361976,0.344807,1.240144,1.673109,1.300567,0.405306,0.114904
0.020000,1.395722,0.348835,1.274129,1.699282,1.308641,0.403734,0.122738
0.020000,1.429957,0.353200,1.308642,1.725613,1.316540,0.394926,0.130928
0.020000,1.464679,0.357922,1.343684,1.752097,1.324212,0.383609,0.139483
0.020000,1.499886,0.363025,1.379258,1.778729,1.331612,0.369993,0.148411
0.020000,1.535574,0.368530,1.415368,1.805503,1.338687,0.353747,0.157719
0.020000,1.571739,0.374461,1.452016,1.832410,1.345353,0.333320,0.167417
0.020000,1.608377,0.380842,1.489205,1.859440,1.351514,0.308031,0.177509
0.020000,1.645480,0.387698,1.526937,1.886583,1.357124,0.280487,0.188004
0.020000,1.683043,0.395056,1.565213,1.913823,1.362027,0.245141,0.198905
