dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.400923,1.061407,0.000050,0.005000,0.250000,12.500000,6.280591
0.020000,0.400881,1.061407,0.000092,0.002098,-0.145090,-19.754511,6.280709
0.020000,0.400786,1.061407,0.000186,0.004720,0.131087,13.808867,6.280975
0.020000,0.400618,1.061407,0.000354,0.008388,0.183382,2.614732,6.281446
0.020000,0.400367,1.061408,0.000606,0.012573,0.209278,1.294794,6.282153
0.020000,0.400032,1.061408,0.000941,0.016749,0.208783,-0.024752,6.283095
0.020000,0.401461,1.061409,0.002370,0.071451,2.735124,126.317094,0.001086
0.020000,0.403360,1.061412,0.004268,0.094942,1.174545,-78.028973,0.002496
0.020000,0.405576,1.061419,0.006485,0.110817,0.793720,-19.041263,0.004137
0.020000,0.408110,1.061432,0.009019,0.126713,0.794840,0.056031,0.006009
0.020000,0.410963,1.061452,0.011872,0.142638,0.796207,0.068341,0.008110
0.020000,0.414135,1.061482,0.015044,0.158592,0.797740,0.076636,0.010439
0.020000,0.417626,1.061523,0.018535,0.174581,0.799449,0.085428,0.012994
0.020000,0.421438,1.061578,0.022347,0.190608,0.801345,0.094844,0.015772
0.020000,0.425571,1.061649,0.026481,0.206677,0.803439,0.104700,0.018771
0.020000,0.430026,1.061740,0.030937,0.222792,0.805746,0.115320,0.021988
0.020000,0.434804,1.061853,0.035716,0.238957,0.808276,0.126510,0.025421
0.020000,0.439905,1.061992,0.040819,0.255176,0.810922,0.132302,0.029067
0.020000,0.445332,1.062160,0.046249,0.271454,0.813913,0.149547,0.032922
0.020000,0.451084,1.062361,0.052004,0.287794,0.816984,0.153565,0.036984
0.020000,0.457163,1.062599,0.058088,0.304203,0.820464,0.173977,0.041247
0.020000,0.463571,1.062878,0.064502,0.320682,0.823970,0.175300,0.045708
0.020000,0.470308,1.063202,0.071247,0.337238,0.827755,0.189264,0.050362
0.020000,0.477376,1.063575,0.078324,0.353876,0.831898,0.207142,0.055206
0.020000,0.484775,1.064003,0.085736,0.370599,0.836197,0.214956,0.060234
0.020000,0.492508,1.064490,0.093485,0.387415,0.840753,0.227808,0.065442
0.020000,0.500576,1.065040,0.101571,0.404320,0.845290,0.226840,0.070823
0.020000,0.508980,1.065660,0.109998,0.421332,0.850560,0.263512,0.076372
0.020000,0.517721,1.066354,0.118767,0.438451,0.855968,0.270375,0.082084
0.020000,0.526802,1.067128,0.127880,0.455668,0.860852,0.244218,0.087951
0.020000,0.536223,1.067987,0.137340,0.473014,0.867292,0.321970,0.093969
0.020000,0.545986,1.068938,0.147150,0.490468,0.872715,0.271178,0.100129
0.020000,0.556093,1.069985,0.157311,0.508050,0.879082,0.318327,0.106425
0.020000,0.566545,1.071136,0.167826,0.525761,0.885577,0.324762,0.112850
0.020000,0.577344,1.072396,0.178698,0.543604,0.892123,0.327300,0.119397
0.020000,0.588491,1.073771,0.189930,0.561582,0.898910,0.339336,0.126057
0.020000,0.599988,1.075268,0.201524,0.579701,0.905941,0.351555,0.132823
0.020000,0.611836,1.076892,0.213483,0.597965,0.913218,0.363847,0.139686
0.020000,0.624038,1.078651,0.225811,0.616378,0.920665,0.372370,0.146639
0.020000,0.636594,1.080551,0.238509,0.634928,0.927506,0.342051,0.153673
0.020000,0.649505,1.082598,0.251582,0.653652,0.936182,0.433783,0.160779
0.020000,0.662774,1.084799,0.265032,0.672514,0.943110,0.346415,0.167949
0.020000,0.676402,1.087160,0.278863,0.691552,0.951906,0.439799,0.175174
0.020000,0.690390,1.089689,0.293078,0.710731,0.958946,0.351978,0.182444
0.020000,0.704740,1.092391,0.307680,0.730083,0.967589,0.432184,0.189751
0.020000,0.719452,1.095272,0.322672,0.749599,0.975788,0.409958,0.197085
0.020000,0.734529,1.098341,0.338057,0.769277,0.983908,0.405985,0.204437
0.020000,0.749970,1.101602,0.353840,0.789120,0.992124,0.410804,0.211798
0.020000,0.765779,1.105062,0.370022,0.809128,1.000428,0.415200,0.219158
0.020000,0.781955,1.108728,0.386608,0.829304,1.008810,0.419090,0.226509
0.020000,0.798499,1.112605,0.403601,0.849640,1.016769,0.397962,0.233841
0.020000,0.815413,1.116700,0.421004,0.870135,1.024785,0.400768,0.241144
0.020000,0.832698,1.121017,0.438820,0.890814,1.033948,0.458173,0.248411
0.020000,0.850355,1.125564,0.457053,0.911625,1.040547,0.329943,0.255630
0.020000,0.868384,1.130346,0.475705,0.932628,1.050133,0.479325,0.262794
0.020000,0.886787,1.135367,0.494780,0.953766,1.056917,0.339161,0.269894
0.020000,0.905564,1.140633,0.514282,0.975070,1.065177,0.413007,0.276920
0.020000,0.924716,1.146149,0.534213,0.996533,1.073151,0.398694,0.283864
0.020000,0.944244,1.151919,0.554575,1.018146,1.080656,0.375285,0.290717
0.020000,0.964149,1.157948,0.575374,1.039908,1.088120,0.373197,0.297471
0.020000,0.984432,1.164240,0.596610,1.061819,1.095539,0.370959,0.304118
0.020000,1.005093,1.170800,0.618288,1.083877,1.102910,0.368550,0.310649
0.020000,1.026134,1.177630,0.640409,1.106082,1.110229,0.365952,0.317056
0.020000,1.047556,1.184734,0.662978,1.128424,1.117090,0.343010,0.323332
0.020000,1.069358,1.192114,0.685996,1.150896,1.123596,0.325313,0.329468
0.020000,1.091543,1.199775,0.709466,1.173527,1.131576,0.399008,0.335456
0.020000,1.114112,1.207718,0.733391,1.196265,1.136901,0.266249,0.341290
0.020000,1.137065,1.215944,0.757775,1.219165,1.144982,0.404047,0.346962
0.020000,1.160405,1.224457,0.782618,1.242168,1.150146,0.258198,0.352464
0.020000,1.184132,1.233257,0.807924,1.265317,1.157443,0.364850,0.357789
0.020000,1.208248,1.242345,0.833696,1.288593,1.163833,0.319492,0.362930
0.020000,1.232755,1.251722,0.859936,1.311994,1.170037,0.310200,0.367880
0.020000,1.257655,1.261387,0.886647,1.335520,1.176277,0.312014,0.372631
0.020000,1.282951,1.271342,0.913830,1.359171,1.182564,0.314346,0.377177
0.020000,1.308643,1.281585,0.941489,1.382949,1.188907,0.317176,0.381510
0.020000,1.334735,1.292116,0.969626,1.406855,1.195317,0.320490,0.385624
0.020000,1.361230,1.302932,0.998244,1.430891,1.201803,0.324279,0.389511
0.020000,1.388131,1.314033,1.027345,1.455054,1.208120,0.315841,0.393164
0.020000,1.415441,1.325415,1.056932,1.479340,1.214317,0.309852,0.396576
0.020000,1.443163,1.337077,1.087007,1.503776,1.221776,0.372944,0.399738
0.020000,1.471302,1.349014,1.117574,1.528327,1.227569,0.289680,0.402644
0.020000,1.499863,1.361224,1.148635,1.553036,1.235448,0.393957,0.405286
0.020000,1.528849,1.373701,1.180192,1.577881,1.242237,0.339440,0.407655
0.020000,1.558266,1.386442,1.212250,1.602872,1.249588,0.367563,0.409743
0.020000,1.588119,1.399441,1.244810,1.628023,1.257532,0.397174,0.411541
0.020000,1.618414,1.412692,1.277877,1.653333,1.265507,0.398734,0.413041
0.020000,1.649158,1.426189,1.311453,1.678811,1.273878,0.418579,0.414233
0.020000,1.680358,1.439924,1.345542,1.704464,1.282669,0.439545,0.415107
0.020000,1.712021,1.453889,1.380148,1.730302,1.291902,0.461645,0.415652
0.020000,1.744155,1.468077,1.415275,1.756334,1.301599,0.484837,0.415858
0.020000,1.776769,1.482478,1.450926,1.782572,1.311875,0.513805,0.415714
0.020000,1.809871,1.497082,1.487107,1.809026,1.322693,0.540900,0.415206
0.020000,1.843472,1.511878,1.523821,1.835710,1.334242,0.577477,0.414323
0.020000,1.877581,1.526854,1.561074,1.862636,1.346288,0.602291,0.413050
0.020000,1.912211,1.541998,1.598870,1.889826,1.359511,0.661126,0.411372
0.020000,1.947374,1.557295,1.637216,1.917287,1.373030,0.675952,0.409275
0.020000,1.983081,1.572732,1.676117,1.945042,1.387737,0.735354,0.406742
0.020000,2.019346,1.588291,1.715579,1.973110,1.403422,0.784270,0.403755
0.020000,2.056184,1.603955,1.755609,2.001513,1.420122,0.835013,0.400295
0.020000,2.093610,1.619706,1.796215,2.030270,1.437874,0.887583,0.396343
0.020000,2.131592,1.635504,1.837351,2.056799,1.326436,-5.571909,0.391883
0.020000,2.170049,1.651286,1.878920,2.078462,1.083137,-12.164944,0.386907
0.020000,2.208898,1.666992,1.920824,2.095212,0.837519,-12.280914,0.381412
0.020000,2.248055,1.682562,1.962963,2.106949,0.586847,-12.533604,0.375396
0.020000,2.287483,1.697953,2.005288,2.116262,0.465639,-6.060365,0.368857
0.020000,2.327193,1.713143,2.047804,2.125801,0.476991,0.567574,0.361782
0.020000,2.367195,1.728110,2.090515,2.135535,0.486664,0.483650,0.354158
0.020000,2.407503,1.742828,2.133426,2.145533,0.499903,0.661954,0.345973
0.020000,2.448126,1.757273,2.176541,2.155746,0.510653,0.537523,0.337213
0.020000,2.489077,1.771418,2.219866,2.166243,0.524839,0.709290,0.327863
0.020000,2.530366,1.785235,2.263405,2.176973,0.536515,0.583805,0.317908
0.020000,2.572004,1.798696,2.307165,2.188011,0.551898,0.769154,0.307334
0.020000,2.614002,1.811769,2.351151,2.199287,0.563782,0.594172,0.296125
0.020000,2.656370,1.824423,2.395368,2.210865,0.578917,0.756738,0.284264
0.020000,2.699117,1.836625,2.439822,2.222708,0.592147,0.661500,0.271738
0.020000,2.742250,1.848340,2.484519,2.234808,0.605003,0.642837,0.258530
0.020000,2.785779,1.859530,2.529462,2.247184,0.618824,0.691051,0.244627
0.020000,2.829707,1.870158,2.574658,2.259797,0.630652,0.591375,0.230014
0.020000,2.874040,1.880183,2.620111,2.272620,0.641133,0.524049,0.214680
0.020000,2.918780,1.889565,2.665823,2.285636,0.650778,0.482268,0.198613
0.020000,2.963926,1.898260,2.711799,2.298808,0.658601,0.391160,0.181806
0.020000,3.009478,1.906224,2.758042,2.312101,0.664682,0.304006,0.164251
0.020000,3.055385,1.913404,2.804507,2.323285,0.559202,-5.273957,0.145963
0.020000,3.101538,1.919745,2.851094,2.329327,0.302081,-12.856089,0.126986
0.020000,3.147804,1.925194,2.897679,2.329275,-0.002610,-15.234527,0.107382
0.020000,3.194042,1.929710,2.944138,2.322924,-0.317561,-15.747554,0.087223
0.020000,3.240151,1.933265,2.990383,2.312276,-0.532364,-10.740167,0.066576
0.020000,3.286082,1.935843,3.036387,2.300188,-0.604421,-3.602826,0.045483
0.020000,3.331802,1.937433,3.082134,2.287338,-0.642472,-1.902534,0.023988
0.020000,3.377271,1.938029,3.127607,2.273683,-0.682751,-2.013974,0.002137
0.020000,3.422453,1.937627,3.172791,2.259162,-0.726068,-2.165845,6.263162
0.020000,3.467305,1.936227,3.217665,2.243720,-0.772121,-2.302647,6.240746
0.020000,3.511788,1.933835,3.262212,2.227328,-0.819596,-2.373737,6.218126
0.020000,3.555858,1.930461,3.306411,2.209952,-0.868761,-2.458265,6.195359
0.020000,3.599474,1.926118,3.350242,2.191576,-0.918838,-2.503848,6.172501
0.020000,3.642594,1.920826,3.393686,2.172194,-0.969068,-2.511491,6.149608
0.020000,3.685179,1.914608,3.436723,2.151822,-1.018629,-2.478070,6.126736
0.020000,3.727189,1.907490,3.479332,2.130452,-1.068488,-2.492948,6.103941
0.020000,3.768589,1.899504,3.521494,2.108146,-1.115295,-2.340369,6.081275
0.020000,3.809344,1.890683,3.563193,2.084933,-1.160650,-2.267725,6.058791
0.020000,3.849424,1.881065,3.604411,2.060884,-1.202449,-2.089945,6.036535
0.020000,3.888800,1.870689,3.645131,2.036009,-1.243781,-2.066593,6.014553
0.020000,3.927448,1.859598,3.685339,2.010411,-1.279866,-1.804251,5.992885
0.020000,3.965347,1.847834,3.725022,1.984151,-1.313034,-1.658424,5.971570
0.020000,4.002480,1.835443,3.764168,1.957290,-1.343024,-1.499493,5.950639
0.020000,4.038833,1.822468,3.802767,1.929965,-1.366242,-1.160876,5.930122
0.020000,4.074396,1.808955,3.840811,1.902160,-1.390266,-1.201245,5.910044
0.020000,4.109161,1.794950,3.878291,1.874037,-1.406121,-0.792715,5.890424
0.020000,4.143124,1.780496,3.915202,1.845520,-1.425869,-0.987397,5.871281
0.020000,4.176285,1.765638,3.951539,1.816856,-1.433229,-0.367996,5.852626
0.020000,4.208644,1.750418,3.987299,1.788015,-1.442015,-0.439302,5.834469
0.020000,4.240207,1.734876,4.022481,1.759080,-1.446780,-0.238291,5.816816
0.020000,4.270977,1.719053,4.057080,1.729973,-1.455338,-0.427880,5.799672
0.020000,4.300964,1.702987,4.091100,1.700995,-1.448873,0.323238,5.783035
0.020000,4.330176,1.686714,4.124539,1.671964,-1.451584,-0.135528,5.766905
0.020000,4.358627,1.670269,4.157401,1.643083,-1.444045,0.376929,5.751277
0.020000,4.386326,1.653685,4.189685,1.614209,-1.443670,0.018753,5.736147
0.020000,4.413286,1.636992,4.221395,1.585480,-1.436454,0.360834,5.721507
0.020000,4.439523,1.620221,4.252534,1.556946,-1.426736,0.485900,5.707349
0.020000,4.465048,1.603399,4.283103,1.528472,-1.423672,0.153181,5.693663
0.020000,4.489877,1.586552,4.313109,1.500274,-1.409907,0.688262,5.680440
0.020000,4.514028,1.569703,4.342556,1.472349,-1.396259,0.682362,5.667668
0.020000,4.537510,1.552879,4.371443,1.444379,-1.398489,-0.111497,5.655337
0.020000,4.560344,1.536097,4.399781,1.416868,-1.375538,1.147555,5.643433
0.020000,4.582542,1.519378,4.427570,1.389485,-1.369157,0.319052,5.631946
0.020000,4.604118,1.502743,4.454815,1.362217,-1.363412,0.287250,5.620863
0.020000,4.625089,1.486208,4.481520,1.335277,-1.347016,0.819832,5.610172
