dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.400000,0.705808,0.000050,0.005000,0.250000,12.500000,6.280591
0.020000,0.400000,0.705808,0.000250,0.015000,0.500000,12.500000,6.280709
0.020000,0.400000,0.705808,0.000700,0.030000,0.750000,12.500000,6.280975
0.020000,0.400000,0.705808,0.001500,0.050000,1.000000,12.500000,6.281446
0.020000,0.400000,0.705808,0.002700,0.070000,1.000000,0.000000,6.282153
0.020000,0.400000,0.705808,0.004300,0.090000,1.000000,-0.000000,6.283095
0.020000,0.401847,0.705809,0.006300,0.110000,1.000000,0.000000,0.001086
0.020000,0.404247,0.705813,0.008700,0.130000,1.000000,0.000000,0.002496
0.020000,0.407047,0.705822,0.011500,0.150000,1.000000,-0.000000,0.004137
0.020000,0.410247,0.705839,0.014700,0.170000,1.000000,0.000000,0.006009
0.020000,0.413847,0.705864,0.018300,0.190000,1.000000,-0.000000,0.008110
0.020000,0.417847,0.705901,0.022300,0.210000,1.000000,0.000000,0.010439
0.020000,0.422247,0.705953,0.026700,0.230000,1.000000,0.000000,0.012994
0.020000,0.427046,0.706022,0.031500,0.250000,1.000000,-0.000000,0.015772
0.020000,0.432245,0.706112,0.036700,0.270000,1.000000,0.000000,0.018771
0.020000,0.437844,0.706226,0.042300,0.290000,1.000000,-0.000000,0.021988
0.020000,0.443842,0.706368,0.048300,0.310000,1.000000,0.000000,0.025421
0.020000,0.450240,0.706542,0.054700,0.330000,1.000000,0.000000,0.029067
0.020000,0.457037,0.706753,0.061500,0.350000,1.000000,-0.000000,0.032922
0.020000,0.464232,0.707005,0.068700,0.370000,1.000000,0.000000,0.036984
0.020000,0.471827,0.707302,0.076300,0.390000,1.000000,0.000000,0.041247
0.020000,0.479819,0.707650,0.084300,0.410000,1.000000,-0.000000,0.045708
0.020000,0.488209,0.708053,0.092700,0.430000,1.000000,0.000000,0.050362
0.020000,0.496997,0.708517,0.101500,0.450000,1.000000,0.000000,0.055206
0.020000,0.506182,0.709048,0.110700,0.470000,1.000000,-0.000000,0.060234
0.020000,0.515763,0.709651,0.120300,0.490000,1.000000,0.000000,0.065442
0.020000,0.525739,0.710332,0.130300,0.510000,1.000000,0.000000,0.070823
0.020000,0.536111,0.711096,0.140700,0.530000,1.000000,0.000000,0.076372
0.020000,0.546877,0.711951,0.151500,0.550000,1.000000,0.000000,0.082084
0.020000,0.558037,0.712902,0.162700,0.570000,1.000000,-0.000000,0.087951
0.020000,0.569589,0.713956,0.174300,0.590000,1.000000,0.000000,0.093969
0.020000,0.581532,0.715119,0.186300,0.610000,1.000000,0.000000,0.100129
0.020000,0.593866,0.716397,0.198700,0.630000,1.000000,0.000000,0.106425
0.020000,0.606589,0.717798,0.211500,0.650000,1.000000,0.000000,0.112850
0.020000,0.619700,0.719327,0.224700,0.670000,1.000000,0.000000,0.119397
0.020000,0.633198,0.720992,0.238300,0.690000,1.000000,-0.000000,0.126057
0.020000,0.647081,0.722800,0.252300,0.710000,1.000000,0.000000,0.132823
0.020000,0.661347,0.724756,0.266700,0.730000,1.000000,0.000000,0.139686
0.020000,0.675996,0.726867,0.281500,0.750000,1.000000,0.000000,0.146639
0.020000,0.691025,0.729141,0.296700,0.770000,1.000000,0.000000,0.153673
0.020000,0.706432,0.731584,0.312300,0.790000,1.000000,0.000000,0.160779
0.020000,0.722217,0.734202,0.328300,0.810000,1.000000,0.000000,0.167949
0.020000,0.738376,0.737002,0.344700,0.830000,1.000000,-0.000000,0.175174
0.020000,0.754908,0.739990,0.361500,0.850000,1.000000,0.000000,0.182444
0.020000,0.771811,0.743173,0.378700,0.870000,1.000000,0.000000,0.189751
0.020000,0.789083,0.746556,0.396300,0.890000,1.000000,0.000000,0.197085
0.020000,0.806721,0.750146,0.414300,0.910000,1.000000,0.000000,0.204437
0.020000,0.824724,0.753948,0.432700,0.930000,1.000000,0.000000,0.211798
0.020000,0.843089,0.757968,0.451500,0.950000,1.000000,-0.000000,0.219158
0.020000,0.861814,0.762211,0.470700,0.970000,1.000000,0.000000,0.226509
0.020000,0.880897,0.766683,0.490300,0.990000,1.000000,0.000000,0.233841
0.020000,0.900336,0.771389,0.510300,1.010000,1.000000,0.000000,0.241144
0.020000,0.920128,0.776333,0.530700,1.030000,1.000000,0.000000,0.248411
0.020000,0.940270,0.781520,0.551500,1.050000,1.000000,0.000000,0.255630
0.020000,0.960762,0.786954,0.572700,1.070000,1.000000,0.000000,0.262794
0.020000,0.981600,0.792640,0.594300,1.090000,1.000000,0.000000,0.269894
0.020000,1.002783,0.798580,0.616300,1.110000,1.000000,0.000000,0.276920
0.020000,1.024308,0.804779,0.638700,1.130000,1.000000,-0.000000,0.283864
0.020000,1.046173,0.811240,0.661500,1.150000,1.000000,0.000000,0.290717
0.020000,1.068377,0.817966,0.684700,1.170000,1.000000,0.000000,0.297471
0.020000,1.090917,0.824958,0.708300,1.190000,1.000000,0.000000,0.304118
0.020000,1.113792,0.832220,0.732300,1.210000,1.000000,0.000000,0.310649
0.020000,1.137000,0.839754,0.756700,1.230000,1.000000,0.000000,0.317056
0.020000,1.160539,0.847560,0.781500,1.250000,1.000000,0.000000,0.323332
0.020000,1.184409,0.855640,0.806700,1.270000,1.000000,0.000000,0.329468
0.020000,1.208607,0.863996,0.832300,1.290000,1.000000,0.000000,0.335456
0.020000,1.233132,0.872627,0.858300,1.310000,1.000000,0.000000,0.341290
0.020000,1.257984,0.881535,0.884700,1.330000,1.000000,0.000000,0.346962
0.020000,1.283162,0.890717,0.911500,1.350000,1.000000,0.000000,0.352464
0.020000,1.308664,0.900176,0.938700,1.370000,1.000000,0.000000,0.357789
0.020000,1.334491,0.909908,0.966300,1.390000,1.000000,-0.000000,0.362930
0.020000,1.360642,0.919914,0.994300,1.410000,1.000000,0.000000,0.367880
0.020000,1.387118,0.930191,1.022700,1.430000,1.000000,0.000000,0.372631
0.020000,1.413917,0.940738,1.051500,1.450000,1.000000,0.000000,0.377177
0.020000,1.441041,0.951552,1.080700,1.470000,1.000000,0.000000,0.381510
0.020000,1.468490,0.962630,1.110300,1.490000,1.000000,0.000000,0.385624
0.020000,1.496264,0.973968,1.140300,1.510000,1.000000,0.000000,0.389511
0.020000,1.524366,0.985564,1.170700,1.530000,1.000000,0.000000,0.393164
0.020000,1.552795,0.997413,1.201500,1.550000,1.000000,0.000000,0.396576
0.020000,1.581555,1.009511,1.232700,1.570000,1.000000,0.000000,0.399738
0.020000,1.610645,1.021852,1.264300,1.590000,1.000000,0.000000,0.402644
0.020000,1.640069,1.034431,1.296300,1.610000,1.000000,0.000000,0.405286
0.020000,1.669829,1.047242,1.328700,1.630000,1.000000,-0.000000,0.407655
0.020000,1.699927,1.060278,1.361500,1.650000,1.000000,0.000000,0.409743
0.020000,1.730367,1.073532,1.394700,1.670000,1.000000,0.000000,0.411541
0.020000,1.761151,1.086996,1.428300,1.690000,1.000000,0.000000,0.413041
0.020000,1.792283,1.100663,1.462300,1.710000,1.000000,0.000000,0.414233
0.020000,1.823767,1.114524,1.496700,1.730000,1.000000,0.000000,0.415107
0.020000,1.855608,1.128568,1.531500,1.750000,1.000000,0.000000,0.415652
0.020000,1.887809,1.142785,1.566700,1.770000,1.000000,0.000000,0.415858
0.020000,1.920375,1.157165,1.602300,1.790000,1.000000,0.000000,0.415714
