dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.399077,0.350209,0.000050,0.005000,0.250000,12.500000,6.280591
0.020000,0.399119,0.350209,0.000092,0.002098,-0.145090,-19.754511,6.280709
0.020000,0.399214,0.350209,0.000186,0.004720,0.131087,13.808867,6.280975
0.020000,0.399382,0.350208,0.000354,0.008388,0.183382,2.614732,6.281446
0.020000,0.399633,0.350208,0.000606,0.012573,0.209278,1.294794,6.282153
0.020000,0.399968,0.350208,0.000941,0.016749,0.208783,-0.024752,6.283095
0.020000,0.402234,0.350209,0.003206,0.113274,4.826264,230.874081,0.001086
0.020000,0.405135,0.350214,0.006107,0.145057,1.589133,-161.856558,0.002496
0.020000,0.408518,0.350225,0.009491,0.169184,1.206354,-19.138935,0.004137
0.020000,0.412384,0.350245,0.013357,0.193286,1.205110,-0.062213,0.006009
0.020000,0.416731,0.350276,0.017704,0.217362,1.203794,-0.065825,0.008110
0.020000,0.421559,0.350321,0.022532,0.241407,1.202272,-0.076057,0.010439
0.020000,0.426867,0.350383,0.027840,0.265418,1.200551,-0.086058,0.012994
0.020000,0.432654,0.350466,0.033628,0.289391,1.198638,-0.095668,0.015772
0.020000,0.438920,0.350574,0.039895,0.313322,1.196534,-0.105200,0.018771
0.020000,0.445663,0.350712,0.046639,0.337207,1.194250,-0.114183,0.021988
0.020000,0.452881,0.350883,0.053860,0.361043,1.191792,-0.122932,0.025421
0.020000,0.460575,0.351092,0.061556,0.384822,1.188983,-0.140444,0.029067
0.020000,0.468742,0.351346,0.069727,0.408545,1.186157,-0.141271,0.032922
0.020000,0.477381,0.351648,0.078371,0.432204,1.182905,-0.162631,0.036984
0.020000,0.486490,0.352004,0.087487,0.455798,1.179707,-0.159892,0.041247
0.020000,0.496067,0.352421,0.097073,0.479317,1.175980,-0.186327,0.045708
0.020000,0.506111,0.352904,0.107128,0.502759,1.172096,-0.194212,0.050362
0.020000,0.516618,0.353459,0.117651,0.526122,1.168162,-0.196722,0.055206
0.020000,0.527588,0.354093,0.128639,0.549400,1.163870,-0.214576,0.060234
0.020000,0.539017,0.354812,0.140091,0.572587,1.159367,-0.225146,0.065442
0.020000,0.550903,0.355623,0.152004,0.595672,1.154243,-0.256198,0.070823
0.020000,0.563243,0.356533,0.164377,0.618664,1.149608,-0.231783,0.076372
0.020000,0.576034,0.357549,0.177208,0.641556,1.144579,-0.251440,0.082084
0.020000,0.589272,0.358677,0.190495,0.664320,1.138202,-0.318828,0.087951
0.020000,0.602955,0.359925,0.204235,0.686990,1.133518,-0.234200,0.093969
0.020000,0.617079,0.361300,0.218425,0.709526,1.126787,-0.336546,0.100129
0.020000,0.631640,0.362809,0.233064,0.731943,1.120874,-0.295663,0.106425
0.020000,0.646634,0.364460,0.248149,0.754236,1.114607,-0.313372,0.112850
0.020000,0.662057,0.366259,0.263677,0.776393,1.107894,-0.335612,0.119397
0.020000,0.677905,0.368214,0.279645,0.798414,1.101033,-0.343092,0.126057
0.020000,0.694174,0.370332,0.296051,0.820295,1.094049,-0.349199,0.132823
0.020000,0.710858,0.372619,0.312892,0.842034,1.086969,-0.353990,0.139686
0.020000,0.727954,0.375084,0.330164,0.863629,1.079714,-0.362735,0.146639
0.020000,0.745456,0.377732,0.347865,0.885053,1.071235,-0.423949,0.153673
0.020000,0.763360,0.380570,0.365992,0.906353,1.064969,-0.313323,0.160779
0.020000,0.781659,0.383606,0.384542,0.927472,1.055960,-0.450427,0.167949
0.020000,0.800350,0.386844,0.403511,0.948457,1.049261,-0.334973,0.175174
0.020000,0.819426,0.390292,0.422896,0.969255,1.039912,-0.467419,0.182444
0.020000,0.838882,0.393956,0.442694,0.989907,1.032569,-0.367161,0.189751
0.020000,0.858713,0.397840,0.462902,1.010396,1.024457,-0.405611,0.197085
0.020000,0.878913,0.401951,0.483516,1.030718,1.016123,-0.416710,0.204437
