dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.932364,7.626173,0.000987,0.098684,4.934211,246.710526,0.033598
0.020000,0.934535,7.626245,0.004934,0.296053,9.868421,246.710526,0.032981
0.020000,0.942426,7.626500,0.012829,0.493421,9.868421,0.000000,0.031748
0.020000,0.954262,7.626865,0.024671,0.690789,9.868421,0.000000,0.029902
0.020000,0.970045,7.627318,0.040461,0.888158,9.868421,-0.000000,0.027448
0.020000,0.989776,7.627829,0.060197,1.085526,9.868421,0.000000,0.024390
0.020000,1.013454,7.628364,0.083882,1.282895,9.868421,0.000000,0.020736
0.020000,1.041081,7.628878,0.111513,1.480263,9.868421,0.000000,0.016496
0.020000,1.072656,7.629323,0.143092,1.677632,9.868421,-0.000000,0.011679
0.020000,1.108181,7.629642,0.178618,1.875000,9.868421,0.000000,0.006299
0.020000,1.147655,7.629773,0.218092,2.072368,9.868421,0.000000,0.000369
0.020000,1.191075,7.629649,0.261513,2.269737,9.868421,-0.000000,6.277093
0.020000,1.238442,7.629195,0.308882,2.467105,9.868421,0.000000,6.270117
0.020000,1.289750,7.628332,0.360197,2.664474,9.868421,0.000000,6.262650
0.020000,1.344996,7.626978,0.415461,2.861842,9.868421,0.000000,6.254713
0.020000,1.404175,7.625043,0.474671,3.059211,9.868421,-0.000000,6.246335
0.020000,1.467279,7.622438,0.537829,3.256579,9.868421,0.000000,6.237543
0.020000,1.534299,7.619068,0.604934,3.453947,9.868421,-0.000000,6.228370
0.020000,1.605226,7.614837,0.675987,3.651316,9.868421,0.000000,6.218850
0.020000,1.679061,7.609719,0.750000,3.750000,4.934211,-246.710526,6.209149
0.020000,1.753828,7.603811,0.825000,3.750000,0.000000,-246.710526,6.199547
0.020000,1.828535,7.597193,0.900000,3.750000,0.000000,0.000000,6.190178
0.020000,1.903178,7.589886,0.975000,3.750000,0.000000,0.000000,6.181046
0.020000,1.977752,7.581905,1.050000,3.750000,0.000000,0.000000,6.172155
0.020000,2.052253,7.573272,1.125000,3.750000,0.000000,0.000000,6.163506
0.020000,2.126678,7.564003,1.200000,3.750000,0.000000,0.000000,6.155102
0.020000,2.201024,7.554118,1.275000,3.750000,0.000000,0.000000,6.146946
0.020000,2.275287,7.543636,1.350000,3.750000,0.000000,0.000000,6.139038
