dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.172865,3.402606,0.000129,0.012935,0.646754,32.337705,0.000057
0.020000,1.172871,3.402606,0.000135,0.000277,-0.632904,-63.982901,0.000041
0.020000,1.172882,3.402606,0.000146,0.000558,0.014062,32.348281,0.000010
0.020000,1.174128,3.402606,0.001392,0.062313,3.087725,153.683161,6.283147
0.020000,1.176221,3.402605,0.003485,0.104631,2.115913,-48.590592,6.283083
0.020000,1.178837,3.402605,0.006101,0.130820,1.309469,-40.322186,6.283000
0.020000,1.181978,3.402604,0.009242,0.157031,1.310549,0.054000,6.282898
0.020000,1.185643,3.402603,0.012907,0.183267,1.311797,0.062396,6.282776
0.020000,1.189834,3.402601,0.017098,0.209533,1.313294,0.074817,6.282631
0.020000,1.194551,3.402598,0.021815,0.235833,1.314987,0.084647,6.282462
0.020000,1.199794,3.402594,0.027058,0.262171,1.316898,0.095586,6.282267
0.020000,1.205565,3.402588,0.032829,0.288551,1.319019,0.106056,6.282044
0.020000,1.211865,3.402580,0.039129,0.314979,1.321371,0.117574,6.281788
0.020000,1.218694,3.402569,0.045958,0.341457,1.323918,0.127371,6.281499
0.020000,1.226054,3.402556,0.053318,0.367991,1.326678,0.137965,6.281172
0.020000,1.233945,3.402538,0.061209,0.394584,1.329675,0.149891,6.280805
0.020000,1.242370,3.402517,0.069634,0.421242,1.332894,0.160928,6.280393
0.020000,1.251329,3.402489,0.078593,0.447968,1.336308,0.170720,6.279933
0.020000,1.260825,3.402456,0.088089,0.474767,1.339945,0.181809,6.279421
0.020000,1.270857,3.402416,0.098122,0.501644,1.343826,0.194097,6.278853
0.020000,1.281429,3.402366,0.108694,0.528602,1.347933,0.205323,6.278223
0.020000,1.292542,3.402308,0.119807,0.555647,1.352237,0.215193,6.277527
0.020000,1.304198,3.402237,0.131462,0.582783,1.356802,0.228261,6.276760
0.020000,1.316398,3.402154,0.143663,0.610015,1.361579,0.238830,6.275916
0.020000,1.329144,3.402055,0.156410,0.637347,1.366607,0.251426,6.274990
0.020000,1.342439,3.401939,0.169705,0.664784,1.371844,0.261835,6.273976
0.020000,1.356285,3.401804,0.183552,0.692332,1.377405,0.278046,6.272868
0.020000,1.370684,3.401647,0.197952,0.719994,1.383108,0.285150,6.271659
0.020000,1.385639,3.401465,0.212907,0.747776,1.389104,0.299836,6.270342
0.020000,1.401151,3.401255,0.228421,0.775685,1.395433,0.316444,6.268911
0.020000,1.417224,3.401013,0.244495,0.803722,1.401876,0.322142,6.267357
0.020000,1.433859,3.400736,0.261133,0.831896,1.408708,0.341577,6.265674
0.020000,1.451061,3.400419,0.278338,0.860212,1.415767,0.352984,6.263854
0.020000,1.468830,3.400058,0.296111,0.888674,1.423095,0.366374,6.261888
0.020000,1.487172,3.399648,0.314457,0.917288,1.430743,0.382383,6.259767
0.020000,1.506087,3.399183,0.333378,0.946062,1.438698,0.397747,6.257483
0.020000,1.525580,3.398659,0.352878,0.975001,1.446926,0.411406,6.255027
0.020000,1.545654,3.398067,0.372960,1.004109,1.455388,0.423131,6.252389
0.020000,1.566311,3.397401,0.393628,1.033395,1.464344,0.447805,6.249558
0.020000,1.587555,3.396655,0.414885,1.062865,1.473479,0.456716,6.246525
0.020000,1.609389,3.395819,0.436736,1.092526,1.483044,0.478247,6.243278
0.020000,1.631818,3.394884,0.459184,1.122382,1.492814,0.488527,6.239808
0.020000,1.654843,3.393843,0.482232,1.152444,1.503086,0.513602,6.236102
0.020000,1.678469,3.392683,0.505887,1.182717,1.513663,0.528846,6.232148
0.020000,1.702699,3.391394,0.530151,1.213208,1.524522,0.542930,6.227934
0.020000,1.727536,3.389965,0.555029,1.243925,1.535868,0.567328,6.223447
0.020000,1.752984,3.388382,0.580527,1.274875,1.547476,0.580372,6.218675
0.020000,1.779047,3.386633,0.606648,1.306064,1.559486,0.600524,6.213604
0.020000,1.805727,3.384702,0.633398,1.337503,1.571957,0.623537,6.208219
0.020000,1.833028,3.382573,0.660782,1.369196,1.584611,0.632709,6.202507
0.020000,1.860953,3.380231,0.688805,1.401151,1.597758,0.657353,6.196453
0.020000,1.889505,3.377656,0.717473,1.433374,1.611158,0.670012,6.190042
0.020000,1.918686,3.374831,0.746790,1.465874,1.624987,0.691405,6.183257
0.020000,1.948499,3.371735,0.776763,1.498653,1.638977,0.699501,6.176084
0.020000,1.978945,3.368345,0.807398,1.531719,1.653310,0.716662,6.168506
0.020000,2.010026,3.364640,0.838699,1.565076,1.667850,0.726991,6.160507
0.020000,2.041744,3.360594,0.870674,1.598727,1.682553,0.735148,6.152071
0.020000,2.074098,3.356182,0.903327,1.632675,1.697402,0.742484,6.143180
0.020000,2.107088,3.351376,0.936666,1.666921,1.712257,0.742721,6.133818
0.020000,2.140713,3.346147,0.970695,1.701460,1.726954,0.734861,6.123968
0.020000,2.174971,3.340465,1.005421,1.736293,1.741684,0.736522,6.113614
0.020000,2.209858,3.334297,1.040849,1.771412,1.755955,0.713533,6.102740
0.020000,2.245370,3.327610,1.076985,1.806811,1.769903,0.697378,6.091330
0.020000,2.281501,3.320368,1.113835,1.842474,1.783152,0.662467,6.079369
0.020000,2.318243,3.312535,1.151402,1.878388,1.795708,0.627814,6.066843
0.020000,2.355587,3.304072,1.189693,1.914532,1.807232,0.576202,6.053739
0.020000,2.393521,3.294939,1.228711,1.950883,1.817536,0.515210,6.040046
0.020000,2.432031,3.285095,1.268459,1.987410,1.826369,0.441609,6.025753
0.020000,2.471101,3.274498,1.308941,2.024080,1.833463,0.354719,6.010853
0.020000,2.510712,3.263105,1.350158,2.060850,1.838511,0.252390,5.995339
0.020000,2.550842,3.250872,1.392111,2.097674,1.841210,0.134969,5.979210
0.020000,2.591467,3.237755,1.434801,2.134500,1.841294,0.004214,5.962464
0.020000,2.632558,3.223709,1.478226,2.171268,1.838412,-0.144111,5.945105
0.020000,2.674084,3.208690,1.522385,2.207914,1.832292,-0.306009,5.927139
0.020000,2.716009,3.192655,1.567272,2.244365,1.822527,-0.488261,5.908579
0.020000,2.758296,3.175561,1.612883,2.280549,1.809222,-0.665263,5.889438
0.020000,2.800902,3.157368,1.659211,2.316380,1.791551,-0.883510,5.869737
0.020000,2.843781,3.138036,1.706246,2.351782,1.770109,-1.072123,5.849500
0.020000,2.886885,3.117530,1.753979,2.386664,1.744098,-1.300521,5.828755
0.020000,2.930163,3.095817,1.802398,2.420951,1.714357,-1.487054,5.807538
0.020000,2.973559,3.072867,1.851490,2.454553,1.680082,-1.713752,5.785885
0.020000,3.017017,3.048654,1.901238,2.487399,1.642273,-1.890450,5.763839
0.020000,3.060478,3.023158,1.951626,2.519405,1.600315,-2.097908,5.741449
0.020000,3.103884,2.996362,2.002636,2.550518,1.555663,-2.232613,5.718763
0.020000,3.147173,2.968254,2.054250,2.580683,1.508260,-2.370149,5.695836
0.020000,3.190285,2.938828,2.106447,2.609856,1.458624,-2.481798,5.672723
