dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,3.047006,0.000130,0.012989,0.649442,32.472097,6.283128
0.020000,1.000000,3.047006,0.000649,0.038967,1.298884,32.472097,6.283143
0.020000,1.000000,3.047006,0.001689,0.064944,1.298884,0.000000,6.283172
0.020000,1.001079,3.047006,0.003247,0.090922,1.298884,-0.000000,0.000030
0.020000,1.003157,3.047006,0.005325,0.116900,1.298884,0.000000,0.000086
0.020000,1.005755,3.047006,0.007923,0.142877,1.298884,0.000000,0.000154
0.020000,1.008872,3.047007,0.011041,0.168855,1.298884,0.000000,0.000233
0.020000,1.012509,3.047008,0.014677,0.194833,1.298884,-0.000000,0.000322
0.020000,1.016666,3.047009,0.018834,0.220810,1.298884,0.000000,0.000418
0.020000,1.021342,3.047011,0.023510,0.246788,1.298884,0.000000,0.000519
0.020000,1.026537,3.047014,0.028705,0.272766,1.298884,-0.000000,0.000625
0.020000,1.032252,3.047018,0.034420,0.298743,1.298884,0.000000,0.000731
0.020000,1.038487,3.047023,0.040655,0.324721,1.298884,0.000000,0.000835
0.020000,1.045241,3.047029,0.047409,0.350699,1.298884,-0.000000,0.000934
0.020000,1.052515,3.047036,0.054683,0.376676,1.298884,0.000000,0.001026
0.020000,1.060308,3.047045,0.062476,0.402654,1.298884,-0.000000,0.001106
0.020000,1.068621,3.047054,0.070789,0.428632,1.298884,0.000000,0.001170
0.020000,1.077453,3.047065,0.079622,0.454609,1.298884,-0.000000,0.001215
0.020000,1.086805,3.047076,0.088974,0.480587,1.298884,0.000000,0.001237
0.020000,1.096677,3.047088,0.098845,0.506565,1.298884,0.000000,0.001231
0.020000,1.107068,3.047101,0.109236,0.532542,1.298884,-0.000000,0.001192
0.020000,1.117979,3.047114,0.120147,0.558520,1.298884,0.000000,0.001115
0.020000,1.129409,3.047126,0.131577,0.584498,1.298884,0.000000,0.000995
0.020000,1.141359,3.047137,0.143527,0.610475,1.298884,0.000000,0.000827
0.020000,1.153828,3.047146,0.155996,0.636453,1.298884,0.000000,0.000605
0.020000,1.166817,3.047152,0.168985,0.662431,1.298884,0.000000,0.000322
