dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.999980,2.691406,0.000130,0.012989,0.649442,32.472097,6.283128
0.020000,0.999985,2.691406,0.000135,0.000260,-0.636425,-64.293351,6.283143
0.020000,0.999995,2.691406,0.000145,0.000516,0.012795,32.460990,6.283172
0.020000,1.001090,2.691406,0.001240,0.054720,2.710187,134.869607,0.000030
0.020000,1.003188,2.691406,0.003338,0.104908,2.509383,-10.040191,0.000086
0.020000,1.005810,2.691406,0.005960,0.131101,1.309679,-59.985182,0.000154
0.020000,1.008955,2.691407,0.009105,0.157273,1.308572,-0.055369,0.000233
0.020000,1.012624,2.691408,0.012774,0.183417,1.307228,-0.067217,0.000322
0.020000,1.016814,2.691409,0.016964,0.209531,1.305683,-0.077211,0.000418
0.020000,1.021526,2.691411,0.021677,0.235609,1.303909,-0.088704,0.000519
0.020000,1.026759,2.691414,0.026910,0.261647,1.301905,-0.100201,0.000625
0.020000,1.032512,2.691418,0.032662,0.287641,1.299694,-0.110568,0.000731
0.020000,1.038784,2.691423,0.038934,0.313586,1.297249,-0.122271,0.000835
0.020000,1.045573,2.691429,0.045724,0.339478,1.294595,-0.132672,0.000934
0.020000,1.052880,2.691436,0.053030,0.365312,1.291709,-0.144311,0.001026
0.020000,1.060701,2.691445,0.060852,0.391084,1.288610,-0.154928,0.001106
0.020000,1.069037,2.691454,0.069187,0.416790,1.285285,-0.166249,0.001170
0.020000,1.077886,2.691465,0.078036,0.442425,1.281743,-0.177126,0.001215
0.020000,1.087245,2.691476,0.087396,0.467984,1.277976,-0.188363,0.001237
0.020000,1.097115,2.691489,0.097265,0.493464,1.273987,-0.199449,0.001231
0.020000,1.107492,2.691501,0.107642,0.518860,1.269775,-0.210559,0.001192
0.020000,1.118375,2.691514,0.118525,0.544166,1.265339,-0.221801,0.001115
0.020000,1.129763,2.691526,0.129913,0.569380,1.260678,-0.233082,0.000995
0.020000,1.141653,2.691537,0.141803,0.594496,1.255789,-0.244426,0.000827
0.020000,1.154043,2.691546,0.154193,0.619509,1.250673,-0.255838,0.000605
0.020000,1.166931,2.691552,0.167081,0.644416,1.245329,-0.267168,0.000322
0.020000,1.180315,2.691554,0.180466,0.669211,1.239749,-0.278999,6.283158
0.020000,1.194193,2.691550,0.194343,0.693889,1.233933,-0.290793,6.282736
0.020000,1.208562,2.691540,0.208712,0.718447,1.227873,-0.303039,6.282234
0.020000,1.223420,2.691522,0.223570,0.742878,1.221579,-0.314698,6.281645
0.020000,1.238763,2.691493,0.238913,0.767179,1.215038,-0.327005,6.280961
0.020000,1.254590,2.691452,0.254740,0.791344,1.208226,-0.340607,6.280176
0.020000,1.270897,2.691396,0.271048,0.815368,1.201210,-0.350821,6.279281
0.020000,1.287682,2.691322,0.287833,0.839245,1.193865,-0.367270,6.278267
0.020000,1.304941,2.691227,0.305092,0.862971,1.186290,-0.378720,6.277127
0.020000,1.322672,2.691109,0.322823,0.886540,1.178424,-0.393301,6.275852
0.020000,1.340870,2.690962,0.341022,0.909946,1.170326,-0.404891,6.274431
0.020000,1.359533,2.690784,0.359685,0.933183,1.161861,-0.423260,6.272857
0.020000,1.378656,2.690571,0.378810,0.956246,1.153138,-0.436158,6.271119
0.020000,1.398237,2.690316,0.398393,0.979128,1.144104,-0.451693,6.269207
0.020000,1.418272,2.690015,0.418429,1.001824,1.134794,-0.465489,6.267110
0.020000,1.438755,2.689662,0.438916,1.024326,1.125085,-0.485470,6.264817
0.020000,1.459684,2.689252,0.459848,1.046627,1.115080,-0.500268,6.262318
0.020000,1.481053,2.688777,0.481223,1.068722,1.104713,-0.518312,6.259601
0.020000,1.502858,2.688231,0.503035,1.090603,1.094086,-0.531359,6.256653
0.020000,1.525094,2.687606,0.525280,1.112262,1.082936,-0.557511,6.253462
0.020000,1.547757,2.686893,0.547954,1.133692,1.071517,-0.570944,6.250015
0.020000,1.570841,2.686085,0.571052,1.154886,1.059671,-0.592311,6.246300
0.020000,1.594340,2.685171,0.594568,1.175836,1.047536,-0.606755,6.242301
0.020000,1.618248,2.684142,0.618499,1.196533,1.034845,-0.634553,6.238006
0.020000,1.642560,2.682987,0.642839,1.216971,1.021874,-0.648523,6.233399
