dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992373,3.392614,0.000130,0.012998,0.649901,32.495047,6.283128
0.020000,0.992362,3.392614,0.000140,0.000518,-0.623999,-63.694982,6.283158
0.020000,0.992886,3.392614,0.000664,0.026177,1.282947,95.347267,0.000030
0.020000,0.994415,3.392614,0.002193,0.076443,2.513296,61.517452,0.000117
0.020000,0.996454,3.392614,0.004231,0.101934,1.274568,-61.936385,0.000233
0.020000,0.999002,3.392615,0.006780,0.127435,1.275014,0.022283,0.000376
0.020000,1.002061,3.392617,0.009839,0.152946,1.275570,0.027844,0.000546
0.020000,1.005631,3.392619,0.013408,0.178471,1.276239,0.033424,0.000743
0.020000,1.009711,3.392622,0.017489,0.204011,1.277019,0.038985,0.000966
0.020000,1.014302,3.392627,0.022080,0.229569,1.277910,0.044562,0.001213
0.020000,1.019405,3.392634,0.027183,0.255148,1.278913,0.050131,0.001484
0.020000,1.025020,3.392643,0.032798,0.280748,1.280026,0.055695,0.001777
0.020000,1.031148,3.392655,0.038925,0.306373,1.281252,0.061269,0.002090
0.020000,1.037788,3.392670,0.045566,0.332025,1.282589,0.066846,0.002423
0.020000,1.044942,3.392689,0.052720,0.357706,1.284037,0.072409,0.002774
0.020000,1.052610,3.392712,0.060388,0.383418,1.285596,0.077976,0.003141
0.020000,1.060794,3.392739,0.068572,0.409163,1.287268,0.083555,0.003522
0.020000,1.069492,3.392771,0.077271,0.434944,1.289050,0.089110,0.003915
0.020000,1.078708,3.392809,0.086486,0.460763,1.290944,0.094693,0.004318
0.020000,1.088440,3.392853,0.096218,0.486622,1.292949,0.100248,0.004729
0.020000,1.098690,3.392904,0.106469,0.512523,1.295065,0.105820,0.005145
0.020000,1.109460,3.392961,0.117238,0.538469,1.297293,0.111389,0.005564
0.020000,1.120749,3.393027,0.128527,0.564462,1.299632,0.116939,0.005983
0.020000,1.132558,3.393100,0.140337,0.590503,1.302082,0.122513,0.006400
0.020000,1.144890,3.393181,0.152669,0.616596,1.304643,0.128083,0.006811
0.020000,1.157745,3.393271,0.165524,0.642742,1.307316,0.133629,0.007213
0.020000,1.171123,3.393371,0.178903,0.668944,1.310100,0.139199,0.007604
0.020000,1.185027,3.393479,0.192807,0.695204,1.312995,0.144757,0.007981
