dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992353,3.037014,0.000125,0.012497,0.624855,31.242758,6.283128
0.020000,0.992353,3.037014,0.000625,0.037491,1.249710,31.242758,6.283156
0.020000,0.992832,3.037014,0.001625,0.062486,1.249710,0.000000,0.000027
0.020000,0.994331,3.037014,0.003124,0.087480,1.249710,0.000000,0.000110
0.020000,0.996331,3.037014,0.005124,0.112474,1.249710,-0.000000,0.000221
0.020000,0.998830,3.037015,0.007623,0.137468,1.249710,0.000000,0.000359
0.020000,1.001830,3.037016,0.010623,0.162462,1.249710,-0.000000,0.000523
0.020000,1.005329,3.037019,0.014122,0.187457,1.249710,-0.000000,0.000713
0.020000,1.009328,3.037022,0.018121,0.212451,1.249710,0.000000,0.000927
0.020000,1.013827,3.037027,0.022620,0.237445,1.249710,-0.000000,0.001165
0.020000,1.018826,3.037033,0.027619,0.262439,1.249710,0.000000,0.001426
0.020000,1.024324,3.037042,0.033117,0.287433,1.249710,0.000000,0.001709
0.020000,1.030323,3.037053,0.039116,0.312428,1.249710,0.000000,0.002012
0.020000,1.036821,3.037067,0.045614,0.337422,1.249710,0.000000,0.002334
0.020000,1.043820,3.037084,0.052613,0.362416,1.249710,-0.000000,0.002674
0.020000,1.051318,3.037106,0.060111,0.387410,1.249710,0.000000,0.003029
0.020000,1.059316,3.037132,0.068109,0.412404,1.249710,0.000000,0.003398
0.020000,1.067814,3.037162,0.076607,0.437399,1.249710,-0.000000,0.003780
0.020000,1.076812,3.037198,0.085605,0.462393,1.249710,0.000000,0.004172
0.020000,1.086310,3.037239,0.095103,0.487387,1.249710,0.000000,0.004572
0.020000,1.096307,3.037287,0.105101,0.512381,1.249710,0.000000,0.004979
0.020000,1.106805,3.037342,0.115598,0.537375,1.249710,-0.000000,0.005389
0.020000,1.117802,3.037403,0.126596,0.562370,1.249710,0.000000,0.005800
0.020000,1.129299,3.037472,0.138093,0.587364,1.249710,0.000000,0.006210
0.020000,1.141296,3.037549,0.150090,0.612358,1.249710,-0.000000,0.006616
0.020000,1.153793,3.037634,0.162587,0.637352,1.249710,0.000000,0.007015
0.020000,1.166790,3.037728,0.175584,0.662346,1.249710,0.000000,0.007404
0.020000,1.180286,3.037831,0.189081,0.687341,1.249710,-0.000000,0.007781
0.020000,1.194282,3.037942,0.203078,0.712335,1.249710,0.000000,0.008142
0.020000,1.208778,3.038063,0.217575,0.737329,1.249710,0.000000,0.008485
0.020000,1.223774,3.038192,0.232571,0.762323,1.249710,-0.000000,0.008804
0.020000,1.239270,3.038331,0.248067,0.787317,1.249710,0.000000,0.009098
0.020000,1.255266,3.038479,0.264064,0.812312,1.249710,0.000000,0.009363
0.020000,1.271761,3.038635,0.280560,0.837306,1.249710,-0.000000,0.009594
0.020000,1.288757,3.038800,0.297556,0.862300,1.249710,0.000000,0.009789
0.020000,1.306252,3.038973,0.315052,0.887294,1.249710,-0.000000,0.009942
0.020000,1.324247,3.039153,0.333048,0.912289,1.249710,0.000000,0.010051
0.020000,1.342741,3.039339,0.351544,0.937283,1.249710,0.000000,0.010110
0.020000,1.361736,3.039531,0.370539,0.962277,1.249710,0.000000,0.010117
0.020000,1.381230,3.039728,0.390035,0.987271,1.249710,0.000000,0.010065
0.020000,1.401225,3.039928,0.410030,1.012265,1.249710,0.000000,0.009951
0.020000,1.421719,3.040131,0.430525,1.037260,1.249710,-0.000000,0.009770
0.020000,1.442713,3.040333,0.451520,1.062254,1.249710,0.000000,0.009518
0.020000,1.464207,3.040534,0.473015,1.087248,1.249710,0.000000,0.009188
0.020000,1.486201,3.040732,0.495010,1.112242,1.249710,-0.000000,0.008778
0.020000,1.508695,3.040924,0.517505,1.137236,1.249710,0.000000,0.008280
0.020000,1.531689,3.041108,0.540500,1.162231,1.249710,0.000000,0.007691
0.020000,1.555183,3.041281,0.563994,1.187225,1.249710,-0.000000,0.007005
0.020000,1.579177,3.041439,0.587989,1.212219,1.249710,0.000000,0.006216
0.020000,1.603671,3.041581,0.612483,1.237213,1.249710,0.000000,0.005319
0.020000,1.628665,3.041701,0.637477,1.262207,1.249710,0.000000,0.004308
0.020000,1.654159,3.041797,0.662971,1.287202,1.249710,0.000000,0.003177
0.020000,1.680153,3.041863,0.688965,1.312196,1.249710,0.000000,0.001921
0.020000,1.706646,3.041896,0.715459,1.337190,1.249710,0.000000,0.000533
0.020000,1.733640,3.041890,0.742453,1.362184,1.249710,-0.000000,6.282193
0.020000,1.761134,3.041840,0.769947,1.387178,1.249710,0.000000,6.280523
0.020000,1.789127,3.041741,0.797940,1.412173,1.249710,0.000000,6.278703
0.020000,1.817620,3.041585,0.826433,1.437167,1.249710,-0.000000,6.276727
0.020000,1.846613,3.041367,0.855427,1.462161,1.249710,0.000000,6.274587
0.020000,1.876104,3.041080,0.884920,1.487155,1.249710,-0.000000,6.272277
0.020000,1.906095,3.040716,0.914913,1.512149,1.249710,0.000000,6.269790
0.020000,1.936585,3.040267,0.945406,1.537144,1.249710,0.000000,6.267119
0.020000,1.967573,3.039725,0.976399,1.562138,1.249710,0.000000,6.264258
0.020000,1.999059,3.039081,1.007891,1.587132,1.249710,0.000000,6.261200
0.020000,2.031043,3.038326,1.039884,1.612126,1.249710,0.000000,6.257936
0.020000,2.063523,3.037450,1.072376,1.637120,1.249710,0.000000,6.254461
0.020000,2.096500,3.036442,1.105369,1.662115,1.249710,0.000000,6.250767
