dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992332,2.681414,0.000130,0.012998,0.649901,32.495047,6.283128
0.020000,0.992343,2.681414,0.000140,0.000518,-0.623999,-63.694982,6.283158
0.020000,0.992908,2.681414,0.000705,0.028245,1.386333,100.516572,0.000030
0.020000,0.994498,2.681414,0.002296,0.079533,2.564432,58.904951,0.000117
0.020000,0.996619,2.681414,0.004417,0.106034,1.325036,-61.969803,0.000233
0.020000,0.999270,2.681415,0.007067,0.132526,1.324590,-0.022275,0.000376
0.020000,1.002450,2.681417,0.010247,0.159007,1.324033,-0.027854,0.000546
0.020000,1.006159,2.681419,0.013957,0.185474,1.323365,-0.033414,0.000743
0.020000,1.010398,2.681423,0.018195,0.211926,1.322585,-0.038994,0.000966
0.020000,1.015165,2.681428,0.022962,0.238359,1.321694,-0.044556,0.001213
0.020000,1.020460,2.681435,0.028258,0.264773,1.320691,-0.050128,0.001484
0.020000,1.026284,2.681445,0.034081,0.291165,1.319577,-0.055705,0.001777
0.020000,1.032634,2.681457,0.040432,0.317532,1.318352,-0.061271,0.002090
0.020000,1.039512,2.681472,0.047309,0.343872,1.317015,-0.066835,0.002423
0.020000,1.046915,2.681492,0.054713,0.370183,1.315567,-0.072412,0.002774
0.020000,1.054844,2.681515,0.062642,0.396464,1.314007,-0.077983,0.003141
0.020000,1.063299,2.681543,0.071096,0.422710,1.312336,-0.083543,0.003522
0.020000,1.072277,2.681577,0.080075,0.448921,1.310554,-0.089125,0.003915
0.020000,1.081779,2.681616,0.089577,0.475095,1.308660,-0.094678,0.004318
0.020000,1.091803,2.681661,0.099601,0.501228,1.306655,-0.100257,0.004729
0.020000,1.102350,2.681713,0.110148,0.527318,1.304539,-0.105817,0.005145
0.020000,1.113417,2.681772,0.121215,0.553365,1.302311,-0.111379,0.005564
0.020000,1.125004,2.681839,0.132802,0.579364,1.299972,-0.116958,0.005983
0.020000,1.137110,2.681914,0.144908,0.605315,1.297522,-0.122510,0.006400
0.020000,1.149734,2.681998,0.157533,0.631214,1.294960,-0.128065,0.006811
0.020000,1.162875,2.682090,0.170674,0.657060,1.292288,-0.133642,0.007213
0.020000,1.176531,2.682191,0.184331,0.682850,1.289504,-0.139194,0.007604
