dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.992371,3.392614,0.000198,0.019835,0.991756,49.587796,6.283132
0.020000,0.992360,3.392614,0.000210,0.000593,-0.962119,-97.693761,6.283166
0.020000,0.992980,3.392614,0.000830,0.030996,1.520165,124.114192,0.000036
0.020000,0.994341,3.392614,0.002191,0.068047,1.852571,16.620307,0.000113
0.020000,0.996090,3.392614,0.003941,0.087497,0.972495,-44.003768,0.000212
0.020000,0.998230,3.392615,0.006080,0.106953,0.972787,0.014593,0.000332
0.020000,1.000758,3.392616,0.008608,0.126416,0.973144,0.017832,0.000474
0.020000,1.003676,3.392618,0.011526,0.145887,0.973565,0.021080,0.000636
0.020000,1.006983,3.392620,0.014834,0.165368,0.974052,0.024316,0.000817
0.020000,1.010680,3.392623,0.018531,0.184860,0.974603,0.027561,0.001018
0.020000,1.014767,3.392628,0.022618,0.204365,0.975219,0.030813,0.001238
0.020000,1.019245,3.392634,0.027096,0.223883,0.975900,0.034042,0.001475
0.020000,1.024113,3.392642,0.031964,0.243416,0.976646,0.037292,0.001730
0.020000,1.029373,3.392652,0.037223,0.262965,0.977457,0.040540,0.002000
0.020000,1.035023,3.392664,0.042874,0.282531,0.978332,0.043772,0.002286
0.020000,1.041066,3.392678,0.048916,0.302117,0.979273,0.047018,0.002585
0.020000,1.047500,3.392696,0.055351,0.321722,0.980278,0.050272,0.002898
0.020000,1.054327,3.392717,0.062178,0.341349,0.981348,0.053495,0.003222
0.020000,1.061547,3.392741,0.069398,0.360999,0.982483,0.056749,0.003557
0.020000,1.069160,3.392770,0.077011,0.380673,0.983683,0.059995,0.003901
0.020000,1.077168,3.392803,0.085019,0.400372,0.984947,0.063224,0.004252
0.020000,1.085570,3.392840,0.093421,0.420097,0.986277,0.066475,0.004610
0.020000,1.094366,3.392882,0.102218,0.439851,0.987671,0.069706,0.004972
0.020000,1.103559,3.392929,0.111410,0.459633,0.989130,0.072958,0.005337
0.020000,1.113148,3.392982,0.120999,0.479446,0.990654,0.076188,0.005703
0.020000,1.123133,3.393041,0.130985,0.499291,0.992242,0.079433,0.006069
0.020000,1.133517,3.393106,0.141368,0.519169,0.993896,0.082662,0.006432
0.020000,1.144298,3.393177,0.152150,0.539081,0.995614,0.085916,0.006792
0.020000,1.155478,3.393255,0.163331,0.559029,0.997397,0.089142,0.007144
0.020000,1.167058,3.393340,0.174911,0.579014,0.999245,0.092387,0.007489
0.020000,1.179039,3.393432,0.186892,0.599037,1.001157,0.095613,0.007822
0.020000,1.191420,3.393531,0.199274,0.619100,1.003134,0.098864,0.008143
0.020000,1.204204,3.393637,0.212058,0.639204,1.005176,0.102090,0.008449
0.020000,1.217390,3.393750,0.225245,0.659349,1.007283,0.105335,0.008737
0.020000,1.230981,3.393871,0.238835,0.679538,1.009454,0.108564,0.009006
0.020000,1.244976,3.393998,0.252831,0.699772,1.011690,0.111804,0.009252
0.020000,1.259376,3.394133,0.267232,0.720052,1.013991,0.115052,0.009473
0.020000,1.274183,3.394275,0.282039,0.740379,1.016356,0.118275,0.009666
0.020000,1.289397,3.394423,0.297255,0.760755,1.018787,0.121525,0.009829
0.020000,1.305020,3.394578,0.312878,0.781180,1.021282,0.124771,0.009959
0.020000,1.321052,3.394738,0.328911,0.801657,1.023842,0.128004,0.010053
0.020000,1.337495,3.394904,0.345355,0.822187,1.026468,0.131256,0.010107
0.020000,1.354350,3.395075,0.362210,0.842770,1.029158,0.134503,0.010120
0.020000,1.371617,3.395249,0.379479,0.863408,1.031913,0.137751,0.010087
0.020000,1.389298,3.395427,0.397161,0.884103,1.034733,0.141004,0.010006
0.020000,1.407394,3.395607,0.415258,0.904855,1.037618,0.144258,0.009874
0.020000,1.425907,3.395788,0.433771,0.925666,1.040568,0.147516,0.009686
0.020000,1.444837,3.395969,0.452702,0.946538,1.043584,0.150772,0.009440
0.020000,1.464185,3.396149,0.472051,0.967471,1.046665,0.154042,0.009133
0.020000,1.483954,3.396326,0.491821,0.988468,1.049810,0.157291,0.008760
0.020000,1.504144,3.396498,0.512011,1.009528,1.053022,0.160568,0.008318
0.020000,1.524756,3.396665,0.532624,1.030654,1.056298,0.163817,0.007804
0.020000,1.545793,3.396823,0.553661,1.051847,1.059640,0.167093,0.007213
0.020000,1.567254,3.396971,0.575123,1.073108,1.063047,0.170336,0.006542
0.020000,1.589142,3.397106,0.597012,1.094438,1.066519,0.173606,0.005787
0.020000,1.611459,3.397226,0.619329,1.115839,1.070055,0.176831,0.004944
